time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-24 17:37:23.500,"[9.07140064239502, 6.310273170471191, 5.196777820587158]","[0.3925269842147827, 0.000862999993842, 0.5991730093955994, 0.6977900266647339, -1.0296332836151123, -0.9915426969528198, -1.618625521659851]","[-30.3125, -34.6875, -8.5625]","[0.0570897199213504, 0.3264638483524322, 0.1043532341718673]","[-62.8125, -5.1875, 49.125]","[0.0137000000104308, 1.1550999879837036, -1.998600006103516]","[0.1851619780063629, 0.8040382862091064, 0.2067342549562454]","[2.7614998817443848, 8.210199356079102, 4.597399711608887]",,
2024-02-24 17:37:23.600,"[3.895758867263794, 7.12762451171875, 8.123507499694824]","[0.4101229906082153, 0.0235109999775886, 0.5893970131874084, 0.6955980062484741, -0.9772511720657348, -0.995905339717865, -1.628170132637024]","[-30.125, -35.125, -7.875]","[-0.1643925607204437, 0.3658908307552337, 0.1256811618804931]","[-62.625, -5.625, 49.8125]","[3.216099977493286, -1.358799934387207, 4.1066999435424805]","[0.0285186804831028, 0.6036919355392456, -0.0768817514181137]","[3.010999917984009, 8.17449951171875, 4.503399848937988]",,
2024-02-24 17:37:23.700,"[6.035466194152832, 4.984402179718018, 4.476927280426025]","[0.4353379905223846, 0.0366530008614063, 0.5987409949302673, 0.671301007270813, -1.0349493026733398, -0.9895586371421814, -1.7465821504592896]","[-29.3125, -36.1875, -6.875]","[0.5205618739128113, 0.2090904414653778, 0.8930500745773315]","[-61.8125, -6.6875, 50.8125]","[-4.039299964904785, -1.8432999849319456, -0.9042999744415284]","[0.588193416595459, -0.6276029348373413, 0.6197489500045776]","[2.685999870300293, 8.227399826049805, 4.611299991607666]",,
2024-02-24 17:37:23.800,"[3.473919630050659, 6.545833587646484, 3.5289671421051025]","[0.4978339970111847, 0.0492339991033077, 0.5650230050086975, 0.6561129689216614, -0.949274480342865, -0.9115572571754456, -1.7916516065597534]","[-28.8125, -37.0, -6.8125]","[0.5331980586051941, 0.6495591998100281, -0.5890486240386963]","[-61.3125, -7.5, 50.875]","[-1.751699924468994, 2.4642999172210693, 1.2003999948501587]","[1.081493258476257, 0.9686577320098876, -0.2414837479591369]","[3.32069993019104, 7.812999725341797, 4.908999919891357]",,
2024-02-24 17:37:23.900,"[8.829834938049316, 5.894313812255859, 7.90275239944458]","[0.4986160099506378, 0.0540639981627464, 0.5650799870491028, 0.6550890207290649, -0.945715308189392, -0.917804718017578, -1.7963297367095947]","[-30.8125, -35.375, -6.625]","[-0.1310393214225769, 0.1780235767364502, 0.4542742967605591]","[-63.3125, -5.875, 51.0625]","[2.4347000122070312, -2.447999954223633, -0.7935000061988831]","[-0.1570272743701934, -0.0432667136192321, 0.1027998924255371]","[3.5080997943878174, 7.753399848937988, 4.8730998039245605]",,
2024-02-24 17:37:24.000,"[5.579150676727295, 10.162552833557127, 1.4296927452087402]","[0.5305709838867188, 0.0719679966568946, 0.5623270273208618, 0.6301599740982056, -0.9560845494270324, -0.9028257131576538, -1.8918083906173704]","[-29.5625, -36.5625, -5.875]","[0.8266926407814026, 0.6123661994934082, 0.1476373970508575]","[-62.0625, -7.0625, 51.8125]","[0.6431999802589417, -0.6827999949455261, 0.9467999935150146]","[0.6287723183631897, 0.7867944240570068, 0.5622926950454712]","[3.4754998683929443, 7.733799934387207, 4.927299976348877]",,
2024-02-24 17:37:24.100,"[4.749789714813232, 7.766052722930908, 4.7035722732543945]","[0.5487290024757385, 0.1081620007753372, 0.5406550168991089, 0.6284019947052002, -0.862267792224884, -0.9243022203445436, -1.886132001876831]","[-29.5625, -36.875, -4.875]","[-0.3284011483192444, 0.9504888653755188, 0.2260550409555435]","[-62.0625, -7.375, 52.8125]","[5.45580005645752, -2.717399835586548, 0.6079999804496765]","[-0.3221528828144073, 1.0377378463745115, 0.1076519042253494]","[3.762399911880493, 7.80709981918335, 4.589399814605713]",,
2024-02-24 17:37:24.200,"[5.856811046600342, 6.518482208251953, 3.6523163318634033]","[0.578656017780304, 0.1275199949741363, 0.5288659930229187, 0.6076139807701111, -0.8419947028160095, -0.9112547039985656, -1.953965425491333]","[-29.0625, -38.125, -2.875]","[0.5236860513687134, 0.5096361637115479, 0.1640783995389938]","[-61.5625, -8.625, 54.8125]","[0.0377999991178512, 0.4404999911785126, -1.3705999851226809]","[0.5731486678123474, 0.846187949180603, 0.2663547098636627]","[3.9435999393463135, 7.787199974060059, 4.4695000648498535]",,
2024-02-24 17:37:24.300,"[6.28676176071167, 9.762136459350586, 6.284109115600586]","[0.602167010307312, 0.1386629939079284, 0.5181829929351807, 0.5913140177726746, -0.8255764842033386, -0.8943691253662109, -2.003034830093384]","[-28.875, -39.0625, -2.875]","[0.3490484058856964, 0.5860291719436646, 0.0951204448938369]","[-61.375, -9.5625, 54.8125]","[1.5447999238967896, -2.050600051879883, 2.67330002784729]","[0.2820626497268677, 0.6368706226348877, 0.1598896086215973]","[4.172399997711182, 7.640399932861328, 4.514899730682373]",,
2024-02-24 17:37:24.400,"[3.443427085876465, 7.437204360961914, 5.896028518676758]","[0.6190119981765747, 0.1531819999217987, 0.5057460069656372, 0.5810149908065796, -0.7928293347358704, -0.8904184103012085, -2.028366804122925]","[-27.5625, -39.5, -1.5625]","[0.2393544465303421, 0.2599842548370361, -0.0799884423613548]","[-60.0625, -10.0, 56.125]","[-0.8526999950408936, 0.5611000061035156, -0.7806999683380127]","[0.226945161819458, 0.4197866022586822, -0.0287106651812791]","[4.294899940490723, 7.656799793243408, 4.369899749755859]",,
2024-02-24 17:37:24.500,"[7.918706893920898, 7.832372188568115, 6.076656341552734]","[0.6234840154647827, 0.1573899984359741, 0.5087729692459106, 0.5724020004272461, -0.8096166849136353, -0.8925999999046326, -2.060617208480835]","[-27.625, -39.75, -1.4375]","[0.109327420592308, -0.2973691821098327, 0.0256912466138601]","[-60.125, -10.25, 56.25]","[2.441699981689453, -2.174099922180176, 2.410199880599976]","[0.0719599276781082, 0.3477393984794616, 0.120218276977539]","[4.363999843597412, 7.5971999168396, 4.405299663543701]",,
2024-02-24 17:37:24.600,"[4.658551216125488, 7.154717445373535, 4.506864070892334]","[0.6406930088996887, 0.1732710003852844, 0.5128210186958313, 0.5445200204849243, -0.8470140099525452, -0.895480751991272, -2.159147262573242]","[-26.6875, -41.0, -2.5]","[0.5365840196609497, 0.5385213494300842, 0.4972268342971802]","[-59.1875, -11.5, 55.1875]","[0.7766000032424927, 1.1563999652862549, 1.164199948310852]","[0.4247433245182037, 0.3361853063106537, 0.4671199321746826]","[4.058000087738037, 7.679299831390381, 4.552999973297119]",,
2024-02-24 17:37:24.700,"[6.821454048156738, 13.42750644683838, 5.363002300262451]","[0.6530979871749878, 0.1876900047063827, 0.5112689733505249, 0.526153028011322, -0.8577376008033752, -0.8997498154640198, -2.219909191131592]","[-25.25, -42.1875, -2.4375]","[0.584702730178833, 0.3527310490608215, 0.4195771515369415]","[-57.75, -12.6875, 55.25]","[3.2171998023986816, -2.108599901199341, 2.3041999340057373]","[0.3865031599998474, 0.8938354849815369, 0.1153313592076301]","[4.039599895477295, 7.678799629211426, 4.570099830627441]",,
2024-02-24 17:37:24.800,"[5.964090347290039, 6.836977958679199, 2.971041440963745]","[0.66184002161026, 0.2150769978761673, 0.5086820125579834, 0.5069019794464111, -0.862520158290863, -0.9279571175575256, -2.287034273147583]","[-23.4375, -43.75, -2.5]","[0.088453285396099, 0.2076941728591919, 0.6080901622772217]","[-55.9375, -14.25, 55.1875]","[1.982499957084656, 0.3614999949932098, -0.3262999951839447]","[0.2100154608488083, 0.6132912635803223, 0.480820745229721]","[3.8523998260498047, 7.807299613952637, 4.513700008392334]",,
2024-02-24 17:37:24.900,"[4.095080852508545, 6.461893081665039, 4.280458927154541]","[0.6805269718170166, 0.2430859953165054, 0.5016539692878723, 0.4755350053310394, -0.8732118606567383, -0.9406838417053224, -2.3876514434814453]","[-21.375, -44.9375, -1.5625]","[0.3536211550235748, 0.8371122479438782, 0.5696056485176086]","[-53.875, -15.4375, 56.125]","[1.5900999307632446, 0.0110999997705221, 0.8499000072479248]","[0.2922553718090057, 0.2426182180643081, 0.5829748511314392]","[3.675999879837036, 7.902799606323242, 4.49459981918335]",,
2024-02-24 17:37:25.000,"[5.245303153991699, 9.348247528076172, 5.99306058883667]","[0.6976580023765564, 0.2594720125198364, 0.4849840104579925, 0.4590600132942199, -0.8376058340072632, -0.939594566822052, -2.422168493270874]","[-20.0, -45.9375, -1.75]","[-0.2629862129688263, 0.3066543340682983, 0.0649087950587272]","[-52.5, -16.4375, 55.9375]","[-1.6423999071121216, -0.0182999987155199, 1.6840999126434326]","[0.2909463942050934, 0.8431510925292969, 0.2069960534572601]","[3.829299926757813, 7.912599563598633, 4.34689998626709]",,
2024-02-24 17:37:25.100,"[4.495793342590332, 6.633614540100098, 5.621288776397705]","[0.7056999802589417, 0.2794159948825836, 0.467741996049881, 0.4529120028018951, -0.7863584756851196, -0.9580292105674744, -2.424778461456299]","[-20.5, -46.5625, -0.1875]","[-0.2709798216819763, 0.4828104376792907, 0.3248930275440216]","[-53.0, -17.0625, 57.5]","[-3.6720998287200928, -3.0598998069763184, -1.7055999040603638]","[0.1840624213218689, 0.4467519223690033, 0.1350884884595871]","[3.995699882507324, 7.982899665832519, 4.059199810028076]",,
2024-02-24 17:37:25.200,"[5.743957996368408, 8.492798805236816, 4.488132476806641]","[0.7200120091438293, 0.2855620086193084, 0.4621529877185821, 0.4317980110645294, -0.7964559197425842, -0.9447144269943236, -2.484644889831543]","[-19.375, -47.4375, 0.9375]","[0.4125783741474151, 0.1073551997542381, 0.0614355877041816]","[-51.875, -17.9375, 58.625]","[1.103600025177002, -0.0576999969780445, 0.6071999669075012]","[0.5524665117263794, 0.4955687820911407, 0.0980002358555793]","[4.0447998046875, 7.942299842834473, 4.090099811553955]",,
