time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-17 13:08:28.800,"[1.6077256202697754, 9.618666648864746, -3.862287759780884]","[-0.2306980043649673, 0.1468929946422577, 0.667631983757019, 0.6924359798431396, 1.443658471107483, -1.0290489196777344, 1.5667393207550049]","[-26.375, -32.6875, 17.75]","[-0.5215741991996765, 0.5672145485877991, -1.35243821144104]","[-209.4375, -81.1875, -33.0]","[0.9572999477386476, 1.2079999446868896, 1.1618000268936155]","[-0.3739891648292541, 0.7186742424964905, -1.1659672260284424]","[0.6410999894142151, 8.402400016784668, -5.0157999992370605]",left,START,carving_short,expert,blue,
2024-03-17 13:08:28.900,"[-1.8926643133163448, 5.349268913269043, -2.1400716304779053]","[-0.2165980041027069, 0.192111998796463, 0.6323149800300598, 0.7185789942741394, 1.3446608781814575, -0.9711129665374756, 1.380908489227295]","[-28.25, -28.4375, 20.625]","[-0.6533814668655396, 0.7691142559051514, -1.138513207435608]","[-211.4375, -77.375, -30.0]","[-3.123800039291382, -2.760699987411499, 3.265699863433838]","[-0.6391569972038269, 0.3984237611293793, -1.2630598545074463]","[1.240899920463562, 8.095499992370605, -5.393699645996094]",,,carving_short,expert,blue,
2024-03-17 13:08:29.000,"[-0.890556812286377, 4.581409931182861, -7.513196468353271]","[-0.2003020048141479, 0.2440869957208633, 0.5830230116844177, 0.7485870122909546, 1.2470277547836304, -0.8868806958198547, 1.1812889575958252]","[-31.125, -23.5, 24.125]","[-0.4574158787727356, 0.6666110754013062, -0.9422159790992736]","[-214.0625, -72.125, -26.5625]","[-2.8439998626708984, -3.0311999320983887, -1.6277999877929688]","[-0.4195771515369415, 0.7822391390800476, -1.4509620666503906]","[1.971199989318848, 7.601099967956543, -5.874199867248535]",,,carving_short,expert,blue,
2024-03-17 13:08:29.100,"[0.9047496914863586, 13.025999069213867, -4.498991966247559]","[-0.1754069924354553, 0.2913070023059845, 0.5460389852523804, 0.7656450271606445, 1.219124436378479, -0.8241187930107117, 1.0428630113601685]","[-31.1875, -20.4375, 26.8125]","[0.4183554053306579, 0.7171558141708374, -1.2192347049713137]","[-214.5625, -68.75, -23.8125]","[-1.4018999338150024, 5.825599670410156, 1.761599898338318]","[0.1222254037857055, 0.9502619504928588, -0.7771950960159302]","[2.294299840927124, 7.197499752044678, -6.252999782562256]",,,carving_short,expert,blue,"[45.0, 1.5, 21.97593307495117, 9.54800033569336, 4.011394023895264, 114.0390167236328, 2556.5649756835774, 6.6516787, 44.5587927]"
2024-03-17 13:08:29.200,"[-0.7180689573287964, 6.873398780822754, -1.2826792001724243]","[-0.1298509985208511, 0.3209410011768341, 0.5097479820251465, 0.7875850200653076, 1.1646950244903564, -0.8032128214836121, 0.8722096681594849]","[-30.75, -18.0625, 28.9375]","[0.1412494927644729, 0.1831374019384384, -0.9749932885169984]","[-214.1875, -66.375, -21.5]","[-3.3959999084472656, -0.1920999884605407, 4.990799903869629]","[0.1182984188199043, 1.148287057876587, -0.4209559559822082]","[2.68999981880188, 7.056699752807617, -6.255799770355225]",,,carving_short,expert,blue,
2024-03-17 13:08:29.300,"[5.707786560058594, 32.960350036621094, 1.4017380475997925]","[-0.0988759994506836, 0.3444809913635254, 0.4839380085468292, 0.798346996307373, 1.1431940793991089, -0.781829833984375, 0.7647049427032471]","[-31.8125, -16.6875, 30.25]","[0.434988409280777, -0.159453272819519, 0.1975014507770538]","[-215.5, -64.75, -20.3125]","[2.8215999603271484, 26.04069900512696, 7.724999904632568]","[-1.1682884693145752, 0.3376514017581939, 1.212515115737915]","[2.8857998847961426, 6.909499645233154, -6.332399845123291]",,,carving_short,expert,blue,
2024-03-17 13:08:29.400,"[-2.833365201950073, 10.829548835754396, -3.2661890983581543]","[-0.1200200021266937, 0.3451370000839233, 0.5070350170135498, 0.7806339859962463, 1.2121824026107788, -0.787754237651825, 0.866030752658844]","[-31.1875, -17.4375, 29.5]","[-0.4767890572547912, 0.2553940415382385, 0.0757647454738617]","[-214.25, -65.6875, -20.6875]","[-5.252299785614014, 3.865999937057495, 3.2121999263763428]","[1.0371094942092896, -0.0458148941397666, -0.9587791562080384]","[2.427999973297119, 6.950599670410156, -6.47790002822876]",,,carving_short,expert,blue,
2024-03-17 13:08:29.500,"[-0.9131580591201782, 3.7421371936798096, -3.55745792388916]","[-0.0996429994702339, 0.3456659913063049, 0.4947919845581054, 0.7910540103912354, 1.1727895736694336, -0.7950919270515442, 0.794696033000946]","[-30.4375, -17.6875, 30.875]","[0.1712516993284225, 0.0769515633583068, 0.357617974281311]","[-213.9375, -65.75, -19.5625]","[-3.5635998249053955, -3.2746999263763428, 2.7799999713897705]","[-0.5824862122535706, 0.8400095105171204, 0.5701292753219604]","[2.6613998413085938, 7.001199722290039, -6.329999923706055]",,,carving_short,expert,blue,
2024-03-17 13:08:29.600,"[-1.0491487979888916, 8.055588722229004, -1.7116721868515017]","[-0.1117689982056617, 0.3582110106945038, 0.50593501329422, 0.7766730189323425, 1.2379896640777588, -0.7835776805877686, 0.8583344221115112]","[-29.6875, -18.0, 30.8125]","[0.3798359930515289, 0.1472185254096985, -0.3115063607692718]","[-213.0, -66.1875, -19.5]","[-3.309000015258789, 1.129499912261963, 4.869199752807617]","[0.0017627825727686, 0.0657989159226417, 0.0183957703411579]","[2.2695000171661377, 6.92170000076294, -6.565700054168701]",,,carving_short,expert,blue,
2024-03-17 13:08:29.700,"[1.2621561288833618, 8.605957984924316, -4.600822448730469]","[-0.1005920022726059, 0.3578670024871826, 0.5094320178031921, 0.7760729789733887, 1.2415368556976318, -0.8019534945487976, 0.8464860916137695]","[-29.0, -18.25, 30.5625]","[0.2475924044847488, 0.4136081337928772, 0.2405936419963836]","[-212.5, -66.5, -19.8125]","[-0.9591999650001526, 1.5424000024795532, 1.8628000020980835]","[0.3526786863803863, 0.4581838250160217, -0.1351931989192962]","[2.204699993133545, 7.048199653625488, -6.452300071716309]",,,carving_short,expert,blue,
2024-03-17 13:08:29.800,"[2.7302231788635254, 10.501447677612305, -5.147208213806152]","[-0.0786259993910789, 0.3675099909305572, 0.5193120241165161, 0.767507016658783, 1.2839428186416626, -0.8321187496185303, 0.8422767519950867]","[-27.875, -19.5625, 31.4375]","[0.4850793480873108, 0.6673091650009155, 0.5282937288284302]","[-211.25, -67.1875, -18.8125]","[0.8579999804496765, 3.2423999309539795, 1.1943999528884888]","[0.3682295680046081, 0.3750014305114746, 0.3925071060657501]","[1.8680999279022217, 7.2505998611450195, -6.333099842071533]",,,carving_short,expert,blue,
2024-03-17 13:08:29.900,"[0.4186501204967499, 7.50792932510376, -4.499452114105225]","[-0.0592890009284019, 0.3753040134906769, 0.5493279695510864, 0.7442240118980408, 1.3888319730758667, -0.8837824463844299, 0.9096183776855468]","[-23.875, -22.125, 31.3125]","[0.7607715725898743, 0.7714529633522034, 1.56255841255188]","[-207.5625, -70.125, -19.125]","[-0.7233999967575073, -0.089599996805191, 1.625499963760376]","[0.482217013835907, 0.3382971584796905, 0.9035569429397584]","[1.125499963760376, 7.581899642944336, -6.116899967193604]",,,carving_short,expert,blue,
2024-03-17 13:08:30.000,"[0.4151449799537658, 7.131723403930664, -4.263651847839356]","[-0.0458969995379447, 0.3710269927978515, 0.6076030135154724, 0.7007489800453186, 1.594559907913208, -0.9570503830909728, 1.1074209213256836]","[-18.9375, -27.1875, 31.125]","[0.8655960559844971, -0.1827534288167953, 2.6882781982421875]","[-202.625, -75.0, -19.0]","[0.536300003528595, -0.8971999883651733, 1.3902000188827517]","[0.8363966941833496, 0.2681174874305725, 1.6880998611450195]","[-0.1341999918222427, 8.016900062561035, -5.646299839019775]",,,carving_short,expert,blue,
2024-03-17 13:08:30.100,"[-0.691359281539917, 5.5547966957092285, -3.57861328125]","[-0.0502189993858337, 0.3392919898033142, 0.6941099762916565, 0.6329060196876526, 1.941137790679932, -1.0056960582733154, 1.5121655464172363]","[-11.3125, -33.1875, 28.625]","[0.3686659038066864, -1.3736963272094729, 2.3275187015533447]","[-195.4375, -81.0, -21.5]","[1.2142000198364258, -2.7314000129699707, 1.3257999420166016]","[0.8496437072753906, -0.0622209869325161, 2.6144683361053467]","[-1.9005999565124512, 8.281999588012695, -4.895400047302246]",,,carving_short,expert,blue,"[45.0, 1.5, 21.134174346923828, 9.515000343322754, 5.071834564208984, 109.96985626220705, 2556.125987556763, 6.6517514, 44.5587683]"
2024-03-17 13:08:30.200,"[-1.0105446577072144, 10.02027988433838, -6.130190372467041]","[-0.0929609984159469, 0.2857030034065246, 0.7773550152778625, 0.5526760220527649, 2.2502222061157227, -0.9375868439674376, 1.962394952774048]","[-4.8125, -36.875, 24.3125]","[1.5696618556976318, -0.9463000893592834, 2.558146476745605]","[-188.5, -84.5, -25.5]","[2.645900011062622, 2.107100009918213, -1.614799976348877]","[1.2595343589782717, -0.9908583164215088, 2.1613807678222656]","[-3.646199941635132, 7.905399799346924, -4.5142998695373535]",left,STOP,carving_short,expert,blue,
2024-03-17 13:08:30.300,"[0.0006703764665871, 4.604269981384277, -2.99281907081604]","[-0.1392779946327209, 0.197405993938446, 0.8415039777755737, 0.4832209944725036, 2.431113719940185, -0.8606648445129395, 2.3434112071990967]","[0.8125, -40.375, 19.1875]","[1.1190701723098757, -0.5101422667503357, 0.5581388473510742]","[-183.125, -88.1875, -30.6875]","[4.846399784088135, -2.846599817276001, 1.1883999109268188]","[1.6912065744400024, -0.7405955791473389, 1.6465436220169067]","[-4.846399784088135, 7.436100006103516, -4.169600009918213]",right,START,carving_short,expert,blue,
2024-03-17 13:08:30.400,"[2.6694676876068115, 14.553796768188477, -5.728127479553223]","[-0.1545069962739944, 0.1134010031819343, 0.8710610270500183, 0.452237993478775, 2.5414602756500244, -0.8523225784301758, 2.603566884994507]","[3.3125, -41.875, 15.0625]","[0.1707804650068283, -0.4689350724220276, 0.5667956471443176]","[-180.25, -89.9375, -34.9375]","[7.984699726104736, 7.160599708557129, -2.071699857711792]","[0.6326120495796204, -0.855438232421875, 0.5344547033309937]","[-5.327099800109863, 7.382499694824219, -3.6454999446868896]",,,carving_short,expert,blue,
2024-03-17 13:08:30.500,"[1.743093729019165, 14.143305778503418, -3.08005428314209]","[-0.1747239977121353, 0.0943259969353675, 0.880482017993927, 0.4304929971694946, 2.5414650440216064, -0.8112096190452576, 2.6639654636383057]","[5.8125, -41.75, 14.8125]","[1.0950894355773926, 0.5075766444206238, 0.3439520299434662]","[-178.125, -89.9375, -35.5625]","[7.308799743652344, 7.020299911499023, 0.7441999912261963]","[-0.0711047127842903, 0.1457524448633194, 0.8766788840293884]","[-5.572999954223633, 7.110999584197998, -3.813699960708618]",,,carving_short,expert,blue,
2024-03-17 13:08:30.600,"[-5.077680587768555, 6.336762428283691, -5.728156089782715]","[-0.1549070030450821, 0.0687730014324188, 0.8976669907569885, 0.4067769944667816, 2.648104190826416, -0.7880702614784241, 2.779975175857544]","[8.8125, -42.4375, 12.125]","[-0.3846705555915832, 0.0160046685487031, 0.0447327867150306]","[-174.5, -90.5625, -38.0]","[1.0204999446868896, -0.6274999976158142, -2.441200017929077]","[0.6480581760406494, -0.0332136154174804, 0.2842094004154205]","[-6.09060001373291, 6.9527997970581055, -3.276000022888184]",,,carving_short,expert,blue,
2024-03-17 13:08:30.700,"[0.5643133521080017, 8.716397285461426, -5.375509738922119]","[-0.207515999674797, 0.0227850005030632, 0.8811780214309692, 0.4241969883441925, 2.53419828414917, -0.8302937746047974, 2.8153626918792725]","[8.3125, -41.75, 13.5625]","[1.253146409988403, -1.1176215410232544, -0.7517831325531006]","[-174.5, -90.0, -37.625]","[5.981899738311768, 1.4696999788284302, -1.5880999565124512]","[-1.4629873037338257, -2.232328414916992, 0.0670730024576187]","[-5.432699680328369, 7.238499641418457, -3.776000022888184]",,,carving_short,expert,blue,
2024-03-17 13:08:30.800,"[-3.069308996200561, 17.141891479492188, -3.1994102001190186]","[-0.213577002286911, -0.0251240003854036, 0.8719459772109985, 0.4398429989814758, 2.550334453582764, -0.8911108374595642, 2.9103286266326904]","[5.125, -43.5, 11.25]","[0.676437258720398, -0.7624994516372681, -0.0546288043260574]","[-177.6875, -91.4375, -38.5625]","[2.057800054550171, 9.504799842834473, 0.2387999892234802]","[1.194416046142578, -0.6650751829147339, -0.3176150023937225]","[-5.117499828338623, 7.627299785614014, -3.4357998371124268]",,,carving_short,expert,blue,
2024-03-17 13:08:30.900,"[-1.3971412181854248, 13.06778335571289, -4.484952449798584]","[-0.2492969930171966, -0.033865001052618, 0.8659949898719788, 0.4321529865264892, 2.465930223464966, -0.8716152906417847, 2.895457983016968]","[4.0, -43.125, 8.5]","[-0.0537910461425781, -0.3987728357315063, -0.0474380478262901]","[-179.5, -91.5625, -41.875]","[3.5419998168945312, 5.556699752807617, -0.5342999696731567]","[-0.2170491516590118, -0.8952317237854004, 0.2985211014747619]","[-4.924699783325195, 7.505699634552002, -3.947199821472168]",,,carving_short,expert,blue,
2024-03-17 13:08:31.000,"[-0.5690634250640869, 6.957425594329834, 1.2553660869598389]","[-0.2571490108966827, -0.038341000676155, 0.8619449734687805, 0.4352630078792572, 2.443778276443481, -0.8789418339729309, 2.891714572906494]","[3.6875, -44.1875, 8.6875]","[0.1896649301052093, 0.0586256086826324, -0.0646469965577125]","[-179.3125, -92.375, -41.625]","[4.234899997711182, -0.6085999608039856, 5.265399932861328]","[-0.0489215776324272, -0.4060682952404022, -0.1162738353013992]","[-4.793799877166748, 7.551699638366699, -4.019899845123291]",,,carving_short,expert,blue,
2024-03-17 13:08:31.100,"[-0.9954611659049988, 9.542080879211426, -6.803229331970215]","[-0.2672719955444336, -0.0308759994804859, 0.8594939708709717, 0.4346039891242981, 2.40743088722229, -0.8688449263572693, 2.8603105545043945]","[2.75, -43.9375, 8.9375]","[-0.4449716806411743, -0.0738274306058883, 0.097302109003067]","[-180.0, -92.1875, -41.375]","[3.7202999591827393, 2.043799877166748, -2.5535998344421387]","[0.015114551410079, 0.2964965403079986, -0.1807637512683868]","[-4.700999736785889, 7.488199710845947, -4.242300033569336]",,,carving_short,expert,blue,"[45.0, 1.5, 25.65785026550293, 10.32800006866455, 5.881247997283936, 108.38526916503906, 2555.811133517884, 6.6518371, 44.5587458]"
2024-03-17 13:08:31.200,"[-2.593025922775269, 10.275434494018556, -7.310886383056641]","[-0.2890549898147583, -0.0242129992693662, 0.8471959829330444, 0.4451049864292145, 2.321327209472656, -0.8759937882423401, 2.796974897384644]","[2.875, -43.9375, 10.375]","[-0.5530250072479248, -0.6198362112045288, -0.421619176864624]","[-180.3125, -92.1875, -40.0]","[1.702899932861328, 2.724400043487549, -2.7142999172210693]","[-0.2760412693023681, -0.3585953414440155, -0.2215695530176162]","[-4.282099723815918, 7.533199787139893, -4.591599941253662]",,,carving_short,expert,blue,
2024-03-17 13:08:31.300,"[-1.4844433069229126, 12.617270469665527, -3.779764652252197]","[-0.3209100067615509, -0.0179639998823404, 0.8138970136642456, 0.4840079843997955, 2.1433494091033936, -0.9262875318527222, 2.6541340351104736]","[0.0, -43.875, 11.0]","[-0.3524692356586456, -1.0540043115615845, -1.1874696016311646]","[-188.5, -91.25, -38.9375]","[1.7111999988555908, 4.771899700164795, 1.1863999366760254]","[-0.0020943949930369, -0.3399377763271332, -0.8465545177459717]","[-3.1920998096466064, 7.839399814605713, -4.952199935913086]",right,STOP,carving_short,expert,blue,
2024-03-17 13:08:31.400,"[-0.667656660079956, 6.559078216552734, -6.868936061859131]","[-0.3373560011386871, -0.0117840003222227, 0.758866012096405, 0.5569319725036621, 1.866598129272461, -1.0221365690231323, 2.385334253311157]","[-6.0625, -42.9375, 11.375]","[0.3859620988368988, -0.2623578906059265, -2.084254741668701]","[-197.3125, -89.75, -40.3125]","[0.8337999582290649, -1.826200008392334, -1.9721999168396]","[0.090268425643444, -0.7409795522689819, -1.562645673751831]","[-1.490899920463562, 8.367199897766113, -4.892399787902832]",left,START,carving_short,expert,blue,
2024-03-17 13:08:31.500,"[-1.0351283550262451, 5.397526741027832, -2.8938426971435547]","[-0.3345859944820404, 0.0270189996808767, 0.7030259966850281, 0.6269559860229492, 1.550873637199402, -1.042074203491211, 2.005397081375122]","[-14.9375, -41.1875, 10.0]","[-0.3717202246189117, 0.5146801471710205, -1.6676446199417114]","[-204.3125, -86.625, -39.5]","[-1.1281999349594116, -3.083699941635132, 2.062599897384644]","[0.3156951665878296, 1.74532924575e-05, -2.1045353412628174]","[0.0984999984502792, 8.467499732971191, -4.945699691772461]",,,carving_short,expert,blue,
2024-03-17 13:08:31.600,"[0.024650702252984, 5.08577299118042, -6.24993896484375]","[-0.3525820076465606, 0.0997940003871917, 0.658715009689331, 0.6571300029754639, 1.3844987154006958, -0.9195874333381652, 1.7640955448150637]","[-21.5625, -37.9375, 11.25]","[-1.3883745670318604, 0.082798421382904, -1.3311800956726074]","[-209.6875, -80.8125, -33.9375]","[-1.091099977493286, -2.719799995422364, -0.3955999910831451]","[-1.0744072198867798, 0.1818807572126388, -1.3671512603759766]","[1.1008999347686768, 7.799699783325195, -5.841399669647217]",,,carving_short,expert,blue,
2024-03-17 13:08:31.700,"[-0.5096872448921204, 15.157307624816896, -7.175662040710449]","[-0.3602829873561859, 0.1924140006303787, 0.6038939952850342, 0.6844589710235596, 1.2964800596237185, -0.758776843547821, 1.5556148290634155]","[-27.0, -31.8125, 16.6875]","[-1.623313307762146, 0.7030535340309143, -0.9427919387817384]","[-214.4375, -74.9375, -29.625]","[-2.427799940109253, 8.394100189208984, -0.3181999921798706]","[-0.7618362307548523, 0.5754175782203674, -2.17035174369812]","[1.92769992351532, 6.747299671173096, -6.850299835205078]",,,carving_short,expert,blue,
