time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-17 15:47:32.000,"[1.6530717611312866, 9.39394760131836, 6.027757167816162]","[0.7044000029563904, 0.4881319999694824, 0.4752230048179626, 0.1992709934711456, -1.420799732208252, -1.069742202758789, 2.750267267227173]","[-5.8125, -50.625, -8.3125]","[-0.5077337026596069, -0.174340933561325, -0.7743502259254456]","[-43.6875, -41.8125, -4.1875]","[1.4142999649047852, -0.4811999797821045, -0.1074000000953674]","[-0.3688578903675079, -0.1789486110210418, -0.8427496552467346]","[0.7038999795913696, 8.601200103759766, 4.657700061798096]",right,START,skidded_long,intermediate,blue
2024-02-17 15:47:32.100,"[0.708358108997345, 7.155052661895752, 6.099506378173828]","[0.706682026386261, 0.4735899865627289, 0.4721769988536834, 0.2309989929199218, -1.3397495746612549, -1.0918909311294556, 2.876452684402466]","[-9.1875, -50.5625, -6.3125]","[-0.2410299628973007, -0.3366042077541351, -0.4201531112194061]","[-47.0625, -41.75, -2.1875]","[-0.7012999653816223, -0.7010999917984009, 0.5239999890327454]","[-0.2482730895280838, -0.3091327250003814, -0.4287924766540527]","[1.0347999334335327, 8.703399658203125, 4.398799896240234]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.200,"[0.3391147255897522, 7.719107627868652, 3.759653329849243]","[0.7028149962425232, 0.4559960067272186, 0.4839029908180237, 0.2528930008411407, -1.3186640739440918, -1.0880275964736938, 2.9556095600128174]","[-10.125, -50.5, -6.0625]","[-0.0373151376843452, -0.6326818466186523, -0.3433062732219696]","[-48.0, -41.6875, -1.9375]","[-1.5376999378204346, 0.4930999875068664, -0.1229999959468841]","[0.0304385423660278, -0.491990864276886, -0.3779161274433136]","[1.135599970817566, 8.685799598693848, 4.408599853515625]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.300,"[0.3547057807445526, 7.450017929077148, 5.390937805175781]","[0.6937580108642578, 0.437604010105133, 0.5019559860229492, 0.2743000090122223, -1.3279112577438354, -1.0812698602676392, 3.0163824558258057]","[-11.5, -50.125, -7.375]","[-0.1023635566234588, -0.6658605337142944, -0.2987654507160187]","[-49.375, -41.3125, -3.25]","[-0.4910999834537506, 1.406599998474121, -0.7590000033378601]","[-0.0571595318615436, -0.6197489500045776, -0.3481582701206207]","[1.10889995098114, 8.654899597167969, 4.4756999015808105]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.400,"[-1.5264281034469604, 7.583614826202393, 5.196059703826904]","[0.6851069927215576, 0.4298360049724579, 0.5151950120925903, 0.283623993396759, -1.358445405960083, -1.078417181968689, 3.026528835296631]","[-11.0625, -49.8125, -7.25]","[-0.0853989571332931, -0.2060535699129104, 0.0231430660933256]","[-48.9375, -41.0, -3.125]","[-1.879199981689453, 1.919999957084656, -0.7756999731063843]","[-0.1789835095405578, -0.3169692456722259, 0.0490262992680072]","[0.9769999980926514, 8.64169979095459, 4.531599998474121]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.500,"[0.7063660621643066, 8.38248348236084, 4.938624858856201]","[0.6916090250015259, 0.4254890084266662, 0.5110020041465759, 0.2819759845733642, -1.3279272317886353, -1.069009780883789, 3.048279285430908]","[-12.375, -49.875, -7.4375]","[0.0068067838437855, 0.0421846061944961, -0.1452986598014831]","[-50.25, -41.0625, -3.3125]","[-1.389299988746643, -0.5562999844551086, 0.579800009727478]","[0.0090233525261282, 0.0957662165164947, -0.1494700014591217]","[1.1342999935150146, 8.597700119018555, 4.578399658203125]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.600,"[0.0694510042667388, 9.435548782348633, 5.404728412628174]","[0.691415011882782, 0.4177590012550354, 0.5142099857330322, 0.2881140112876892, -1.316741943359375, -1.0633573532104492, 3.077303409576416]","[-12.5625, -50.0625, -6.75]","[0.0573689714074134, -0.3156428039073944, -0.1270250678062439]","[-50.4375, -41.25, -2.625]","[-2.227299928665161, 1.4905999898910522, 0.7222999930381775]","[0.0653625801205635, -0.1976585388183593, -0.1580744683742523]","[1.19760000705719, 8.570899963378906, 4.612400054931641]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.700,"[-1.0169707536697388, 10.275300979614258, 3.3078863620758057]","[0.688435971736908, 0.409186989068985, 0.5239289999008179, 0.2900319993495941, -1.3353255987167358, -1.049773335456848, 3.082427740097046]","[-13.0625, -49.875, -8.5625]","[-0.0144862327724695, -0.3222401440143585, -0.0922581031918525]","[-50.9375, -41.0625, -4.4375]","[-1.1583999395370483, 1.2913999557495115, -0.8827999830245972]","[0.0014486232539638, -0.295501708984375, -0.0707905516028404]","[1.138800024986267, 8.505399703979492, 4.746699810028076]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.800,"[-0.3596090972423553, 10.69283962249756, 4.580490589141846]","[0.676010012626648, 0.4119170010089874, 0.5332670211791992, 0.2982609868049621, -1.3797872066497805, -1.0654884576797483, 3.067012548446656]","[-12.9375, -49.5625, -7.625]","[0.0061435587704181, -0.2406459897756576, 0.1175130158662796]","[-50.8125, -40.75, -3.5]","[-0.5971999764442444, 0.6468999981880188, 0.8504999876022339]","[-0.0141371665522456, -0.247627317905426, 0.13692107796669]","[0.901199996471405, 8.580999374389648, 4.660799980163574]",,,skidded_long,intermediate,blue
2024-02-17 15:47:32.900,"[0.0165104139596223, 10.986321449279783, 4.791315078735352]","[0.6693080067634583, 0.4097959995269775, 0.5416939854621887, 0.3010970056056976, -1.4106438159942627, -1.0649492740631104, 3.05705189704895]","[-12.0625, -49.875, -7.9375]","[0.2086890190839767, -0.0787143483757972, -0.0071733030490577]","[-49.9375, -41.0625, -3.8125]","[0.3797999918460846, 0.6789000034332275, 0.8497999906539917]","[0.2380454540252685, -0.0780685767531395, 0.0219736956059932]","[0.7576999664306641, 8.578499794006348, 4.690899848937988]",,,skidded_long,intermediate,blue
