time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-24 17:09:11.500,"[0.4753256440162658, 8.35336971282959, 2.5566720962524414]","[0.1960919946432113, -0.0995680019259452, 0.6217910051345825, 0.7516700029373169, -1.0867215394973757, -1.1100351810455322, -1.2270463705062866]","[-30.125, -31.875, -13.3125]","[0.1313534826040268, -0.3849498331546783, -0.3095515966415405]","[-62.9375, -4.25, 44.0]","[-0.1405999958515167, 3.4089999198913574, -0.4378999769687652]","[-0.0773529931902885, -0.2580818235874176, -0.3297450542449951]","[1.9940999746322632, 8.76099967956543, 3.929099798202514]",,,snowplow,beginner,blue
2024-02-24 17:09:11.600,"[1.783661127090454, 9.535856246948242, 3.3800861835479736]","[0.1820829957723617, -0.1109469980001449, 0.6132050156593323, 0.7606009840965271, -1.0530080795288086, -1.1026484966278076, -1.1564759016036987]","[-30.375, -31.3125, -14.25]","[-0.3851068913936615, -0.4462108612060547, -0.3237236738204956]","[-63.1875, -3.6875, 43.0625]","[-2.295099973678589, 0.4855999946594238, -1.6102999448776243]","[0.1149124801158905, -0.0475253164768219, -0.0142244333401322]","[2.15779995918274, 8.77180004119873, 3.8167998790740967]",,,snowplow,beginner,blue
2024-02-24 17:09:11.700,"[1.3801711797714231, 9.190564155578612, 2.905746936798096]","[0.1790039986371994, -0.1195179969072341, 0.6102030277252197, 0.7624459862709045, -1.0558772087097168, -1.0923370122909546, -1.1424962282180786]","[-30.5, -30.6875, -14.375]","[0.0176627319306135, 0.0239808242768049, -0.1219810619950294]","[-63.3125, -3.0625, 42.9375]","[-2.5628998279571533, 1.3586000204086304, -3.453199863433838]","[-0.0774577111005783, -0.1928937882184982, -0.0841423198580741]","[2.229399919509888, 8.693099975585938, 3.953299999237061]",,,snowplow,beginner,blue
2024-02-24 17:09:11.800,"[1.8058888912200928, 9.08486557006836, 3.960517168045044]","[0.1711370050907135, -0.1369919925928115, 0.6088119745254517, 0.7624250054359436, -1.083423137664795, -1.078940987586975, -1.1332145929336548]","[-30.1875, -29.9375, -16.25]","[0.1287180334329605, -0.2879793345928192, -0.0087440991774201]","[-63.0, -2.3125, 41.0625]","[-2.6122000217437744, 0.5429999828338623, -2.7246999740600586]","[-0.2426880300045013, -0.600916862487793, -0.1620712727308273]","[2.21019983291626, 8.694799423217773, 3.960399866104126]",,,snowplow,beginner,blue
2024-02-24 17:09:11.900,"[1.5332658290863037, 9.49773120880127, 4.76177978515625]","[0.1536020040512085, -0.1563549935817718, 0.6103219985961914, 0.7612259984016418, -1.1197243928909302, -1.0782952308654783, -1.1157100200653076]","[-28.75, -31.0, -18.125]","[-0.136537104845047, -0.3948458433151245, 0.0791506841778755]","[-61.5625, -3.375, 39.1875]","[1.222000002861023, -0.2401999980211258, -3.235499858856201]","[0.0238586515188217, -0.3821223974227905, 0.1549677848815918]","[2.08270001411438, 8.615099906921387, 4.196599960327148]",,,snowplow,beginner,blue
2024-02-24 17:09:12.000,"[1.500685691833496, 9.41132926940918, 0.5256804823875427]","[0.1375460028648376, -0.1723710000514984, 0.6178539991378784, 0.7547339797019958, -1.1802555322647097, -1.0869516134262085, -1.1295230388641355]","[-28.0, -31.1875, -17.5625]","[-0.1754928529262542, -0.5234940648078918, -0.1323657631874084]","[-60.8125, -3.5625, 39.75]","[0.0930999964475631, 0.3580999970436096, -0.1074000000953674]","[-0.2903180718421936, -0.3548952341079712, -0.0260403119027614]","[1.7798999547958374, 8.644299507141113, 4.275199890136719]",,,snowplow,beginner,blue
2024-02-24 17:09:12.100,"[2.232028007507324, 9.769826889038086, 4.1360697746276855]","[0.1125969961285591, -0.174246996641159, 0.6213259696960449, 0.7555879950523376, -1.1777629852294922, -1.119066834449768, -1.0882748365402222]","[-27.9375, -31.0625, -18.4375]","[-0.1389805674552917, -0.3486818671226501, -0.3405835628509521]","[-60.75, -3.4375, 38.875]","[-2.201299905776977, 0.5825999975204468, 1.1532000303268433]","[-0.086795225739479, -0.4864232540130615, -0.3626095950603485]","[1.6226999759674072, 8.811999320983887, 3.9853999614715576]",,,snowplow,beginner,blue
2024-02-24 17:09:12.200,"[1.5635861158370972, 10.09131145477295, 5.374436855316162]","[0.0876159965991973, -0.1881050020456314, 0.6107289791107178, 0.7641649842262268, -1.1359387636184692, -1.1207647323608398, -0.9900214672088624]","[-27.9375, -30.3125, -18.3125]","[-0.4721464812755584, -0.3705159425735473, -0.1137780100107193]","[-60.75, -2.6875, 39.0]","[-2.795399904251098, 2.1512999534606934, -0.1486999988555908]","[-0.2088286429643631, -0.5276130437850952, -0.1378635615110397]","[1.7853999137878418, 8.812399864196777, 3.9144999980926514]",,,snowplow,beginner,blue
2024-02-24 17:09:12.300,"[1.5150796175003052, 10.645482063293455, 1.1318923234939575]","[0.0601520016789436, -0.1947139948606491, 0.6096739768981934, 0.7660049796104431, -1.1180928945541382, -1.144737720489502, -0.9230837821960448]","[-27.5, -30.75, -18.5625]","[-0.303983986377716, -0.4976282715797424, -0.1578824818134308]","[-60.3125, -3.125, 38.75]","[-1.4282000064849854, 1.4815999269485474, -2.247900009155273]","[-0.4075169265270233, -0.4593183100223541, -0.0678583979606628]","[1.8204998970031736, 8.893699645996094, 3.709100008010864]",,,snowplow,beginner,blue
2024-02-24 17:09:12.400,"[1.7591348886489868, 11.36570644378662, 4.301691055297852]","[0.0252889990806579, -0.2018619924783706, 0.6073949933052063, 0.7679070234298706, -1.0833182334899902, -1.1748603582382202, -0.8279391527175903]","[-26.8125, -31.0625, -19.0625]","[-0.1962273716926574, -0.6265382766723633, -0.2006604969501495]","[-59.625, -3.4375, 38.25]","[0.2671000063419342, 0.091399997472763, -0.5825999975204468]","[-0.3972718417644501, -0.4304854571819305, -0.2308023422956466]","[1.7824000120162964, 9.02869987487793, 3.3873000144958496]",,,snowplow,beginner,blue
