TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[0.25405353307724, 9.386621475219728, -4.545458793640137]","[0.1510690003633499, 0.4451070129871368, 0.5268959999084473, 0.7081220149993896, 1.46818208694458, -1.077331781387329, 0.5687164664268494]","[-15.9375, -27.6875, 33.6875]","[0.0617672018706798, 0.3412118554115295, 0.0332136154174804]","[-200.1875, -74.75, -16.75]","[-0.2305999994277954, 0.748199999332428, 0.089999996125698]","[0.0442266426980495, 0.32719686627388, 0.189560204744339]","[0.4757999777793884, 8.636699676513672, -4.620699882507324]",left,START,
"[0.2863465249538421, 8.9921236038208, -4.054686069488525]","[0.1591349989175796, 0.4620499908924103, 0.5330590009689331, 0.6906750202178955, 1.5607329607009888, -1.083063721656799, 0.6212936639785767]","[-14.1875, -27.4375, 33.875]","[0.1697681695222854, 0.6729989647865295, 0.1440594792366027]","[-198.25, -74.4375, -16.625]","[0.2282999902963638, 0.319599986076355, 0.545199990272522]","[-0.0180990640074014, 0.3746174573898315, -0.0489215776324272]","[0.0461999997496604, 8.663100242614746, -4.59529972076416]",,,
"[-1.0426747798919678, 18.27876281738281, -8.813267707824707]","[0.1656090021133422, 0.4799860119819641, 0.525439977645874, 0.6827139854431152, 1.59768807888031, -1.0683984756469729, 0.6161693334579468]","[-12.5, -27.4375, 34.875]","[-0.1197121366858482, 0.3355570137500763, -0.1849525421857834]","[-196.6875, -74.5, -15.5]","[-0.9027000069618224, 9.67490005493164, -4.085899829864502]","[0.3111223876476288, 0.4744502902030945, -0.4411494135856628]","[-0.1269000023603439, 8.594799995422363, -4.720399856567383]",,,
"[-0.6414737105369568, 8.25278377532959, -3.4099369049072266]","[0.1762419939041137, 0.491344004869461, 0.5099970102310181, 0.6836820244789124, 1.57695734500885, -1.05630362033844, 0.557097852230072]","[-12.125, -26.875, 35.0625]","[-0.2852391600608825, 0.3302162885665893, -0.099518671631813]","[-196.0, -73.75, -15.3125]","[-0.5977999567985535, -0.2994999885559082, 1.4226999282836914]","[-0.085154615342617, 0.4388455748558044, -0.7294428944587708]","[-0.0296999998390674, 8.537099838256836, -4.825599670410156]",,,
"[2.114147186279297, 11.15776538848877, -5.648036479949951]","[0.1991010010242462, 0.4969330132007599, 0.4852289855480194, 0.6913520097732544, 1.4996039867401123, -1.0527894496917725, 0.4312050342559814]","[-12.6875, -25.6875, 35.75]","[-0.0893085002899169, 0.4455476403236389, -0.7882255911827087]","[-196.5625, -72.875, -14.5625]","[1.7531999349594116, 2.629999876022339, -0.7953000068664551]","[0.0127758104354143, 0.2994286715984344, -0.8437968492507935]","[0.3452999889850616, 8.520099639892578, -4.843400001525879]",,,
"[-1.469446063041687, 5.800192832946777, -2.4286208152771]","[0.2178449928760528, 0.5049880146980286, 0.4506790041923523, 0.7031480073928833, 1.409216046333313, -1.0232535600662231, 0.2899135649204254]","[-13.875, -24.4375, 36.5625]","[-0.0968657732009887, 0.3954043388366699, -1.0384883880615234]","[-197.6875, -71.8125, -13.875]","[-2.282399892807007, -2.586999893188477, 2.6164000034332275]","[0.1496968865394592, 0.3234618604183197, -1.192967414855957]","[0.8212999701499939, 8.372900009155273, -5.038700103759766]",,,
"[-3.9284348487854, 5.066849231719971, -6.351060390472412]","[0.2642450034618377, 0.5097770094871521, 0.406019002199173, 0.7109490036964417, 1.2838947772979736, -1.009807825088501, 0.0719178393483161]","[-13.5, -23.25, 36.625]","[0.1010371074080467, 0.6550918817520142, -1.1935957670211792]","[-197.5625, -70.4375, -13.5]","[-5.3989996910095215, -3.243299961090088, -1.3407999277114868]","[0.2171887755393982, 0.507524311542511, -0.9466142058372498]","[1.4763000011444092, 8.30359935760498, -5.003999710083008]",,,"[45.0, 1.5, 23.935667037963867, 11.625, 4.175434589385986, 78.23110961914062, 2273.261560340412, 6.6625109, 44.5628097]"
"[-0.7883627414703369, 18.38782501220703, -4.98516845703125]","[0.29932901263237, 0.5170869827270508, 0.3778640031814575, 0.7072759866714478, 1.229109525680542, -1.004822015762329, -0.0609050914645195]","[-12.125, -22.5, 38.1875]","[-0.2178869098424911, 0.5368283987045288, -0.2619041204452514]","[-196.625, -69.5, -12.125]","[-2.546499967575073, 10.109899520874023, -0.0173000004142522]","[-0.5019567012786865, 0.7982263565063477, 0.368561178445816]","[1.7619999647140503, 8.277400016784668, -4.954599857330322]",,,
"[1.131949782371521, 8.566003799438477, -0.4565072357654571]","[0.2984049916267395, 0.5279930233955383, 0.3746539950370788, 0.7012919783592224, 1.2676182985305786, -0.9983810782432556, -0.0423058569431304]","[-11.9375, -22.8125, 37.75]","[0.5661150217056274, -0.1482133567333221, 0.0116064399480819]","[-196.0, -70.0, -12.5]","[-0.4580999910831451, 0.3176999986171722, 4.628299713134766]","[0.2550798654556274, 0.0505621880292892, 0.1598896086215973]","[1.5857999324798584, 8.243399620056152, -5.0696001052856445]",left,STOP,
"[0.7320032119750977, 9.31015968322754, -4.672744274139404]","[0.2933120131492615, 0.5274609923362732, 0.397471010684967, 0.691208004951477, 1.3189940452575684, -1.0331015586853027, 0.0269905291497707]","[-10.8125, -24.8125, 36.6875]","[0.2089508175849914, -0.32356658577919, 0.5599365234375]","[-194.8125, -71.6875, -13.5625]","[-0.525600016117096, 0.8835999965667725, 0.2058999985456466]","[-0.0113620935007929, -0.3968704044818878, 1.0597639083862305]","[1.2512999773025513, 8.422800064086914, -4.864099979400635]",right,START,
"[1.1833677291870115, 7.918362140655518, -2.821174144744873]","[0.2593980133533478, 0.5210040211677551, 0.4471519887447357, 0.6792060136795044, 1.4511003494262695, -1.0710651874542236, 0.2392749041318893]","[-10.5625, -26.1875, 36.375]","[0.3649657964706421, -0.5899561643600464, 1.129262924194336]","[-194.5625, -73.1875, -13.875]","[0.6155999898910522, -0.7031999826431274, 1.8509999513626096]","[0.1666789501905441, -0.6619859337806702, 1.3173047304153442]","[0.5611000061035156, 8.607399940490723, -4.665499687194824]",,,
"[0.1539950519800186, 7.936893463134766, -2.929037570953369]","[0.2180909961462021, 0.5138469934463501, 0.5032010078430176, 0.6596850156784058, 1.6459054946899414, -1.0930625200271606, 0.5223718285560608]","[-8.875, -27.875, 34.8125]","[0.289777010679245, -0.5252742767333984, 1.3935232162475586]","[-192.9375, -74.6875, -15.0625]","[0.48539999127388, -0.7849000096321106, 1.583400011062622]","[0.0977908000349998, -0.7003307938575745, 1.0824706554412842]","[-0.3382999897003174, 8.708700180053711, -4.495999813079834]",,,
"[2.5220329761505127, 8.666617393493652, -1.7763731479644775]","[0.1779959946870803, 0.4981220066547394, 0.5467039942741394, 0.6490809917449951, 1.7758748531341553, -1.0908892154693604, 0.7466689944267273]","[-8.0, -29.0625, 34.4375]","[0.1653350442647934, -0.6880611777305603, 0.8313352465629578]","[-192.125, -75.9375, -15.8125]","[3.432499885559082, -0.0493999980390071, 2.66759991645813]","[0.0365995541214942, -0.6435378193855286, 0.9766513109207152]","[-0.921999990940094, 8.698800086975098, -4.432799816131592]",,,
"[2.028176069259644, 8.770630836486816, -2.258134603500366]","[0.1483819931745529, 0.4807339906692505, 0.5770800113677979, 0.6433150172233582, 1.8500497341156008, -1.0868228673934937, 0.8981063365936279]","[-8.625, -30.375, 33.375]","[0.3837106227874756, -0.7002784609794617, 0.7251144647598267]","[-192.5625, -77.25, -16.875]","[3.277899980545044, 0.0768999978899955, 2.140499830245972]","[0.1619141995906829, -0.7638433575630188, 0.9010785818099976]","[-1.257699966430664, 8.680399894714355, -4.386199951171875]",,,
"[3.027467966079712, 11.004823684692385, -0.3977822661399841]","[0.0997420027852058, 0.4544070065021515, 0.6167070269584656, 0.6350089907646179, 1.9360113143920896, -1.063118815422058, 1.102458953857422]","[-8.625, -31.0625, 31.9375]","[0.0089011788368225, -1.09912109375, 1.1131011247634888]","[-192.625, -78.125, -18.25]","[4.723099708557129, 2.433199882507324, 4.060699939727783]","[0.072989672422409, -1.3841333389282229, 1.344025731086731]","[-1.702699899673462, 8.569799423217773, -4.453000068664551]",,,
"[-1.2237530946731567, 4.5779242515563965, -6.141673564910889]","[0.0244580004364252, 0.4147109985351562, 0.6688299775123596, 0.6165080070495605, 2.0333118438720703, -1.0064979791641235, 1.3748317956924438]","[-8.9375, -32.375, 30.625]","[-0.0004014257283415, -1.2128641605377195, 1.6228594779968262]","[-192.9375, -79.125, -19.375]","[1.1241999864578247, -3.716300010681152, -1.4354000091552734]","[0.3265511095523834, -1.710858941078186, 1.6781340837478638]","[-2.3401999473571777, 8.286199569702148, -4.693699836730957]",,,
"[0.2192130982875824, 8.730762481689453, -3.06690526008606]","[-0.0603229999542236, 0.3377490043640136, 0.7250549793243408, 0.5971429944038391, 2.08852219581604, -0.970511794090271, 1.674878716468811]","[-8.75, -35.75, 26.875]","[0.6676931381225586, -2.417473077774048, 1.6129809617996216]","[-192.75, -82.5, -23.0625]","[2.947499990463257, 0.6258000135421753, 1.7537999153137207]","[0.2077814489603042, -2.1429500579833984, 2.092876672744751]","[-2.741499900817871, 8.092199325561523, -4.813499927520752]",,,"[45.0, 1.5, 23.836679458618164, 11.673999786376951, 4.654119968414307, 77.6664047241211, 2272.61258449778, 6.6625812, 44.5628205]"
