TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[5.954858303070068, 18.881038665771484, 11.02928352355957]","[-0.0995849967002868, 0.1138999983668327, 0.5998309850692749, 0.7856919765472412, 0.8647916913032532, -1.167772650718689, 0.8441287875175476]","[-30.6875, -30.875, 8.375]","[0.0933925658464431, 0.6821793913841248, -1.28803551197052]","[-214.5, -80.0, -42.0625]","[3.447399854660034, 9.847000122070312, 13.949399948120115]","[-0.1875530779361724, 0.7340680360794067, -1.8805224895477293]","[2.495300054550171, 9.020899772644045, -2.9266998767852783]",,,
"[-4.628097057342529, -9.587552070617676, -2.16840934753418]","[-0.1000880002975463, 0.1906089931726455, 0.5450170040130615, 0.8103119730949402, 0.8977417945861816, -1.0067750215530396, 0.7643622159957886]","[-34.3125, -25.375, 13.875]","[0.093305304646492, 0.778102695941925, -1.8721100091934204]","[-217.875, -75.0, -36.25]","[-7.886899948120117, -17.868799209594727, 1.941699981689453]","[-0.1836435496807098, -1.0492570400238037, -2.9116454124450684]","[3.2679998874664307, 8.287699699401855, -4.099199771881104]",,,
"[9.032470703125, 36.8305892944336, 3.725234031677246]","[-0.0932459980249404, 0.2402780055999755, 0.4808669984340668, 0.8380559682846069, 0.8621693849563599, -0.8651260137557983, 0.6401287317276001]","[-35.5625, -19.3125, 20.6875]","[-0.5770756602287292, 1.0122735500335691, -1.1338356733322144]","[-219.8125, -68.3125, -30.5625]","[4.882999897003174, 29.349498748779297, 8.535799980163574]","[-2.9041056632995605, 0.254591166973114, -0.0396538786590099]","[4.138999938964844, 7.464599609375, -4.82889986038208]",,,"[45.0, 1.5, 27.06108665466309, 12.159000396728516, 11.71389389038086, 97.60911560058594, 2278.9359076963738, 6.662443, 44.5686735]"
"[-0.174135074019432, 12.881954193115234, -6.989412307739258]","[-0.1755039989948272, 0.3221659958362579, 0.4030849933624267, 0.8384079933166504, 0.9697102904319764, -0.5977893471717834, 0.7345334887504578]","[-37.1875, -12.4375, 23.5]","[-1.605126976966858, 0.3227637410163879, -1.6822181940078735]","[-221.25, -61.5625, -26.8125]","[-4.750899791717529, 7.35669994354248, -0.2872999906539917]","[1.6493186950683594, 0.5184500813484192, -2.479257583618164]","[4.584199905395508, 5.519299983978272, -6.685199737548828]",,,
"[2.1886260509490967, 7.530137538909912, -0.0007757213898003]","[-0.0937979966402053, 0.3673869967460632, 0.3553789854049682, 0.8543609976768494, 0.9684653878211976, -0.5684465765953064, 0.5236386656761169]","[-36.1875, -8.6875, 27.875]","[0.9849591255187988, 0.7273310422897339, -1.510582447052002]","[-220.625, -57.25, -22.625]","[-2.505199909210205, 2.242499828338623, 6.809999942779541]","[0.5792747735977173, 0.2171014994382858, -0.831876277923584]","[4.682300090789795, 5.279099941253662, -6.809999942779541]",,,
"[-8.350630760192871, 23.45055389404297, -13.646700859069824]","[-0.0906829982995987, 0.378154993057251, 0.3357119858264923, 0.85794597864151, 0.967903971672058, -0.5322357416152954, 0.4952400624752044]","[-36.125, -6.75, 27.75]","[-0.4413762986660003, 0.0356570780277252, -0.4266457259654999]","[-220.1875, -55.75, -22.4375]","[-13.126999855041504, 18.461299896240234, -6.670799732208252]","[-0.3171088695526123, -0.6220178604125977, -0.5519603490829468]","[4.791399955749512, 4.976500034332275, -6.960299968719482]",,,
"[-0.7634438872337341, 6.23911714553833, -7.303215503692627]","[-0.0898630023002624, 0.372175008058548, 0.3126589953899383, 0.8692830204963684, 0.9272702932357788, -0.4968841671943664, 0.4583480656147003]","[-36.6875, -6.0, 27.0625]","[-0.1319468915462494, 0.0620639063417911, -0.0762534365057945]","[-221.1875, -54.6875, -23.375]","[-5.927700042724609, 1.55239999294281, -0.3995999991893768]","[-0.6009691953659058, -0.044034656137228, 0.7148345112800598]","[5.172599792480469, 4.674699783325195, -6.896399974822998]",,,
"[-1.1688300371170044, 10.814657211303713, -7.367743968963623]","[-0.0882259979844093, 0.3759680092334747, 0.3231900036334991, 0.8639510273933411, 0.9471508860588074, -0.5145008563995361, 0.4715586900711059]","[-35.9375, -6.75, 28.0]","[0.0439648441970348, 0.4476245939731598, 0.2599318921566009]","[-220.5, -55.0625, -22.625]","[-6.152599811553955, 5.980999946594238, -0.4248999953269958]","[-0.3756646811962127, 0.5003684163093567, 0.1528908461332321]","[4.985599994659424, 4.825799942016602, -6.929999828338623]",,,
"[-0.8860365748405457, 11.184532165527344, -9.83612823486328]","[-0.0967250019311904, 0.3919770121574402, 0.3161340057849884, 0.858519971370697, 0.9796298742294312, -0.4858801066875458, 0.48712819814682]","[-35.875, -5.875, 28.1875]","[-0.245428204536438, 0.3883706629276275, 0.0845786556601524]","[-220.375, -54.625, -22.125]","[-5.705699920654297, 6.590099811553955, -2.626199960708618]","[-0.2832494974136352, -0.2859896421432495, -0.4358610808849334]","[4.832900047302246, 4.5794997215271, -7.199999809265137]",,,
"[-2.8344857692718506, 8.377359390258789, -6.404451370239258]","[-0.0951090008020401, 0.3985239863395691, 0.2817470133304596, 0.8676120042800903, 0.958262860774994, -0.4258420169353485, 0.4420666992664337]","[-35.8125, -3.125, 28.9375]","[-0.2330538183450698, 0.2666688561439514, -0.606449544429779]","[-220.0625, -51.875, -21.375]","[-7.9589996337890625, 4.313999652862549, 0.9131999611854552]","[0.4722861051559448, 0.1122944802045822, -1.3467309474945068]","[5.134599685668945, 4.051000118255615, -7.30709981918335]",,,
