TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[-1.4530696868896484, 2.9792680740356445, 8.084222793579102]","[-0.2290229946374893, -0.6380820274353027, 0.4527460038661957, 0.5791530013084412, -1.9699175357818604, -0.955650508403778, -0.5722475647926331]","[-3.3125, -18.3125, -35.125]","[-0.0178896244615316, 0.5287824273109436, 0.5739340782165527]","[-51.6875, -34.75, -0.125]","[-0.2523999810218811, 3.435299873352051, -1.6936999559402466]","[-0.1125737354159355, 0.956632435321808, 1.3277592658996582]","[-2.199199914932251, 8.008999824523926, 5.21429967880249]",left,START,
"[-2.552870035171509, 5.544913768768311, 5.272089958190918]","[-0.2045529931783676, -0.6242859959602356, 0.4844709932804107, 0.5776770114898682, -2.0149173736572266, -0.9529616236686708, -0.68964022397995]","[-4.25, -19.4375, -34.125]","[-0.3210533261299133, 0.4432961642742157, 0.1996831148862838]","[-52.625, -35.875, 0.875]","[-4.521899700164795, 8.677499771118164, -5.394299983978272]","[0.3765198886394501, 0.0512603186070919, -0.8779006004333496]","[-2.4407999515533447, 7.99370002746582, 5.129499912261963]",,,
"[0.0665588080883026, 16.979066848754883, 5.347822666168213]","[-0.2006369978189468, -0.6151589751243591, 0.4940780103206634, 0.5806970000267029, -2.014056921005249, -0.9625765681266784, -0.7155359387397766]","[-4.25, -19.875, -33.75]","[-0.2257932424545288, 0.1847605556249618, -0.0190066359937191]","[-52.625, -36.3125, 1.25]","[1.6775999069213867, 6.524600028991699, -0.0507999993860721]","[-0.4978726208209991, 0.4461410641670227, 0.4724780917167663]","[-2.4033000469207764, 8.047999382019043, 5.061999797821045]",,,
"[1.6015293598175049, 10.935622215270996, 2.491626501083374]","[-0.2129810005426406, -0.598222017288208, 0.5001199841499329, 0.5887680053710938, -1.9849025011062624, -1.0041931867599487, -0.7043383121490479]","[-4.125, -22.0625, -32.375]","[-0.1849525421857834, 0.7790277004241943, -0.1962971836328506]","[-52.5, -38.5, 2.625]","[3.59879994392395, -2.792199850082397, -1.2394999265670776]","[-0.4090179204940796, 0.4067489802837372, 0.9089325666427612]","[-2.118000030517578, 8.274099349975586, 4.818900108337402]",,,
"[0.3468336462974548, 7.919329643249512, 3.200224161148072]","[-0.2056680023670196, -0.5802239775657654, 0.5226230025291443, 0.5898339748382568, -2.0082807540893555, -1.0259146690368652, -0.7782018780708313]","[-5.6875, -23.6875, -31.25]","[-0.1054527908563613, 0.2637192606925964, 0.4766494035720825]","[-54.0625, -40.125, 3.75]","[4.359899997711182, -2.4632999897003174, -1.3875999450683594]","[-0.1626995950937271, 0.5349957942962646, 0.5405808091163635]","[-2.15339994430542, 8.386499404907227, 4.6041998863220215]",,,
"[-2.6452672481536865, 5.317014217376709, 6.261727809906006]","[-0.1833969950675964, -0.5618749856948853, 0.5566679835319519, 0.5837649703025818, -2.078152656555176, -1.027518630027771, -0.920490562915802]","[-6.5625, -25.4375, -30.1875]","[-0.1429948210716247, 0.2010793834924698, 0.6681295037269592]","[-54.9375, -41.875, 4.8125]","[0.158500000834465, 3.4320998191833496, -2.606799840927124]","[0.4419871866703033, 0.0636696144938469, -0.2918888628482818]","[-2.463099956512451, 8.394599914550781, 4.430799961090088]",,,
"[3.1313955783843994, 7.693480014801025, 5.043807029724121]","[-0.1777769923210144, -0.5635370016098022, 0.551522970199585, 0.5887629985809326, -2.051008701324463, -1.0156066417694092, -0.8981006741523743]","[-7.125, -24.4375, -30.1875]","[0.2463183104991912, 0.0003839724231511, -0.369625836610794]","[-55.5, -40.875, 4.8125]","[3.231299877166748, 3.100800037384033, 2.437099933624268]","[0.3382098972797394, 0.2333854287862777, -0.5407379269599915]","[-2.387899875640869, 8.333700180053711, 4.584399700164795]",,,
"[8.878609657287598, 17.53860855102539, -0.0686369687318801]","[-0.1991409957408905, -0.5621780157089233, 0.5259569883346558, 0.6063550114631653, -1.9447838068008425, -1.038686752319336, -0.7609196901321411]","[-7.75, -24.8125, -30.5]","[-0.1488765776157379, 0.1738173365592956, -0.7283957004547119]","[-56.125, -41.25, 4.5]","[3.0924999713897705, -5.09689998626709, 0.1639000028371811]","[0.6159266829490662, -0.7409620881080627, 1.7183115482330322]","[-1.8176000118255613, 8.450699806213379, 4.631400108337402]",,,
"[-1.0161182880401611, 23.44068145751953, 9.795042991638184]","[-0.1694670021533966, -0.5780249834060669, 0.4980700016021728, 0.623773992061615, -1.8600637912750244, -0.9566722512245178, -0.6845575571060181]","[-8.25, -22.6875, -31.125]","[0.907169759273529, 1.1890753507614136, 0.3317696452140808]","[-56.625, -39.125, 3.875]","[15.998299598693848, -9.054200172424316, 7.410799980163574]","[-2.742383480072021, 0.4534539878368377, 2.3636820316314697]","[-1.611899971961975, 8.014699935913086, 5.416199684143066]",,,"[0.0, 0.112839251756668, 13.049827575683594, 3.0, 0.0858862549066543, 0.0, 2307.453125, 6.6703732, 44.5584774]"
"[0.606594979763031, 5.605420112609863, -0.1108898445963859]","[-0.1876640021800995, -0.5634269714355469, 0.5163310170173645, 0.617035984992981, -1.8942029476165767, -1.0134458541870115, -0.7236902117729187]","[-9.9375, -25.0, -29.375]","[-0.9482548236846924, -0.4301887452602386, -0.103131502866745]","[-58.3125, -41.4375, 5.625]","[2.6290998458862305, -6.851500034332275, -0.1324999928474426]","[-0.9859015941619872, 0.4894426763057709, 0.5771803855895996]","[-1.6483999490737915, 8.322500228881836, 4.9182000160217285]",,,"[45.0, 0.1599197089672088, 13.633325576782228, 3.0, 0.1488067656755447, 317.365966796875, 2306.851806640625, 6.6703675, 44.5584831]"
