TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[4.695450782775879, 5.171648025512695, 6.409948348999023]","[0.7133150100708008, 0.3776429891586303, 0.533653974533081, 0.2525439858436584, -1.3216118812561035, -0.9412574172019958, 3.068877458572388]","[3.375, -43.125, -4.75]","[0.9598438143730164, 0.4339412152767181, 0.796271562576294]","[-44.9375, -59.9375, 28.9375]","[3.597100019454956, 13.4222993850708, -4.291199684143066]","[0.6672917008399963, 0.1711644381284713, 1.1264704465866089]","[1.423799991607666, 7.926699638366699, 5.5954999923706055]",,,
"[2.2068216800689697, 6.006822109222412, 0.1506431698799133]","[0.6907870173454285, 0.4129120111465454, 0.5373749732971191, 0.2520790100097656, -1.4194798469543457, -0.9998508095741272, 2.963925361633301]","[5.4375, -43.625, -0.625]","[0.1680053919553756, -0.0201934594660997, 0.9801769256591796]","[-42.875, -60.4375, 33.0625]","[2.947199821472168, -0.6412000060081482, -2.6501998901367188]","[-0.1853016018867492, 0.0921708345413208, 0.2880840599536896]","[0.798799991607666, 8.251199722290039, 5.239199638366699]",,,
"[-1.889571070671081, 4.9020514488220215, 5.410368919372559]","[0.6842889785766602, 0.4277479946613312, 0.5366250276565552, 0.2466039955615997, -1.460195779800415, -1.016126275062561, 2.9086339473724365]","[6.6875, -43.1875, -1.4375]","[0.0326725617051124, 0.0881391242146492, 0.4337841272354126]","[-41.625, -60.0, 32.25]","[1.1067999601364136, -4.845200061798096, -1.857800006866455]","[-0.3896796703338623, 0.2822197377681732, 0.1728748679161071]","[0.5699999928474426, 8.336299896240234, 5.133199691772461]",,,
"[-1.570845365524292, 3.991086483001709, 7.582188129425049]","[0.6981580257415771, 0.4399040043354034, 0.514693021774292, 0.2327010035514831, -1.4103953838348389, -1.0232110023498535, 2.893371343612671]","[7.125, -43.5, -1.125]","[-0.1297303289175033, 0.3684389889240265, 0.12892746925354]","[-41.1875, -60.3125, 32.5625]","[0.4104000031948089, -3.557699918746948, 1.38319993019104]","[-0.1074773743748664, 0.324282169342041, 0.1919164061546325]","[0.8154000043869019, 8.372699737548828, 5.039999961853027]",,,
"[3.09932279586792, 8.83547592163086, 3.661854982376098]","[0.697359025478363, 0.454010009765625, 0.5078579783439636, 0.2228070050477981, -1.4296278953552246, -1.0343388319015503, 2.842911720275879]","[8.625, -43.0, -1.625]","[0.7688698768615723, -0.007836528122425, 0.7708595395088196]","[-39.6875, -59.8125, 32.0625]","[3.560699939727783, 7.879299640655518, -6.031099796295166]","[0.6776241064071655, -0.0581543706357479, 0.7339633107185364]","[0.7050999999046326, 8.428999900817871, 4.962199687957764]",,,
"[0.1858092099428177, 4.546531677246094, 4.451510429382324]","[0.6887339949607849, 0.4684990048408508, 0.5150269865989685, 0.202235996723175, -1.5121800899505615, -1.022965669631958, 2.739122152328491]","[10.4375, -42.5, -1.375]","[-0.3428699374198913, 0.1824218183755874, -0.0124791041016578]","[-37.875, -59.3125, 32.3125]","[2.91729998588562, -2.771899938583374, -1.3624999523162842]","[-0.5220454335212708, 0.0117635186761617, 0.0692023038864135]","[0.2990999817848205, 8.371500015258789, 5.098799705505371]",,,
"[10.417678833007812, 12.402578353881836, 5.106611728668213]","[0.6889569759368896, 0.4756209850311279, 0.5067690014839172, 0.2056840062141418, -1.5033742189407349, -1.042829990386963, 2.736268997192383]","[10.5, -42.9375, -0.75]","[0.4158421456813812, -0.0007504915702156, 0.8373216986656189]","[-37.8125, -59.75, 32.9375]","[4.050699710845947, 11.543999671936035, -0.4571999907493591]","[0.4817981421947479, 0.2878397107124328, 0.6332752704620361]","[0.3328000009059906, 8.47130012512207, 4.929100036621094]",,,
"[3.713780164718628, 10.716073036193848, 2.138261556625366]","[0.6808649897575378, 0.4976150095462799, 0.5024920105934143, 0.1905310004949569, -1.571277141571045, -1.053375482559204, 2.63350510597229]","[12.6875, -42.25, -0.8125]","[-0.2692519426345825, 0.502829372882843, -0.0325678437948226]","[-35.625, -59.0625, 32.875]","[1.424299955368042, 8.11889934539795, -0.4278999865055084]","[-0.0627969428896904, 0.5785940885543823, 0.0795521065592765]","[-0.0023000000510364, 8.522899627685547, 4.8506999015808105]",,,
"[1.2570899724960327, 11.682257652282717, 0.830443263053894]","[0.692101001739502, 0.5068050026893616, 0.4740580022335052, 0.1985290050506591, -1.4900085926055908, -1.0967950820922852, 2.67408299446106]","[11.3125, -42.6875, 0.75]","[-0.1143714264035224, 0.6457020044326782, -0.453244537115097]","[-37.0, -59.5, 34.4375]","[-2.655900001525879, -1.2821999788284302, 0.2651000022888183]","[-0.4365940988063812, 0.8035670518875122, -0.6096783876419067]","[0.3612000048160553, 8.7253999710083, 4.461599826812744]",,,"[45.0, 1.5, 25.76129531860352, 12.05799961090088, 10.444141387939451, 129.07421875, 2194.386611599475, 6.6638234, 44.5741741]"
"[5.3321075439453125, 11.80381679534912, 7.6245269775390625]","[0.7136189937591553, 0.5051739811897278, 0.441895991563797, 0.2006819993257522, -1.3433302640914917, -1.1160321235656738, 2.7686359882354736]","[10.5, -43.25, 1.0625]","[-0.4012511968612671, 0.3854385018348694, 0.6720913648605347]","[-37.8125, -60.0625, 34.75]","[2.9315998554229736, -1.8863999843597408, 3.727099895477295]","[-0.2753780484199524, 0.4334001541137695, 0.5599190592765808]","[0.971299946308136, 8.80989933013916, 4.196499824523926]",,,
