TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[1.950718879699707, 9.140477180480955, 8.029434204101562]","[-0.7947070002555847, -0.449521005153656, -0.1044109985232353, 0.3942950069904327, -0.736448347568512, -0.6843087673187256, 1.9473419189453125]","[-2.0, -30.875, -32.4375]","[0.1092576086521148, -0.888843834400177, 0.1222428604960441]","[-49.0625, -45.75, 2.25]","[1.8626999855041504, 4.097799777984619, -1.073199987411499]","[0.1059065759181976, -0.8629955053329468, 0.1251924633979797]","[5.629499912261963, 6.199100017547607, 5.103699684143066]",right,START,
"[8.140965461730957, 5.420922756195068, 3.993394374847412]","[-0.799049973487854, -0.4578180015087127, -0.1309890002012252, 0.3671000003814697, -0.7844588756561279, -0.6886129379272461, 1.985746145248413]","[-1.4375, -32.6875, -31.625]","[-0.4021936655044555, -0.5441762208938599, -0.2141519039869308]","[-48.5, -47.5625, 3.0625]","[1.583799958229065, -0.2692999839782715, -1.622599959373474]","[-0.4055446982383728, -0.5183278918266296, -0.2112197428941726]","[5.35920000076294, 6.231800079345703, 5.349099636077881]",,,
"[-1.69729745388031, 3.726900577545166, 10.466070175170898]","[-0.7961090207099915, -0.4695920050144195, -0.1555369943380355, 0.3485679924488067, -0.8446829319000244, -0.6935387253761292, 1.994218707084656]","[2.125, -32.0, -31.75]","[-0.6245311498641968, -0.4910658299922943, -0.0851895213127136]","[-44.9375, -46.875, 2.9375]","[-5.5169997215271, -3.768299818038941, 5.138400077819824]","[-0.627882182598114, -0.4652000665664673, -0.0822399109601974]","[5.006999969482422, 6.269000053405762, 5.638999938964844]",,,
"[0.2452428787946701, 1.635747313499451, 10.155380249023438]","[-0.7990040183067322, -0.4795829951763153, -0.1678059995174408, 0.3216100037097931, -0.8728373646736145, -0.7187458872795105, 2.029319524765014]","[2.8125, -33.875, -30.4375]","[-0.2256710678339004, -0.3592236638069153, -0.2757271230220794]","[-44.25, -48.75, 4.25]","[-1.5658999681472778, 4.241899967193604, -2.1733999252319336]","[-0.2290221005678177, -0.3333579003810882, -0.2727949619293213]","[4.743199825286865, 6.457099914550781, 5.654799938201904]",,,"[45.0, 1.5, 17.68030548095703, 8.555000305175781, 4.33536434173584, 34.5693359375, 2202.407597582788, 6.6255272, 44.6094168]"
"[2.3258042335510254, 8.850492477416992, 6.529409408569336]","[-0.806725025177002, -0.4816299974918365, -0.1772609949111938, 0.2929230034351349, -0.8763144612312317, -0.7385796308517456, 2.0862040519714355]","[3.5625, -35.0625, -29.0625]","[0.4894252419471741, -0.4495618939399719, 0.1773254573345184]","[-43.5, -49.9375, 5.625]","[-1.855599999427796, 1.5077999830245972, 1.587000012397766]","[0.4860916435718536, -0.4237135946750641, 0.1802750527858734]","[4.640699863433838, 6.602200031280518, 5.571700096130371]",,,
"[3.518298625946045, 10.16075325012207, 2.1066293716430664]","[-0.7937399744987488, -0.4945499897003174, -0.1943430006504058, 0.2960169911384582, -0.9441912174224854, -0.7342498898506165, 2.0398802757263184]","[5.5625, -34.625, -29.5625]","[-0.5664640665054321, -0.0910189226269722, 0.1524894088506698]","[-41.5, -49.5, 5.125]","[0.3107999861240387, 3.5790998935699463, -0.4050000011920929]","[-0.5698150992393494, -0.0651531442999839, 0.155421569943428]","[4.268799781799316, 6.570699691772461, 5.8968000411987305]",,,
"[5.859233856201172, 12.599515914916992, 0.7314668893814087]","[-0.7923300266265869, -0.5081350207328796, -0.1874099969863891, 0.2808710038661957, -0.9535810947418212, -0.7753207683563232, 2.0445213317871094]","[6.5, -35.25, -28.125]","[-0.0680852904915809, -0.1431519091129303, 0.0870570242404937]","[-40.5625, -50.125, 6.5625]","[-0.0425999984145164, 3.422999858856201, -3.5834999084472656]","[-0.0714363232254982, -0.1173035800457, 0.0899891778826713]","[4.053499698638916, 6.864099979400635, 5.711599826812744]",,,
"[0.0932110622525215, 6.747607231140137, 7.025162696838379]","[-0.7721710205078125, -0.5247759819030762, -0.1998160034418106, 0.2973789870738983, -1.034000039100647, -0.7636900544166565, 1.9574217796325684]","[8.125, -33.5625, -29.75]","[-0.5642474889755249, 0.6082996129989624, -0.2345198839902877]","[-38.9375, -48.4375, 4.9375]","[-0.9449999928474426, 11.614999771118164, -2.634999990463257]","[-0.5675985217094421, 0.6341479420661926, -0.2315877377986908]","[3.6222000122070312, 6.782199859619141, 6.086899757385254]",,,
"[1.390197992324829, 4.990742206573486, 2.3411078453063965]","[-0.7907580137252808, -0.5144439935684204, -0.1774279922246933, 0.2802979946136474, -0.9490304589271544, -0.7953890562057495, 2.0352530479431152]","[6.3125, -35.9375, -28.9375]","[0.2921157479286194, -0.4408701658248901, -0.4635943472385406]","[-40.75, -50.8125, 5.75]","[-1.782099962234497, -5.777400016784668, -1.8631999492645264]","[0.2887647151947021, -0.4150218367576599, -0.4606447517871856]","[3.9983999729156494, 7.003200054168701, 5.579999923706055]",,,
"[6.690567970275879, 17.296171188354492, 5.929728984832764]","[-0.7907810211181641, -0.4997499883174896, -0.2325820028781891, 0.2661179900169372, -1.0165555477142334, -0.7296342849731445, 2.073071479797364]","[7.625, -34.375, -30.0]","[0.1920909434556961, -1.099557399749756, -0.8350003957748413]","[-39.4375, -49.25, 4.6875]","[-1.1601999998092651, 10.055699348449709, -1.1750999689102173]","[0.1887399107217788, -1.0737091302871704, -0.8320682644844055]","[3.8471999168396, 6.536999702453613, 6.215699672698975]",,,
