TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[6.533144474029541, 15.605091094970703, -0.5956869721412659]","[0.1557739973068237, -0.0991970002651214, 0.4689419865608215, 0.8637049794197083, -0.5310457348823547, -0.8933093547821045, -0.6159037351608276]","[-39.9375, -23.25, -8.8125]","[0.025359634310007, -0.6286675930023193, -1.137291431427002]","[-86.75, -35.125, 28.4375]","[-4.417900085449219, -5.002799987792969, 2.613899946212769]","[-0.2303485572338104, -0.9128246307373048, -0.3516489267349243]","[5.30049991607666, 7.640799999237059, 3.113099813461304]",right,START,
"[1.1883667707443235, 5.440000057220459, 4.298731803894043]","[0.0748260021209716, -0.1310870051383972, 0.4985719919204712, 0.8536049723625183, -0.5671529173851013, -0.9818917512893676, -0.4839856028556824]","[-39.125, -23.0625, -12.1875]","[-1.097236156463623, -1.1902098655700684, 0.3105115294456482]","[-85.9375, -34.9375, 25.0625]","[-2.878000020980835, -2.123600006103516, -4.466000080108643]","[-0.9095783233642578, -1.0896962881088257, 0.81801837682724]","[4.5941996574401855, 8.154699325561523, 2.926299810409546]",,,"[45.0, 0.4208263158798218, 22.984453201293945, 16.871000289916992, 0.9918198585510254, 286.09881591796875, 2732.128148254007, 6.6381304, 44.5712388]"
"[0.3122134804725647, 6.748114585876465, -0.837386429309845]","[-0.0158750005066394, -0.2274969965219497, 0.5178639888763428, 0.8245049715042114, -0.7834208011627197, -1.0375981330871582, -0.4247172474861145]","[-36.0625, -24.875, -16.5625]","[-0.2733883857727051, -2.66803240776062, 0.4857774972915649]","[-82.875, -36.75, 20.6875]","[-7.964200019836426, -5.493499755859375, 4.896399974822998]","[-0.7482051849365234, -2.8219704627990723, 0.5134758353233337]","[3.5314998626708984, 8.445300102233887, 3.5175998210906982]",,,
"[1.157060146331787, 4.685567855834961, 4.156755447387695]","[-0.0683770030736923, -0.3225089907646179, 0.5042799711227417, 0.798130989074707, -1.0046119689941406, -1.0142172574996948, -0.4214701652526855]","[-30.5625, -26.0625, -23.25]","[-0.3466922044754028, -2.225853204727173, 0.842034101486206]","[-77.375, -37.9375, 14.0]","[2.241999864578247, -2.7268998622894287, 6.709199905395508]","[-1.0703580379486084, -2.7394163608551025, -0.4645368456840515]","[2.778899908065796, 8.326499938964844, 4.372200012207031]",,,
"[2.405272483825684, 9.090161323547363, 3.1451575756073]","[-0.1274179965257644, -0.4548999965190887, 0.4399749934673309, 0.7637079954147339, -1.2417385578155518, -0.9074721336364746, -0.3405657708644867]","[-24.5, -23.0, -31.8125]","[1.1017390489578247, -2.888101100921631, -0.755361020565033]","[-71.3125, -34.875, 5.4375]","[-1.1470999717712402, 1.853899955749512, -4.164799690246582]","[0.7936012148857117, -4.30790901184082, 0.879000186920166]","[1.951200008392334, 7.727099895477295, 5.71429967880249]",,,
"[-2.052165985107422, 7.934738636016846, 5.725062847137451]","[-0.1942780017852783, -0.5189459919929504, 0.3566130101680755, 0.7521809935569763, -1.25888192653656, -0.8302716016769409, -0.1156635209918022]","[-18.4375, -18.3125, -36.875]","[0.0821002870798111, -1.7511237859725952, -1.9546639919281008]","[-65.25, -30.1875, 0.375]","[0.0681999996304512, 1.5678999423980713, -2.0212998390197754]","[0.4085292220115661, -1.3131333589553833, -1.0813885927200315]","[2.0302999019622803, 7.238399982452393, 6.296999931335449]",,,
"[-0.7807300686836243, 7.451607704162598, 5.197237491607666]","[-0.2348710000514984, -0.5618749856948853, 0.2982540130615234, 0.734965980052948, -1.2996089458465576, -0.7786926627159119, 0.0141631476581096]","[-13.125, -14.5, -40.3125]","[0.1859997361898422, -1.0449111461639404, -1.0759954452514648]","[-59.9375, -26.375, -3.0625]","[0.4541999995708465, 1.7518999576568604, -2.694999933242798]","[-0.3568150997161865, -1.4664430618286133, -0.7205417156219482]","[1.8698999881744385, 6.887699604034424, 6.725499629974365]",,,
"[5.29285192489624, 8.679862022399902, 5.5325117111206055]","[-0.2858909964561462, -0.5940179824829102, 0.2693780064582824, 0.7020279765129089, -1.3548712730407717, -0.8007387518882751, 0.1171580925583839]","[-9.625, -12.75, -40.625]","[-0.5316447615623474, -1.4055310487747192, -0.4611683487892151]","[-56.4375, -24.625, -3.375]","[-1.35479998588562, 2.796099901199341, -2.510499954223633]","[-0.5266356468200684, -1.3647078275680542, -0.702879011631012]","[1.4627000093460083, 7.039899826049805, 6.668599605560303]",,,"[45.0, 0.3864258825778961, 22.984453201293945, 17.729999542236328, 0.7561944127082825, 294.6449279785156, 2732.128148254007, 6.6381248, 44.5712407]"
"[-4.893738746643066, 9.509050369262695, 2.8743157386779785]","[-0.3292509913444519, -0.608938992023468, 0.2491140067577362, 0.6772949695587158, -1.3703370094299316, -0.8307463526725769, 0.2130942344665527]","[-5.375, -14.25, -40.9375]","[-0.3717551231384277, -0.8299389481544495, -0.6136053800582886]","[-52.1875, -26.125, -3.6875]","[-0.3948999941349029, -0.0630999952554702, 0.1977999955415725]","[-0.1879021525382995, -0.0342433601617813, -0.2019171416759491]","[1.3166999816894531, 7.241499900817871, 6.4803996086120605]",,,
"[-0.384164035320282, 9.734833717346191, 4.392115116119385]","[-0.3409329950809479, -0.6201580166816711, 0.2349369972944259, 0.6663119792938232, -1.3919856548309326, -0.8270648121833801, 0.243050992488861]","[-3.1875, -16.125, -40.5]","[-0.0488168597221374, -0.4979947805404663, -0.3738146126270294]","[-50.0, -28.0, -3.25]","[-2.504699945449829, 1.66759991645813, 0.4976999759674072]","[-0.0059166662395, -0.1854063272476196, -0.3738669753074646]","[1.180799961090088, 7.217099666595459, 6.533599853515625]",,,
"[2.072497606277466, 10.19874382019043, 6.025295734405518]","[-0.3427389860153198, -0.6203680038452148, 0.2149489969015121, 0.6719139814376831, -1.3725380897521973, -0.7953420877456665, 0.2806352972984314]","[-2.25, -14.25, -41.875]","[0.0308748744428157, -0.0570548139512538, -0.5413312911987305]","[-49.0625, -26.125, -4.625]","[0.7954999804496765, 1.5973999500274658, 1.2029999494552612]","[0.026616271585226, 0.0091280722990632, 0.1185253113508224]","[1.3521000146865845, 7.002899646759033, 6.730499744415283]",,,"[45.0, 0.3864258825778961, 22.984453201293945, 17.756000518798828, 0.6964316368103027, 310.0749816894531, 2732.128148254007, 6.6381223, 44.5712424]"
"[-0.9031120538711548, 8.548544883728027, 5.447441101074219]","[-0.3378660082817077, -0.6109430193901062, 0.2183060050010681, 0.6818619966506958, -1.3440566062927246, -0.7902694940567017, 0.2793382406234741]","[-3.5625, -14.0, -41.5625]","[-0.1555786430835724, 0.3459940552711487, 0.0710174441337585]","[-50.375, -25.875, -4.3125]","[-0.0997999981045723, 2.691400051116944, -6.84149980545044]","[0.4743281304836273, -0.3543367385864258, -0.2507340013980865]","[1.5511999130249023, 6.9679999351501465, 6.723799705505371]",,,"[45.0, 0.4595561027526855, 22.3095645904541, 17.893999099731445, 0.9564447999000548, 323.8183898925781, 2731.4429300799966, 6.6381248, 44.571245]"
"[0.5883319973945618, 9.201386451721191, 3.9365367889404297]","[-0.332841008901596, -0.6191710233688354, 0.2108609974384308, 0.6792500019073486, -1.3676798343658447, -0.7734748721122742, 0.2702953219413757]","[-3.0625, -13.8125, -42.0625]","[0.1457873582839965, -0.4878020584583282, -0.2660230696201324]","[-49.875, -25.6875, -4.8125]","[-2.444999933242798, 1.6021000146865845, -3.979299783706665]","[0.1015083491802215, 0.5153782963752747, 0.2589893937110901]","[1.4153000116348269, 6.851099967956543, 6.872200012207031]",,,
"[0.5456481575965881, 8.014063835144043, 3.711251974105835]","[-0.3246710002422333, -0.6148049831390381, 0.2218700051307678, 0.6836490035057068, -1.3647652864456177, -0.7790182828903198, 0.2428344637155532]","[-3.5, -13.625, -41.8125]","[0.026895523071289, 0.0710698068141937, 0.1831374019384384]","[-50.3125, -25.5, -4.5625]","[0.8866999745368958, 1.896699905395508, -4.143799781799316]","[-0.0601091384887695, -0.1345474272966385, -0.2265611886978149]","[1.4275999069213867, 6.889899730682373, 6.83080005645752]",,,
"[1.1968326568603516, 8.637782096862793, 3.683412313461304]","[-0.3303129971027374, -0.6186910271644592, 0.2132769972085952, 0.6801660060882568, -1.3688452243804932, -0.773789644241333, 0.2622417211532593]","[-3.25, -13.375, -41.5625]","[0.0198443941771984, -0.3295530676841736, -0.2608219981193542]","[-50.0625, -25.25, -4.3125]","[-0.2594999969005584, 2.4235999584198, -2.9491000175476074]","[0.2299645841121673, -0.0395840667188167, -0.1771683692932129]","[1.4068999290466309, 6.853299617767334, 6.871799945831299]",,,
"[-2.601405620574951, 6.450247764587402, 5.402305603027344]","[-0.333059012889862, -0.6201379895210266, 0.1972599923610687, 0.6823400259017944, -1.3599120378494265, -0.7508792877197266, 0.2911502718925476]","[-2.3125, -12.1875, -41.875]","[0.1595230996608734, -0.1529257446527481, -0.3881612122058868]","[-49.125, -24.0625, -4.625]","[-0.7847999930381775, 1.987899899482727, -3.5488998889923096]","[0.2902133464813232, -0.3031986057758331, -0.4888318181037903]","[1.5006999969482422, 6.690899848937988, 7.010599613189697]",,,
"[-0.4879670441150665, 10.052180290222168, 3.58380389213562]","[-0.3405829966068268, -0.6231439709663391, 0.1748439967632293, 0.6819990277290344, -1.3523530960083008, -0.7247540950775146, 0.3357237577438354]","[-2.375, -11.625, -42.25]","[0.1425933986902237, -0.2435083389282226, -0.4801575243473053]","[-49.1875, -23.5, -5.0]","[1.174399971961975, 1.5302999019622805, -1.5480999946594238]","[-0.1207942366600036, -0.400151640176773, -0.056845374405384]","[1.590999960899353, 6.501299858093262, 7.167299747467041]",,,
