TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[2.790355920791626, 8.100963592529297, 4.463634967803955]","[0.6956170201301575, 0.340703010559082, 0.5302320122718811, 0.3448069989681244, -1.1826626062393188, -0.9966440200805664, -2.921821355819702]","[-7.75, -44.375, -1.625]","[-0.1390503793954849, 0.3321536183357239, -0.0546113513410091]","[-56.875, -59.0, 33.25]","[-1.3978999853134155, -2.546299934387207, -1.9977999925613403]","[-0.1280897110700607, 0.1318770796060562, -0.0856433063745498]","[2.015699863433838, 8.234099388122559, 4.929999828338623]",left,START,"[45.0, 0.4568366706371307, 18.89989471435547, 8.406000137329102, 2.277146339416504, 140.02015686035156, 2546.30729873199, 6.6517039, 44.558802]"
"[1.2337225675582886, 12.261932373046877, 4.835779666900635]","[0.7015950083732605, 0.3477030098438263, 0.5249119997024536, 0.3336659967899322, -1.181210994720459, -0.9939448833465576, -2.9512765407562256]","[-7.0625, -44.25, -1.9375]","[0.101700335741043, 0.7851538062095642, 0.562135636806488]","[-56.1875, -58.875, 32.9375]","[5.352999687194824, -3.4046998023986816, -3.3098998069763184]","[-0.1044928655028343, 0.6261194348335266, 0.2872288227081299]","[2.031299829483032, 8.21969985961914, 4.9475998878479]",,,
"[3.3241095542907715, 9.08844757080078, 3.277940034866333]","[0.7126650214195251, 0.3687880039215088, 0.5165809988975525, 0.2987410128116607, -1.2106735706329346, -0.98684823513031, -3.0602669715881348]","[-3.125, -44.1875, -2.75]","[0.3416481912136078, 1.0349977016448977, 0.9900554418563844]","[-52.25, -58.8125, 32.125]","[-1.767899990081787, -0.8167999982833862, 2.9129998683929443]","[0.2094046026468277, 1.0729236602783203, 0.8678300380706787]","[1.9052000045776367, 8.181599617004395, 5.059700012207031]",,,
"[2.647556066513061, 8.970191955566406, 3.567456245422364]","[0.7241029739379883, 0.4102450013160705, 0.501820981502533, 0.2356839925050735, -1.2797861099243164, -0.9802948832511902, 3.01477313041687]","[1.0625, -44.25, -5.0]","[0.6931574940681458, 1.060252666473389, 1.1787256002426147]","[-48.0625, -58.875, 29.875]","[0.5320000052452087, 1.7193999290466309, -2.4845998287200928]","[0.5296550393104553, 1.1464195251464844, 1.1442203521728516]","[1.566499948501587, 8.145999908447266, 5.230499744415283]",,,
"[2.231884479522705, 9.648019790649414, 3.027496814727783]","[0.7309449911117554, 0.4476319849491119, 0.4834229946136474, 0.1778910011053085, -1.334444522857666, -0.9726518988609314, 2.82981276512146]","[4.625, -44.4375, -6.4375]","[0.3236189484596252, 1.057913899421692, 1.17985999584198]","[-44.5, -59.0625, 28.4375]","[1.227199912071228, 1.9574999809265137, -1.7597999572753906]","[0.3264289200305938, 0.9778206944465636, 1.1816751956939695]","[1.2929999828338623, 8.104000091552734, 5.368599891662598]",,,"[45.0, 0.4884255826473236, 18.89989471435547, 9.32800006866455, 2.472923517227173, 133.59632873535156, 2546.30729873199, 6.6517166, 44.5587938]"
"[4.514621734619141, 8.603841781616211, 2.3455514907836914]","[0.7310389876365662, 0.4862549901008606, 0.4606809914112091, 0.1300369948148727, -1.3853089809417725, -0.980460524559021, 2.6598708629608154]","[8.875, -43.8125, -7.0625]","[0.2139250040054321, 1.0913020372390747, 0.8734500408172607]","[-40.25, -58.4375, 27.8125]","[1.386099934577942, 1.0025999546051023, -2.4916999340057373]","[0.1444783508777618, 1.2165119647979736, 0.7730412483215332]","[1.0066999197006226, 8.146900177001953, 5.365099906921387]",,,
"[2.4477455615997314, 6.936586380004883, 1.437296748161316]","[0.7347000241279602, 0.5146539807319641, 0.4323349893093109, 0.0918259993195533, -1.3943169116973877, -0.9892818331718444, 2.541754484176636]","[10.5625, -43.125, -8.125]","[0.1608146429061889, 0.4381998181343078, 0.7139618396759033]","[-38.5625, -57.75, 26.75]","[2.388499975204468, 1.896199941635132, -1.8803999423980715]","[0.0604407526552677, 0.4312185049057007, 0.7498632669448853]","[0.9455999732017516, 8.194700241088867, 5.302999973297119]",,,
"[3.294431209564209, 8.00460147857666, 2.6215741634368896]","[0.7276920080184937, 0.5377349853515625, 0.4206140041351318, 0.0662409961223602, -1.4460124969482422, -0.9942212700843812, 2.430133104324341]","[12.625, -41.9375, -9.0625]","[0.3041759729385376, 0.843395471572876, 0.7529350519180298]","[-36.5, -56.5625, 25.8125]","[2.129499912261963, -0.3366999924182892, -1.5190999507904053]","[0.1454033851623535, 0.8084015846252441, 0.6872233748435974]","[0.6653000116348267, 8.221199989318848, 5.304500102996826]",,,
"[2.273284912109375, 8.444626808166504, 3.984143018722534]","[0.7241299748420715, 0.5585190057754517, 0.4037170112133026, 0.0265049990266561, -1.4807146787643433, -0.9796130061149596, 2.308119535446167]","[15.25, -40.8125, -10.4375]","[0.0847182795405387, 0.0762534365057945, 0.564561665058136]","[-33.875, -55.4375, 24.4375]","[2.8622000217437744, 0.8502999544143677, -2.726999998092652]","[0.25349161028862, 0.1784424632787704, 0.5733231902122498]","[0.491599977016449, 8.14229965209961, 5.443399906158447]",,,
"[2.7790839672088623, 7.253540515899658, 6.043520450592041]","[0.7150430083274841, 0.5776739716529846, 0.3936190009117126, 0.0082989996299147, -1.5297694206237793, -0.9838879108428956, 2.214688539505005]","[17.4375, -40.1875, -10.8125]","[0.0002268928074045, 0.6514616012573242, 0.5335994958877563]","[-31.6875, -54.8125, 24.0625]","[2.5720999240875244, -0.8399999737739563, -2.1016998291015625]","[0.0176278259605169, 0.5862386226654053, 0.6389650106430054]","[0.2226999998092651, 8.165499687194824, 5.426199913024902]",,,"[45.0, 0.4884255826473236, 18.89989471435547, 10.23799991607666, 2.6897332668304443, 126.72732543945312, 2546.30729873199, 6.6517327, 44.5587857]"
"[3.136327743530273, 7.534964561462402, 3.210998058319092]","[-0.7106930017471313, -0.6000580191612244, -0.3664740025997162, 0.0232469998300075, -1.5502921342849731, -0.9897254109382628, 2.1035032272338867]","[18.8125, -39.1875, -11.25]","[0.0441917367279529, 0.710296630859375, 0.3951948881149292]","[-30.3125, -53.8125, 23.625]","[3.9397997856140137, 1.0994999408721924, -0.4196999967098236]","[0.0535117946565151, 0.8208807110786438, 0.4703313112258911]","[0.1102999970316886, 8.197099685668945, 5.381899833679199]",,,"[45.0, 0.4863438010215759, 20.359521865844727, 11.836000442504885, 2.8704376220703125, 122.5603256225586, 2545.93704233598, 6.6517389, 44.5587837]"
"[2.4925074577331543, 9.671330451965332, 4.6959967613220215]","[-0.7127640247344971, -0.6126070022583008, -0.3368580043315887, 0.0566090010106563, -1.5299160480499268, -0.9884055852890016, 2.0284292697906494]","[19.4375, -38.375, -12.375]","[-0.0795172005891799, 0.9655510187149048, 0.0784874558448791]","[-29.6875, -53.0, 22.5]","[2.6431000232696533, 1.1753000020980835, -1.2019000053405762]","[-0.0360585004091262, 0.8865225315093994, 0.1987755447626114]","[0.2203999906778335, 8.1899995803833, 5.3892998695373535]",,,
"[1.7579187154769895, 9.420781135559082, 1.8011387586593628]","[-0.7222790122032166, -0.6141719818115234, -0.306425005197525, 0.0849030017852783, -1.4655206203460691, -0.9884495735168456, 2.004589319229126]","[17.5, -38.3125, -13.9375]","[-0.0052359877154231, 0.3066717982292175, -0.2261248528957367]","[-31.625, -52.9375, 20.9375]","[0.5020999908447266, -1.1784999370574951, -0.4406999945640564]","[-0.1679355800151825, 0.4274834990501404, -0.3319267034530639]","[0.5666999816894531, 8.190199851989746, 5.36359977722168]",,,
"[5.76078462600708, 8.92837142944336, 3.225918769836426]","[-0.7320539951324463, -0.6102479696273804, -0.2869200110435486, 0.0967990010976791, -1.4041212797164917, -0.9934643507003784, 2.018871307373047]","[18.125, -37.6875, -15.3125]","[0.3850894570350647, 0.3976383507251739, 0.574475109577179]","[-31.0, -52.3125, 19.5625]","[3.230799913406372, -1.2347999811172483, -2.159600019454956]","[0.4377809464931488, 0.5175250172615051, 0.4363846778869629]","[0.8878999948501587, 8.217199325561523, 5.27810001373291]",,,
"[4.019433498382568, 9.963537216186523, 2.7582926750183105]","[-0.7221909761428833, -0.6201019883155823, -0.2783139944076538, 0.1282690018415451, -1.4361085891723633, -0.9689045548439026, 1.9281178712844849]","[18.5, -37.125, -16.75]","[0.0774053484201431, 0.3343701660633087, -0.0824493542313575]","[-30.625, -51.75, 18.125]","[-0.186599999666214, 0.2424999922513961, -3.736999988555908]","[0.1598197966814041, 0.5381373763084412, -0.0153065370395779]","[0.7454999685287476, 8.08329963684082, 5.502199649810791]",,,
"[1.7558788061141968, 9.027749061584473, 4.801897048950195]","[-0.7277550101280212, -0.6169250011444092, -0.2638410031795501, 0.1419910043478012, -1.3945685625076294, -0.9666976928710938, 1.927754282951355]","[17.5, -36.625, -17.5625]","[0.1613556891679763, 0.5133362412452698, -0.0403520129621028]","[-31.625, -51.25, 17.3125]","[-1.3981999158859253, 0.284199982881546, -1.8359999656677248]","[0.097319558262825, 0.5766393542289734, -0.0820653811097145]","[0.9764999747276306, 8.071000099182129, 5.483999729156494]",,,
"[1.8285380601882928, 7.972701072692871, 3.1290972232818604]","[-0.7297769784927368, -0.6146820187568665, -0.2517369985580444, 0.1619189977645874, -1.366124987602234, -0.9538337588310242, 1.9088737964630127]","[18.25, -35.375, -18.75]","[0.4674515426158905, 0.2493551820516586, 0.2957983911037445]","[-30.875, -50.0, 16.125]","[3.044099807739258, -1.3594999313354492, -2.515199899673462]","[0.2505943775177002, 0.2632479965686798, 0.4104490876197815]","[1.1531000137329102, 7.99869966506958, 5.555299758911133]",,,"[45.0, 0.4833664894104004, 20.359521865844727, 12.305999755859377, 3.0355710983276367, 114.10208129882812, 2545.93704233598, 6.6517603, 44.5587783]"
"[3.9555563926696777, 9.798184394836426, 3.668137311935425]","[-0.7215210199356079, -0.616366982460022, -0.2488230019807815, 0.1938640028238296, -1.3786336183547974, -0.915664792060852, 1.845061182975769]","[17.875, -35.125, -21.4375]","[0.0882089436054229, 0.1707979142665863, -0.2572964429855346]","[-31.25, -49.75, 13.4375]","[3.546499967575073, 2.383299827575684, -2.7266998291015625]","[0.2799507975578308, 0.2372600585222244, -0.2281843423843383]","[1.1409999132156372, 7.776299953460693, 5.864799976348877]",,,
"[2.9608423709869385, 7.811887741088867, 3.1291162967681885]","[-0.7322329878807068, -0.6042690277099609, -0.2450329959392547, 0.196599006652832, -1.3249884843826294, -0.9085044264793396, 1.8890467882156368]","[16.375, -35.1875, -20.8125]","[0.0445408038794994, 0.0337721221148967, -0.1027475297451019]","[-32.75, -49.8125, 14.0625]","[0.2682999968528747, 3.406899929046631, -3.740599870681762]","[-0.0126361837610602, 0.0923279151320457, -0.1341983675956726]","[1.4673999547958374, 7.733299732208252, 5.848999977111816]",,,
"[2.6569318771362305, 9.28807544708252, 5.147523880004883]","[-0.736594021320343, -0.5995630025863647, -0.243817001581192, 0.1962289959192276, -1.304511547088623, -0.9068737030029296, 1.9082794189453125]","[16.25, -35.375, -21.3125]","[-0.0405265465378761, 0.0216944422572851, -0.00490437541157]","[-32.875, -50.0, 13.5625]","[1.4889999628067017, 1.3672000169754028, -1.1815999746322632]","[0.0455880016088485, -0.0440695621073246, 0.0041189771145582]","[1.5900999307632446, 7.723499774932861, 5.829899787902832]",,,
"[2.961292266845703, 10.64441967010498, 2.451777458190918]","[-0.7363470196723938, -0.601170003414154, -0.2421319931745529, 0.1943150013685226, -1.3061777353286743, -0.9128336906433104, 1.9068809747695925]","[15.6875, -35.5, -20.625]","[0.0918043181300163, -0.02179916203022, -0.1384918689727783]","[-33.4375, -50.125, 14.25]","[-1.3525999784469604, 0.5074999928474426, -1.08079993724823]","[0.020263273268938, 0.0374722182750701, -0.2604205906391144]","[1.5683000087738037, 7.759399890899658, 5.787999629974365]",,,"[45.0, 0.4647580981254577, 20.463138580322266, 14.03600025177002, 4.392526626586914, 105.09363555908205, 2545.6864502672106, 6.6517847, 44.5587755]"
"[3.469332218170166, 9.819990158081056, 3.2535955905914307]","[-0.7394809722900391, -0.5965459942817688, -0.2445700019598007, 0.1936119943857193, -1.2936012744903564, -0.9068483114242554, 1.9242351055145264]","[15.0, -35.5, -21.375]","[0.3941476941108703, -0.4026648998260498, -0.2462310492992401]","[-34.125, -50.125, 13.5]","[-0.0943999961018562, 1.504599928855896, -0.5069999694824219]","[0.3942524194717407, -0.2554987370967865, -0.2894279360771179]","[1.6536999940872192, 7.723299980163574, 5.812399864196777]",left,STOP,
"[1.0483825206756592, 11.883811950683594, 4.077699184417725]","[-0.7417519688606262, -0.5875909924507141, -0.2593989968299866, 0.193009003996849, -1.292279601097107, -0.8812910914421082, 1.9491125345230105]","[15.0, -35.4375, -21.3125]","[0.0072605698369443, -0.1156455129384994, -0.2526364028453827]","[-34.125, -50.0625, 13.5625]","[0.3735999763011932, 1.337999939918518, -1.1927999258041382]","[-0.0927293449640274, -0.1715134978294372, -0.1783202886581421]","[1.7150999307632446, 7.566399574279785, 5.9980998039245605]",right,START,"[45.0, 0.4796319305896759, 20.463138580322266, 14.234999656677246, 4.614214897155762, 102.86692810058594, 2545.6864502672106, 6.6517939, 44.558776]"
"[2.783613681793213, 10.965865135192873, 4.0341339111328125]","[-0.7502340078353882, -0.5802839994430542, -0.2621940076351166, 0.1779640018939972, -1.265537977218628, -0.890482485294342, 2.002490997314453]","[13.5, -36.0, -20.5625]","[-0.2946639358997345, -0.4220555126667022, -0.7957653999328613]","[-35.625, -50.625, 14.3125]","[3.4907000064849854, 8.439800262451172, -3.8436999320983887]","[-0.1795071065425872, -0.4445179104804992, -0.7908610701560974]","[1.853899955749512, 7.62339973449707, 5.883499622344971]",,,
"[-3.0802552700042725, 8.880659103393555, 6.422015190124512]","[-0.7722070217132568, -0.5532670021057129, -0.2728489935398102, 0.1521289944648742, -1.1859018802642822, -0.8811275959014893, 2.137337207794189]","[9.875, -37.8125, -20.6875]","[0.4880813360214233, -0.385979562997818, -1.4229843616485596]","[-39.25, -52.4375, 14.1875]","[-6.049599647521973, -2.416899919509888, -3.7826998233795166]","[0.1085071191191673, 0.0179594382643699, -1.431431770324707]","[2.3427000045776367, 7.565399646759033, 5.783199787139893]",,,
"[-3.276407480239868, 6.620513439178467, 2.606864213943481]","[-0.7983919978141785, -0.507440984249115, -0.2959530055522918, 0.1322299987077713, -1.0986868143081665, -0.8212615251541138, 2.2923583984375]","[7.0625, -38.625, -20.625]","[-0.474537581205368, -0.6948679089546204, -1.1400840282440186]","[-42.0625, -53.25, 14.25]","[-3.322700023651123, -2.0299999713897705, -1.64520001411438]","[-0.6058212518692017, -0.6016848087310791, -1.065924882888794]","[3.038300037384033, 7.178499698638916, 5.950399875640869]",,,
"[2.438149690628052, 9.892477989196776, 3.912441730499268]","[-0.8194649815559387, -0.4680249989032745, -0.3200049996376037, 0.0838159993290901, -1.0360722541809082, -0.7943627238273621, 2.46838116645813]","[4.0625, -39.6875, -20.1875]","[-0.0307352486997842, -0.9716945886611938, -0.7331430315971375]","[-45.0625, -54.3125, 14.6875]","[3.803999900817871, 14.754899978637695, -12.39479923248291]","[0.3577401340007782, -0.9843482375144958, -0.4881162345409393]","[3.5018999576568604, 6.996199607849121, 5.912600040435791]",,,
"[5.101181983947754, 16.719676971435547, -3.691389560699463]","[-0.8308870196342468, -0.4369489848613739, -0.3438099920749664, 0.022274000570178, -0.9971380233764648, -0.7906269431114197, 2.641200065612793]","[-0.9375, -42.0625, -15.9375]","[-0.0707556456327438, -0.9932668805122375, -1.2804259061813354]","[-50.0625, -56.6875, 18.9375]","[-5.400899887084961, 0.8060999512672424, -6.225199699401856]","[-0.4819377660751343, -0.7937234044075012, -1.6015141010284424]","[3.743499994277954, 6.9704999923706055, 5.793699741363525]",,,
"[-2.9925222396850586, 6.566490650177002, 7.297603607177734]","[0.8398489952087402, 0.3887450098991394, 0.3760499954223633, 0.0460069999098777, -0.9625399708747864, -0.7581455111503601, 2.8408474922180176]","[-3.625, -41.5, -15.625]","[-0.1586155146360397, -1.2880005836486816, -1.1438363790512085]","[-52.75, -56.125, 19.25]","[-8.16819953918457, 0.5924999713897705, 0.8346999883651733]","[0.0535292476415634, -1.3471847772598269, -1.0736218690872192]","[4.068999767303467, 6.742799758911133, 5.843499660491943]",,,
"[-3.0158512592315674, 7.844707012176514, 8.076868057250977]","[0.8338159918785095, 0.3380880057811737, 0.4209209978580475, 0.1152039989829063, -0.9816682934761048, -0.7218706607818604, 3.018040180206299]","[-8.125, -41.25, -14.0]","[-0.4679227769374847, -0.9955532550811768, -0.9834755659103394]","[-57.25, -55.875, 20.875]","[0.2838999927043915, 14.29029941558838, -1.4615999460220337]","[-0.0160046685487031, -1.3812360763549805, -0.9396503567695618]","[4.089699745178223, 6.480099678039551, 6.119699954986572]",,,
"[5.526659965515137, 29.61277961730957, -15.126422882080078]","[0.82573002576828, 0.2937839925289154, 0.4381580054759979, 0.1996909976005554, -0.9393141269683838, -0.7210383415222168, -3.0451409816741943]","[-12.4375, -41.1875, -9.125]","[1.3235878944396973, -1.750879406929016, -1.3546547889709473]","[-61.5625, -55.8125, 25.75]","[-2.1810998916625977, -7.268299579620361, 1.2329999208450315]","[-0.9285151362419128, -1.1440982818603516, -1.4465463161468506]","[4.348400115966797, 6.473999977111816, 5.945399761199951]",,,"[45.0, 1.5, 18.874330520629883, 15.614999771118164, 4.925939559936523, 102.08131408691406, 2545.3017817828804, 6.6518532, 44.5587724]"
"[-3.2486824989318848, 17.30141258239746, 6.653831005096436]","[0.8075649738311768, 0.2563180029392242, 0.4800209999084472, 0.2274169921875, -1.0165036916732788, -0.6845400929450989, -2.984459400177002]","[-13.75, -40.125, -10.5625]","[-2.116124391555786, -0.3193254470825195, -1.210787296295166]","[-62.875, -54.75, 24.3125]","[-5.067599773406982, 8.901299476623535, -4.625899791717529]","[-2.08722186088562, -0.3507413566112518, -1.502030372619629]","[3.998699903488159, 6.200900077819824, 6.459699630737305]",,,
"[-2.26668643951416, 17.275535583496094, 2.153728008270264]","[0.7846710085868835, 0.2424190044403076, 0.4603370130062103, 0.3370650112628937, -0.8836982846260071, -0.762546956539154, -2.704960584640503]","[-17.0, -40.8125, -8.0625]","[0.622279703617096, -1.057320475578308, -0.2163859158754348]","[-66.125, -55.4375, 26.8125]","[-2.1440999507904053, 1.6104999780654907, 0.4803999960422516]","[0.5404062867164612, -1.231137752532959, -0.2686934471130371]","[4.497699737548828, 6.774099826812744, 5.481899738311768]",,,
"[-3.262990474700928, 8.232797622680664, 6.265673637390137]","[0.7652390003204346, 0.2126529961824417, 0.4888170063495636, 0.3608939945697784, -0.9428666234016418, -0.7454233765602112, -2.6537065505981445]","[-19.1875, -38.75, -6.8125]","[-1.3790370225906372, -0.6180909276008606, -0.7218332886695862]","[-68.3125, -53.375, 28.0625]","[1.1799999475479126, 6.499000072479248, -7.164999961853027]","[-1.542958378791809, -0.5964139103889465, -0.7538077235221863]","[4.233200073242188, 6.651599884033203, 5.831299781799316]",,,
"[-6.324437141418457, 6.441800594329834, 12.517040252685549]","[0.7387440204620361, 0.2047269940376281, 0.4922800064086914, 0.4123129844665527, -0.9130030274391174, -0.7872691750526428, -2.5258681774139404]","[-19.6875, -39.4375, -6.25]","[-0.9033300280570984, 0.0788539722561836, -0.0580321960151195]","[-68.8125, -54.0625, 28.625]","[-8.222800254821777, -3.31879997253418, 5.270899772644043]","[-0.4908913075923919, -0.1250702887773513, 0.2002590745687484]","[4.231499671936035, 6.947299957275391, 5.477099895477295]",,,
"[0.0830596461892128, 8.39871597290039, 7.671251773834228]","[0.7223150134086609, 0.2226520031690597, 0.4964359998703003, 0.4268909990787506, -0.912108302116394, -0.841281533241272, -2.5060698986053467]","[-18.4375, -40.1875, -4.1875]","[-0.1366941928863525, -0.084456481039524, 0.6266430020332336]","[-67.5625, -54.8125, 30.6875]","[-4.422299861907959, 8.66409969329834, 8.119199752807617]","[0.2339962869882583, 0.1878148764371872, 0.5137027502059937]","[4.00059986114502, 7.310799598693848, 5.168799877166748]",,,
"[-2.4586727619171143, 6.916915416717529, 5.936069011688232]","[0.7204909920692444, 0.2368409931659698, 0.5125709772109985, 0.4025770127773285, -0.9864924550056458, -0.8541033267974854, -2.6023387908935547]","[-15.5, -40.625, -5.125]","[-0.3531499207019806, 0.0163537357002496, 0.5835334062576294]","[-64.625, -55.25, 29.75]","[-3.4749999046325684, 4.118899822235107, 2.8152999877929688]","[-0.2642777562141418, -0.0922406539320945, 0.732724130153656]","[3.5533998012542725, 7.3939995765686035, 5.3730998039245605]",,,
"[1.556700348854065, 13.130491256713867, 5.54052734375]","[0.7110700011253357, 0.2581659853458404, 0.5252100229263306, 0.3897199928760528, -1.047264814376831, -0.8891204595565796, -2.6756913661956787]","[-12.6875, -41.625, -4.9375]","[0.1965764313936233, 0.0248185824602842, 0.8444077372550964]","[-61.8125, -56.25, 29.9375]","[-2.687099933624268, -3.0353000164031982, -2.164299964904785]","[0.2053728997707367, 0.1494176387786865, 0.8266053795814514]","[3.089099884033203, 7.614999771118164, 5.351399898529053]",right,STOP,
"[1.854136824607849, 9.764540672302246, 4.893834590911865]","[0.7068250179290771, 0.2969650030136108, 0.5376619696617126, 0.3508960008621216, -1.1521461009979248, -0.922529399394989, -2.8445816040039062]","[-7.875, -43.125, -5.25]","[0.107494831085205, 1.0007717609405518, 1.4199998378753662]","[-57.0, -57.75, 29.625]","[-2.2697999477386475, -0.4817999899387359, -0.1339000016450882]","[0.1720894575119018, 0.7914544343948364, 1.2805655002593994]","[2.407099962234497, 7.81719970703125, 5.409899711608887]",left,START,
"[2.783690452575684, 5.938673973083496, 6.416441440582275]","[0.714139997959137, 0.3495090007781982, 0.5353530049324036, 0.2850309908390045, -1.2585994005203247, -0.9346330761909484, -3.086216449737549]","[-1.0, -44.0, -6.625]","[-0.1008276715874672, 0.4149694740772247, 1.1443425416946411]","[-50.125, -58.625, 28.25]","[-1.250100016593933, 0.5356000065803528, -1.5139999389648438]","[0.1782853752374649, 0.6019291281700134, 1.2066508531570437]","[1.7894999980926514, 7.888299942016602, 5.544600009918213]",,,
