TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[4.115335941314697, 2.9675076007843018, 9.563016891479492]","[0.4676840007305145, 0.0345060005784034, 0.5329070091247559, 0.7043359875679016, -0.8083818554878235, -0.8994211554527283, -1.579535722732544]","[-33.5625, -33.125, -2.8125]","[0.0631285607814788, -0.3818954825401306, -0.2045525908470153]","[-66.0625, -4.9375, 54.3125]","[3.884099960327149, 0.8364999890327454, -4.672100067138672]","[-0.3760835528373718, 0.3947760164737701, -0.946788728237152]","[4.323999881744385, 7.734399795532227, 4.201399803161621]",,,
"[4.913486003875732, 12.250843048095703, 6.051057815551758]","[0.467844009399414, 0.0263369996100664, 0.5540450215339661, 0.6880850195884705, -0.8973901271820068, -0.9060988426208496, -1.6546921730041504]","[-32.875, -33.125, -5.75]","[-0.0194080621004104, -0.2259154170751571, 0.3820176720619201]","[-65.375, -4.9375, 51.375]","[-0.2252999991178512, 4.190099716186523, -3.573899984359741]","[0.1744456589221954, 0.1959306597709655, 0.4326671063899994]","[3.834199905395508, 7.656199932098389, 4.780099868774414]",,,"[45.0, 0.5262706875801086, 16.722185134887695, 12.244999885559082, 2.99683690071106, 216.25059509277344, 676.6001935005188, 18.896916, 49.6401655]"
"[5.0184478759765625, 7.861246585845947, 2.0521085262298584]","[0.427280992269516, 0.0205949991941452, 0.5583279728889465, 0.7108269929885864, -0.8727913498878479, -0.946456015110016, -1.5512903928756714]","[-32.625, -33.9375, -5.8125]","[-0.6575004458427429, -0.7198261618614197, -0.1233075112104415]","[-65.125, -5.75, 51.3125]","[1.7857999801635742, -1.742799997329712, -2.09309983253479]","[-1.0954384803771973, -0.6453704237937927, -0.2963743507862091]","[3.676399946212769, 7.9405999183654785, 4.427099704742432]",,,"[45.0, 0.4229442775249481, 12.90675163269043, 12.22700023651123, 3.046203851699829, 214.0733795166016, 675.585747548379, 18.8969172, 49.6401646]"
"[4.727255344390869, 8.874185562133789, 7.550526618957519]","[0.4255169928073883, 0.0176270008087158, 0.5715519785881042, 0.7013930082321167, -0.9276102185249328, -0.9557839632034302, -1.5976169109344482]","[-31.9375, -33.4375, -6.25]","[-0.1407608091831207, 0.1338143944740295, 0.2917492389678955]","[-64.4375, -5.25, 50.875]","[-1.2812999486923218, 0.9321999549865724, 0.98389995098114]","[-0.199700579047203, 0.0388684831559658, 0.4092797040939331]","[3.389699935913086, 8.011300086975098, 4.527299880981445]",,,
"[-1.6877398490905762, 0.7643632888793945, 6.566357135772705]","[0.4116980135440826, 0.0181259997189044, 0.566864013671875, 0.7133299708366394, -0.8906052112579346, -0.9678123593330384, -1.5384509563446045]","[-32.375, -33.75, -6.75]","[-0.5813516974449158, 0.4528431296348572, -0.1238485649228096]","[-64.875, -5.5625, 50.375]","[3.0535998344421387, 4.219799995422363, -5.672599792480469]","[-0.5536358952522278, -1.0668325424194336, -0.9812066555023192]","[3.506999969482422, 8.038399696350098, 4.387899875640869]",,,
"[5.42232084274292, 4.880398273468018, 9.08141803741455]","[0.3661099970340729, -0.0208229999989271, 0.5645570158958435, 0.7394620180130005, -0.8874081373214722, -0.9608693718910216, -1.405100703239441]","[-32.375, -32.4375, -7.4375]","[-0.6577796936035156, -0.5990144610404968, -0.8585274815559387]","[-64.875, -4.25, 49.6875]","[2.7670998573303223, 0.1718000024557113, -1.4536999464035034]","[0.2697057425975799, -0.5012062191963196, -0.1284038722515106]","[3.5286998748779297, 8.045999526977539, 4.356400012969971]",,,
"[4.202532768249512, 7.678645610809326, 1.1844019889831543]","[0.3527030050754547, -0.047784000635147, 0.5658739805221558, 0.7437080144882202, -0.9241418242454528, -0.940720558166504, -1.381663203239441]","[-33.6875, -30.8125, -9.5625]","[-0.3659082651138305, -0.6693686842918396, -0.0420973412692546]","[-66.1875, -2.625, 47.5625]","[-1.6366000175476074, 0.857699990272522, -0.0648999959230423]","[-0.4757243990898132, -0.1278628259897232, -0.1459269821643829]","[3.4213998317718506, 7.88979959487915, 4.713200092315674]",,,
"[6.084499359130859, 14.649124145507812, 3.9716739654541016]","[0.33091801404953, -0.0484169982373714, 0.5604979991912842, 0.7576209902763367, -0.880419909954071, -0.9566157460212708, -1.3026741743087769]","[-34.3125, -30.6875, -8.6875]","[-0.376205712556839, -0.384234219789505, -0.1821949183940887]","[-66.8125, -2.5, 48.4375]","[-1.2515000104904177, 0.0361000001430511, 0.0308999996632337]","[-0.3321012556552887, 0.1981472223997116, 0.1481086462736129]","[3.614899873733521, 8.01509952545166, 4.342700004577637]",,,"[45.0, 0.4876839816570282, 12.90675163269043, 12.211000442504885, 3.001717090606689, 212.8722076416016, 675.585747548379, 18.8969068, 49.6401526]"
"[-0.7146596312522888, 2.860812425613404, -0.1022324115037918]","[0.3161770105361938, -0.0288110002875328, 0.5616300106048584, 0.7640500068664551, -0.8267121911048889, -0.9972981214523317, -1.2536438703536987]","[-34.9375, -30.0, -7.625]","[-0.4160341322422027, 0.4076390862464905, 0.3336895108222961]","[-67.4375, -1.8125, 49.5]","[-2.959399938583374, 3.4251999855041504, 1.2378000020980835]","[-1.303865671157837, -0.5218185186386108, -1.028435230255127]","[3.59689998626709, 8.175999641418457, 4.047800064086914]",,,
"[2.065659761428833, 2.4830172061920166, 9.632065773010254]","[0.275858998298645, -0.0244660004973411, 0.5442879796028137, 0.7918660044670105, -0.6953979134559631, -1.0131593942642212, -1.0673422813415527]","[-35.875, -28.75, -8.0625]","[-0.6590363383293152, -0.4601211547851562, -0.5746670961380005]","[-68.375, -0.5625, 49.0625]","[-1.1237999200820925, 4.7114996910095215, -2.2144999504089355]","[0.3210533261299133, -1.1510969400405884, 0.1040914356708526]","[4.0167999267578125, 8.340999603271484, 3.2344000339508057]",,,
