TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[5.522111415863037, 8.51689338684082, 4.00996208190918]","[0.3960359990596771, -0.0638160035014152, 0.5581750273704529, 0.7263069748878479, -0.9671756029129028, -0.8637223839759827, -1.4733649492263794]","[-32.0, -28.875, -16.375]","[-0.1407608091831207, 0.3273015916347503, 0.3844611346721649]","[-65.4375, 0.3125, 42.0625]","[3.722299814224243, 1.624699950218201, 1.4124000072479248]","[-0.3077713549137115, 0.0399505868554115, 0.6508856415748596]","[3.3285999298095703, 7.769899845123291, 4.97160005569458]",right,START,
"[3.378256797790528, 9.632179260253906, 4.284089088439941]","[0.3836590051651001, -0.0383259989321231, 0.5744590163230896, 0.7220330238342285, -0.9740580320358276, -0.9275428652763368, -1.4946887493133545]","[-31.8125, -30.9375, -13.6875]","[-1.317217469215393, -0.1821076571941375, -0.630831778049469]","[-65.25, -1.75, 44.75]","[1.8366999626159668, -0.0149999996647238, -3.338500022888184]","[-1.1204490661621094, 0.25672048330307, -0.4072376787662506]","[3.468599796295166, 8.19379997253418, 4.122999668121338]",,,"[45.0, 0.3950910568237304, 10.441411972045898, 9.039999961853027, 3.037840843200684, 217.49703979492188, 714.5841266727075, 18.8985893, 49.6411794]"
"[5.227710247039795, 9.334772109985352, 3.728241205215454]","[0.3466320037841797, -0.0081789996474981, 0.5635280013084412, 0.749809980392456, -0.8351181745529175, -0.9961923956871032, -1.339551329612732]","[-33.375, -30.3125, -11.875]","[0.0061261057853698, -0.3557155430316925, -0.4737347066402435]","[-66.8125, -1.125, 46.5625]","[-0.3461999893188476, -3.827699899673462, 1.073099970817566]","[-0.1771160066127777, -0.3595203757286072, -0.4435928761959076]","[3.827499866485596, 8.162300109863281, 3.8595998287200928]",,,
"[4.384970664978027, 9.643892288208008, 3.107817411422729]","[0.3206430077552795, -0.0281690005213022, 0.5490090250968933, 0.7713509798049927, -0.7853185534477234, -0.9771258234977722, -1.2212997674942017]","[-34.5, -27.9375, -13.1875]","[-0.3095864951610565, -1.1555126905441284, -0.7070328593254089]","[-67.9375, 1.25, 45.25]","[-3.2860000133514404, 1.4642000198364258, -1.4394999742507937]","[-0.4641703069210052, -0.7983136177062988, -0.6667158007621765]","[4.041100025177002, 8.048199653625488, 3.8813998699188232]",,,
"[4.837398529052734, 8.245649337768555, 8.340766906738281]","[0.2762449979782104, -0.0678019970655441, 0.5361999869346619, 0.7947199940681458, -0.7710387706756592, -0.952380359172821, -1.081745743751526]","[-35.0, -24.5, -16.375]","[-1.049972653388977, -1.175933003425598, -0.5312781929969788]","[-68.4375, 4.6875, 42.0625]","[-3.8598999977111816, 0.3150999844074249, -0.8946999907493591]","[-0.3000569939613342, -1.0455219745635986, -0.6567150354385376]","[4.203099727630615, 7.853699684143066, 4.101399898529053]",,,
"[2.28313946723938, 11.51169490814209, 5.126023769378662]","[0.2308720052242279, -0.1070059984922409, 0.5227959752082825, 0.8135910034179688, -0.7677258849143982, -0.9294229745864868, -0.9525718688964844]","[-34.875, -23.125, -18.0625]","[-0.4624075293540954, -1.014367938041687, -0.5463404059410095]","[-68.3125, 6.0625, 40.375]","[-0.3700999915599823, -0.2248999923467636, 0.696399986743927]","[-0.0604407526552677, -0.9806656241416932, -0.5117305517196655]","[4.2829999923706055, 7.785799980163574, 4.1479997634887695]",,,
"[1.5741684436798096, 9.882067680358888, 3.764336109161377]","[0.1884389966726303, -0.1405089944601059, 0.5150920152664185, 0.8242729902267456, -0.7805918455123901, -0.9209852814674376, -0.8521323800086975]","[-34.375, -23.375, -19.0625]","[-0.8094139099121094, -0.3411071598529815, 0.0075398222543299]","[-67.8125, 5.8125, 39.375]","[-0.190200001001358, 2.553299903869629, -4.237599849700928]","[-0.8065166473388672, -0.3202853798866272, 0.1461015045642852]","[4.103099822998047, 8.05739974975586, 3.796299934387207]",,,"[45.0, 0.469703197479248, 10.441411972045898, 9.119999885559082, 2.975171566009521, 218.24913024902344, 714.5841266727075, 18.8985729, 49.641167]"
"[1.4897010326385498, 6.579821586608887, 5.981194972991943]","[0.1395920068025589, -0.140185996890068, 0.5226010084152222, 0.8293060064315796, -0.7399550676345825, -0.9749158620834352, -0.7390763163566589]","[-33.3125, -24.4375, -19.75]","[-0.3151366412639618, -0.4067140817642212, -0.218253418803215]","[-66.75, 4.75, 38.6875]","[-3.978399991989136, -2.0539000034332275, 0.9645999670028688]","[-0.2014109939336776, -0.3767816722393036, -0.3698701858520508]","[4.027499675750732, 8.133999824523926, 3.712999820709229]",,,
"[-2.8832316398620605, 6.3461761474609375, 4.578929901123047]","[0.1199000030755996, -0.1588979959487915, 0.5198280215263367, 0.8307539820671082, -0.759836733341217, -0.9712552428245544, -0.7021030783653259]","[-32.875, -24.1875, -20.6875]","[-0.3475648760795593, -0.6218957304954529, -0.5189038515090942]","[-66.3125, 5.0, 37.75]","[-0.0825999975204467, 2.713399887084961, -1.2045999765396118]","[-0.2228436321020126, -0.773163378238678, -0.256301611661911]","[4.064099788665772, 8.073800086975098, 3.803399801254273]",,,
"[3.4109044075012207, 11.263503074645996, 7.926655769348144]","[0.0975650027394294, -0.1732189953327179, 0.5153560042381287, 0.8335959911346436, -0.7610267996788025, -0.970905303955078, -0.648977518081665]","[-31.875, -24.0625, -21.875]","[-0.8513367176055908, 0.096761055290699, 0.282848060131073]","[-65.3125, 5.125, 36.5625]","[-4.192599773406982, 3.917099952697754, 0.7658999562263489]","[-0.6043900847434998, -0.2016378939151764, 0.1865931451320648]","[3.7709999084472656, 8.27239990234375, 3.676399946212769]",,,
"[1.7310940027236938, 4.385890007019043, 4.410243988037109]","[0.0684980005025863, -0.1733399927616119, 0.5281469821929932, 0.8284450173377991, -0.7551093697547913, -1.018523931503296, -0.600849449634552]","[-31.1875, -26.0625, -21.375]","[-0.2556034624576568, -0.6582509279251099, -0.1156106069684028]","[-64.625, 3.125, 37.0625]","[-0.4901999831199646, 4.996399879455566, 3.323499917984009]","[-0.8433605432510376, -0.7531968355178833, -0.6760882139205933]","[3.824399948120117, 8.399399757385254, 3.315500020980835]",,,
"[-1.859653115272522, 12.52069854736328, 5.019855499267578]","[0.0275209993124008, -0.1721909940242767, 0.51180499792099, 0.8412179946899414, -0.6515322327613831, -1.0190328359603882, -0.438494861125946]","[-32.1875, -24.625, -21.125]","[-0.8809025883674622, -0.1215272769331932, -0.5041732788085938]","[-65.625, 4.5625, 37.3125]","[-2.196799993515014, -3.034199953079224, 0.3343999981880188]","[-0.3583509922027588, 0.0045902160927653, -0.1765051484107971]","[4.079699993133545, 8.310199737548828, 3.235100030899048]",,,"[45.0, 0.4131268858909607, 11.271556854248049, 9.20300006866455, 2.9974560737609863, 221.54039001464844, 714.179760296829, 18.8985569, 49.641155]"
"[-5.6638383865356445, 25.412860870361328, 8.750146865844727]","[0.0714989975094795, -0.1815200001001358, 0.5113239884376526, 0.8369500041007996, -0.7419928312301636, -0.9790148735046388, -0.5791510939598083]","[-31.9375, -24.8125, -21.6875]","[1.812925815582276, 0.8750731945037842, 0.3629063069820404]","[-65.375, 4.375, 36.75]","[-2.6761999130249023, -2.90559983253479, -3.398399829864502]","[2.477547168731689, 0.3922627568244934, 1.1201348304748535]","[4.068699836730957, 8.12279987335205, 3.6926000118255615]",,,
"[0.5562113523483276, 13.929685592651367, -1.782617211341858]","[0.0719840005040168, -0.1905010044574737, 0.5078279972076416, 0.8370400071144104, -0.7609957456588745, -0.9661771059036256, -0.5851997137069702]","[-32.4375, -24.125, -21.625]","[0.8893150687217712, -0.0027227136306464, 0.1462062299251556]","[-65.875, 5.0625, 36.8125]","[-3.796599864959717, -1.6512999534606934, 0.6421999931335449]","[-0.4027870893478393, -0.001483529806137, -0.2593908309936523]","[4.061299800872803, 8.15310001373291, 3.633399963378906]",,,"[45.0, 0.4131268858909607, 11.271556854248049, 9.355999946594238, 3.0345263481140137, 225.3807373046875, 714.179760296829, 18.8985481, 49.6411499]"
"[-2.079843044281006, 4.852759838104248, 3.7978646755218506]","[0.0485479980707168, -0.2283709943294525, 0.508450984954834, 0.8288339972496033, -0.8464238047599792, -0.9625809192657472, -0.5790904760360718]","[-31.25, -22.875, -23.875]","[-0.2220931500196457, -0.8757014870643616, -0.18551105260849]","[-64.6875, 6.3125, 34.5625]","[-0.4370999932289123, 1.2365999221801758, -2.40939998626709]","[-0.2760587334632873, -1.1769453287124634, -0.3542669415473938]","[3.839999914169312, 8.050199508666992, 4.076499938964844]",,,
"[4.778644561767578, 9.603957176208496, 9.739803314208984]","[0.064810000360012, -0.2576000094413757, 0.5212169885635376, 0.8110319972038269, -0.9822980761528016, -0.9476686716079712, -0.694873571395874]","[-28.875, -22.3125, -27.125]","[0.1709899008274078, -0.2777516841888428, 0.5401270389556885]","[-62.3125, 6.875, 31.3125]","[-2.3526999950408936, 2.4545998573303223, -0.1862999945878982]","[0.5744576454162598, -0.1880941390991211, 0.4002912640571594]","[3.2156999111175537, 7.920699596405029, 4.805200099945068]",,,
"[4.097494125366211, 10.895054817199709, 5.427980899810791]","[0.0479069985449314, -0.2449329942464828, 0.5228340029716492, 0.815081000328064, -0.9326237440109252, -0.9770241379737854, -0.6401987671852112]","[-28.125, -22.875, -26.9375]","[-0.5541420578956604, 0.089709922671318, -0.1263967454433441]","[-61.5625, 6.3125, 31.5]","[0.7287999987602234, -0.7190999984741211, -0.4720000028610229]","[-0.5481904745101929, 0.1205848008394241, 0.0319395251572132]","[3.223199844360352, 8.09369945526123, 4.502500057220459]",,,
"[1.6314377784729004, 9.199997901916504, 4.389443397521973]","[0.0040870001539587, -0.2447109967470169, 0.512794017791748, 0.8228859901428223, -0.8544018268585205, -1.0008718967437744, -0.4979239404201507]","[-27.875, -24.75, -25.375]","[-0.5288696885108948, -0.4241673648357391, -0.3585779070854187]","[-61.3125, 4.4375, 33.0625]","[-1.1567000150680542, 2.3840999603271484, 1.6536999940872192]","[-0.8655261993408203, -0.3723136484622955, -0.5603030323982239]","[3.4220998287200928, 8.295199394226074, 3.955599784851074]",,,"[45.0, 0.457806259393692, 11.271556854248049, 9.505000114440918, 2.9676406383514404, 231.1698303222656, 714.179760296829, 18.8985368, 49.6411458]"
"[5.869701862335205, 13.449111938476562, 1.4546115398406982]","[-0.0272049997001886, -0.2510499954223633, 0.5069779753684998, 0.8241389989852905, -0.8206612467765808, -1.0146584510803225, -0.4085198640823364]","[-28.6875, -24.375, -25.5625]","[-0.2750639021396637, -0.6235014200210571, -0.0398284122347831]","[-62.125, 4.8125, 32.875]","[-3.757799863815308, 1.3286999464035034, 4.257800102233887]","[-0.548958420753479, -0.3492229282855987, -0.0823271796107292]","[3.551800012588501, 8.320899963378906, 3.783599853515625]",,,
"[3.318507432937622, 6.953834533691406, 4.45005464553833]","[-0.0230349991470575, -0.2341639995574951, 0.5232880115509033, 0.8190270066261292, -0.809308648109436, -1.05108380317688, -0.4306813180446625]","[-28.0625, -25.6875, -25.4375]","[0.0273493099957704, 0.4167148172855377, 0.4132765233516693]","[-61.5, 3.5, 33.0]","[-0.3471999764442444, -0.9210000038146972, 3.376699924468994]","[-0.131789818406105, 0.3040887117385864, 0.3016278147697449]","[3.416699886322021, 8.472100257873535, 3.5662999153137207]",,,
"[3.096823215484619, 10.122435569763184, 3.765102624893189]","[-0.0095140002667903, -0.2172299921512603, 0.5418189764022827, 0.8118810057640076, -0.8215953707695007, -1.0841763019561768, -0.4896788299083709]","[-27.8125, -27.25, -23.125]","[0.0637045204639434, 0.1596452593803405, 0.4174652993679046]","[-61.25, 1.9375, 35.3125]","[-1.077199935913086, -0.0245999991893768, 0.0206000003963708]","[-0.002076941775158, 0.4989372789859772, 0.5127777457237244]","[3.156299829483032, 8.654500007629395, 3.362599849700928]",,,
"[2.588170528411865, 7.644341468811035, 4.11729907989502]","[-0.0121809998527169, -0.2295980006456375, 0.5441259741783142, 0.8068839907646179, -0.8683358430862427, -1.083680510520935, -0.5141626596450806]","[-27.0625, -28.125, -23.875]","[-0.0095469513908028, -0.4466122984886169, -0.0588175952434539]","[-60.5, 1.0625, 34.5625]","[-2.2695000171661377, -1.22979998588562, 0.6209999918937683]","[0.0672649890184402, -0.220435082912445, 0.1110727563500404]","[3.014799833297729, 8.663199424743652, 3.468299865722656]",,,"[45.0, 0.4105859696865082, 11.856895446777344, 9.520000457763672, 2.9510154724121094, 237.59120178222656, 713.8972049253061, 18.8985204, 49.6411394]"
"[3.734408617019653, 9.08126449584961, 6.1859564781188965]","[-0.0279099997133016, -0.2489369958639145, 0.5421180129051208, 0.8020960092544556, -0.9077081084251404, -1.0834039449691772, -0.5014801621437073]","[-26.375, -27.9375, -25.1875]","[-0.0774053484201431, -0.3972020149230957, 0.0987332761287689]","[-59.8125, 1.25, 33.25]","[2.132099866867065, -0.0472999997437, 0.4447999894618988]","[0.1061683744192123, -0.5693787336349487, -0.1529606580734253]","[2.888799905776977, 8.637899398803711, 3.634599924087525]",,,
"[0.4024365842342376, 10.6798734664917, 2.65697979927063]","[-0.0570500008761882, -0.2621220052242279, 0.5356079936027527, 0.8007239699363708, -0.8928288817405701, -1.0922309160232544, -0.4239317178726196]","[-25.1875, -28.875, -24.875]","[-0.0369835272431373, -0.8009315729141235, -0.2102074474096298]","[-58.625, 0.3125, 33.5625]","[-3.6474997997283936, -1.7833999395370483, -1.0124000310897827]","[-0.3210707604885101, -0.5963441133499146, -0.1621934473514557]","[2.745299816131592, 8.726499557495117, 3.5326998233795166]",,,
"[4.3045735359191895, 8.685062408447266, 6.264045715332031]","[-0.0684499964118003, -0.265514999628067, 0.5323770046234131, 0.8008679747581482, -0.8786017894744873, -1.0953235626220703, -0.3877229988574981]","[-24.9375, -28.5625, -26.0625]","[-0.0258308723568916, -0.0690975859761238, 0.1035503819584846]","[-58.375, 0.625, 32.375]","[2.522199869155884, 1.909999966621399, 1.0655999183654783]","[-0.0638092383742332, -0.2109579443931579, -0.0627969428896904]","[2.890899896621704, 8.71049976348877, 3.4550998210906982]",,,
"[1.1319019794464111, 8.389138221740723, 2.769181728363037]","[-0.0664889961481094, -0.2614089846611023, 0.5358579754829407, 0.8000620007514954, -0.8763099312782288, -1.1021950244903564, -0.3949328064918518]","[-24.5, -28.6875, -25.75]","[0.0617322959005832, -0.0554665625095367, 0.1099557429552078]","[-57.9375, 0.5, 32.6875]","[-2.588899850845337, 1.9023998975753784, 0.8880999684333801]","[-0.0960280150175094, 0.2755525708198547, 0.0132470494136214]","[2.755599975585937, 8.776899337768555, 3.3973000049591064]",,,"[45.0, 0.4626084268093109, 11.856895446777344, 9.57800006866455, 2.527147054672241, 241.8524932861328, 713.8972049253061, 18.8985084, 49.6411371]"
"[4.486504077911377, 7.1449971199035645, 6.049027442932129]","[-0.0607529990375041, -0.2630800008773803, 0.540045976638794, 0.7971490025520325, -0.904328227043152, -1.1038787364959717, -0.4291317164897918]","[-24.4375, -28.4375, -26.1875]","[0.0060737458989024, -0.0440695621073246, 0.2949431836605072]","[-57.875, 0.75, 32.25]","[-2.6057000160217285, -0.9858999848365784, -0.4415999948978424]","[0.3074222803115845, 0.0296356901526451, 0.0527787581086158]","[2.7331998348236084, 8.743000030517578, 3.501199960708618]",,,
"[1.2285032272338867, 8.297900199890137, 2.6824731826782227]","[-0.0668530017137527, -0.2733150124549866, 0.5366529822349548, 0.79550701379776, -0.9232810139656068, -1.098149061203003, -0.4232660233974457]","[-24.3125, -28.5625, -26.125]","[-0.111107662320137, -0.3549999594688415, -0.0267209913581609]","[-57.75, 0.625, 32.3125]","[0.7487999796867371, 1.3953999280929563, 1.622099995613098]","[0.0638441443443298, -0.1827359646558761, -0.0653800368309021]","[2.663800001144409, 8.754300117492676, 3.5262999534606934]",,,
"[3.1877455711364746, 8.88925838470459, 3.866961479187012]","[-0.0768169984221458, -0.2751069962978363, 0.5404819846153259, 0.7913870215415955, -0.927124798297882, -1.114581823348999, -0.4104675352573395]","[-23.3125, -28.4375, -26.75]","[-0.2916794121265411, -0.1442514657974243, -0.0410675965249538]","[-56.75, 0.75, 31.6875]","[2.8966000080108643, -0.786799967288971, -0.5959999561309814]","[-0.1201659217476844, -0.1671327352523803, -0.0015533430268988]","[2.624500036239624, 8.769399642944336, 3.518399953842163]",,,
"[3.6121320724487305, 8.788836479187012, 4.3038649559021]","[-0.0861909985542297, -0.2817539870738983, 0.5357900261878967, 0.7912740111351013, -0.923790693283081, -1.1117664575576782, -0.3828542828559875]","[-23.375, -29.25, -26.875]","[-0.0295309703797101, 0.0287630259990692, -0.3119426965713501]","[-56.8125, -0.0625, 31.5625]","[-0.6101999878883362, 0.4438000023365021, 1.3622000217437744]","[-0.0112922806292772, -0.1823694556951522, -0.0375420302152633]","[2.6401000022888184, 8.813599586486816, 3.393899917602539]",,,
"[3.432040214538574, 8.827278137207031, 4.135753631591797]","[-0.0916899964213371, -0.2769699990749359, 0.5378040075302124, 0.7909780144691467, -0.902402639389038, -1.12339186668396, -0.3611335456371307]","[-23.1875, -29.0625, -26.75]","[-0.3617369532585144, -0.108070783317089, -0.0346447862684726]","[-56.625, 0.125, 31.6875]","[0.2974999845027923, -0.7543999552726746, -0.9364999532699584]","[-0.1696983575820922, 0.1936093717813491, 0.0679282173514366]","[2.6052000522613525, 8.844900131225586, 3.339099884033203]",,,
