time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-22 13:05:07.900,"[3.30723524093628, 12.232397079467772, 5.215797424316406]","[-0.2851940095424652, 0.1610240042209625, 0.6936829686164856, 0.6415119767189026, 1.594451904296875, -0.924244225025177, 1.7799139022827148]","[-22.125, -32.5625, 17.375]","[0.0689579620957374, 0.3722438216209411, 0.1067443341016769]","[-75.5, -52.25, 53.6875]","[1.7656999826431274, 0.1336999982595443, 8.165200233459473]","[0.4019144177436828, 0.2893232405185699, 0.0654323920607566]","[-0.382999986410141, 7.995999813079834, -5.664499759674072]",right,START
2024-03-22 13:05:08.000,"[-2.379568338394165, 5.7651801109313965, -4.151297092437744]","[-0.2656680047512054, 0.1583099961280822, 0.7057729959487915, 0.6373710036277771, 1.650989055633545, -0.9537009000778198, 1.810510754585266]","[-21.0, -33.1875, 17.3125]","[0.9536479115486144, 0.4250574707984924, 0.397306740283966]","[-74.375, -52.875, 53.625]","[6.455599784851074, 7.084399700164795, 1.8602999448776243]","[0.3731513917446136, 0.5445776581764221, 0.1977109014987945]","[-0.7775999903678894, 8.154999732971191, -5.390699863433838]",,
2024-03-22 13:05:08.100,"[8.2332763671875, 22.58452415466309, -3.239699602127075]","[-0.235275998711586, 0.1580400019884109, 0.7206479907035828, 0.6327189803123474, 1.733727216720581, -0.9928187727928162, 1.8477426767349243]","[-19.5, -34.75, 14.9375]","[0.6400471329689026, 0.1315978318452835, -0.2954667806625366]","[-72.875, -54.4375, 51.25]","[6.4430999755859375, 0.2529999911785126, 7.634999752044678]","[1.2272456884384155, 0.1555088311433792, -0.3932052254676819]","[-0.9611999988555908, 8.651399612426758, -4.516499996185303]",,
2024-03-22 13:05:08.200,"[-2.9303879737854004, 8.334685325622559, 3.094649314880371]","[-0.192914992570877, 0.1296990066766739, 0.7277770042419434, 0.6452140212059021, 1.7753247022628784, -1.0953797101974487, 1.867344856262207]","[-20.75, -35.0, 12.8125]","[0.8012632131576538, 0.267925500869751, -0.3022561073303222]","[-74.125, -54.6875, 49.125]","[3.6036999225616455, 4.601900100708008, 3.388099908828736]","[0.1801877915859222, 0.1315280050039291, -0.4321784377098083]","[-0.7793999910354614, 8.872300148010254, -4.104000091552734]",,
2024-03-22 13:05:08.300,"[-0.2387210726737976, 10.159613609313965, 3.741763591766357]","[-0.1723479926586151, 0.1211230009794235, 0.7225589752197266, 0.6584320068359375, 1.7488480806350708, -1.1427087783813477, 1.8229999542236328]","[-21.9375, -35.5625, 10.3125]","[0.941552758216858, -0.0173311196267604, -0.0924151837825775]","[-75.3125, -55.25, 46.625]","[0.833899974822998, 3.3711998462677, 1.4738999605178833]","[1.2288165092468262, 0.2035053968429565, -0.1157153323292732]","[-0.608299970626831, 9.249899864196776, -3.199899911880493]",,
2024-03-22 13:05:08.400,"[0.2892865836620331, 12.073604583740234, -2.826201915740967]","[-0.1275279968976974, 0.0913899987936019, 0.7219749689102173, 0.673895001411438, 1.7610992193222046, -1.2524714469909668, 1.8128662109375]","[-22.5, -36.25, 6.9375]","[1.1433128118515017, -0.2160717546939849, -0.2617295682430267]","[-75.875, -55.9375, 43.25]","[-2.603099822998047, -1.520699977874756, 2.205899953842163]","[1.1336785554885864, 0.0482583530247211, -0.3350857496261596]","[-0.4466999769210815, 9.54259967803955, -2.2156999111175537]",,
2024-03-22 13:05:08.500,"[-4.141260147094727, 10.012781143188477, 0.2884725630283355]","[-0.0913600027561187, 0.0531909987330436, 0.7190219759941101, 0.6868990063667297, 1.7623211145401, -1.3609929084777832, 1.81660544872284]","[-23.5, -36.4375, 1.8125]","[1.307059645652771, -0.8316144943237305, -0.2323033213615417]","[-76.875, -56.125, 38.125]","[4.081799983978272, 1.3047999143600464, -1.5571999549865725]","[1.2104207277297974, -0.6382319927215576, 0.4413937628269195]","[-0.4532999992370605, 9.73740005493164, -1.0708999633789062]",,
2024-03-22 13:05:08.600,"[5.290630340576172, 4.986537933349609, -0.4442872405052185]","[-0.0680390000343322, -0.0094029996544122, 0.7214639782905579, 0.6890360116958618, 2.0211069583892822, -1.475985765457153, 2.130805492401123]","[-22.5625, -36.625, -4.5625]","[0.9750805497169496, -1.0584548711776731, 0.2197369486093521]","[-75.9375, -56.3125, 31.75]","[-1.6455999612808228, -5.530099868774414, -1.657599925994873]","[1.174816012382507, -0.9558644890785216, 0.0221656821668148]","[-0.4528999924659729, 9.79599952697754, 0.0493000000715255]",,
2024-03-22 13:05:08.700,"[-4.14215087890625, 4.713991641998291, -3.1617636680603027]","[-0.0619320012629032, -0.082346998155117, 0.7194719910621643, 0.686834990978241, -2.68484878540039, -1.5163270235061646, -2.4803719520568848]","[-21.5625, -36.125, -9.9375]","[1.0040879249572754, -0.6833487749099731, 0.4672595560550689]","[-74.9375, -55.8125, 26.375]","[-8.654099464416504, -2.041800022125244, -2.0011000633239746]","[1.0238275527954102, -0.9869662523269652, 0.4397357106208801]","[-0.7404999732971191, 9.730199813842772, 0.9713999629020692]",,
2024-03-22 13:05:08.800,"[9.34804630279541, 29.83976936340332, 7.8597235679626465]","[-0.0585049986839294, -0.1491460055112838, 0.7257270216941833, 0.6690670251846313, -2.2772488594055176, -1.419467568397522, -1.981665849685669]","[-19.0, -35.5, -15.375]","[1.1436444520950315, -0.7297396063804626, 0.0101578161120414]","[-72.375, -55.1875, 20.9375]","[21.2455997467041, 0.8438000082969666, 0.4812999963760376]","[0.9751328825950624, -0.6335545182228088, 0.9772971272468568]","[-1.17139995098114, 9.580599784851074, 1.7348999977111816]",,
2024-03-22 13:05:08.900,"[-0.1745564639568328, 9.899612426757812, -2.782368898391724]","[-0.0480160005390644, -0.1969860047101974, 0.7167720198631287, 0.6671789884567261, -2.067373514175415, -1.3482898473739624, -1.7169420719146729]","[-20.0625, -33.125, -18.75]","[-0.056845374405384, -0.5093045234680176, 0.7152359485626221]","[-73.4375, -52.8125, 17.5625]","[-7.383199691772461, -6.507999897003174, -2.93969988822937]","[0.5602506995201111, 0.4340983033180237, -0.3931877613067627]","[-0.4521999955177307, 9.469599723815918, 2.50819993019104]",,
2024-03-22 13:05:09.000,"[-1.808034062385559, -1.997788906097412, -0.4272788166999817]","[-0.0374570004642009, -0.2290820032358169, 0.6930990219116211, 0.6824439764022827, -1.817732334136963, -1.2985299825668335, -1.4349359273910522]","[-20.0625, -32.9375, -19.5]","[0.4550597071647644, -0.5563237071037292, 0.2303311079740524]","[-73.4375, -52.625, 16.8125]","[30.00089836120605, 23.94209861755371, -7.931099891662598]","[0.0393397212028503, -0.1153488084673881, 0.4286354184150696]","[-0.7574999928474426, 9.439599990844728, 2.547299861907959]",,
2024-03-22 13:05:09.100,"[-10.526692390441896, 8.102189064025879, 7.31247615814209]","[-0.0313920006155967, -0.2256689965724945, 0.6802260279655457, 0.6966909766197205, -1.6708086729049685, -1.2941726446151731, -1.301672101020813]","[-20.0625, -32.1875, -20.3125]","[0.4971570372581482, -0.2129127085208892, -0.3110700249671936]","[-73.4375, -51.875, 16.0]","[12.895099639892578, 3.87749981880188, -7.452099800109863]","[-0.0456229075789451, 0.417639821767807, 0.4376238584518432]","[-0.5092999935150146, 9.439799308776855, 2.607599973678589]",,
2024-03-22 13:05:09.200,"[0.7984279990196228, 3.98356866836548, 0.1949646323919296]","[-0.0536549985408782, -0.2415480017662048, 0.6763219833374023, 0.6938030123710632, -1.6902329921722412, -1.3031233549118042, -1.2658073902130127]","[-21.0625, -31.375, -20.0]","[-0.1649510711431503, -0.7893251776695251, 0.0113271865993738]","[-74.4375, -51.0625, 16.3125]","[-8.573599815368652, -3.099299907684326, -8.079599380493164]","[-0.026616271585226, -0.7187615036964417, -0.2074847370386123]","[-0.2718999981880188, 9.444199562072754, 2.6270999908447266]",,
2024-03-22 13:05:09.300,"[0.3802375495433807, 21.37664794921875, 0.4382825493812561]","[-0.074082002043724, -0.2582690119743347, 0.6715729832649231, 0.6905050277709961, -1.7076895236968994, -1.3081845045089722, -1.2290369272232056]","[-19.375, -31.6875, -21.0]","[-0.1809731870889663, 0.1875356286764145, -0.5846853256225586]","[-72.75, -51.375, 15.3125]","[20.65379905700684, 8.484099388122559, 1.772699952125549]","[0.1724385321140289, -0.5833064913749695, 0.3469539880752563]","[-0.5600000023841858, 9.452099800109863, 2.5518999099731445]",,
