time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-20 14:01:07.000,"[1.1585637331008911, 6.408961772918701, -0.6322032809257507]","[0.7414199709892273, 0.6135150194168091, 0.2698799967765808, 0.0325290001928806, -1.296112060546875, -1.1871404647827148, 2.284653186798096]","[18.625, -41.875, -3.75]","[0.4679227769374847, 0.5851041674613953, 0.1556833684444427]","[-28.9375, -54.4375, 32.0]","[-3.6237998008728014, -1.9936999082565308, 1.5858999490737915]","[-0.7056366205215454, -0.7163180112838745, -0.6227858066558838]","[0.9955999851226808, 9.09369945526123, 3.532999992370605]",left,START,skidded_long,intermediate,red
2024-03-20 14:01:07.100,"[0.9386132955551147, 4.546282768249512, 2.547727584838867]","[0.7470909953117371, 0.6094579696655273, 0.2651990056037903, 0.0091439997777342, -1.277130126953125, -1.1567268371582031, 2.2635433673858643]","[20.3125, -40.0625, -7.375]","[0.2814866900444031, 2.187560796737671, 1.6248492002487185]","[-27.25, -52.625, 28.375]","[3.006099939346313, -2.309299945831299, -2.0799999237060547]","[0.806429386138916, 1.502047777175903, 1.574199676513672]","[1.1419999599456787, 8.977899551391602, 3.776599884033203]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.200,"[-3.759729623794556, 3.295340776443481, 9.773313522338867]","[-0.7186020016670227, -0.6566579937934875, -0.2170269936323166, 0.0728569999337196, -1.4647202491760254, -1.148444890975952, 1.8857593536376955]","[25.0, -34.4375, -13.375]","[-0.1164832711219787, 1.6446586847305298, 2.0866284370422363]","[-22.5625, -47.0, 22.375]","[-3.190999984741211, -6.718800067901611, 2.1712000370025635]","[0.4940852522850036, 1.622632622718811, 2.1697235107421875]","[0.4254999756813049, 8.944899559020996, 3.9970998764038086]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.300,"[5.736918926239014, 15.793926239013672, 3.978569507598877]","[-0.6630910038948059, -0.7164719700813293, -0.1446339935064315, 0.161421999335289, -1.7313014268875122, -1.1278156042099, 1.385944128036499]","[30.1875, -28.375, -16.5625]","[-2.372897386550904, 4.41599702835083, 4.573949337005615]","[-17.375, -40.9375, 19.1875]","[1.1523000001907349, -3.240799903869629, 5.745500087738037]","[-0.5104564428329468, 1.0085210800170898, 3.87738847732544]","[-0.6717999577522278, 8.860099792480469, 4.149399757385254]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.400,"[3.874804735183716, 0.6400467753410339, -2.3894708156585693]","[-0.5941470265388489, -0.7633939981460571, -0.0359519980847835, 0.2508499920368194, -1.9469199180603027, -1.0953738689422607, 0.8806769847869873]","[31.625, -23.4375, -20.6875]","[-0.4209908545017242, 1.4686596393585205, 3.2030107975006104]","[-15.9375, -36.0, 15.0625]","[3.4530999660491943, -15.377799987792969, -1.723099946975708]","[-1.321755290031433, 0.9261415004730223, 2.693898200988769]","[-1.6486999988555908, 8.718999862670898, 4.174799919128418]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.500,"[3.3644473552703857, -0.2626343369483948, 0.2005670666694641]","[-0.5269609689712524, -0.8019530177116394, 0.0309280008077621, 0.2796880006790161, -2.176620483398437, -1.0401818752288818, 0.505739152431488]","[30.8125, -20.5625, -23.25]","[-0.3894702196121216, 0.6125756502151489, 0.0235793981701135]","[-16.75, -33.125, 12.5]","[5.630699634552002, -2.0543999671936035, -7.374499797821045]","[-0.4913974404335022, 0.6171309947967529, -0.5324475765228271]","[-2.825999975204468, 8.458199501037598, 4.0794997215271]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.600,"[-2.8716917037963867, 18.2591495513916, 11.755558967590332]","[-0.5154969692230225, -0.8030419945716858, 0.050671998411417, 0.2946479916572571, -2.1818368434906006, -1.0309587717056274, 0.4474662840366363]","[31.3125, -16.375, -24.625]","[-1.030756592750549, 1.1078652143478394, 0.2945766746997833]","[-16.25, -28.9375, 11.125]","[3.686199903488159, 2.816499948501587, 4.138499736785889]","[-0.4960574805736542, 1.246828317642212, 1.6549561023712158]","[-2.8917999267578125, 8.411999702453613, 4.128399848937988]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.700,"[1.0664349794387815, 5.08775520324707, 5.8311262130737305]","[-0.4778670072555542, -0.8093410134315491, 0.0984899997711181, 0.3269689977169037, -2.2188704013824463, -0.9934630393981934, 0.2842714488506317]","[29.8125, -15.3125, -27.3125]","[-0.0080459676682949, 0.6012659072875977, 1.373172640800476]","[-17.75, -27.875, 8.4375]","[4.211599826812744, -4.804399967193604, 0.0379000008106231]","[0.0880169570446014, 0.4190360903739929, 1.0762224197387695]","[-3.230899810791016, 8.217199325561523, 4.267099857330322]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.800,"[3.0182645320892334, 11.71208953857422, 1.0150936841964722]","[-0.440667986869812, -0.8146730065345764, 0.1435990035533905, 0.3485659956932068, -2.26662015914917, -0.9581133723258972, 0.1276912987232208]","[28.0, -14.25, -29.6875]","[-0.309778481721878, 0.4760560095310211, 0.0824493542313575]","[-19.5625, -26.8125, 6.0625]","[7.3217997550964355, 7.285199642181396, -5.269799709320068]","[-0.2838603556156158, 0.917100727558136, 0.1029918789863586]","[-3.614899873733521, 8.022899627685547, 4.328399658203125]",,,skidded_long,intermediate,red
2024-03-20 14:01:07.900,"[-0.1021366417407989, 9.228067398071287, 4.970314979553223]","[-0.4429480135440826, -0.7950850129127502, 0.174028992652893, 0.3759660124778747, -2.2028536796569824, -0.9885337948799132, 0.1026160717010498]","[24.9375, -15.8125, -31.4375]","[-0.4456698298454284, 1.1165744066238403, -0.13578662276268]","[-22.625, -28.375, 4.3125]","[4.588399887084961, 0.3899999856948852, -0.3301999866962433]","[-0.2484476119279861, 0.977855622768402, 0.0132994093000888]","[-3.186100006103516, 8.190699577331543, 4.35099983215332]",,,skidded_long,intermediate,red
