time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-20 13:47:54.000,"[1.9196325540542605, 10.499637603759766, 3.859520196914673]","[-0.6238449811935425, -0.7426720261573792, -0.1248949989676475, 0.2089390009641647, -1.8513309955596924, -1.0642669200897217, 1.16740620136261]","[25.0625, -23.5625, -27.25]","[0.2153736352920532, 0.3246836066246032, 1.1930023431777954]","[-24.75, -37.0, 8.625]","[4.033599853515625, 2.251199960708618, -1.1196999549865725]","[0.1448623239994049, 0.8935038447380066, 1.3397321701049805]","[-1.317199945449829, 8.575200080871582, 4.571599960327148]",left,START,carving_short,intermediate,blue
2024-03-20 13:47:54.100,"[1.6714975833892822, 14.152825355529783, 2.175419330596924]","[-0.5765619874000549, -0.7762879729270935, -0.0998630002140998, 0.2344760000705719, -2.010104417800904, -1.0128142833709717, 0.9331294298171996]","[27.125, -20.5, -28.3125]","[-0.3437251448631286, 0.5015552639961243, 1.1293152570724487]","[-22.6875, -33.9375, 7.5625]","[4.52269983291626, 9.126699447631836, 0.4000999927520752]","[-0.3822969198226928, 0.5809328556060791, 1.00216805934906]","[-2.2082998752593994, 8.319199562072754, 4.699299812316895]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.200,"[1.3924198150634766, 9.978447914123535, 0.2855229079723358]","[-0.5469170212745667, -0.7967060208320618, -0.0603919997811317, 0.2499839961528778, -2.10827112197876, -0.9996284246444702, 0.7529563307762146]","[27.6875, -19.6875, -27.625]","[0.2808060348033905, 0.2807536721229553, 0.0411548651754856]","[-22.125, -33.125, 8.25]","[2.371000051498413, -2.513099908828736, 0.4079999923706054]","[-0.4434707164764404, 0.8052250742912292, 0.300685316324234]","[-2.714200019836426, 8.25, 4.553999900817871]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.300,"[0.4622916281223297, 12.785057067871094, 9.345995903015137]","[-0.5384129881858826, -0.7986029982566833, -0.0552099980413913, 0.2632389962673187, -2.1014928817749023, -0.9807044863700868, 0.7313862442970276]","[28.25, -18.375, -27.9375]","[-0.1711993515491485, 0.1466425657272339, -0.0264068320393562]","[-21.5625, -31.8125, 7.9375]","[2.183199882507324, 0.5795999765396118, 3.345000028610229]","[0.2562492489814758, -0.2980324327945709, 0.045396015048027]","[-2.7617998123168945, 8.148200035095215, 4.706199645996094]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.400,"[2.528669595718384, 12.784501075744627, 5.245849132537842]","[-0.5353040099143982, -0.8009499907493591, -0.0587889999151229, 0.2616710066795349, -2.1122639179229736, -0.973282277584076, 0.7279700636863708]","[27.8125, -19.0625, -27.9375]","[-0.7424805164337158, 0.0298276767134666, 0.1488591283559799]","[-22.0, -32.5, 7.9375]","[2.951299905776977, 2.454200029373169, 1.028599977493286]","[-0.85248863697052, 0.4016875326633453, 0.0459894239902496]","[-2.843400001525879, 8.107500076293945, 4.72790002822876]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.500,"[0.3572723567485809, 2.3150110244750977, 0.5758342146873474]","[-0.5391830205917358, -0.7997540235519409, -0.0290840007364749, 0.2623499929904938, -2.1278529167175293, -1.0106308460235596, 0.6687625050544739]","[26.375, -20.5625, -28.5625]","[0.4242546260356903, 0.7991862893104553, 0.814143717288971]","[-23.4375, -34.0, 7.3125]","[3.0586998462677, -1.305899977684021, -0.9805999994277954]","[-0.4086513817310333, 0.5785766243934631, 0.472722440958023]","[-2.754699945449829, 8.307799339294434, 4.422699928283691]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.600,"[-0.51144939661026, 6.250245571136475, 1.8266609907150269]","[-0.5323619842529297, -0.7962849736213684, -0.0050659999251365, 0.2872180044651031, -2.0959949493408203, -1.0064036846160889, 0.6270909905433655]","[25.125, -19.125, -30.25]","[0.7128797173500061, -0.3043155968189239, 0.0685041695833206]","[-24.6875, -32.5625, 5.625]","[2.2769999504089355, -3.764899969100952, -1.459299921989441]","[0.5348038077354431, 0.2570695579051971, -0.1277057379484176]","[-2.629999876022339, 8.285699844360352, 4.538599967956543]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.700,"[1.3043227195739746, 10.837363243103027, 4.047618389129639]","[-0.5259119868278503, -0.7928529977798462, -0.0233360007405281, 0.3070099949836731, -2.0385568141937256, -0.9607352614402772, 0.6792786717414856]","[23.9375, -18.5625, -31.25]","[-0.7219380140304565, 0.370411217212677, -0.0098436567932367]","[-25.875, -32.0, 4.625]","[2.8666000366210938, 2.641700029373169, 0.6434999704360962]","[-0.6211801171302795, 0.6208834052085876, -0.1587900519371032]","[-2.533200025558472, 8.037599563598633, 5.014800071716309]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.800,"[-0.5224818587303162, 6.386197566986084, 4.996277332305908]","[-0.5379649996757507, -0.7834020256996155, 0.0128089999780058, 0.3109810054302215, -2.019178628921509, -1.017605543136597, 0.6417960524559021]","[22.625, -20.875, -30.9375]","[-0.361021339893341, 0.4183728694915771, 0.0527089424431324]","[-27.1875, -34.3125, 4.9375]","[2.204200029373169, -1.0477999448776243, 1.3192999362945557]","[-0.4707327485084533, 0.2117957025766372, 0.0440695621073246]","[-2.233599901199341, 8.343999862670898, 4.643099784851074]",,,carving_short,intermediate,blue
2024-03-20 13:47:54.900,"[0.9469738006591796, 9.651199340820312, 3.022794723510742]","[-0.5416499972343445, -0.7804210186004639, 0.035530999302864, 0.3103139996528625, -2.0303242206573486, -1.050117254257202, 0.5995454788208008]","[22.3125, -21.5625, -31.3125]","[-0.0597775280475616, 0.3011391162872314, 0.1808859258890152]","[-27.5, -35.0, 4.5625]","[2.7520999908447266, 1.2994999885559082, -0.5378999710083008]","[0.0662003383040428, 0.3472855985164642, 0.163066104054451]","[-2.1636998653411865, 8.506999969482422, 4.372299671173096]",,,carving_short,intermediate,blue
2024-03-20 13:47:55.000,"[-0.8199087381362915, 7.851468086242676, 4.020822048187256]","[-0.5321090221405029, -0.7815250158309937, 0.0490729995071888, 0.3219769895076751, -2.0359647274017334, -1.041799545288086, 0.555046021938324]","[20.625, -21.9375, -31.25]","[-0.7569493055343628, -0.2284810543060302, 0.2216393649578094]","[-29.1875, -35.375, 4.625]","[2.161099910736084, 4.527499675750732, 0.4505999982357025]","[-0.6941523551940918, 0.7450286746025085, -0.2698279023170471]","[-2.220000028610229, 8.46619987487793, 4.423199653625488]",,,carving_short,intermediate,blue
2024-03-20 13:47:55.100,"[0.5849322080612183, 8.933053970336914, 5.805718898773193]","[-0.5388110280036926, -0.7707319855690002, 0.0870589986443519, 0.3287459909915924, -2.028122663497925, -1.0925391912460327, 0.4985630810260772]","[19.25, -23.25, -31.1875]","[-0.2785370945930481, 0.3768165707588196, 0.0046425759792327]","[-30.5625, -36.6875, 4.6875]","[1.9143999814987185, -0.0665999948978424, 2.560099840164185]","[-0.3532720804214477, 0.5476145148277283, -0.0548207908868789]","[-1.992799997329712, 8.706299781799316, 4.049499988555908]",,,carving_short,intermediate,blue
2024-03-20 13:47:55.200,"[0.0366025529801845, 5.562496662139893, 7.601619243621826]","[-0.5464159846305847, -0.760450005531311, 0.1040610000491142, 0.3351339995861053, -1.993719458580017, -1.1215918064117432, 0.4994488954544067]","[17.5625, -24.5, -30.625]","[-0.0616275742650032, -0.3289596438407898, -0.4003785252571106]","[-32.25, -37.9375, 5.25]","[1.659500002861023, 1.9828999042510984, -3.5105998516082764]","[-0.156119704246521, 0.3700970709323883, -0.7650127410888672]","[-1.7477999925613403, 8.833700180053711, 3.88319993019104]",,,carving_short,intermediate,blue
2024-03-20 13:47:55.300,"[1.687471628189087, 9.272743225097656, 4.321275234222412]","[-0.5597469806671143, -0.7433369755744934, 0.1119839996099472, 0.348699003458023, -1.890641450881958, -1.1439083814620972, 0.5713064670562744]","[15.0625, -25.5, -32.0]","[0.195721223950386, 0.684535562992096, -0.4685336351394653]","[-34.75, -38.9375, 3.875]","[-0.2138999998569488, -3.7289998531341553, 3.745699882507324]","[0.0538259521126747, 0.4054749011993408, -0.4650255143642425]","[-1.276600003242493, 8.926599502563477, 3.854299783706665]",,,carving_short,intermediate,blue
2024-03-20 13:47:55.400,"[-0.4987696707248688, 10.379295349121094, 3.6548352241516113]","[-0.5696409940719604, -0.7242180109024048, 0.1147919967770576, 0.3712649941444397, -1.753841757774353, -1.144068717956543, 0.6690348982810974]","[12.0625, -25.0625, -32.75]","[0.0814370661973953, 0.2831971347332001, -0.3884230256080627]","[-37.75, -38.5, 3.125]","[0.4249999821186065, 3.782099962234497, 0.6965000033378601]","[0.0336324945092201, 0.4127878248691559, -0.5550495982170105]","[-0.7387999892234802, 8.927199363708496, 3.990999937057495]",,,carving_short,intermediate,blue
2024-03-20 13:47:55.500,"[1.782243728637695, 8.361624717712402, 5.041872501373291]","[-0.5834720134735107, -0.7021350264549255, 0.1090319976210594, 0.3932900130748749, -1.5937615633010864, -1.1316492557525637, 0.8028489351272583]","[9.4375, -24.5, -33.875]","[-0.0661654323339462, 0.5240350961685181, -0.6803118586540222]","[-40.375, -37.9375, 2.0]","[1.1841999292373655, -1.570199966430664, 1.7940999269485474]","[0.0456054545938968, 0.0889768823981285, -0.7035596966743469]","[-0.0956999957561492, 8.876099586486816, 4.168299674987793]",,,carving_short,intermediate,blue
2024-03-20 13:47:55.600,"[2.6853556632995605, 8.210387229919434, 8.85672664642334]","[-0.6078889966011047, -0.6728609800338745, 0.1041959971189498, 0.4084979891777038, -1.400373935699463, -1.1271144151687622, 0.9796686172485352]","[6.125, -25.3125, -33.75]","[-0.6190159320831299, -0.0325678437948226, -0.6210405230522156]","[-43.6875, -38.75, 2.125]","[-1.468999981880188, -0.8744999766349792, 3.559299945831299]","[-0.2638065218925476, 0.1189616397023201, -1.028976321220398]","[0.7138999700546265, 8.857099533081055, 4.148600101470947]",left,STOP,carving_short,intermediate,blue
2024-03-20 13:47:55.700,"[0.0331549048423767, 6.190074443817139, 2.778078317642212]","[-0.6455249786376953, -0.6395249962806702, 0.0989260002970695, 0.4056079983711242, -1.1771057844161987, -1.133521556854248, 1.2162290811538696]","[3.1875, -27.25, -32.5]","[-0.2623927891254425, -0.6757740378379822, -1.3086129426956177]","[-46.625, -40.6875, 3.375]","[-3.269899845123291, -0.116699993610382, -1.9914000034332275]","[-0.5683664679527283, 0.1044928655028343, -1.4031574726104736]","[1.5929999351501465, 8.883899688720703, 3.835099935531616]",right,START,carving_short,intermediate,blue
