time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 11:50:13.200,"[2.6013383865356445, 9.433892250061035, 2.7536957263946533]","[-0.3567669987678528, -0.3865259885787964, 0.2639749944210052, 0.8084740042686462, -0.6606644988059998, -0.779091477394104, 0.5514655709266663]","[-23.3125, -8.6875, -35.875]","[0.3763279020786285, -2.0544445514678955, -1.023845076560974]","[-72.25, -22.3125, -1.25]","[1.6196999549865725, -1.81059992313385, -4.7820000648498535]","[-0.4498237073421478, -1.082680106163025, -1.2125849723815918]","[5.509599685668945, 6.890399932861328, 4.281899929046631]",right,START
2024-03-20 11:50:13.300,"[5.893461227416992, 9.249011993408203, 9.892170906066896]","[-0.4111230075359344, -0.4260860085487366, 0.1996529996395111, 0.7807469964027405, -0.7325234413146973, -0.7236234545707703, 0.6810355186462402]","[-17.9375, -6.1875, -39.0]","[-0.582433819770813, -1.2455716133117676, -0.7289193272590637]","[-66.6875, -19.875, -3.75]","[-8.190199851989746, 4.539400100708008, -1.7078999280929563]","[-0.0519759058952331, -1.4015692472457886, -0.4424758851528168]","[5.4639997482299805, 6.493000030517578, 4.914700031280518]",,
2024-03-20 11:50:13.400,"[0.6179147362709045, 5.4598236083984375, 9.3306245803833]","[-0.4686129987239837, -0.4334990084171295, 0.1707910001277923, 0.7505390048027039, -0.7143635153770447, -0.7243611812591553, 0.8353508710861206]","[-15.3125, -10.4375, -39.625]","[0.1030442416667938, -2.0754058361053467, -0.3658733665943146]","[-64.0625, -24.125, -4.375]","[-1.29259991645813, 4.8673996925354, -13.392399787902832]","[0.4194549918174743, -0.7330033779144287, -0.6490879654884338]","[5.548699855804443, 6.49839973449707, 4.8115997314453125]",,
2024-03-20 11:50:13.500,"[-6.3543548583984375, 22.86622428894043, -0.1121731400489807]","[-0.5008839964866638, -0.4500269889831543, 0.1234920024871826, 0.7289299964904785, -0.7561538219451904, -0.6826568245887756, 0.9237607717514038]","[-12.125, -9.25, -40.6875]","[0.3058864176273346, -0.8681442141532898, -1.1579387187957764]","[-60.875, -22.9375, -5.4375]","[2.4863998889923096, 11.210299491882324, -14.134900093078612]","[0.5962742567062378, -0.7283259034156799, -1.1707319021224976]","[5.535299777984619, 6.1865997314453125, 5.220699787139893]",,
2024-03-20 11:50:13.600,"[2.405195713043213, 5.9023966789245605, 2.4359564781188965]","[-0.555275022983551, -0.449209988117218, 0.0827189981937408, 0.6950079798698425, -0.7404260635375977, -0.6609295010566711, 1.0834754705429075]","[-10.125, -12.125, -40.75]","[-0.4602433145046234, -0.493055522441864, -0.5802521705627441]","[-58.875, -25.8125, -5.5]","[-7.332699775695801, 14.819199562072754, -6.977799892425537]","[-0.616973876953125, -0.3799232840538025, -0.5499532222747803]","[5.714600086212158, 6.019799709320068, 5.222399711608887]",,
2024-03-20 11:50:13.700,"[-0.4541321694850921, 3.827552795410156, 18.81629943847656]","[-0.5919029712677002, -0.4555079936981201, 0.0559829995036125, 0.6625909805297852, -0.7483233213424683, -0.6603847146034241, 1.19066321849823]","[-7.5625, -13.25, -40.9375]","[-1.2022700309753418, -0.743702232837677, -0.535100519657135]","[-56.3125, -26.9375, -5.6875]","[-5.567699909210205, 8.047100067138672, -7.132899761199951]","[0.3329041004180908, -0.939667820930481, -0.3325201272964477]","[5.675600051879883, 6.015599727630615, 5.269599914550781]",,
2024-03-20 11:50:13.800,"[3.8196423053741455, 23.043779373168945, -15.138815879821776]","[-0.6290450096130371, -0.466390997171402, 0.023234000429511, 0.6214820146560669, -0.7733715772628784, -0.6631990075111389, 1.3043047189712524]","[-3.75, -16.4375, -40.5625]","[1.1196985244750977, -0.5392718315124512, -0.4238881170749664]","[-52.5, -30.125, -5.3125]","[0.0599999986588954, 6.132599830627441, -3.025099992752075]","[0.662352442741394, -1.2303000688552856, -0.2352703809738159]","[5.529699802398682, 6.037299633026123, 5.398299694061279]",,
2024-03-20 11:50:13.900,"[-11.048962593078612, 9.59470558166504, -3.77732253074646]","[-0.6553390026092529, -0.4824149906635284, -0.0187619999051094, 0.5809069871902466, -0.8311426639556885, -0.6566826105117798, 1.3926407098770142]","[-2.6875, -19.25, -39.375]","[-0.9994104504585266, -0.362382709980011, -1.4261609315872192]","[-51.4375, -32.9375, -4.125]","[-6.882699966430664, 10.262700080871582, 10.32569980621338]","[-1.4873870611190796, 0.3946712911128998, -1.3317735195159912]","[5.235199928283691, 5.986799716949463, 5.737499713897705]",,
2024-03-20 11:50:14.000,"[-7.892179489135742, -5.562803268432617, 21.13947868347168]","[-0.7114909887313843, -0.4657770097255707, -0.0364339984953403, 0.5248849987983704, -0.7648939490318298, -0.6745487451553345, 1.590124011039734]","[-1.5625, -21.1875, -38.875]","[0.8377580642700195, -0.6647610068321228, 0.9770004153251648]","[-50.3125, -34.875, -3.625]","[-4.417299747467041, -0.2406999915838241, 15.614099502563477]","[1.7700954675674438, -0.8854230046272278, 0.587582528591156]","[5.5254998207092285, 6.124599933624268, 5.303400039672852]",,
2024-03-20 11:50:14.100,"[2.047281742095948, 17.49698829650879, -1.4822885990142822]","[-0.6875410079956055, -0.4901370108127594, -0.0556930005550384, 0.5328689813613892, -0.8622174263000488, -0.6619097590446472, 1.5094364881515503]","[0.8125, -22.5625, -37.5625]","[0.0283092409372329, 0.0362330339848995, 0.5087634921073914]","[-47.9375, -36.25, -2.3125]","[-3.994499921798706, 4.85789966583252, -2.6080000400543213]","[-0.4219682514667511, -0.136502206325531, 0.4027870893478393]","[5.033999919891357, 6.027400016784668, 5.873600006103516]",,
2024-03-20 11:50:14.200,"[-0.98546302318573, 3.2479164600372314, 5.603150367736816]","[-0.6877589821815491, -0.5057960152626038, -0.0392850004136562, 0.5192430019378662, -0.8735117316246033, -0.7140960693359375, 1.5034042596817017]","[1.5, -23.25, -37.3125]","[-0.1027300804853439, -0.7566700577735901, 0.1399928629398346]","[-47.25, -36.9375, -2.0625]","[-7.337800025939941, 1.726599931716919, -1.2973999977111816]","[0.1474628746509552, -0.0276460144668817, 0.2948035597801208]","[4.758699893951416, 6.422699928283691, 5.680999755859375]",,
