time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 13:20:00.500,"[0.3111791610717773, 8.05643081665039, -5.772784233093262]","[-0.6515740156173706, -0.3222669959068298, 0.5966879725456238, 0.3399370014667511, 1.4281392097473145, -0.9713253974914552, 3.037893295288086]","[-4.0, -47.5, 9.9375]","[0.0699527934193611, 0.0464606657624244, 0.0026529005263]","[-357.0625, -59.5625, -105.6875]","[0.0469000004231929, -0.339599996805191, 0.3576000034809112]","[0.0640361309051513, 0.0488692186772823, 0.0045378562062978]","[0.7865999937057495, 8.096699714660645, -5.4766998291015625]",right,START
2024-02-25 13:20:00.600,"[0.9368319511413574, 7.621720790863037, -4.525012493133545]","[-0.6533889770507812, -0.324194997549057, 0.5955740213394165, 0.3365559875965118, 1.4282530546188354, -0.969386637210846, 3.0466465950012207]","[-3.5, -47.8125, 9.5]","[0.0180117972195148, -0.1323134154081344, 0.0507541745901107]","[-356.5625, -60.0, -106.0625]","[0.1727999895811081, -0.0346999987959861, -0.4013999998569488]","[0.0120951319113373, -0.1299048513174057, 0.0526391305029392]","[0.7881999611854553, 8.085899353027344, -5.492300033569336]",,
2024-02-25 13:20:00.700,"[0.9476441740989684, 7.962587833404541, -5.802357196807861]","[-0.6588450074195862, -0.3246150016784668, 0.593500018119812, 0.3290950059890747, 1.4227546453475952, -0.9585824012756348, 3.0573983192443848]","[-3.5625, -47.375, 10.75]","[-0.1168323382735252, -0.1673421710729599, 0.058102011680603]","[-356.625, -59.625, -105.0]","[0.3650999963283539, -0.0428999997675418, 0.1999000012874603]","[-0.1227664574980735, -0.1649510711431503, 0.0599869675934314]","[0.8312000036239624, 8.02549934387207, -5.573999881744385]",,
2024-02-25 13:20:00.800,"[1.115334153175354, 8.130805015563965, -5.20280122756958]","[-0.66355299949646, -0.323740005493164, 0.5922250151634216, 0.322735995054245, 1.4178800582885742, -0.9474027752876282, 3.0646896362304688]","[-3.375, -47.625, 10.5]","[-0.1176002845168113, -0.0955567732453346, 0.0363203026354312]","[-356.5625, -59.8125, -105.125]","[-0.2933999896049499, -0.2735999822616577, 0.1665000021457672]","[-0.1235169470310211, -0.093165673315525, 0.0382052585482597]","[0.871999979019165, 7.961999893188477, -5.658199787139893]",,
2024-02-25 13:20:00.900,"[2.6503047943115234, 10.177943229675291, -2.677818775177002]","[-0.6703389883041382, -0.3230139911174774, 0.5889530181884766, 0.3153409957885742, 1.4057365655899048, -0.9348328709602356, 3.070329666137696]","[-2.9375, -46.6875, 11.1875]","[-0.2804569602012634, -0.1763480603694915, 0.1923352777957916]","[-355.875, -58.875, -104.25]","[0.4157999753952026, 0.8384000062942505, -0.6287999749183655]","[-0.2863910794258117, -0.173939511179924, 0.1942202448844909]","[0.9569999575614928, 7.889400005340576, -5.745399951934815]",,
2024-02-25 13:20:01.000,"[1.375382661819458, 7.987468719482422, -5.117012023925781]","[-0.6744199991226196, -0.3258529901504516, 0.5859370231628418, 0.3092789947986603, 1.4009153842926023, -0.9305683374404908, 3.0824508666992188]","[-3.25, -46.8125, 11.5625]","[-0.0410850495100021, -0.1574985086917877, 0.0665843114256858]","[-356.0, -59.0625, -104.0625]","[0.2549999952316284, 0.500499963760376, 0.203699991106987]","[-0.0470191687345504, -0.1550899595022201, 0.068469263613224]","[0.990399956703186, 7.864499568939209, -5.773900032043457]",,
2024-02-25 13:20:01.100,"[-0.0957584902644157, 8.00193977355957, -2.4217541217803955]","[-0.6764869689941406, -0.3292619884014129, 0.5825240015983582, 0.3075959980487823, 1.3941922187805176, -0.9337344765663148, 3.086821317672729]","[-3.375, -47.25, 11.125]","[0.2835287451744079, -0.3464478552341461, 0.0511381477117538]","[-356.6875, -59.3125, -104.4375]","[0.1224999949336052, -0.2043999880552292, 0.2606000006198883]","[0.2776120603084564, -0.3440392911434173, 0.053005650639534]","[1.024799942970276, 7.882999897003174, -5.742499828338623]",,
2024-02-25 13:20:01.200,"[2.133597612380981, 8.568148612976074, -5.330776214599609]","[-0.6787089705467224, -0.3280189931392669, 0.581732988357544, 0.305521011352539, 1.3895478248596191, -0.928499698638916, 3.08634090423584]","[-3.5, -47.3125, 11.4375]","[-0.027052603662014, 0.0100530963391065, -0.0251152869313955]","[-356.5625, -59.5, -104.1875]","[1.7064999341964722, -0.0462999977171421, 0.8454999923706055]","[-0.032969269901514, 0.0124616511166095, -0.0232477858662605]","[1.058899998664856, 7.852399826049805, -5.778199672698975]",,
2024-02-25 13:20:01.300,"[1.285820484161377, 8.689898490905762, -4.2628092765808105]","[-0.6778420209884644, -0.3347519934177398, 0.581978976726532, 0.2996149957180023, 1.4049551486968994, -0.9315694570541382, 3.113853693008423]","[-3.375, -47.3125, 11.125]","[-0.1784424632787704, -0.1726828813552856, 0.2183406949043274]","[-356.375, -59.6875, -104.5]","[0.9562999606132508, 0.5239999890327454, -1.761299967765808]","[-0.1843765825033188, -0.1702743172645568, 0.2202081978321075]","[0.9656999707221984, 7.8703999519348145, -5.770099639892578]",,
2024-02-25 13:20:01.400,"[1.919776201248169, 7.790368556976318, -6.128495693206787]","[-0.6793950200080872, -0.3378069996833801, 0.5786880254745483, 0.2990440130233764, 1.3979414701461792, -0.9358696341514589, 3.115678548812866]","[-2.25, -47.5, 11.5625]","[0.1185951232910156, -0.1534318923950195, 0.0015882495790719]","[-355.1875, -59.6875, -104.0625]","[0.2254000008106231, 0.0575999990105629, -1.056399941444397]","[0.1126610040664672, -0.1510407924652099, 0.0034732052590698]","[1.0002999305725098, 7.8954997062683105, -5.729799747467041]",,
2024-02-25 13:20:01.500,"[1.339326024055481, 7.943472862243652, -5.229501247406006]","[-0.6808170080184937, -0.3362630009651184, 0.574974000453949, 0.3046599924564361, 1.3782933950424194, -0.9411065578460692, 3.0937716960906982]","[-3.4375, -47.6875, 11.1875]","[0.1359262466430664, -0.0006981316837482, -0.1535017043352127]","[-356.3125, -59.625, -104.25]","[0.2974999845027923, -0.5708000063896179, 1.6868000030517578]","[0.129992127418518, 0.0016929693520069, -0.1516167521476745]","[1.10479998588562, 7.92579984664917, -5.668299674987793]",,
2024-02-25 13:20:01.600,"[1.7505923509597778, 7.728683948516846, -5.715103149414063]","[-0.6768699884414673, -0.3322499990463257, 0.5817670226097107, 0.304964005947113, 1.397626280784607, -0.9350286722183228, 3.097357749938965]","[-3.0625, -47.1875, 11.5]","[-0.1475152224302292, 0.1646369099617004, 0.0313810184597969]","[-356.0, -59.5, -104.25]","[-0.3658999800682068, 1.837499976158142, -2.3935999870300293]","[-0.1534318923950195, 0.16702800989151, 0.0332659743726253]","[1.0032999515533447, 7.890499591827393, -5.736000061035156]",,
