time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-22 13:03:11.900,"[-0.8483422994613647, 7.732897758483887, -5.373182773590088]","[0.1836510002613067, -0.2063589990139007, 0.6663299798965454, 0.6925979852676392, -1.5202531814575195, -1.010695457458496, -1.4868359565734863]","[-24.4375, -31.0, -16.125]","[-0.8801695108413696, 0.6828426122665405, 1.5888605117797852]","[-77.4375, -51.9375, 18.625]","[-3.647599935531616, 1.9657999277114868, -8.2253999710083]","[-0.666052520275116, 0.5930978059768677, 0.7542964220046997]","[0.4113999903202057, 8.213399887084961, 5.342199802398682]",left,START,quick,advanced,blue
2024-03-22 13:03:12.000,"[7.278191566467285, 18.297983169555664, -0.5699349641799927]","[0.1388970017433166, -0.1645829975605011, 0.6781569719314575, 0.7026529908180237, -1.5088492631912231, -1.1368128061294556, -1.4716492891311646]","[-21.3125, -35.1875, -12.0625]","[-1.8156136274337769, 0.2670528292655945, -0.5289045572280884]","[-74.3125, -56.125, 22.6875]","[11.175600051879885, 3.319799900054932, 1.2461999654769895]","[-1.0386803150177002, -0.4081626832485199, -0.7138745784759521]","[0.131400004029274, 8.752099990844727, 4.421899795532227]",,,quick,advanced,blue
2024-03-22 13:03:12.100,"[5.596072673797607, 8.301990509033203, 0.6580607295036316]","[0.105614997446537, -0.1012139990925788, 0.6733890175819397, 0.7246699929237366, -1.3246045112609863, -1.2682812213897705, -1.3309003114700315]","[-23.5625, -36.0625, -7.0625]","[-1.248416543006897, 0.6369230151176453, 0.0912632644176483]","[-76.5625, -57.0, 27.6875]","[1.6328999996185305, 0.8413999676704407, 1.1038999557495115]","[-1.331668734550476, 0.6923720836639404, 0.0615752153098583]","[0.6617000102996826, 9.29860019683838, 3.0441999435424805]",,,quick,advanced,blue
2024-03-22 13:03:12.200,"[-1.9304544925689693, 2.4618427753448486, 5.987688064575195]","[0.0760229974985122, -0.0229250006377697, 0.6944569945335388, 0.7151389718055725, -1.3270883560180664, -1.4277117252349854, -1.402390480041504]","[-22.75, -37.0625, -0.25]","[-1.1507478952407837, 0.430939257144928, 0.7212573289871216]","[-75.75, -58.0, 34.5]","[-4.176300048828125, -1.7598999738693235, -7.258199691772461]","[-1.7795202732086182, 0.8291361331939697, 0.6738017797470093]","[0.4300999939441681, 9.663999557495115, 1.6095999479293823]",,,quick,advanced,blue
2024-03-22 13:03:12.300,"[1.711183786392212, 8.838224411010742, 4.329684257507324]","[0.061039000749588, 0.0682649984955787, 0.7055370211601257, 0.7027300000190735, 2.032700300216675, -1.559640407562256, 1.849565029144287]","[-19.9375, -37.8125, 6.8125]","[-2.0080361366271973, 1.436266303062439, 0.634392261505127]","[-72.9375, -58.75, 41.5625]","[7.024099826812744, -3.0650999546051025, 2.4961998462677]","[-1.2993278503417969, 1.1474143266677856, 0.6670299172401428]","[-0.0417999997735023, 9.80229949951172, 0.2888000011444092]",,,quick,advanced,blue
2024-03-22 13:03:12.400,"[1.2331957817077637, 3.1543128490448, 1.1190881729125977]","[0.0420560017228126, 0.2056889981031417, 0.692529022693634, 0.6901639699935913, 1.762540578842163, -1.3388381004333496, 1.4079517126083374]","[-17.25, -36.625, 17.0625]","[-1.4759725332260132, 1.4354809522628784, 1.1187211275100708]","[-70.25, -57.5625, 51.8125]","[5.137399673461914, -5.668499946594238, -1.9085999727249143]","[-2.490323066711426, 1.802994966506958, -0.1310393214225769]","[-0.2340999990701675, 9.620599746704102, -1.8865000009536743]",,,quick,advanced,blue
2024-03-22 13:03:12.500,"[15.376693725585938, 28.858816146850582, -4.225133895874023]","[0.0535149984061718, 0.2798449993133545, 0.6792470216751099, 0.6763460040092468, 1.8247355222702024, -1.2493005990982056, 1.3424757719039917]","[-13.0, -33.3125, 25.375]","[-1.4608755111694336, 0.8941496014595032, -0.4955687820911407]","[-66.0, -54.25, 60.125]","[3.576399803161621, -3.357999801635742, 13.990099906921388]","[-0.582887589931488, 1.649824857711792, -0.6380225419998169]","[-0.781499981880188, 9.359700202941896, -2.8203999996185303]",,,quick,advanced,blue
2024-03-22 13:03:12.600,"[-11.026524543762209, -4.920467853546143, -1.9232622385025024]","[0.0503120012581348, 0.3708119988441467, 0.6272969841957092, 0.6829820275306702, 1.709739327430725, -1.1065911054611206, 1.087794303894043]","[-11.375, -29.625, 30.25]","[-1.0570237636566162, 0.4828453361988067, 1.0286272764205933]","[-64.375, -50.5625, 65.0]","[9.325300216674805, 0.4553000032901764, 1.04830002784729]","[-1.6115323305130005, 1.0437941551208496, -1.7527120113372805]","[-0.5286999940872192, 8.870699882507324, -4.147200107574463]",,,quick,advanced,blue
2024-03-22 13:03:12.700,"[-3.0934042930603027, 22.2846736907959, -0.0182533934712409]","[0.052471999078989, 0.4161730110645294, 0.610385000705719, 0.6719189882278442, 1.753582239151001, -1.043028712272644, 1.0528016090393066]","[-7.875, -25.1875, 34.625]","[-0.4479736685752868, 0.4379205703735351, -0.387497991323471]","[-60.875, -46.125, 69.375]","[7.230199813842773, 7.543299674987793, 8.981499671936035]","[-0.7359704375267029, 0.9182002544403076, -0.4877322614192962]","[-0.9146999716758728, 8.500299453735352, -4.803800106048584]",,,quick,advanced,blue
2024-03-22 13:03:12.800,"[3.339662313461304, 10.16400909423828, 4.284242153167725]","[0.073294997215271, 0.4555509984493255, 0.5598189830780029, 0.688260018825531, 1.6474297046661377, -0.9924746751785278, 0.845845103263855]","[-7.875, -22.3125, 36.5625]","[-0.551908016204834, 0.7261616587638855, -0.6879389882087708]","[-60.875, -43.25, 71.3125]","[6.0889997482299805, 2.2669999599456787, 6.308799743652344]","[-0.5555033683776855, 0.6448817253112793, -0.9945409893989564]","[-0.5286999940872192, 8.284799575805664, -5.22029972076416]",,,quick,advanced,blue
