time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-02-25 16:55:29.900,"[0.5249813795089722, 0.285819798707962, -2.9687142372131348]","[-0.764208972454071, -0.5274940133094788, 0.3556669950485229, 0.1059919968247413, 1.1552894115447998, -1.0792986154556274, -2.67280912399292]","[0.875, -47.0625, 4.3125]","[0.4093844294548034, 0.7180808186531067, -1.6408014297485352]","[-350.875, -59.5, -109.875]","[-3.1821999549865723, 0.091899998486042, 1.5374999046325684]","[0.3662398755550384, 0.5553986430168152, -1.8341665267944336]","[1.8680999279022217, 8.64579963684082, -4.234299659729004]",left,START,skidded_short,intermediate,blue,
2024-02-25 16:55:30.000,"[3.3891170024871826, 5.7590413093566895, -5.429091930389404]","[-0.7876570224761963, -0.4706760048866272, 0.3653939962387085, 0.1566720008850097, 0.9755765199661256, -1.0273979902267456, -2.9525604248046875]","[-1.4375, -47.3125, 4.1875]","[0.2420073598623275, 0.2380629032850265, 0.2488664984703064]","[-353.75, -59.9375, -110.25]","[-1.2835999727249146, -4.843999862670898, -3.0289998054504395]","[0.1151917278766632, 0.5081351399421692, -0.1113345548510551]","[2.842900037765503, 8.394000053405762, -4.198400020599365]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.100,"[-0.2652775645256042, 12.092710494995115, -9.272675514221191]","[-0.7855579853057861, -0.4496670067310333, 0.3903219997882843, 0.1683599948883056, 1.0086960792541504, -0.993439555168152, -2.982409238815308]","[-0.75, -47.0625, 5.5]","[-0.338750958442688, 0.4244466125965118, -0.319168359041214]","[-353.25, -59.9375, -109.5]","[-6.314399719238281, 6.02209997177124, 5.450799942016602]","[-0.8422260880470276, 0.3821398317813873, -0.3708650171756744]","[2.852599859237671, 8.217000007629395, -4.52899980545044]",,,skidded_short,intermediate,blue,"[45.0, 1.5, 24.140213012695312, 12.5, 7.116739273071289, 249.69305419921875, 699.2578753884882, 18.8975756, 49.6404496]"
2024-02-25 16:55:30.200,"[3.143107891082764, -21.26158332824707, -0.6865516901016235]","[-0.810679018497467, -0.4032390117645263, 0.3583889901638031, 0.2274930030107498, 0.760508120059967, -0.955940842628479, 3.0027804374694824]","[-8.5, -46.625, 1.6875]","[0.7088305950164795, -1.5925780534744265, -3.084171295166016]","[-359.5625, -59.5625, -112.4375]","[-13.17919921875, -1.2733999490737915, -0.8765999674797058]","[1.3798049688339231, -0.910416066646576, -2.7495219707489014]","[4.098199844360352, 8.010600090026855, -3.899199962615967]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.300,"[-1.1636968851089478, 10.989720344543455, -5.254937648773193]","[-0.7883049845695496, -0.3872739970684051, 0.4294489920139313, 0.2101569920778274, 0.998681366443634, -0.9125781655311584, -3.1394784450531006]","[-6.9375, -45.8125, 4.4375]","[-1.661344051361084, 0.8639030456542969, -0.0839503332972526]","[-359.25, -58.875, -110.9375]","[-2.2670998573303223, 17.013599395751953, 14.320599555969238]","[-1.4387098550796509, 0.8078081607818604, -0.0550127774477005]","[3.2476999759674072, 7.757899761199951, -5.043499946594238]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.400,"[-1.851436138153076, 17.511985778808594, -7.318480968475342]","[-0.8039510250091553, -0.3328390121459961, 0.4062440097332001, 0.2790069878101349, 0.8062543869018555, -0.8661834001541138, 2.8629045486450195]","[-9.625, -46.0625, 6.0]","[0.3013136386871338, 0.666523814201355, -1.917645573616028]","[-361.1875, -58.875, -108.5625]","[-11.467499732971191, -11.913700103759766, -3.6923999786376953]","[-0.404462605714798, 0.6234316229820251, -1.3470450639724731]","[4.396899700164795, 7.471299648284912, -4.5843000411987305]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.500,"[-3.3898446559906006, 10.2063570022583, -3.429741621017456]","[-0.7796729803085327, -0.2765960097312927, 0.4466870129108429, 0.3406980037689209, 0.8482207655906677, -0.8266695141792297, 2.7086610794067383]","[-17.4375, -43.4375, 2.3125]","[0.4788136184215545, 1.1435222625732422, -0.599712610244751]","[-369.5, -56.125, -112.125]","[12.33739948272705, 7.711099624633789, 6.482800006866455]","[0.5675461888313293, 1.3938199281692505, -0.2608743607997894]","[4.392600059509277, 7.214499950408935, -4.982399940490723]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.600,"[-6.922537326812744, 20.465456008911133, 3.6026031970977783]","[-0.7707239985466003, -0.2227440029382705, 0.5077390074729919, 0.3139559924602508, 1.0309505462646484, -0.7237025499343872, 2.7904510498046875]","[-16.25, -43.8125, 6.75]","[-2.4678256511688232, 0.7599512338638306, 0.2710321843624115]","[-369.0625, -56.5625, -108.9375]","[4.695699691772461, -3.0906999111175537, -13.545000076293944]","[-1.466303467750549, 1.6773661375045776, 1.1146719455718994]","[3.7771999835968018, 6.493599891662598, -6.303599834442139]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.700,"[0.6039996147155762, 18.79059600830078, 3.837800025939941]","[-0.7357140183448792, -0.1831240057945251, 0.496394008398056, 0.4228250086307525, 0.9179593324661256, -0.7604249119758606, 2.488341808319092]","[-21.875, -41.375, 7.875]","[1.3827894926071167, 0.4160341322422027, -1.030040979385376]","[-374.0625, -53.9375, -106.3125]","[-6.659800052642822, -7.465099811553955, -4.456599712371826]","[2.191941499710083, 0.7951719760894775, -0.7594625949859619]","[4.315999984741211, 6.758999824523926, -5.644199848175049]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.800,"[-5.727055072784424, 21.4940128326416, 6.586966037750244]","[-0.7114120125770569, -0.1727149933576584, 0.5165169835090637, 0.4441519975662231, 0.9603971242904664, -0.7818129658699036, 2.448259830474853]","[-23.3125, -40.8125, 6.4375]","[0.7244687080383301, 0.0676664113998413, 0.2156005203723907]","[-375.9375, -53.375, -107.6875]","[-2.645400047302246, -0.368399977684021, 0.5440999865531921]","[1.1750603914260864, 0.2656216621398926, 0.9268571138381958]","[3.988899946212769, 6.90939998626709, -5.702399730682373]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:30.900,"[1.7311609983444214, 7.663495063781738, -1.8095567226409912]","[-0.6904630064964294, -0.1735900044441223, 0.5242639780044556, 0.4671970009803772, 0.9639158844947816, -0.8177136182785034, 2.3975987434387207]","[-24.3125, -39.875, 7.0625]","[0.5057265758514404, 0.6346017122268677, -0.0132295954972505]","[-376.9375, -52.5, -107.75]","[-6.541299819946289, 6.888299942016602, -1.757599949836731]","[0.5814389586448669, 0.6372197270393372, -0.3862762749195099]","[3.8248000144958496, 7.154699802398682, -5.508999824523926]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:31.000,"[1.4780365228652954, 12.961451530456545, -4.686880111694336]","[-0.6671180129051208, -0.1557459980249405, 0.5337579846382141, 0.4957790076732635, 0.9706388115882874, -0.8287007808685303, 2.3192138671875]","[-24.75, -40.0, 6.3125]","[0.548417329788208, 0.6079854369163513, -0.7145727276802063]","[-377.0, -52.9375, -108.375]","[-3.7233998775482178, 2.3137998580932617, 0.3601000010967254]","[0.6258925199508667, 0.4098556637763977, -0.6534687280654907]","[3.742999792098999, 7.227999687194824, -5.469399929046631]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:31.100,"[-0.4977449774742126, 13.415209770202637, -3.8606982231140137]","[-0.6400330066680908, -0.1596789956092834, 0.5439339876174927, 0.5186460018157959, 0.9782174229621888, -0.8766780495643616, 2.2685608863830566]","[-24.6875, -40.0, 6.0]","[0.7392167448997498, 0.2071705758571624, 0.1468171030282974]","[-377.25, -52.6875, -108.5625]","[-5.925899982452393, 2.94569993019104, -0.4741999804973602]","[0.5785940885543823, 0.2968106865882873, 0.1130449771881103]","[3.5035998821258545, 7.537499904632568, -5.203700065612793]",,,skidded_short,intermediate,blue,"[45.0, 1.5, 23.73847198486328, 12.32900047302246, 6.704836845397949, 253.51416015625, 698.34271387849, 18.8974681, 49.6404451]"
2024-02-25 16:55:31.200,"[-0.256926566362381, 12.9171781539917, -2.706194877624512]","[-0.607903003692627, -0.1565999984741211, 0.5500659942626953, 0.5507779717445374, 0.9622119665145874, -0.9211928844451904, 2.1762216091156006]","[-24.75, -40.125, 4.5625]","[0.7144680023193359, 0.6260147094726562, -0.4138350188732147]","[-377.0625, -52.8125, -110.0]","[-1.4886999130249023, 4.880499839782715, 1.601099967956543]","[0.8232543468475342, 0.6426127552986145, -0.3864507973194122]","[3.391199827194214, 7.809199810028076, -4.866699695587158]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:31.300,"[-2.0828213691711426, 10.699170112609863, -6.785627365112305]","[-0.5811929702758789, -0.1651500016450882, 0.5785340070724487, 0.5479379892349243, 1.059054255485535, -0.9719198942184448, 2.2293477058410645]","[-24.125, -40.9375, 4.4375]","[0.3764151632785797, 0.424533873796463, 0.8597840666770935]","[-377.0625, -53.125, -110.0]","[-4.383999824523926, 3.726799964904785, 0.8285999894142151]","[0.1955117881298065, 0.623937726020813, 0.8839045166969299]","[2.7070000171661377, 8.09999942779541, -4.819900035858154]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:31.400,"[1.2469865083694458, 9.247106552124023, -5.753400802612305]","[-0.5507130026817322, -0.1685599982738495, 0.5978080034255981, 0.5576069951057434, 1.118785738945007, -1.0204437971115112, 2.23241925239563]","[-21.5, -41.8125, 4.375]","[0.3745301961898803, 0.7055144309997559, 0.2024931013584137]","[-374.25, -54.25, -110.375]","[-1.5829999446868896, -3.6122000217437744, -2.6529998779296875]","[0.3323456048965454, 0.6908362507820129, 0.1960528343915939]","[2.240000009536743, 8.358599662780762, -4.61359977722168]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:31.500,"[-2.6855568885803223, 9.244548797607422, -5.591044902801514]","[-0.523294985294342, -0.1800719946622848, 0.6217119693756104, 0.554265022277832, 1.2258018255233765, -1.0709327459335327, 2.303863763809204]","[-19.625, -42.4375, 3.125]","[0.3749665319919586, 0.3397283256053924, 0.5706179141998291]","[-372.375, -54.875, -111.1875]","[-2.1682000160217285, -0.2809000015258789, -0.3229999840259552]","[0.3929783403873443, 0.3533593714237213, 0.6397853493690491]","[1.5895999670028689, 8.60669994354248, -4.423399925231934]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:31.600,"[1.8654853105545044, 6.24514102935791, -4.314006805419922]","[-0.5093740224838257, -0.1899120062589645, 0.6434919834136963, 0.5388759970664978, 1.3531677722930908, -1.090801477432251, 2.4213554859161377]","[-17.25, -43.6875, 3.0]","[0.0278205480426549, 0.2805267572402954, 0.6285279393196106]","[-370.0, -56.0625, -111.75]","[-2.468299865722656, 0.3235999941825866, 0.5870999693870544]","[0.1028522551059722, 0.1969953179359436, 0.5232148170471191]","[0.9776999950408936, 8.698399543762207, -4.421599864959717]",left,STOP,skidded_short,intermediate,blue,
2024-02-25 16:55:31.700,"[-0.8736059069633484, 9.307660102844238, -3.640029191970825]","[-0.5137460231781006, -0.2008080035448074, 0.666841983795166, 0.5010600090026855, 1.5088930130004885, -1.06457781791687, 2.6070358753204346]","[-13.5625, -44.875, 4.5]","[-0.3549650609493255, -0.183765709400177, 0.773023784160614]","[-366.3125, -57.4375, -110.25]","[0.7256999611854553, -0.1625999957323074, 3.882799863815308]","[-0.3818605840206146, -0.0996408462524414, 0.7925190925598145]","[0.2940999865531921, 8.576700210571289, -4.745800018310547]",right,START,skidded_short,intermediate,blue,
2024-02-25 16:55:31.800,"[-0.375880092382431, 7.866130352020264, -5.141538619995117]","[-0.5164250135421753, -0.1970030069351196, 0.6895959973335266, 0.4679209887981415, 1.6251213550567627, -1.013763427734375, 2.7298243045806885]","[-10.0, -45.0, 6.9375]","[-0.6926513910293579, 0.1984788477420807, 0.5759412050247192]","[-362.75, -57.625, -108.0]","[-1.7483999729156494, 1.6588999032974243, 2.97029995918274]","[-0.7888190150260925, 0.2496344447135925, 0.6955311298370361]","[-0.281499981880188, 8.32409954071045, -5.176799774169922]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:31.900,"[0.3763684928417206, 8.569652557373047, -3.2000324726104736]","[-0.5074989795684814, -0.1951200067996978, 0.7030760049819946, 0.4583179950714111, 1.6913373470306396, -1.0019280910491943, 2.779484272003174]","[-7.375, -45.6875, 7.4375]","[-0.2408728897571563, 0.3797661960124969, 0.1893507689237594]","[-360.1875, -58.25, -107.0]","[1.7924000024795532, -0.8384999632835388, 1.1842999458312988]","[-0.2513623237609863, 0.3524692356586456, 0.159400925040245]","[-0.6351999640464783, 8.262199401855469, -5.244199752807617]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:32.000,"[0.5932161211967468, 6.71015214920044, -2.5422208309173584]","[-0.5076159834861755, -0.2064899951219558, 0.7081130146980286, 0.445264995098114, 1.7340446710586548, -0.997709333896637, 2.842801332473755]","[-6.125, -46.0625, 7.4375]","[-0.0044680428691208, -0.1367989033460617, 0.3515267670154571]","[-358.625, -58.625, -107.0625]","[0.2953999936580658, -3.650300025939941, 0.3628999888896942]","[0.0507890805602073, -0.1584235429763794, 0.4004657864570617]","[-0.8641999959945679, 8.239799499511719, -5.246699810028076]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:32.100,"[-0.6566816568374634, 9.985133171081545, -3.955498933792114]","[-0.5068709850311279, -0.2100059986114502, 0.7089830040931702, 0.4430809915065765, 1.7446051836013794, -0.9994351267814636, 2.8578524589538574]","[-5.0625, -46.25, 7.6875]","[0.2740341424942016, -0.1500808596611023, 0.1063603609800338]","[-357.875, -59.0, -106.75]","[-0.6322999596595764, 1.194700002670288, 1.643799901008606]","[0.1938188076019287, -0.1807986497879028, 0.1445656269788742]","[-0.917099952697754, 8.24899959564209, -5.223199844360352]",,,skidded_short,intermediate,blue,"[45.0, 1.5, 24.397111892700195, 12.307000160217283, 5.155179977416992, 232.7574920654297, 697.2671074001119, 18.8973855, 49.6404317]"
2024-02-25 16:55:32.200,"[-1.44465172290802, 9.018019676208496, -6.677524566650391]","[-0.5048729777336121, -0.2045809924602508, 0.7060859799385071, 0.4524289965629577, 1.7227308750152588, -1.0074677467346191, 2.8216800689697266]","[-6.0, -45.8125, 7.75]","[0.2441366612911224, -0.0803375020623207, -0.1845860183238983]","[-358.25, -58.5, -106.8125]","[0.9395999908447266, -0.6518999934196472, 0.7339999675750732]","[0.0438601225614547, 0.0514348521828651, -0.1629613935947418]","[-0.7924999594688416, 8.291299819946289, -5.1763997077941895]",,,skidded_short,intermediate,blue,
2024-02-25 16:55:32.300,"[0.1689253002405166, 11.060426712036133, -5.471086025238037]","[-0.494511991739273, -0.1924860030412674, 0.7090370059013367, 0.4644039869308471, 1.7219277620315552, -1.0139621496200562, 2.7812440395355225]","[-6.4375, -45.9375, 7.1875]","[0.1081406027078628, 0.3084171414375305, -0.0113271865993738]","[-358.9375, -58.4375, -107.3125]","[-0.5925999879837036, 0.9517999887466432, -0.858299970626831]","[0.0673348009586334, 0.3290469348430633, -0.0728674978017807]","[-0.780299961566925, 8.325200080871582, -5.12369966506958]",,,skidded_short,intermediate,blue,
