TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[4.267492294311523, 10.128412246704102, 1.2851595878601074]","[-0.4592939913272857, -0.5668370127677917, 0.2063920050859451, 0.6520310044288635, -1.1109468936920166, -0.9105441570281982, 0.6373567581176758]","[-11.625, -21.8125, -36.4375]","[0.0782256573438644, -0.4311835765838623, -0.0304210893809795]","[-35.375, -54.375, 9.6875]","[2.40910005569458, 5.439499855041504, -2.773099899291992]","[0.4225965738296509, -0.5006127953529358, -0.0137008344754576]","[2.6803998947143555, 7.740499973297119, 5.391499996185303]",right,START,
"[5.38953971862793, 8.65383243560791, 3.419351100921631]","[-0.483909010887146, -0.5589540004730225, 0.2212910056114196, 0.6359490156173706, -1.061820149421692, -0.9656614065170288, 0.703735888004303]","[-10.5625, -22.875, -35.8125]","[-0.8264483213424683, -0.0247487686574459, 0.0519584529101848]","[-34.3125, -55.4375, 10.3125]","[-3.2049999237060547, 0.2423999905586242, -2.6803998947143555]","[-0.8550193309783936, -0.0792554020881652, -0.0963770821690559]","[2.67549991607666, 8.034299850463867, 4.945699691772461]",,,"[45.0, 1.5, 17.442195892333984, 10.944000244140623, 3.8940041065216064, 37.59358215332031, 2202.6023947438225, 6.6254443, 44.609349]"
"[1.7508223056793213, 4.9872565269470215, 3.788604021072388]","[-0.4886130094528198, -0.5612499713897705, 0.2080470025539398, 0.6348000168800354, -1.0629314184188845, -0.9486072063446044, 0.7257465124130249]","[-10.8125, -23.75, -35.5625]","[0.27310910820961, -0.2405238300561905, -0.127094879746437]","[-34.5625, -56.3125, 10.5625]","[-1.8783999681472776, -8.375699996948242, -1.7445999383926392]","[0.2417106479406356, -0.1851096153259277, -0.1802227050065994]","[2.8001999855041504, 7.963799953460693, 4.990600109100342]",,,
"[5.676087379455566, 7.055128574371338, 3.5829994678497314]","[-0.4751519858837127, -0.5768719911575317, 0.1752710044384002, 0.6408799886703491, -1.1260762214660645, -0.8833343982696533, 0.6959026455879211]","[-10.875, -21.3125, -36.25]","[0.6024527549743652, -0.4748691916465759, -0.0856258496642112]","[-34.625, -53.875, 9.875]","[2.727799892425537, 3.5583999156951904, -0.9720999598503112]","[0.9505411982536316, -0.2145533263683319, 0.0320966057479381]","[2.724599838256836, 7.581899642944336, 5.591099739074707]",,,
"[3.8430097103118896, 9.245353698730469, -0.8964561820030212]","[-0.4935379922389984, -0.5702899694442749, 0.1674350053071975, 0.6349440217018127, -1.087307691574097, -0.8875752091407776, 0.7618666887283325]","[-9.3125, -22.5625, -37.0625]","[0.0885580033063888, -0.3228335380554199, -0.4878893494606018]","[-33.0625, -55.125, 9.0625]","[-1.4910999536514282, 1.268100023269653, -2.2054998874664307]","[-0.3697305619716644, -0.0722391754388809, -0.5732359290122986]","[2.81499981880188, 7.636199951171875, 5.471099853515625]",,,
"[4.270892143249512, 10.016708374023438, 2.741485357284546]","[-0.5071730017662048, -0.5583149790763855, 0.1432749927043914, 0.6407259702682495, -1.0388811826705933, -0.8479480743408203, 0.8339853286743164]","[-9.9375, -20.8125, -37.4375]","[0.0185703039169311, -0.1417556405067443, -0.4425282180309295]","[-33.6875, -53.375, 8.6875]","[-0.3269999921321869, 7.575899600982666, -0.7013999819755554]","[0.3349286913871765, -0.041242130100727, -0.6722659468650818]","[3.180799961090088, 7.3694000244140625, 5.634199619293213]",,,
"[5.140657901763916, 11.277772903442385, 1.5824140310287476]","[-0.5481989979743958, -0.5420089960098267, 0.1302269995212555, 0.6234920024871826, -0.9533452391624452, -0.8581719398498535, 0.9784419536590576]","[-10.9375, -21.0, -36.9375]","[-0.6550395488739014, -0.351823478937149, -0.5103342533111572]","[-34.6875, -53.5625, 9.1875]","[0.5938000082969666, 14.683899879455566, -7.301599979400635]","[-0.5954714417457581, -0.208462119102478, -0.8107752203941345]","[3.603399991989136, 7.449699878692627, 5.261799812316895]",,,
"[0.0296402163803577, 8.760604858398438, 4.117136001586914]","[-0.6049739718437195, -0.5362340211868286, 0.0716449990868568, 0.5842310190200806, -0.915862202644348, -0.822030782699585, 1.182479739189148]","[-11.5625, -22.375, -36.25]","[-0.1599070727825164, -1.3312498331069946, -1.3039355278015137]","[-35.3125, -54.9375, 9.875]","[-5.316999912261963, -4.8796000480651855, 0.823699951171875]","[-0.7643320560455322, -1.3947449922561646, -1.185462474822998]","[4.022500038146973, 7.243099689483643, 5.2465996742248535]",,,
"[3.1801319122314453, 12.425064086914062, 0.8723225593566895]","[-0.6552749872207642, -0.5448330044746399, 0.00583800021559, 0.5231990218162537, -0.9452834129333496, -0.8040037155151367, 1.3659133911132812]","[-8.5, -22.5, -36.875]","[-0.5318890810012817, -1.6550956964492798, -0.8215613961219788]","[-32.25, -55.0625, 9.25]","[-2.309900045394897, 3.2458999156951904, -4.009399890899658]","[-0.4560370743274688, -1.7742842435836792, -0.9123883247375488]","[3.9671998023986816, 7.060799598693848, 5.5295000076293945]",,,
"[-0.3140522241592407, 10.046817779541016, 6.131310939788818]","[-0.6994079947471619, -0.5365930199623108, -0.0363899990916252, 0.4707129895687103, -0.9222065806388856, -0.79853755235672, 1.5435506105422974]","[-5.4375, -24.8125, -36.625]","[-0.5606521368026733, -0.9668425917625428, -0.9316043853759766]","[-29.1875, -57.375, 9.5]","[8.099499702453613, 6.203999996185303, -9.907400131225586]","[-0.9268047213554382, -0.9310109615325928, -1.3285272121429443]","[4.109699726104736, 7.044699668884277, 5.4452996253967285]",,,
