time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 12:44:35.600,"[4.025715827941895, 13.044807434082031, -1.934189319610596]","[0.2699710130691528, 0.5754259824752808, 0.4331290125846863, 0.6390600204467773, 1.6452828645706177, -1.0437322854995728, 0.3099348247051239]","[24.4375, -40.5625, 9.6875]","[-0.300650417804718, -2.049051523208618, 2.22909951210022]","[-331.125, -55.4375, -104.125]","[4.338699817657471, 2.77239990234375, 0.2313999980688095]","[-0.3065670728683471, -2.046642780303955, 2.2309844493865967]","[-0.3669999837875366, 8.475699424743652, -4.918999671936035]",,
2024-02-25 12:44:35.700,"[2.466468334197998, 7.40446138381958, -5.538928031921387]","[0.1637489944696426, 0.5390099883079529, 0.5141249895095825, 0.6467840075492859, 1.7753417491912842, -1.0002024173736572, 0.6866505146026611]","[27.0625, -39.125, 10.75]","[1.066465973854065, -0.7812966108322144, 0.750596284866333]","[-328.1875, -53.5, -102.3125]","[2.497799873352051, -5.291399955749512, -0.7759000062942505]","[1.060549259185791, -0.7788881063461304, 0.75248122215271]","[-1.075899958610535, 8.253000259399414, -5.186399936676025]",,
2024-02-25 12:44:35.800,"[-0.963053286075592, 8.775171279907227, -3.566977500915528]","[0.1505330055952072, 0.5034319758415222, 0.5594670176506042, 0.6410080194473267, 1.8425257205963133, -1.0527979135513306, 0.8449112176895142]","[28.4375, -38.375, 11.3125]","[0.1933650225400924, -0.928602397441864, 0.7618187665939331]","[-326.5, -53.125, -102.0]","[2.3230998516082764, -0.1353999972343444, 1.8432999849319456]","[0.1874483674764633, -0.92619389295578, 0.7636862397193909]","[-1.3032000064849854, 8.520099639892578, -4.6774001121521]",,
2024-02-25 12:44:35.900,"[3.155308723449707, 9.875411987304688, -4.680606842041016]","[0.1195150017738342, 0.4736399948596954, 0.5915229916572571, 0.6414679884910583, 1.8790706396102903, -1.0594782829284668, 0.9822922945022584]","[29.25, -38.125, 10.0625]","[1.072365164756775, -0.712495744228363, 0.3065496385097503]","[-325.625, -52.4375, -103.0625]","[2.956399917602539, 0.5187000036239624, -0.5857999920845032]","[1.0664485692977903, -0.7101046442985535, 0.3084345757961273]","[-1.455899953842163, 8.552299499511719, -4.572400093078613]",,
2024-02-25 12:44:36.000,"[1.1530762910842896, 11.648595809936523, -2.186519145965576]","[0.1196539998054504, 0.4367640018463135, 0.6193320155143738, 0.6413630247116089, 1.91707444190979, -1.117376685142517, 1.0857863426208496]","[29.0, -37.9375, 10.5625]","[0.0006108652451075, -0.7510675191879272, 0.1625948697328567]","[-326.0, -52.5, -102.75]","[1.1833000183105469, 0.3043999969959259, 0.7750999927520752]","[-0.0052883476018905, -0.7486589550971985, 0.1644798219203949]","[-1.4578999280929563, 8.815699577331543, -4.0406999588012695]",,
2024-02-25 12:44:36.100,"[3.5605993270874023, 12.403756141662598, -5.017327308654785]","[0.103871002793312, 0.4146420061588287, 0.6225230097770691, 0.6555500030517578, 1.850324273109436, -1.1251412630081177, 1.0795053243637085]","[26.75, -39.1875, 11.375]","[0.5529377460479736, -0.6329087615013123, -0.3045250475406647]","[-328.0625, -53.4375, -102.0]","[3.1275999546051025, 1.987499952316284, -2.134700059890747]","[0.5470036268234253, -0.6305001974105835, -0.3026400804519653]","[-1.1661999225616455, 8.848799705505371, -4.062999725341797]",,
2024-02-25 12:44:36.200,"[0.1600092947483062, 9.801315307617188, -3.94929313659668]","[0.1051379963755607, 0.3787260055541992, 0.6251689791679382, 0.6742960214614868, 1.749571681022644, -1.1751168966293335, 1.036670207977295]","[24.8125, -40.25, 12.1875]","[-0.2338915765285492, -0.8833285570144653, -0.3120474219322204]","[-329.75, -54.6875, -101.4375]","[2.201900005340576, 0.7773000001907349, -0.1147999987006187]","[-0.2398082315921783, -0.8809200525283813, -0.3101799190044403]","[-0.6721000075340271, 9.04889965057373, -3.7194998264312735]",,
2024-02-25 12:44:36.300,"[1.7951053380966189, 7.517496585845947, -3.2716190814971924]","[0.0859590023756027, 0.3593539893627167, 0.6129419803619385, 0.6984099745750427, 1.5951659679412842, -1.1628789901733398, 0.9404370188713074]","[21.0, -41.1875, 14.625]","[-0.0860098227858543, -0.5545260310173035, -0.6568372249603271]","[-333.375, -55.5, -99.125]","[1.0950000286102295, 0.3043999969959259, -1.1612999439239502]","[-0.0919264927506446, -0.5521174669265747, -0.6549522280693054]","[-0.0947999954223632, 9.001999855041504, -3.888999938964844]",,
2024-02-25 12:44:36.400,"[0.899645209312439, 8.030851364135742, -4.624151229858398]","[0.0762389972805976, 0.3436430096626282, 0.5921310186386108, 0.7248979806900024, 1.4185709953308103, -1.1453804969787598, 0.8013253808021545]","[18.375, -41.375, 16.75]","[-0.5131093263626099, -0.5463578701019287, -0.3621558248996734]","[-336.0, -55.8125, -96.8125]","[0.788599967956543, -2.8622000217437744, 0.5091999769210815]","[-0.519025981426239, -0.5439493060112, -0.3602883219718933]","[0.613599956035614, 8.932499885559082, -4.00029993057251]",,
2024-02-25 12:44:36.500,"[1.693437933921814, 9.24706745147705, -5.336608409881592]","[0.0573539994657039, 0.3411369919776916, 0.5689240097999573, 0.7460969686508179, 1.3069148063659668, -1.0931429862976074, 0.7184464931488037]","[16.75, -41.5625, 18.1875]","[-0.082955501973629, -0.3671823740005493, -0.3385938704013824]","[-338.0625, -55.625, -95.0625]","[0.1675999909639358, -0.9617999792099, -1.7181999683380127]","[-0.0888721644878387, -0.3647738099098205, -0.3367089033126831]","[1.1757999658584597, 8.708999633789062, -4.351999759674072]",,
