time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-19 13:09:35.600,"[0.5919328331947327, 9.264209747314451, 3.65093731880188]","[-0.3872109949588775, -0.6706140041351318, 0.2941800057888031, 0.5601789951324463, -1.7084661722183228, -1.0139483213424685, 0.0743383839726448]","[6.75, -21.1875, -41.125]","[-0.3243868947029114, 0.4267679154872894, 0.9720436930656432]","[-37.0625, -38.125, -15.0625]","[1.7483999729156494, -1.4499999284744265, -0.2232999950647354]","[-0.3103893399238586, 0.6282312870025635, 1.4276095628738403]","[-0.7111999988555908, 8.32509994506836, 5.133800029754639]",left,START,carving_short,advanced,blue,
2024-03-19 13:09:35.700,"[3.1872379779815674, 12.792123794555664, 1.8091353178024288]","[-0.3343780040740967, -0.6752409934997559, 0.3427709937095642, 0.5610219836235046, -1.841921329498291, -0.9902727007865906, -0.160627469420433]","[6.0625, -20.875, -41.0]","[0.3683691918849945, 1.0127098560333252, 1.4344162940979004]","[-37.75, -37.8125, -14.9375]","[4.205100059509277, -3.011899948120117, 1.3276000022888184]","[-0.2582738101482391, 1.2051149606704712, 1.307059645652771]","[-1.440400004386902, 8.20009994506836, 5.181999683380127]",,,carving_short,advanced,blue,
2024-03-19 13:09:35.800,"[-0.98123961687088, 10.63863468170166, 2.2770581245422363]","[-0.3166919946670532, -0.6574850082397461, 0.3978639841079712, 0.5559880137443542, -1.9323080778121948, -1.0330314636230469, -0.3404302895069122]","[5.25, -23.75, -39.375]","[-0.3651926815509796, 0.4535936117172241, 0.7156722545623779]","[-38.5625, -40.6875, -13.3125]","[0.8499999642372131, 0.5062999725341797, 3.333099842071533]","[-0.6632425785064697, 0.7500377893447876, 0.8063071966171265]","[-1.776600003242493, 8.422499656677246, 4.698400020599365]",,,carving_short,advanced,blue,
2024-03-19 13:09:35.900,"[5.230746746063232, 5.340219020843506, 3.929066896438599]","[-0.2969709932804107, -0.6308130025863647, 0.4550670087337494, 0.5538920164108276, -2.0264997482299805, -1.073304533958435, -0.5394814610481262]","[3.875, -26.25, -39.1875]","[-0.6483200192451477, 0.7910355925559998, 0.8807454705238342]","[-39.9375, -43.1875, -13.125]","[3.246299982070923, -4.935400009155273, -1.9958999156951904]","[-0.2041860669851303, 0.5214345455169678, 0.0853815078735351]","[-2.0595998764038086, 8.617899894714355, 4.202300071716309]",,,carving_short,advanced,blue,
2024-03-19 13:09:36.000,"[-12.8637113571167, 30.829530715942383, -0.0705714896321296]","[-0.2335080057382583, -0.6069369912147522, 0.4654380083084106, 0.6003890037536621, -1.891725778579712, -1.0016049146652222, -0.556302011013031]","[1.125, -23.8125, -39.5]","[1.3086304664611816, 2.420736789703369, 0.1959655731916427]","[-42.4375, -41.75, -14.0]","[4.553299903869629, -3.3595998287200928, -0.2276999950408935]","[-1.009672999382019, 1.0910053253173828, -0.2321811467409134]","[-1.667199969291687, 8.260499954223633, 5.015399932861328]",,,carving_short,advanced,blue,
2024-03-19 13:09:36.100,"[0.76475590467453, 16.907766342163086, 1.2630467414855957]","[-0.2538259923458099, -0.5791260004043579, 0.4833680093288421, 0.6054250001907349, -1.864882588386536, -1.0743496417999268, -0.5587899684906006]","[-1.0, -24.375, -38.9375]","[-0.9197186827659608, 1.000335454940796, 0.085172064602375]","[-44.5625, -42.3125, -13.4375]","[1.1679999828338623, -3.2709999084472656, -0.826200008392334]","[0.0052359877154231, 0.7887317538261414, 0.3056769669055938]","[-1.3538999557495115, 8.62279987335205, 4.47029972076416]",,,carving_short,advanced,blue,"[45.0, 1.5, 24.176477432250977, 10.937999725341797, 2.970357894897461, 350.0251770019531, 2171.34376237914, 6.6388642, 44.6063077]"
2024-03-19 13:09:36.200,"[-0.1503654420375824, 8.985774040222168, 0.4242717027664184]","[-0.2350050061941146, -0.5724549889564514, 0.488673985004425, 0.6150320172309875, -1.8441197872161863, -1.055526614189148, -0.5808926820755005]","[-2.375, -24.6875, -38.25]","[0.4716228544712066, 0.4780806005001068, 0.1616524010896682]","[-45.9375, -42.625, -12.75]","[0.5541999936103821, 1.8150999546051023, 0.8435999751091003]","[-0.4672071933746338, 0.0285710394382476, -0.0282917879521846]","[-1.3043999671936035, 8.533299446105957, 4.652999877929688]",,,carving_short,advanced,blue,
2024-03-19 13:09:36.300,"[4.331378936767578, 13.596230506896973, 3.2501766681671143]","[-0.2233700007200241, -0.5660200119018555, 0.5001879930496216, 0.6160659790039062, -1.860211968421936, -1.0535039901733398, -0.6291592121124268]","[-2.5, -24.9375, -38.4375]","[-0.250576913356781, 0.6971368789672852, 0.361632227897644]","[-46.0625, -42.875, -12.9375]","[2.5543999671936035, 0.1510999947786331, 2.6238999366760254]","[-0.1777094304561615, 0.1485798805952072, 0.200817584991455]","[-1.383999943733215, 8.523499488830566, 4.647900104522705]",,,carving_short,advanced,blue,
2024-03-19 13:09:36.400,"[1.0332417488098145, 17.41069221496582, 3.676832914352417]","[-0.2073020040988922, -0.5580379962921143, 0.5104140043258667, 0.6205599904060364, -1.8614250421524048, -1.0448510646820068, -0.6715813875198364]","[-3.5625, -23.875, -38.375]","[0.0330914407968521, 0.5917887687683105, 0.2934771180152893]","[-47.125, -41.8125, -12.875]","[1.1385999917984009, -0.2825999855995178, -1.31059992313385]","[-0.2332108914852142, 0.3618067502975464, 0.1372352391481399]","[-1.4106999635696411, 8.481200218200684, 4.716700077056885]",,,carving_short,advanced,blue,
2024-03-19 13:09:36.500,"[0.1265191882848739, 9.669672966003418, 4.1750664710998535]","[-0.1983270049095153, -0.5452640056610107, 0.5193870067596436, 0.6273660063743591, -1.8443310260772705, -1.0511053800582886, -0.6937888860702515]","[-4.0, -25.75, -38.125]","[-0.2652376890182495, 0.2045176774263382, -0.0164584554731845]","[-47.5625, -43.6875, -12.625]","[2.9624998569488525, 0.8073999881744385, -2.229300022125244]","[-0.2249554842710495, -0.1915498822927475, 0.1531351953744888]","[-1.3155999183654783, 8.511899948120117, 4.688899993896484]",,,carving_short,advanced,blue,
