time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-19 12:50:18.200,"[3.6627838611602783, 5.464775085449219, 3.5793793201446533]","[0.1674139946699142, -0.2399899959564209, 0.5582029819488525, 0.7763929963111877, -1.1334315538406372, -0.9049826860427856, -1.02477765083313]","[-31.1875, -24.0625, -22.0]","[0.5716302394866943, -0.7573681473731995, 0.5813516974449158]","[-75.625, -44.3125, 2.0]","[-3.0580999851226807, 2.63479995727539, 0.6786999702453613]","[0.5742133259773254, -0.1430820971727371, 0.6876946091651917]","[2.5655999183654785, 7.711999893188477, 5.487299919128418]",right,START,carving_long,advanced,red,
2024-03-19 12:50:18.300,"[-1.735604763031006, 10.993982315063477, 2.466774702072144]","[0.1752189993858337, -0.2491739988327026, 0.5623970031738281, 0.7687119841575623, -1.1737957000732422, -0.8903986215591431, -1.062792181968689]","[-30.875, -24.0625, -22.1875]","[0.4652698636054992, 0.0929562374949455, -0.107494831085205]","[-75.3125, -44.3125, 1.8125]","[-0.8880999684333801, 5.529399871826172, -1.6459999084472656]","[-0.3211754858493805, -0.0432318039238452, -0.3322234153747558]","[2.3852999210357666, 7.622900009155273, 5.689499855041504]",,,carving_long,advanced,red,
2024-03-19 12:50:18.400,"[0.2257444858551025, 10.19939422607422, 6.857846260070801]","[0.1499360054731369, -0.2491919994354248, 0.5573620200157166, 0.7776690125465393, -1.1406506299972534, -0.9143410921096802, -0.992229163646698]","[-30.875, -24.25, -22.9375]","[-0.6914994716644287, -0.0786096304655075, 0.0228987205773592]","[-75.3125, -44.5, 1.0625]","[-2.035399913787842, -2.241999864578247, -3.100399971008301]","[0.0415039286017417, -0.329326182603836, -0.2897246479988098]","[2.495699882507324, 7.768399715423584, 5.439899921417236]",,,carving_long,advanced,red,
2024-03-19 12:50:18.500,"[2.6401150226593018, 6.83710241317749, 7.337691783905029]","[0.1429090052843094, -0.2693670094013214, 0.5481389760971069, 0.7788199782371521, -1.1556754112243652, -0.8895893692970276, -0.9656513333320618]","[-30.4375, -22.0625, -23.9375]","[0.049131017178297, -0.5037543773651123, -0.4258254170417785]","[-74.875, -42.3125, 0.0625]","[0.0340999998152256, -0.1340000033378601, -0.6625999808311462]","[-0.0795695632696151, -0.379434585571289, -0.1913055330514907]","[2.490499973297119, 7.6178998947143555, 5.651000022888184]",,,carving_long,advanced,red,
2024-03-19 12:50:18.600,"[0.7494425773620605, 9.22924518585205, 0.9099690318107604]","[0.123089998960495, -0.2936899960041046, 0.5305230021476746, 0.7855820059776306, -1.1505223512649536, -0.8652201294898987, -0.8927103281021118]","[-30.0625, -19.3125, -25.5625]","[0.1494525372982025, -0.5697976350784302, -0.5767789483070374]","[-74.5, -39.5625, -1.5625]","[-3.88919997215271, -0.1395999938249588, -4.587800025939941]","[-0.1740791350603103, -0.4729667603969574, -1.1793538331985474]","[2.594599962234497, 7.465099811553955, 5.805899620056152]",,,carving_long,advanced,red,
2024-03-19 12:50:18.700,"[-0.4915966391563415, 9.619950294494627, -1.8895996809005733]","[0.089828997850418, -0.3211709856986999, 0.4878239929676056, 0.806725025177002, -1.087749719619751, -0.817413330078125, -0.7340745329856873]","[-31.1875, -16.25, -27.3125]","[-0.5362873077392578, -1.212916612625122, -0.9157916903495787]","[-75.625, -36.5, -3.3125]","[-8.137899398803711, -5.745899677276611, 3.256799936294556]","[-0.4742234051227569, -1.202531814575195, -0.9588838815689088]","[3.115999937057495, 7.152699947357178, 5.941199779510498]",,,carving_long,advanced,red,
2024-03-19 12:50:18.800,"[-3.113122940063477, 8.901383399963379, 0.0829926058650016]","[0.0510549992322921, -0.3452650010585785, 0.4506880044937134, 0.8216230273246765, -1.0457162857055664, -0.782897412776947, -0.5912240743637085]","[-31.1875, -13.4375, -28.625]","[-0.2622182667255401, -0.5871985554695129, -0.9220050573349]","[-75.625, -33.6875, -4.625]","[-8.79539966583252, -4.326200008392334, 1.2691999673843384]","[-0.4213748276233673, -0.5702688694000244, -0.8427496552467346]","[3.4846999645233154, 6.916899681091309, 6.015100002288818]",,,carving_long,advanced,red,
2024-03-19 12:50:18.900,"[-5.928282737731934, 7.416326999664307, 6.294844627380371]","[0.015701999887824, -0.3609240055084228, 0.4212659895420074, 0.8318780064582825, -1.0110690593719482, -0.7608665823936462, -0.473436176776886]","[-31.8125, -11.4375, -29.0625]","[-0.4025951027870178, -0.6210579872131348, -0.9623221755027772]","[-76.25, -31.6875, -5.0625]","[-1.7335999011993408, 4.138999938964844, -1.2244999408721924]","[-0.8816007375717163, -0.122015967965126, -0.9869837164878844]","[3.7709999084472656, 6.762099742889404, 6.018499851226807]",,,carving_long,advanced,red,
2024-03-19 12:50:19.000,"[4.749502658843994, 13.662607192993164, 0.7260368466377258]","[-0.0324379988014698, -0.3677890002727508, 0.3805519938468933, 0.8478549718856812, -0.9374238848686218, -0.7330865859985352, -0.3074963688850403]","[-31.625, -8.5625, -30.4375]","[0.1030442416667938, -0.4110948443412781, -0.2595479190349579]","[-76.0625, -28.8125, -6.4375]","[-9.506699562072754, -3.441499948501587, -2.0028998851776123]","[0.0102799888700246, -0.6442359089851379, -0.5126206278800964]","[4.31309986114502, 6.562299728393555, 5.873899936676025]",,,carving_long,advanced,red,
2024-03-19 12:50:19.100,"[-1.2384151220321655, 6.100464344024658, 6.093348503112793]","[-0.0578010007739067, -0.3797909915447235, 0.3581269979476928, 0.8509770035743713, -0.9259554743766784, -0.7120938897132874, -0.231457844376564]","[-31.3125, -7.375, -30.875]","[-0.470628023147583, -0.7754672169685364, -1.3938722610473633]","[-75.75, -27.625, -6.875]","[-10.5177001953125, 4.2546000480651855, 3.346199989318848]","[-0.5376137495040894, -0.6244613528251648, -1.1524758338928225]","[4.461999893188477, 6.40779972076416, 5.932799816131592]",,,carving_long,advanced,red,"[45.0, 1.5, 22.37805938720703, 10.755999565124512, 5.552172660827637, 266.992919921875, 2169.5394299114123, 6.6382883, 44.611757]"
