time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-19 10:14:05.900,"[4.400149822235107, 10.992067337036133, 5.0415568351745605]","[0.2168699949979782, 0.234156996011734, 0.77742999792099, 0.5419769883155823, -2.88549280166626, -1.2353442907333374, 2.738914728164673]","[28.5, -33.125, 6.5]","[-0.4606098532676697, 1.057913899421692, 0.8996299505233765]","[-15.8125, -57.4375, 28.625]","[7.010799884796143, 1.6938999891281128, 1.834699988365173]","[-0.4649382531642914, 1.0828372240066528, 0.9011309146881104]","[-3.122900009155273, 9.260000228881836, 0.8176999688148499]",left,START,carving_short,advanced,red,
2024-03-19 10:14:06.000,"[-7.87407922744751, 1.1948695182800293, 1.023684024810791]","[0.2326450049877166, 0.2862280011177063, 0.7796930074691772, 0.5059909820556641, -2.951331377029419, -1.1737682819366455, 2.5646774768829346]","[32.8125, -29.25, 5.0]","[-0.5145230889320374, 1.1119318008422852, 1.3382138013839722]","[-11.5, -53.5625, 27.125]","[7.098399639129639, -0.8574000000953674, -3.944999933242798]","[-0.5188514590263367, 1.1368725299835205, 1.339714765548706]","[-3.72350001335144, 9.04379940032959, 0.7170999646186829]",,,carving_short,advanced,red,
2024-03-19 10:14:06.100,"[6.1369709968566895, -0.1034199371933937, 3.214292526245117]","[0.268000990152359, 0.3416500091552734, 0.7806999683380127, 0.4493959844112396, -2.9002037048339844, -1.0860902070999146, 2.4627153873443604]","[34.0, -27.375, 3.625]","[-0.23024383187294, -1.1136422157287598, 0.0622733458876609]","[-10.3125, -51.6875, 25.75]","[4.971099853515625, -3.111500024795532, 4.342599868774414]","[-0.2345722466707229, -1.0887014865875244, 0.0637743324041366]","[-4.436800003051758, 8.677000045776367, 1.0922999382019043]",,,carving_short,advanced,red,"[45.0, 1.5, 13.67484188079834, 7.102000236511231, 8.43050479888916, 113.49539947509766, 2287.8584847096354, 6.630807, 44.6053942]"
2024-03-19 10:14:06.200,"[1.965132117271424, 8.070144653320312, 0.2784360647201538]","[0.2002650052309036, 0.3220010101795196, 0.8254899978637695, 0.4180580079555511, -3.03432559967041, -0.9599736332893372, 2.4536328315734863]","[38.375, -21.9375, 5.5]","[-0.5185896754264832, -0.2916619777679443, 0.6455798149108887]","[-5.9375, -46.25, 27.625]","[-13.645400047302246, -0.1019999980926513, -1.718999981880188]","[-0.5229181051254272, -0.2667386829853058, 0.6470808386802673]","[-5.592099666595459, 8.03339958190918, 0.6020999550819397]",,,carving_short,advanced,red,
2024-03-19 10:14:06.300,"[-0.5213804841041565, 16.036649703979492, -0.0144418245181441]","[0.1763560026884079, 0.3673070073127746, 0.833113968372345, 0.3740369975566864, -3.1126086711883545, -0.852281928062439, 2.324253797531128]","[41.5625, -13.75, 5.875]","[-0.7595149278640747, 1.057302951812744, 2.101271629333496]","[-2.75, -38.0625, 28.0]","[2.977999925613404, 0.8463999629020691, 1.5195000171661377]","[-0.7638433575630188, 1.082226276397705, 2.1027727127075195]","[-6.452600002288818, 7.382299900054932, 0.1869999915361404]",,,carving_short,advanced,red,
2024-03-19 10:14:06.400,"[2.675750255584717, 2.702124834060669, -1.870924949645996]","[0.1457310020923614, 0.4361889958381653, 0.8421210050582886, 0.2816599905490875, 3.1412575244903564, -0.6453976035118103, 2.1856472492218018]","[45.4375, -4.1875, 3.1875]","[-1.6859008073806765, 0.8573580980300903, 0.2031563222408294]","[1.125, -28.5, 25.3125]","[6.264599800109863, 4.212699890136719, 1.0411999225616455]","[-1.6902467012405396, 0.8822988271713257, 0.2046747654676437]","[-7.834099769592285, 5.898799896240234, -0.002600000007078]",,,carving_short,advanced,red,
2024-03-19 10:14:06.500,"[11.128968238830566, 15.677635192871094, 10.324726104736328]","[0.1741639971733093, 0.5425419807434082, 0.7995529770851135, 0.1898110061883926, -3.058138847351074, -0.5149720311164856, 1.971200585365296]","[45.8125, 3.0625, -4.6875]","[-1.5146665573120115, 1.408550500869751, 1.706041932106018]","[1.5, -21.25, 17.4375]","[0.9855999946594238, 13.390199661254885, 6.579599857330322]","[-1.519012451171875, 1.4334912300109863, 1.707542896270752]","[-8.505000114440918, 4.829799652099609, 0.7113999724388123]",,,carving_short,advanced,red,
2024-03-19 10:14:06.600,"[7.645030975341797, -14.35740566253662, 11.91820240020752]","[0.2086039930582046, 0.6438419818878174, 0.7260370254516602, 0.1217390000820159, -2.9776268005371094, -0.4616098403930664, 1.72926664352417]","[45.0, 3.6875, -13.625]","[-3.368206262588501, 4.0774030685424805, -1.413350224494934]","[0.6875, -20.625, 8.5]","[21.098499298095703, 5.0081000328063965, -10.279600143432615]","[-3.3725345134735107, 4.102344036102295, -1.4118491411209106]","[-8.662400245666504, 4.367799758911133, 1.4332000017166138]",,,carving_short,advanced,red,
2024-03-19 10:14:06.700,"[5.677130699157715, 6.467419147491455, 6.770476341247559]","[-0.2028190046548843, -0.9584370255470276, 0.1176749989390373, 0.1625230014324188, -2.845545768737793, -0.441203773021698, -0.1774796247482299]","[41.875, 4.75, -20.0625]","[-1.5931888818740845, 3.452924489974976, 0.1448448747396469]","[-2.4375, -19.5625, 2.0625]","[14.203099250793455, 12.22410011291504, 17.883399963378906]","[-1.5975173711776731, 3.477865219116211, 0.146345853805542]","[-8.48169994354248, 4.187699794769287, 2.586999893188477]",,,carving_short,advanced,red,
2024-03-19 10:14:06.800,"[22.58666038513184, 29.49228286743164, 5.564440727233887]","[-0.1973869949579239, -0.9395729899406432, 0.2215320020914077, 0.1707749962806701, -2.877617359161377, -0.4629429876804352, -0.4005394279956817]","[41.1875, 3.875, -21.625]","[-1.5334287881851196, -1.9152894020080569, 1.670925855636597]","[-3.375, -19.75, -0.0625]","[8.571100234985352, 6.267299652099609, 1.4055999517440796]","[-1.537774682044983, -1.890366077423096, 1.6724268198013306]","[-8.470399856567383, 4.37939977645874, 2.2893998622894287]",,,carving_short,advanced,red,
2024-03-19 10:14:06.900,"[17.016416549682617, 8.861735343933105, 25.10006523132324]","[-0.1974940001964569, -0.9397130012512208, 0.243025004863739, 0.1373790055513382, -2.9601738452911377, -0.4533153176307678, -0.4641942977905273]","[41.625, -0.125, -20.3125]","[-1.3607110977172852, 0.8107054233551025, 1.4348002672195437]","[-2.9375, -23.75, 1.25]","[-2.7983999252319336, 10.396499633789062, -3.2503998279571533]","[-1.3650394678115845, 0.8356287479400635, 1.4363012313842771]","[-8.67140007019043, 4.2947998046875, 1.5906000137329102]",,,carving_short,advanced,red,
2024-03-19 10:14:07.000,"[61.66331481933594, -0.8755595684051514, 17.08238983154297]","[-0.2067469954490661, -0.941698968410492, 0.204025000333786, 0.1697970032691955, -2.873444080352783, -0.4765007197856903, -0.361223816871643]","[40.9375, -2.5, -21.5]","[1.386576771736145, 3.22173810005188, -5.32686710357666]","[-3.625, -26.125, 0.0625]","[28.58009910583496, 4.382999897003174, 17.262699127197266]","[1.3822484016418457, 3.246661424636841, -5.325366020202637]","[-8.402799606323242, 4.497999668121338, 2.308799982070923]",,,carving_short,advanced,red,
2024-03-19 10:14:07.100,"[-24.18789291381836, 7.928676605224609, -6.557335376739502]","[-0.3179450035095215, -0.8993769884109497, 0.185820996761322, 0.2355860024690628, -2.7229456901550293, -0.7200982570648193, -0.247880682349205]","[39.25, -2.6875, -22.6875]","[1.4358649253845217, -3.9630143642425537, -8.9728422164917]","[-5.3125, -26.3125, -1.125]","[66.81079864501953, -15.033499717712402, 17.598299026489258]","[1.4315365552902222, -3.9380910396575928, -8.971341133117676]","[-6.735300064086914, 6.4670000076293945, 2.9968998432159424]",,,carving_short,advanced,red,"[45.0, 1.5, 14.942611694335938, 7.163000106811523, 8.672320365905762, 109.79314422607422, 2287.0715967454016, 6.6309139, 44.6053787]"
2024-03-19 10:14:07.200,"[-0.8089337348937988, 9.97290325164795, 4.5182318687438965]","[-0.3217000067234039, -0.8792600035667419, 0.2557750046253204, 0.2408079952001571, -2.7763493061065674, -0.7599721550941467, -0.4189163744449615]","[35.75, -6.6875, -26.8125]","[-3.663079500198364, 0.3865206241607666, 4.143429279327393]","[-8.8125, -30.3125, -5.25]","[-38.396297454833984, 18.98889923095703, -16.977998733520508]","[-3.667407989501953, 0.4114439189434051, 4.144929885864258]","[-6.639400005340576, 6.755799770355225, 2.5388998985290527]",,,carving_short,advanced,red,
2024-03-19 10:14:07.300,"[-2.199256181716919, -5.7646918296813965, 2.760016679763794]","[-0.3463599979877472, -0.8343089818954468, 0.3279289901256561, 0.2764509916305542, -2.773582935333252, -0.8621676564216614, -0.5782285928726196]","[33.1875, -14.0, -26.1875]","[-4.432804584503174, -0.3074746429920196, -0.3173706829547882]","[-11.375, -37.625, -4.625]","[-5.231599807739258, -6.973499774932861, 19.79290008544922]","[-4.437133312225342, -0.2825513482093811, -0.3158696889877319]","[-5.954699993133545, 7.445699691772461, 2.2960000038146973]",,,carving_short,advanced,red,
2024-03-19 10:14:07.400,"[-33.1112060546875, 37.869327545166016, -12.643491744995115]","[-0.325417011976242, -0.838346004486084, 0.3485569953918457, 0.2641719877719879, -2.820020198822021, -0.8180031180381775, -0.6476819515228271]","[34.1875, -8.125, -26.375]","[3.4074411392211914, -3.4487879276275635, -5.606399059295654]","[-10.375, -31.75, -4.8125]","[20.20959854125977, 12.682099342346191, -2.000499963760376]","[3.4031128883361816, -3.4238648414611816, -5.604897975921631]","[-6.360899925231934, 7.1566996574401855, 2.11899995803833]",,,carving_short,advanced,red,
2024-03-19 10:14:07.500,"[1.3731703758239746, 21.42323112487793, -8.05285930633545]","[-0.4079679846763611, -0.8299350142478943, 0.2623609900474548, 0.2755630016326904, -2.700387477874756, -0.9645065069198608, -0.378649353981018]","[33.9375, -8.75, -27.625]","[-1.919233798980713, 3.4906584915e-05, 7.266747951507568]","[-10.625, -32.375, -6.0625]","[-40.12689971923828, -3.6666998863220215, -11.510299682617188]","[-1.923579692840576, 0.0249582082033157, 7.268249034881592]","[-5.0528998374938965, 8.058799743652344, 2.386199951171875]",,,carving_short,advanced,red,
2024-03-19 10:14:07.600,"[-0.3017077445983886, 3.917182207107544, 11.704591751098633]","[-0.371733009815216, -0.8323580026626587, 0.3143250048160553, 0.2649399936199188, -2.799998998641968, -0.9033169150352478, -0.5552018880844116]","[30.25, -9.9375, -30.875]","[-0.0752585977315902, -1.764039158821106, 2.560973882675171]","[-14.3125, -33.5625, -9.3125]","[2.733999967575073, 2.610599994659424, 4.8531999588012695]","[-0.0795870125293731, -1.739115834236145, 2.5624749660491943]","[-5.719599723815918, 7.701999664306641, 2.033499956130981]",,,carving_short,advanced,red,
2024-03-19 10:14:07.700,"[3.521564245223999, 11.040688514709473, 4.422014236450195]","[-0.4023660123348236, -0.8171229958534241, 0.2527729868888855, 0.3263669908046722, -2.52260971069336, -0.965895652770996, -0.2677578330039978]","[29.375, -10.5, -31.5]","[0.6994407176971436, -0.4612556099891662, -0.5450314283370972]","[-15.1875, -34.125, -9.9375]","[0.8374999761581421, 3.098099946975708, 3.410399913787842]","[0.6951122879981995, -0.4363323152065277, -0.5435130000114441]","[-4.542099952697754, 8.066499710083008, 3.235599994659424]",left,STOP,carving_short,advanced,red,
2024-03-19 10:14:07.800,"[-3.187304973602295, 13.5667724609375, 3.019203424453736]","[-0.422322005033493, -0.8122730255126953, 0.2160519957542419, 0.3393760025501251, -2.4125280380249023, -0.9840152263641356, -0.1164570972323417]","[28.625, -9.4375, -31.6875]","[0.6649704575538635, 0.0552571229636669, -0.7896218299865723]","[-15.9375, -33.0625, -10.125]","[5.14739990234375, 6.373899936676025, -2.326200008392334]","[0.6606245636940002, 0.0801804289221763, -0.7881208658218384]","[-4.0493998527526855, 8.166199684143066, 3.6171000003814697]",right,START,carving_short,advanced,red,
2024-03-19 10:14:07.900,"[5.841143608093262, 8.882804870605469, 1.725596904754639]","[-0.4577060043811798, -0.7827450037002563, 0.1780750006437301, 0.3822340071201324, -2.1564948558807373, -1.0210686922073364, 0.1365643888711929]","[24.8125, -12.375, -34.375]","[0.3914249837398529, -0.0249407552182674, -2.698052167892456]","[-19.75, -36.0, -12.8125]","[-1.212299942970276, -3.802899837493897, 2.033799886703491]","[0.3870965838432312, 0.0, -2.6965510845184326]","[-2.832099914550781, 8.361800193786621, 4.269499778747559]",,,carving_short,advanced,red,
2024-03-19 10:14:08.000,"[0.675682008266449, 17.508787155151367, 0.529415488243103]","[-0.5296220183372498, -0.72918301820755, 0.1290310025215149, 0.4136930108070373, -1.775158405303955, -1.0740571022033691, 0.5523055195808411]","[21.5, -15.125, -34.9375]","[-0.0119555052369833, 0.0476300343871116, -0.8064468502998352]","[-23.0625, -38.75, -13.375]","[-1.904599905014038, -4.744499683380127, 0.0002999999851454]","[-0.0162839218974113, 0.0725533366203308, -0.8049458265304565]","[-0.9483999609947203, 8.621399879455566, 4.576099872589111]",,,carving_short,advanced,red,
2024-03-19 10:14:08.100,"[-8.411865234375, 27.91792297363281, 1.780606031417847]","[-0.5983049869537354, -0.6904529929161072, 0.0757910013198852, 0.3994480073451996, -1.4948736429214478, -1.0902706384658811, 0.94013512134552]","[21.0625, -19.6875, -32.5625]","[-0.4022111296653747, -0.3572863638401031, -1.7454339265823364]","[-23.5, -43.3125, -11.0]","[-5.05079984664917, -6.543900012969971, -11.26099967956543]","[-0.4065395295619964, -0.3323630392551422, -1.743915557861328]","[0.3437999784946441, 8.696000099182129, 4.519899845123291]",,,carving_short,advanced,red,"[45.0, 1.5, 17.293991088867188, 7.403999805450439, 7.997970104217529, 100.9169692993164, 2286.4231710275635, 6.6310105, 44.6053892]"
2024-03-19 10:14:08.200,"[-11.419068336486816, -5.2234296798706055, 2.429636001586914]","[-0.6562650203704834, -0.6539210081100464, -0.0071589997969567, 0.37636598944664, -1.290008306503296, -1.0215193033218384, 1.302231788635254]","[21.375, -21.25, -32.1875]","[1.788822889328003, -2.642201662063598, -2.1147282123565674]","[-23.1875, -44.875, -10.625]","[0.937999963760376, 2.4042999744415283, -0.4398999810218811]","[1.784494400024414, -2.6172783374786377, -2.113227128982544]","[1.4186999797821045, 8.364099502563477, 4.9191999435424805]",,,carving_short,advanced,red,
2024-03-19 10:14:08.300,"[-7.446446418762207, -1.716910719871521, 9.988704681396484]","[-0.6969029903411865, -0.5890589952468872, -0.1701119989156723, 0.3720160126686096, -1.2186954021453855, -0.7676762938499451, 1.6114228963851929]","[20.9375, -19.3125, -33.4375]","[2.415483236312866, -0.3159569501876831, 0.2456027269363403]","[-23.625, -42.9375, -11.875]","[-0.6055999994277954, 11.37909984588623, -8.094099998474121]","[2.4111549854278564, -0.2910336554050445, 0.2471037209033966]","[2.4333999156951904, 6.810299873352051, 6.623199939727783]",,,carving_short,advanced,red,
2024-03-19 10:14:08.400,"[23.12680053710937, 14.121604919433594, -8.342998504638672]","[-0.6669319868087769, -0.5928279757499695, -0.2448039948940277, 0.3792450129985809, -1.3462843894958496, -0.6498543620109558, 1.5826715230941772]","[21.9375, -21.3125, -31.0]","[-0.3886324763298034, -1.80556058883667, -2.400735378265381]","[-22.625, -44.9375, -9.4375]","[4.37559986114502, 13.965999603271484, 1.0480999946594238]","[-0.3929783403873443, -1.780637264251709, -2.3992342948913574]","[1.7381999492645264, 5.933700084686279, 7.611799716949463]",,,carving_short,advanced,red,
2024-03-19 10:14:08.500,"[4.897875785827637, 19.409746170043945, 5.569047451019287]","[-0.6969959735870361, -0.5530470013618469, -0.2861120104789734, 0.3556309938430786, -1.2945808172225952, -0.6033964157104492, 1.7358946800231934]","[22.4375, -22.1875, -29.4375]","[0.4317246377468109, -0.5700070858001709, -1.516568899154663]","[-22.125, -45.8125, -7.875]","[3.254899978637696, 17.128299713134766, -2.57699990272522]","[0.4273962378501892, -0.54508376121521, -1.5150679349899292]","[2.2021000385284424, 5.564699649810791, 7.768799781799316]",,,carving_short,advanced,red,
