time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-19 12:24:06.800,"[-14.109021186828612, 7.513627529144287, 7.932641506195068]","[-0.4808849990367889, -0.6075379848480225, 0.1499100029468536, 0.6141430139541626, -1.225077986717224, -0.8764063119888306, 0.6923987865447998]","[-0.8125, -17.625, -38.75]","[1.2191299200057983, -0.8486663699150085, -2.829457998275757]","[-45.875, -39.125, -18.375]","[-0.9413999915122986, 6.006700038909912, 0.4336999952793121]","[0.457869678735733, -0.7628834247589111, -1.3072515726089478]","[2.126499891281128, 7.535799980163574, 5.904099941253662]",right,START,carving_short,advanced,red,
2024-03-19 12:24:06.900,"[4.069797992706299, 13.679606437683104, 11.981341361999512]","[-0.5049020051956177, -0.5859950184822083, 0.0777309983968734, 0.6289989948272705, -1.1419917345046997, -0.7608338594436646, 0.8498817086219788]","[-0.4375, -16.5625, -39.0625]","[-1.2742997407913208, -0.9087405800819396, -0.6218084692955017]","[-45.5, -38.0625, -18.6875]","[-21.06169891357422, -3.66789984703064, -9.376099586486816]","[-1.0363067388534546, -1.5725765228271484, -2.7502200603485107]","[2.9530999660491943, 6.761899948120117, 6.459499835968018]",,,carving_short,advanced,red,
2024-03-19 12:24:07.000,"[-2.1111114025115967, 6.652385234832764, 12.013548851013184]","[-0.5807740092277527, -0.5541840195655823, 0.0087630003690719, 0.5962399840354919, -1.0358167886734009, -0.7130728960037231, 1.1262775659561155]","[-1.25, -17.5, -38.5625]","[-1.4488152265548706, -1.0541963577270508, -1.2273504734039309]","[-46.3125, -39.0, -18.1875]","[-31.2155990600586, 22.4070987701416, -11.108399391174316]","[-0.6307271122932434, -1.6309229135513306, -2.5188066959381104]","[3.781399965286255, 6.415099620819092, 6.380899906158447]",,,carving_short,advanced,red,
2024-03-19 12:24:07.100,"[6.579151153564453, 56.05842208862305, 9.109487533569336]","[-0.6554650068283081, -0.5217390060424805, -0.0536039993166923, 0.5433949828147888, -0.9561574459075928, -0.676037609577179, 1.396876096725464]","[1.75, -20.6875, -37.875]","[2.287952184677124, -1.291805386543274, 0.829607367515564]","[-43.3125, -42.1875, -17.5]","[-15.004799842834473, -11.27810001373291, -1.6282999515533447]","[1.119209885597229, -0.6722833514213562, 0.2141519039869308]","[4.411299705505371, 6.13599967956543, 6.24970006942749]",,,carving_short,advanced,red,"[45.0, 1.5, 29.114013671875, 15.097000122070312, 8.217870712280273, 2.064023733139038, 2582.131178917364, 6.6395695, 44.575457]"
2024-03-19 12:24:07.200,"[-13.388069152832031, 22.273679733276367, -4.4064130783081055]","[-0.6353719830513, -0.5295329689979553, -0.0907159969210624, 0.5546759963035583, -1.029224872589111, -0.6092649102210999, 1.3543144464492798]","[1.75, -17.5625, -38.5]","[-0.1003738865256309, -0.5543689131736755, -0.0832173004746437]","[-43.3125, -39.0625, -18.125]","[-19.963499069213867, 28.697599411010746, 17.43199920654297]","[-1.2244008779525757, -0.3602359592914581, -1.3748656511306765]","[4.145499706268311, 5.611999988555908, 6.891299724578857]",,,carving_short,advanced,red,
2024-03-19 12:24:07.300,"[0.303575187921524, 5.784908771514893, 1.762573003768921]","[-0.67228102684021, -0.4923999905586242, -0.102803997695446, 0.5431479811668396, -0.937731683254242, -0.5828274488449097, 1.4809179306030271]","[1.6875, -20.8125, -37.25]","[-0.5179613828659058, -0.4041135311126709, 0.1363451182842254]","[-43.375, -42.3125, -16.875]","[10.093599319458008, 22.17219924926757, 8.325900077819824]","[-1.2825028896331787, -1.81769061088562, -1.8265219926834104]","[4.843899726867676, 5.39739990234375, 6.60099983215332]",,,carving_short,advanced,red,
2024-03-19 12:24:07.400,"[3.278533697128296, 10.010693550109863, 0.4557985663414001]","[-0.6722009778022766, -0.5142509937286377, -0.1120980009436607, 0.5206959843635559, -0.994520664215088, -0.6121423244476318, 1.4837384223937988]","[2.25, -22.0625, -37.25]","[0.2641206681728363, 0.0005061454721726, 0.1513724029064178]","[-42.8125, -43.5625, -16.875]","[-25.540599822998047, -1.4358999729156494, -9.729100227355955]","[-0.1539554893970489, 0.1224872097373008, 0.2031563222408294]","[4.373300075531006, 5.6350998878479, 6.729699611663818]",,,carving_short,advanced,red,
2024-03-19 12:24:07.500,"[13.0496826171875, 9.828935623168944, 11.086121559143066]","[-0.670179009437561, -0.5160210132598877, -0.0943790003657341, 0.5250459909439087, -0.9786114692687988, -0.6342161297798157, 1.4664459228515625]","[1.4375, -21.6875, -37.4375]","[0.0357443429529666, 0.2882062196731567, 0.6154729127883911]","[-43.625, -43.1875, -17.0625]","[-3.03439998626709, 4.523299694061279, -0.6405999660491943]","[0.2131919711828231, 0.3469714522361755, 0.0010122909443452]","[4.409299850463867, 5.810800075531006, 6.554499626159668]",,,carving_short,advanced,red,
2024-03-19 12:24:07.600,"[-0.7861983776092529, 7.361844539642334, 4.931710720062256]","[-0.6448190212249756, -0.5223879814147949, -0.0666949972510337, 0.553957998752594, -0.980566143989563, -0.6432497501373291, 1.3700882196426392]","[1.0625, -20.125, -37.625]","[-0.456805020570755, 0.929213285446167, -0.4625296890735626]","[-44.0, -41.625, -17.25]","[-1.7310999631881714, 15.165599822998049, -4.076600074768066]","[-0.0962549075484275, 0.0410326905548572, 0.5440365672111511]","[4.367099761962891, 5.881999969482422, 6.519199848175049]",,,carving_short,advanced,red,
2024-03-19 12:24:07.700,"[-17.23720932006836, 4.075716495513916, 1.1606898307800293]","[-0.6394870281219482, -0.5218949913978577, -0.0263819992542266, 0.5638999938964844, -0.9406856298446656, -0.6915560364723206, 1.3339630365371704]","[1.125, -21.75, -37.4375]","[0.675006091594696, 1.3814105987548828, -0.5682617425918579]","[-43.9375, -43.25, -17.0625]","[-11.647299766540527, -0.0197999998927116, -9.16189956665039]","[-0.2116909772157669, -0.9397725462913512, -0.1454557329416275]","[4.450799942016602, 6.253999710083008, 6.102999687194824]",,,carving_short,advanced,red,
