time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-19 12:49:37.000,"[-1.1204289197921753, 13.804229736328123, 3.0624616146087646]","[0.3192110061645508, -0.2701529860496521, 0.4552139937877655, 0.7860659956932068, -1.0197609663009644, -0.5742257237434387, -1.098763942718506]","[-39.1875, -11.75, -23.4375]","[-0.5853485465049744, 0.3121870458126068, -1.2933238744735718]","[-84.4375, -32.125, 2.0]","[2.4876999855041504, 2.9006998538970947, -4.84119987487793]","[-0.4564734101295471, -0.4909436702728271, -1.4789570569992063]","[4.31089973449707, 5.3267998695373535, 7.014999866485596]",right,START
2024-03-19 12:49:37.100,"[3.297189235687256, 10.1050443649292, 7.377435684204102]","[0.2679370045661926, -0.2974900007247925, 0.4070389866828918, 0.8209919929504395, -0.9629053473472596, -0.5339463353157043, -0.914784014225006]","[-38.75, -5.6875, -25.8125]","[-0.638266921043396, 0.1911659091711044, -1.3686871528625488]","[-84.0, -26.0625, -0.375]","[-6.208799839019775, 2.097599983215332, -5.521299839019775]","[-0.5177344679832458, -1.378705382347107, -2.155202388763428]","[4.821300029754639, 4.990900039672852, 6.929299831390381]",,
2024-03-19 12:49:37.200,"[6.84569263458252, 10.14282512664795, 14.672012329101562]","[0.2111549973487854, -0.359512984752655, 0.3444919884204864, 0.8411229848861694, -0.9791391491889954, -0.4419405460357666, -0.7301700711250305]","[-36.875, -1.0, -28.25]","[-0.0898146405816078, -1.4076952934265137, -2.456795215606689]","[-82.125, -21.375, -2.8125]","[-6.825099945068359, 9.47760009765625, -3.025899887084961]","[-0.3517187535762787, -0.717260479927063, -1.0296919345855713]","[4.943999767303467, 4.194200038909912, 7.35759973526001]",,
2024-03-19 12:49:37.300,"[-3.0678534507751465, 13.083651542663574, 5.383113384246826]","[0.1737210005521774, -0.3853490054607391, 0.3200120031833648, 0.8478900194168091, -0.9933438301086426, -0.4211207330226898, -0.6348274350166321]","[-36.875, 0.0, -28.5625]","[-0.1904154270887375, -0.8483347296714783, -0.9553757905960084]","[-82.125, -20.375, -3.125]","[-0.5874999761581421, 12.678499221801758, -0.5361999869346619]","[-1.3021377325057983, 0.3428873717784881, -0.3904999792575836]","[4.885600090026856, 4.008699893951416, 7.49869966506958]",,
2024-03-19 12:49:37.400,"[-4.866530895233154, 7.823896884918213, 4.652412414550781]","[0.1041319966316223, -0.3733409941196441, 0.3109099864959717, 0.8678169846534729, -0.9332916140556335, -0.4801051616668701, -0.484215497970581]","[-35.3125, 0.5625, -30.0625]","[-1.4603344202041626, -0.0098785636946558, -0.5309291481971741]","[-80.5625, -19.8125, -4.625]","[-12.476099967956545, 0.5514000058174133, -1.9400999546051023]","[-0.0096167642623186, -0.8920901417732239, -0.8237605094909668]","[5.1768999099731445, 4.529399871826172, 6.989500045776367]",,
2024-03-19 12:49:37.500,"[4.099514961242676, 6.25236177444458, 11.284235954284668]","[0.0841289982199668, -0.4136280119419098, 0.288877010345459, 0.8592919707298279, -0.996947944164276, -0.4410211741924286, -0.4380137622356415]","[-33.9375, 3.0625, -31.8125]","[0.2395638972520828, -1.3458234071731567, -0.9845402240753174]","[-79.1875, -17.3125, -6.375]","[-0.5512999892234802, 10.43690013885498, -7.661299705505371]","[-0.7687128186225891, -0.5701292753219604, -0.7855377793312073]","[4.814300060272217, 4.185999870300293, 7.447700023651123]",,
2024-03-19 12:49:37.600,"[-1.4292521476745603, 19.27716445922852, -0.6164398789405823]","[0.0394750013947486, -0.4256179928779602, 0.2730459868907928, 0.8618209958076477, -0.9965372681617736, -0.4522950947284698, -0.3406058251857757]","[-31.5625, 2.875, -33.625]","[-1.2688543796539309, -0.5409647822380066, -0.9269792437553406]","[-76.8125, -17.5, -8.1875]","[-3.95419979095459, 4.892399787902832, -0.732699990272522]","[-0.3701145052909851, -0.4563512504100799, -0.586378276348114]","[4.791399955749512, 4.285799980163574, 7.405699729919434]",,
2024-03-19 12:49:37.700,"[6.22873592376709, 8.47346305847168, 8.720026969909668]","[0.0032309999223798, -0.4316689968109131, 0.2615390121936798, 0.863277018070221, -0.9897534251213074, -0.4653905034065246, -0.2618948817253113]","[-31.25, 3.0625, -34.0]","[-0.2704213261604309, -0.2051983624696731, -0.3045250475406647]","[-76.5, -17.3125, -8.5625]","[-1.1460000276565552, 5.194799900054932, -3.077299833297729]","[-1.38226580619812, -0.4021936655044555, -0.913470447063446]","[4.810299873352051, 4.400899887084961, 7.325500011444092]",,
2024-03-19 12:49:37.800,"[-5.285497188568115, 9.961708068847656, 1.888431429862976]","[-0.0567150004208087, -0.4461320042610168, 0.2278929948806762, 0.8636040091514587, -0.9813200831413268, -0.4603072106838226, -0.117897979915142]","[-28.625, 4.4375, -36.0625]","[-1.112752079963684, -0.6235014200210571, -1.0836399793624878]","[-73.875, -15.9375, -10.625]","[-2.417099952697754, -2.91729998588562, 5.677999973297119]","[0.0977558940649032, -0.0870046615600586, 0.0480838194489479]","[4.884299755096436, 4.356299877166748, 7.303099632263184]",,
2024-03-19 12:49:37.900,"[1.8803772926330569, 13.91228485107422, 4.268670082092285]","[-0.0844559967517852, -0.4503900110721588, 0.2278279960155487, 0.8591319918632507, -0.9825906157493592, -0.4865113794803619, -0.0680472031235694]","[-28.5, 2.375, -35.6875]","[0.1256986111402511, 0.0519235432147979, 0.8066737055778503]","[-73.75, -18.0, -10.25]","[-5.600499629974365, 4.789000034332275, -6.158499717712402]","[-1.050792932510376, -0.3965213596820831, -1.2792565822601318]","[4.809999942779541, 4.585000038146973, 7.211799621582031]",,
2024-03-19 12:49:38.000,"[2.455742120742798, 4.276121139526367, 9.849842071533203]","[-0.1428389996290207, -0.4453229904174804, 0.19718599319458, 0.8616269826889038, -0.934256672859192, -0.485918253660202, 0.0798419415950775]","[-26.0, 3.5625, -37.9375]","[-0.5829923152923584, -0.3747745454311371, -0.6864903569221497]","[-71.25, -16.8125, -12.5]","[-3.281800031661988, 4.4340996742248535, 5.339499950408936]","[0.4149171113967895, -0.274138867855072, 0.2327920198440551]","[5.154399871826172, 4.579899787902832, 6.973199844360352]",,
2024-03-19 12:49:38.100,"[0.6256049275398254, 3.79122805595398, 18.105833053588867]","[-0.1774290055036544, -0.4555040001869201, 0.1925989985466003, 0.850845992565155, -0.9449490904808044, -0.5113825798034668, 0.1455365568399429]","[-25.25, 2.8125, -38.4375]","[0.0293913446366786, -0.0095993112772703, -0.4355992674827575]","[-70.5, -17.5625, -13.0]","[-4.353099822998047, 8.965099334716797, -12.282699584960938]","[-0.2560921609401703, -0.5511924028396606, -0.5605124831199646]","[5.009599685668945, 4.799200057983398, 6.931099891662598]",,
2024-03-19 12:49:38.200,"[-0.7925286293029785, 3.4595351219177246, 5.92901086807251]","[-0.2019769996404647, -0.4712370038032532, 0.1610369980335235, 0.843330979347229, -0.9663798809051514, -0.4802185893058777, 0.2146274894475937]","[-22.9375, 4.75, -39.25]","[-0.3887895345687866, -0.5094267129898071, -0.8153480291366577]","[-68.1875, -15.625, -13.8125]","[-0.3305999934673309, 7.724399566650391, -2.272599935531616]","[0.210259810090065, 0.1078438907861709, -0.6183701753616333]","[4.942599773406982, 4.530399799346924, 7.156499862670898]",,
2024-03-19 12:49:38.300,"[1.355165958404541, 7.651657581329346, 1.7939274311065674]","[-0.2335619926452636, -0.4705089926719665, 0.1430310010910034, 0.8388149738311768, -0.9503303170204164, -0.4777013957500458, 0.2938742041587829]","[-21.875, 3.625, -40.125]","[-0.7541218400001526, -0.2941054403781891, -0.8549495339393616]","[-67.125, -16.75, -14.6875]","[-7.213599681854248, 5.172699928283691, -4.211899757385254]","[-0.6477963924407959, -0.4134335815906524, -1.0333396196365356]","[5.063399791717529, 4.508500099182129, 7.0854997634887695]",,
