time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-17 15:35:53.600,"[0.5944515466690063, 7.221822261810303, 5.4211907386779785]","[0.7503150105476379, 0.3750199973583221, 0.490011990070343, 0.2372220009565353, -1.1664950847625732, -0.9194190502166748, 3.122547149658203]","[-2.0, -46.875, -11.3125]","[-0.1350535750389099, -0.3969053328037262, -0.0354301854968071]","[-42.6875, -40.6875, -8.8125]","[-1.9366999864578247, -0.1691000014543533, -0.1607999950647354]","[-0.0988554507493972, -0.4121595025062561, -0.0559552572667598]","[2.3387999534606934, 7.798699855804443, 5.46619987487793]",right,START
2024-02-17 15:35:53.700,"[-0.0417836084961891, 11.38205337524414, 5.623414516448975]","[0.7427600026130676, 0.3718279898166656, 0.4999040067195892, 0.2452449947595596, -1.1909302473068235, -0.9232325553894044, 3.129258394241333]","[-1.625, -47.5, -10.6875]","[0.2138028293848037, -0.2513797581195831, -0.0563741363584995]","[-42.3125, -41.3125, -8.1875]","[-0.8989999890327454, 0.3671000003814697, 0.762499988079071]","[0.0644375532865524, -0.2441366612911224, 0.0374198593199253]","[2.19350004196167, 7.821300029754639, 5.49399995803833]",,
2024-02-17 15:35:53.800,"[1.4762169122695925, 10.307862281799316, 4.6202921867370605]","[0.7352669835090637, 0.3718189895153045, 0.5044230222702026, 0.2582390010356903, -1.1985936164855957, -0.9395555853843688, -3.133728265762329]","[-1.6875, -47.3125, -10.6875]","[-0.2871764600276947, -0.3090279996395111, -0.0226020142436027]","[-42.375, -41.125, -8.1875]","[-1.5357999801635742, 0.3206000030040741, -0.7622999548912048]","[-0.2853787839412689, -0.1842893213033676, -0.0752236917614936]","[2.104599952697754, 7.916800022125244, 5.390999794006348]",,
2024-02-17 15:35:53.900,"[-0.0281366575509309, 8.487349510192871, 4.909119129180908]","[0.7228549718856812, 0.3745160102844238, 0.5101770162582397, 0.2773739993572235, -1.211633324623108, -0.9692494869232178, -3.1082537174224854]","[-1.875, -47.5625, -9.0]","[-0.237836018204689, -0.3740589618682861, -0.1048942878842353]","[-42.5625, -41.375, -6.5]","[-0.9404999613761902, -0.1516000032424926, -0.4098999798297882]","[-0.2301565706729889, -0.3777765035629272, -0.0202283654361963]","[1.950599908828736, 8.085199356079102, 5.1956000328063965]",,
2024-02-17 15:35:54.000,"[0.275649219751358, 8.51745891571045, 5.215682029724121]","[0.713316023349762, 0.3693990111351013, 0.5193809866905212, 0.2914890050888061, -1.2280149459838867, -0.9787207841873168, -3.0839884281158447]","[-2.4375, -47.875, -8.0625]","[0.0215199086815118, -0.3907094001770019, -0.0868824869394302]","[-43.125, -41.6875, -5.5625]","[-1.8393999338150024, -1.9885998964309688, -1.7417999505996704]","[0.0064577180892229, -0.4269249737262726, -0.0654149428009986]","[1.8393999338150024, 8.137399673461914, 5.1545000076293945]",,
2024-02-17 15:35:54.100,"[0.7938981056213379, 6.460054397583008, 4.325584888458252]","[0.7025669813156128, 0.3711139857769012, 0.5257790088653564, 0.3036929965019226, -1.2481083869934082, -0.9987882375717164, -3.074147701263428]","[-1.8125, -47.625, -7.3125]","[-0.1584060788154602, -0.1647765338420868, 0.1180889755487442]","[-42.5, -41.4375, -4.8125]","[-1.9578999280929563, 1.1490999460220337, -0.1605999916791916]","[-0.0718028470873832, -0.2108881324529647, 0.0914552509784698]","[1.6833999156951904, 8.245599746704102, 5.034499645233154]",,
2024-02-17 15:35:54.200,"[-1.111915111541748, 9.2620267868042, 6.845137596130371]","[0.7018280029296875, 0.3676100075244903, 0.5310500264167786, 0.3004759848117828, -1.264800786972046, -0.9883755445480348, -3.0846097469329834]","[-2.0, -47.6875, -7.25]","[0.2109579443931579, 0.0038920841179788, 0.0408407039940357]","[-42.6875, -41.5, -4.75]","[-1.0952999591827393, 1.4990999698638916, -0.8285999894142151]","[0.2406459897756576, -0.2806140482425689, 0.07754497975111]","[1.624899983406067, 8.189800262451172, 5.143499851226807]",,
2024-02-17 15:35:54.300,"[1.050163984298706, 10.072013854980469, 7.3313140869140625]","[0.7036600112915039, 0.3591110110282898, 0.5355039834976196, 0.2985579967498779, -1.2678247690200806, -0.970453679561615, -3.0786118507385254]","[-1.8125, -47.375, -9.0625]","[-0.0223053079098463, -0.0156905092298984, -0.0333532430231571]","[-42.5, -41.1875, -6.5625]","[-0.583899974822998, 2.038300037384033, 1.4395999908447266]","[0.0760963559150695, -0.0633379966020584, -0.0772482752799987]","[1.652899980545044, 8.09179973602295, 5.287600040435791]",,
2024-02-17 15:35:54.400,"[-0.1885194331407547, 8.930305480957031, 5.499548435211182]","[0.7047380208969116, 0.3669970035552978, 0.5231339931488037, 0.3081980049610138, -1.2264857292175293, -0.9967880249023438, -3.04860258102417]","[-2.1875, -48.0625, -7.4375]","[-0.1896998286247253, 0.1002691686153411, -0.2045700401067733]","[-42.875, -41.875, -4.9375]","[-1.7973999977111816, 0.5320999622344971, 0.5870999693870544]","[-0.3419623672962188, 0.1010022014379501, -0.1431169956922531]","[1.7973999977111816, 8.234899520874023, 5.012399673461914]",,
2024-02-17 15:35:54.500,"[1.2526942491531372, 6.798201560974121, 5.888576984405518]","[0.7095879912376404, 0.3572309911251068, 0.5169349908828735, 0.3188210129737854, -1.1767408847808838, -0.9910343885421752, -2.9892518520355225]","[-4.0, -48.0, -6.625]","[-0.0500734969973564, -0.1762782484292984, -0.2778913080692291]","[-44.6875, -41.8125, -4.125]","[-0.9739999771118164, -0.2018999904394149, 0.0701999962329864]","[-0.0623257085680961, -0.1338667571544647, -0.2796366512775421]","[2.0625, 8.204099655151367, 4.9604997634887695]",,
