time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-25 16:58:12.200,"[-0.2429157048463821, 9.424909591674805, -2.9542150497436523]","[-0.4161779880523681, -0.1368270069360733, 0.7411530017852783, 0.5086879730224609, 1.848270297050476, -1.050999402999878, 2.681406021118164]","[-9.25, -46.8125, 6.9375]","[-0.141633465886116, -0.082972951233387, 0.1151742786169052]","[-361.8125, -58.375, -108.5]","[0.0005999999702908, -0.0678000003099441, -0.3362999856472015]","[-0.0524122379720211, -0.1234122291207313, 0.0640361309051513]","[-1.334299921989441, 8.51140022277832, -4.684599876403809]",right,START,skidded_long,intermediate,blue
2024-02-25 16:58:12.300,"[-0.5049563050270081, 7.807682991027832, -5.993538856506348]","[-0.425805002450943, -0.1350059956312179, 0.7463849782943726, 0.4933280050754547, 1.8620831966400144, -1.0186442136764526, 2.711732625961304]","[-8.25, -46.8125, 8.875]","[-0.1471661627292633, -0.003159045940265, 0.1370781660079956]","[-360.8125, -58.625, -106.75]","[2.0262999534606934, -1.0923999547958374, 1.7594999074935913]","[-0.2079908847808838, -0.1068665087223053, 0.082798421382904]","[-1.477199912071228, 8.349299430847168, -4.927000045776367]",,,skidded_long,intermediate,blue
2024-02-25 16:58:12.400,"[-0.5143798589706421, 9.539189338684082, -4.531639575958252]","[-0.4457040131092071, -0.1352390050888061, 0.7545030117034912, 0.462365984916687, 1.8803757429122925, -0.9583883881568908, 2.7711994647979736]","[-7.5625, -46.875, 9.625]","[-0.552431583404541, -0.3033905923366546, 0.6091897487640381]","[-360.125, -58.6875, -106.125]","[1.3544999361038208, 0.4386000037193298, 1.19159996509552]","[-0.5344372391700745, -0.2526015043258667, 0.5962393879890442]","[-1.7173999547958374, 8.024399757385254, -5.369199752807617]",,,skidded_long,intermediate,blue
2024-02-25 16:58:12.500,"[-1.1386823654174805, 8.810097694396973, -5.816808700561523]","[-0.4674089848995209, -0.1495179980993271, 0.7566030025482178, 0.4321149885654449, 1.8877408504486084, -0.9167871475219728, 2.8451831340789795]","[-5.75, -46.75, 11.1875]","[-0.2040115296840667, -0.4295080602169037, 0.5819625854492188]","[-358.625, -58.3125, -104.1875]","[1.6239999532699585, 1.5037999153137207, 1.3734999895095823]","[-0.3181211650371551, -0.4178841710090637, 0.524192214012146]","[-1.859399914741516, 7.782999992370605, -5.668900012969971]",,,skidded_long,intermediate,blue
2024-02-25 16:58:12.600,"[0.6362447738647461, 6.654376983642578, -4.622351169586182]","[-0.4929820001125335, -0.1818459928035736, 0.7497609853744507, 0.402191013097763, 1.8815248012542725, -0.8984907269477844, 2.941371440887451]","[-3.1875, -47.0, 11.5]","[-0.1163436472415924, -0.6654765605926514, 0.6914645433425903]","[-356.0625, -58.6875, -103.875]","[1.9947999715805047, 0.5648999810218811, 0.3722999989986419]","[0.0023911010939627, -0.7150264978408813, 0.6625269651412964]","[-1.8672999143600464, 7.672599792480469, -5.815000057220459]",,,skidded_long,intermediate,blue
2024-02-25 16:58:12.700,"[1.2660826444625854, 9.227463722229004, -4.770159721374512]","[-0.5248219966888428, -0.2170539945363998, 0.7374200224876404, 0.3655950129032135, 1.858081102371216, -0.8741892576217651, 3.042266130447388]","[-1.8125, -46.375, 10.875]","[0.0055850534699857, -0.9813811779022216, 0.6184749007225037]","[-354.4375, -58.0, -104.375]","[2.351599931716919, -0.5787999629974365, 0.640500009059906]","[-0.0365646481513977, -0.9724276661872864, 0.6374291181564331]","[-1.7827999591827393, 7.521899700164795, -6.0341997146606445]",,,skidded_long,intermediate,blue
2024-02-25 16:58:12.800,"[2.44181752204895, 8.408197402954102, -5.71245002746582]","[-0.5432959794998169, -0.2424599975347519, 0.7299569845199585, 0.3364579975605011, 1.8538517951965328, -0.8551278710365295, 3.1238787174224854]","[1.0, -46.8125, 11.125]","[0.0339641086757183, -0.8108974099159241, 0.411356657743454]","[-351.6875, -58.6875, -104.3125]","[2.24810004234314, 1.454699993133545, 1.196499943733215]","[0.010105456225574, -0.8175122141838074, 0.4414810240268707]","[-1.7969999313354492, 7.400599956512451, -6.178199768066406]",,,skidded_long,intermediate,blue
2024-02-25 16:58:12.900,"[0.2077879756689071, 7.609184741973877, -5.953335762023926]","[-0.5534279942512512, -0.274524986743927, 0.7174509763717651, 0.3218930065631866, 1.854785442352295, -0.872198224067688, -3.0830535888671875]","[2.1875, -46.8125, 10.5625]","[0.4535238146781921, -0.5535137057304382, 0.4929856956005096]","[-350.5625, -58.4375, -104.75]","[1.7965999841690063, 0.4436999857425689, 1.768899917602539]","[0.3858574032783508, -0.5510877370834351, 0.416435569524765]","[-1.7670999765396118, 7.509399890899658, -6.054399967193604]",,,skidded_long,intermediate,blue
2024-02-25 16:58:13.000,"[0.5998719930648804, 8.389369010925293, -3.173964262008667]","[-0.5701760053634644, -0.2983849942684173, 0.699679970741272, 0.3103429973125458, 1.8219128847122192, -0.8859962224960327, -3.0407958030700684]","[2.6875, -47.5625, 9.3125]","[0.1264840066432953, -0.6424556970596313, 0.2039417177438736]","[-349.8125, -59.125, -106.1875]","[4.630399703979492, 1.5145999193191528, 0.9872999787330629]","[0.1862266361713409, -0.725830078125, 0.1948311030864715]","[-1.5412999391555786, 7.595699787139893, -6.008299827575684]",,,skidded_long,intermediate,blue
2024-02-25 16:58:13.100,"[0.7717182636260986, 8.26283073425293, -5.1290693283081055]","[-0.5858669877052307, -0.323415994644165, 0.6876099705696106, 0.281695008277893, 1.814172863960266, -0.873140275478363, -2.9620912075042725]","[3.9375, -47.375, 9.8125]","[0.0011693706037476, -0.6044074892997742, 0.600166380405426]","[-348.9375, -59.3125, -105.75]","[1.5180999040603638, 2.046099901199341, 0.4068000018596649]","[-0.0115540800616145, -0.7289541959762573, 0.5255535244941711]","[-1.5180999040603638, 7.5152997970581055, -6.114299774169922]",,,skidded_long,intermediate,blue
2024-02-25 16:58:13.200,"[0.859470546245575, 7.895167350769043, -5.128906726837158]","[-0.5995879769325256, -0.3506830036640167, 0.6671969890594482, 0.2690010070800781, 1.7900731563568115, -0.8938415050506592, -2.9073917865753174]","[5.25, -47.0, 9.5625]","[0.3533419072628021, -0.5643696784973145, 0.2027548998594284]","[-347.4375, -58.6875, -105.9375]","[4.650899887084961, -0.8382999897003174, 1.8280999660491943]","[0.2969154119491577, -0.5196019411087036, 0.2905449569225311]","[-1.3361999988555908, 7.644099712371826, -5.995899677276611]",,,skidded_long,intermediate,blue
2024-02-25 16:58:13.300,"[0.4466239511966705, 6.408597946166992, -5.696887969970703]","[-0.6033909916877747, -0.3742710053920746, 0.6565409898757935, 0.2545439898967743, 1.8029227256774905, -0.904151201248169, -2.8389930725097656]","[6.25, -47.4375, 7.4375]","[0.1107935011386871, -0.2868099510669708, 0.4096811413764953]","[-346.5, -59.0625, -107.875]","[2.5030999183654785, 0.981599986553192, -0.2572000026702881]","[0.1524021476507187, -0.4226314723491668, 0.4218286275863647]","[-1.3949999809265137, 7.706999778747559, -5.901199817657471]",,,skidded_long,intermediate,blue
2024-02-25 16:58:13.400,"[0.3438935577869415, 6.051680088043213, -5.443179130554199]","[-0.6268290281295776, -0.4006960093975067, 0.6299809813499451, 0.2228209972381591, 1.7565616369247437, -0.8996057510375977, -2.770510196685791]","[8.4375, -46.75, 8.4375]","[0.2129650712013244, -1.179580807685852, 0.0849102661013603]","[-343.875, -58.6875, -106.875]","[3.381999969482422, 2.12719988822937, 1.4534000158309937]","[0.1751786917448043, -1.6512036323547363, 0.3026575446128845]","[-1.1263999938964844, 7.6793999671936035, -5.993899822235107]",,,skidded_long,intermediate,blue
