time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-25 13:05:15.600,"[3.527827501296997, 12.359453201293944, -1.7631667852401731]","[-0.8504080176353455, -0.3448289930820465, 0.3935349881649017, 0.0550229996442794, 0.9490193128585817, -0.6812926530838013, -2.910616874694824]","[-9.9375, -42.75, 19.1875]","[0.9835104942321776, 1.4443646669387815, -1.3177236318588257]","[-364.0625, -56.5, -95.25]","[-1.681299924850464, 8.494500160217285, 3.485100030899048]","[0.9775938391685486, 1.4467731714248655, -1.3158560991287231]","[4.436899662017822, 6.176199913024902, -6.191699981689453]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.700,"[-4.710199356079102, 1.7836706638336182, -7.863219261169434]","[-0.8381099700927734, -0.2879199981689453, 0.4443550109863281, 0.1312260031700134, 0.9899439811706544, -0.6425503492355347, -3.096717119216919]","[-13.6875, -42.6875, 18.1875]","[1.291229486465454, 0.7549945116043091, -1.640871286392212]","[-367.625, -56.0625, -96.3125]","[-4.92579984664917, -1.2771999835968018, 0.6596999764442444]","[1.2852953672409058, 0.7574030756950378, -1.6390037536621094]","[4.308000087738037, 5.876499652862549, -6.563299655914307]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.800,"[4.648543834686279, 26.433624267578125, 2.150989055633545]","[-0.8253260254859924, -0.2398539930582046, 0.4608800113201141, 0.221119999885559, 0.9581828713417052, -0.6431699395179749, 2.9607717990875244]","[-16.1875, -42.125, 16.3125]","[0.3849672675132751, 1.176910400390625, -0.9114283919334412]","[-370.5625, -55.625, -98.4375]","[2.342599868774414, -10.06879997253418, -0.3854999840259552]","[0.3790331482887268, 1.1793190240859983, -0.9095434546470642]","[4.512199878692627, 5.881399631500244, -6.420199871063232]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.900,"[-10.667844772338867, 10.338689804077148, -3.904339551925659]","[-0.8028410077095032, -0.1856549978256225, 0.4962930083274841, 0.2732590138912201, 1.0082666873931885, -0.6056978702545166, 2.826864242553711]","[-19.75, -41.0625, 15.75]","[0.8320159316062927, 0.5612978935241699, -1.6421977281570437]","[-373.625, -54.9375, -99.0625]","[-10.762299537658691, 2.7032999992370605, -5.428699970245361]","[0.8260992169380188, 0.5637064576148987, -1.6403127908706665]","[4.299699783325195, 5.583199977874756, -6.819699764251709]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.000,"[-7.020278453826904, 56.26277160644531, 9.5944185256958]","[-0.7852450013160706, -0.1438020020723343, 0.4981400072574615, 0.3384769856929779, 0.9770508408546448, -0.5980808138847351, 2.652449369430542]","[-21.4375, -40.0, 17.5]","[-0.765449047088623, 0.4983089566230774, 0.6509729027748108]","[-375.8125, -54.0625, -97.8125]","[-1.2978999614715576, -0.539900004863739, 0.4998999834060669]","[-0.7713657021522522, 0.5007175207138062, 0.6528403759002686]","[4.53410005569458, 5.521699905395508, -6.717299938201904]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.100,"[-20.734601974487305, 37.393951416015625, 9.908480644226074]","[-0.7675830125808716, -0.1000140011310577, 0.5216889977455139, 0.3586809933185577, 1.0321983098983765, -0.5559823513031006, 2.588381052017212]","[-23.625, -39.4375, 14.625]","[-3.065042495727539, 0.7329684495925903, -0.790895938873291]","[-378.125, -53.4375, -101.6875]","[-7.842099666595459, -2.557299852371216, -10.678099632263184]","[-3.070976734161377, 0.7353770136833191, -0.7890110015869141]","[4.272500038146973, 5.175699710845947, -7.150300025939941]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.200,"[3.0364222526550293, 13.28717803955078, 9.269170761108398]","[-0.7437940239906311, -0.0775000005960464, 0.5261049866676331, 0.4049400091171264, 1.027829647064209, -0.5720656514167786, 2.473527431488037]","[-24.375, -39.6875, 14.375]","[1.2298811674118042, -0.329361081123352, -0.0273144021630287]","[-378.8125, -53.25, -100.1875]","[2.0650999546051025, 14.93179988861084, -19.57539939880371]","[1.2239644527435305, -0.3269525170326233, -0.0254294462502002]","[4.2600998878479, 5.309000015258789, -7.059399604797363]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.300,"[-2.682377338409424, 9.67286205291748, -5.105587482452393]","[-0.7101320028305054, -0.092459999024868, 0.5322080254554749, 0.4515720009803772, 1.0162934064865112, -0.6585593223571777, 2.384925603866577]","[-21.875, -40.375, 13.5625]","[-0.2471909821033477, 0.0840376019477844, 0.4125783741474151]","[-376.6875, -54.0, -101.4375]","[0.1331999897956848, 3.961999893188477, -4.615200042724609]","[-0.2531251013278961, 0.0864461585879325, 0.4144458770751953]","[4.083499908447266, 6.001399993896484, -6.593699932098389]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.400,"[-1.7329710721969604, 7.398753643035889, -3.4118905067443848]","[-0.6836689710617065, -0.1016329973936081, 0.5519109964370728, 0.4665409922599792, 1.059578537940979, -0.7127870917320251, 2.373284339904785]","[-21.875, -41.5625, 11.3125]","[0.8772373795509338, 0.0676140561699867, -0.3362027704715729]","[-375.9375, -55.25, -103.3125]","[-2.1684999465942383, 2.069700002670288, -1.2275999784469604]","[0.8713032603263855, 0.0700226128101348, -0.3343352675437927]","[3.629699945449829, 6.412999629974365, -6.4704999923706055]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.500,"[1.3932242393493652, 9.535675048828123, -4.182507514953613]","[-0.6571319699287415, -0.1061419993638992, 0.5523350238800049, 0.5018320083618164, 1.03550922870636, -0.7668319344520569, 2.2888853549957275]","[-22.375, -41.125, 11.4375]","[0.0549778714776039, 0.6994755864143372, -0.2191435396671295]","[-376.75, -54.75, -103.6875]","[-5.632099628448486, -3.2445998191833496, -0.8395999670028687]","[0.0490437522530555, 0.7018841505050659, -0.2172585874795913]","[3.602099895477295, 6.804399967193604, -6.073999881744385]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.600,"[0.8723704814910889, 9.19822597503662, -9.584735870361328]","[-0.6310269832611084, -0.0783350020647049, 0.5697240233421326, 0.5206549763679504, 1.0825722217559814, -0.7644252777099609, 2.236116409301758]","[-22.3125, -40.0, 12.5625]","[0.2994984984397888, 0.7296523451805115, -0.3342305421829223]","[-376.875, -53.625, -102.5]","[0.4553999900817871, 3.5192999839782715, 0.6319999694824219]","[0.2935818433761596, 0.7320609092712402, -0.3323456048965454]","[3.319999933242798, 6.787399768829346, -6.251199722290039]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.700,"[-0.5345007181167603, 9.73965072631836, -3.072613000869751]","[-0.600829005241394, -0.0620899982750415, 0.5810220241546631, 0.5454919934272766, 1.1047518253326416, -0.787365734577179, 2.1685478687286377]","[-22.5625, -40.4375, 11.625]","[0.5065294504165649, 0.7434927821159363, -0.279287576675415]","[-376.875, -54.0, -103.375]","[-1.903599977493286, 4.2216997146606445, 2.397199869155884]","[0.5006127953529358, 0.745901346206665, -0.2774200737476349]","[3.109799861907959, 6.94789981842041, -6.182600021362305]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.800,"[0.4628470838069916, 6.249373912811279, -5.3259687423706055]","[-0.5699179768562317, -0.0523919984698295, 0.5905349850654602, 0.5689600110054016, 1.119878172874451, -0.820812463760376, 2.1050398349761963]","[-22.1875, -40.4375, 11.3125]","[0.2356019914150238, 0.6219655275344849, 0.2653598487377167]","[-376.6875, -54.125, -103.5]","[-5.658799648284912, 3.3763999938964844, 3.554799795150757]","[0.2296853214502334, 0.6243740916252136, 0.267244815826416]","[2.9129998683929443, 7.17549991607666, -6.016299724578857]",,,skidded_short,intermediate,blue
2024-02-25 13:05:16.900,"[1.6082332134246826, 8.28173542022705, -6.249086856842041]","[-0.5565919876098633, -0.0480870008468627, 0.6089590191841125, 0.5630810260772705, 1.1844693422317505, -0.8320543169975281, 2.1370742321014404]","[-19.75, -42.25, 12.5625]","[-0.3992440700531006, -0.5128475427627563, 0.7942295074462891]","[-374.5, -55.4375, -102.4375]","[-1.370100021362305, 1.0853999853134155, 1.3212000131607056]","[-0.4051781892776489, -0.5104389786720276, 0.7960970401763916]","[2.48799991607666, 7.250199794769287, -6.116699695587158]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.000,"[2.7498459815979004, 9.196578979492188, -6.606071949005127]","[-0.5800079703330994, -0.0744049996137619, 0.617792010307312, 0.5257239937782288, 1.2311266660690308, -0.8269760012626648, 2.270704746246338]","[-17.3125, -43.3125, 11.8125]","[-0.3229033648967743, -1.1041476726531982, 0.8463625311851501]","[-371.9375, -56.8125, -103.0]","[-0.496099978685379, 2.6880998611450195, 0.6218999624252319]","[-0.3288200199604034, -1.1017390489578247, 0.8482300043106079]","[2.2121999263763428, 7.216599941253662, -6.26069974899292]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.100,"[1.106513738632202, 10.014418601989746, -6.445373058319092]","[-0.6143209934234619, -0.1169359982013702, 0.6097620129585266, 0.4869549870491028, 1.2247856855392456, -0.8293991684913635, 2.400933027267456]","[-16.0, -43.375, 11.6875]","[-0.224449336528778, -0.2765648663043976, 0.3204948008060455]","[-370.25, -57.0, -103.0]","[-1.559499979019165, 1.926699995994568, 0.6010000109672546]","[-0.2303834557533264, -0.2741563320159912, 0.3223797678947449]","[2.246000051498413, 7.23259973526001, -6.230099678039551]",left,STOP,skidded_short,intermediate,blue
2024-02-25 13:05:17.200,"[1.3810617923736572, 9.89016056060791, -7.383832931518555]","[-0.6237480044364929, -0.1319209933280944, 0.6089850068092346, 0.4718790054321289, 1.232514500617981, -0.8320382237434387, 2.4528050422668457]","[-14.4375, -43.75, 11.75]","[0.0534419827163219, 0.0657640025019645, 0.3082076907157898]","[-368.8125, -57.5, -103.25]","[0.8288999795913696, 3.5468997955322266, -0.7039999961853027]","[0.0475253164768219, 0.0681725591421127, 0.3100926578044891]","[2.191400051116944, 7.250099658966064, -6.2291998863220215]",right,START,skidded_short,intermediate,blue
2024-02-25 13:05:17.300,"[0.8220635652542114, 8.2481689453125, -2.400618076324463]","[-0.6169689893722534, -0.14164899289608, 0.617393970489502, 0.4670209884643554, 1.2667604684829712, -0.8502691388130188, 2.4876279830932617]","[-13.1875, -44.0, 11.0]","[0.2848551869392395, 0.3941476941108703, -0.1424014121294021]","[-367.6875, -57.5, -103.625]","[-3.162799835205078, 1.858699917793274, 1.319100022315979]","[0.2789385318756103, 0.3965562582015991, -0.140533909201622]","[1.9369999170303345, 7.369199752807617, -6.173399925231934]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.400,"[0.9309996962547302, 7.818294525146484, -4.763015270233154]","[-0.6018880009651184, -0.1398240029811859, 0.6247389912605286, 0.4773670136928558, 1.287165880203247, -0.8706941604614258, 2.471909046173096]","[-12.1875, -44.0625, 10.75]","[0.0335452295839786, 0.1622632592916488, 0.3180164396762848]","[-366.6875, -57.5, -104.125]","[-0.0322999991476535, -0.2232999950647354, 1.760800004005432]","[0.0276111084967851, 0.1646718084812164, 0.3198839426040649]","[1.7680999040603638, 7.499899864196777, -6.065899848937988]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.500,"[0.3645986020565033, 8.327905654907227, -6.504040718078613]","[-0.5939440131187439, -0.1449239999055862, 0.6364269852638245, 0.4703049957752228, 1.33648681640625, -0.880069375038147, 2.5138018131256104]","[-10.8125, -43.6875, 11.4375]","[0.0903556942939758, -0.1355771720409393, 0.218253418803215]","[-365.375, -57.5, -103.75]","[-1.823199987411499, -1.449199914932251, -0.7091000080108643]","[0.0844215750694274, -0.1331686228513717, 0.2201383709907531]","[1.4505000114440918, 7.558799743652344, -6.076999664306641]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.600,"[2.0732924938201904, 8.818170547485352, -5.5084547996521]","[-0.5934749841690063, -0.1581480056047439, 0.6377930045127869, 0.4647519886493683, 1.3507897853851318, -0.8955370187759399, 2.547490119934082]","[-10.375, -44.875, 10.5]","[0.0876853391528129, -0.1984264850616455, 0.333375334739685]","[-365.0, -58.1875, -104.0625]","[0.5940999984741211, 1.88729989528656, 1.1377999782562256]","[0.0817686766386032, -0.1960353851318359, 0.3352428376674652]","[1.3377000093460083, 7.654500007629394, -5.9822998046875]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.700,"[0.1152951717376709, 9.753814697265623, -5.672246932983398]","[-0.5934699773788452, -0.173568993806839, 0.6393629908561707, 0.4570330083370209, 1.3699891567230225, -0.9115203022956848, 2.5909066200256348]","[-8.5625, -44.9375, 9.8125]","[0.1505870074033737, -0.0348542258143425, 0.1876403540372848]","[-362.875, -58.6875, -104.9375]","[0.4199000000953674, -0.1414999961853027, 0.119899995625019]","[0.1446528881788253, -0.0324456691741943, 0.189525306224823]","[1.198099970817566, 7.751499652862549, -5.886199951171875]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.800,"[2.392659902572632, 7.855730056762695, -3.4444327354431152]","[-0.5904529690742493, -0.1861010044813156, 0.6409149765968323, 0.4538249969482422, 1.3871757984161377, -0.9297897815704346, 2.6211252212524414]","[-8.75, -45.125, 9.0]","[0.2635447084903717, -0.0494975373148918, 0.0621860809624195]","[-363.0, -58.75, -105.75]","[-0.6881999969482422, 1.093400001525879, 0.5094000101089478]","[0.2576105892658233, -0.0470889844000339, 0.0640710368752479]","[1.07069993019104, 7.859899997711182, -5.765699863433838]",,,skidded_short,intermediate,blue
2024-02-25 13:05:17.900,"[1.678019404411316, 7.7698073387146, -3.666337013244629]","[-0.5879369974136353, -0.1938070058822631, 0.6398440003395081, 0.455375999212265, 1.3886339664459229, -0.9452303051948548, 2.628461599349976]","[-7.3125, -45.9375, 8.625]","[-0.1783377379179, -0.0079587018117308, 0.3024131953716278]","[-362.0, -59.5625, -106.1875]","[1.4701999425888062, -1.3986999988555908, 0.9106999635696412]","[-0.1842544078826904, -0.0055676004849374, 0.3042981624603271]","[1.0401999950408936, 7.949499607086182, -5.647299766540527]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.000,"[-0.2443330734968185, 8.510765075683594, -4.958985328674316]","[-0.5907430052757263, -0.1992349922657013, 0.6463590264320374, 0.4399389922618866, 1.4272353649139404, -0.9341775178909302, 2.684761047363281]","[-6.4375, -45.5, 9.5625]","[-0.1776919662952423, -0.3234444260597229, 0.2331934422254562]","[-360.625, -59.1875, -105.5625]","[0.4113000035285949, 0.6656999588012695, 0.5526999831199646]","[-0.1836086362600326, -0.3210358619689941, 0.2350783944129943]","[0.8339999914169312, 7.885599613189697, -5.769799709320068]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.100,"[1.2192329168319702, 7.232136249542236, -5.321170806884766]","[-0.5996320247650146, -0.2069869935512542, 0.644819974899292, 0.4263849854469299, 1.4330555200576782, -0.9241604208946228, 2.723895072937012]","[-6.25, -45.9375, 10.0]","[-0.0522377043962478, -0.1440420299768448, 0.1372177898883819]","[-360.8125, -59.5625, -104.75]","[0.3163999915122986, 1.0088999271392822, 1.3219000101089478]","[-0.0581543706357479, -0.141650915145874, 0.1391027420759201]","[0.811199963092804, 7.8267998695373535, -5.852499961853027]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.200,"[3.286607027053833, 6.752031803131104, -4.330267906188965]","[-0.6017900109291077, -0.2146680057048797, 0.6435580253601074, 0.4214229881763458, 1.4376667737960815, -0.928613781929016, 2.74580192565918]","[-4.4375, -45.3125, 9.8125]","[-0.4502774775028229, 0.0326376557350158, 0.4642924964427948]","[-359.125, -59.0, -105.25]","[2.5546000003814697, -0.380400002002716, 4.654599666595459]","[-0.4561941623687744, 0.035046212375164, 0.4661599993705749]","[0.7795999646186829, 7.852999687194824, -5.821599960327148]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.300,"[1.8389192819595337, 11.468196868896484, -5.018725395202637]","[-0.6109030246734619, -0.2206269949674606, 0.6515229940414429, 0.3919650018215179, 1.4848508834838867, -0.8951642513275146, 2.830519199371338]","[-1.8125, -45.5625, 12.0]","[-0.1838704347610473, -0.878616213798523, 0.6843087077140808]","[-356.375, -59.125, -103.0625]","[0.660099983215332, -0.3658999800682068, -1.8427999019622805]","[-0.1897871047258377, -0.8762076497077942, 0.6861936450004578]","[0.5263999700546265, 7.652199745178223, -6.110300064086914]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.400,"[5.130457878112793, 9.841815948486328, -3.664794921875]","[-0.6264619827270508, -0.2419739961624145, 0.6447799801826477, 0.3650349974632263, 1.48952054977417, -0.884991466999054, 2.910059690475464]","[-0.875, -45.5, 11.3125]","[-0.0476649403572082, -0.4048989415168762, 0.6404834985733032]","[-355.625, -59.1875, -103.5625]","[0.8784999847412109, -0.6071000099182129, 0.0509999990463256]","[-0.0535990595817565, -0.4024903774261474, 0.6423684358596802]","[0.50409996509552, 7.589399814605713, -6.189899921417236]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.500,"[2.997032880783081, 11.516867637634276, -2.8807897567749023]","[-0.6293830275535583, -0.2655349969863891, 0.6412100195884705, 0.3495930135250091, 1.511841058731079, -0.8987857699394226, 2.981032609939575]","[1.75, -46.375, 10.5625]","[0.1747772693634033, -0.7172430753707886, 1.2216955423355105]","[-353.0625, -60.0625, -104.375]","[4.641599655151367, 1.4946999549865725, 0.8773999810218811]","[0.1688605993986129, -0.7148345112800598, 1.2235804796218872]","[0.3596999943256378, 7.674399852752685, -6.0945000648498535]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.600,"[-1.5903054475784302, 2.7259230613708496, -4.337259292602539]","[-0.631829023361206, -0.3098199963569641, 0.6367189884185791, 0.3152630031108856, 1.5753904581069946, -0.9156756401062012, 3.135276556015014]","[6.0625, -45.25, 10.375]","[-0.0908967480063438, -0.815138578414917, 1.021994948387146]","[-348.5, -58.9375, -104.625]","[1.9494999647140503, -6.207299709320068, 2.6599998474121094]","[-0.0968134105205535, -0.8127300143241882, 1.0238800048828125]","[-0.0274000000208616, 7.776399612426758, -5.974599838256836]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.700,"[-0.8410830497741699, 25.78386688232422, -5.761780261993408]","[-0.638945996761322, -0.3564099967479706, 0.6261910200119019, 0.2694489955902099, 1.633670687675476, -0.9155642986297609, -2.9733481407165527]","[11.4375, -45.75, 11.0]","[-0.1687558889389038, -1.4005918502807615, 1.4849086999893188]","[-343.25, -59.25, -104.0]","[1.2481999397277832, -3.176399946212769, -0.0083999997004866]","[-0.1746900081634521, -1.3981832265853882, 1.4867761135101318]","[-0.3753999769687652, 7.775699615478516, -5.963699817657471]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.800,"[3.559229850769043, 16.159711837768555, 0.345789760351181]","[-0.6313009858131409, -0.4064880013465881, 0.6247649788856506, 0.2142280042171478, 1.7496572732925415, -0.896132230758667, -2.751667261123657]","[16.6875, -43.875, 9.4375]","[0.528276264667511, -1.245850920677185, 1.422722578048706]","[-338.0, -57.8125, -105.5]","[8.562399864196777, -3.872799873352051, -4.651599884033203]","[0.5223596096038818, -1.2434598207473757, 1.424607515335083]","[-1.0898000001907349, 7.65809965133667, -6.0278000831604]",,,skidded_short,intermediate,blue
2024-02-25 13:05:18.900,"[-1.703091382980347, 5.110912322998047, -2.0639359951019287]","[-0.6186659932136536, -0.4833909869194031, 0.5966759920120239, 0.1660159975290298, 1.871820092201233, -0.9210390448570251, -2.480524778366089]","[21.125, -42.25, 9.5625]","[0.3412991464138031, -0.8804662227630615, 0.6584603786468506]","[-333.3125, -56.1875, -105.4375]","[5.005099773406982, -1.7673999071121216, 1.6552000045776367]","[0.3353824615478515, -0.8780577182769775, 0.6603278517723083]","[-1.7590999603271484, 7.808300018310547, -5.666100025177002]",,,skidded_short,intermediate,blue
