TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[2.499556064605713, 3.732656240463257, -7.473816394805908]","[-0.5622829794883728, -0.5792580246925354, 0.5419449806213379, 0.2336490005254745, 2.222583055496216, -1.1305898427963257, -2.112572193145752]","[23.4375, -42.5, 0.875]","[1.4544875621795654, -0.8607963919639587, 1.0265153646469116]","[-329.1875, -54.3125, -112.8125]","[2.838899850845337, 0.777999997138977, 0.4095000028610229]","[1.3004971742630005, -0.8574453592300415, 0.9417098760604858]","[-2.534899950027466, 8.871699333190918, -3.3220999240875244]",left,START,
"[0.2826498746871948, 6.808343410491943, -6.224052906036377]","[-0.5705559849739075, -0.581387996673584, 0.5310069918632507, 0.2334170043468475, 2.193048477172852, -1.1464812755584717, -2.1202821731567383]","[24.875, -42.0625, 1.0625]","[0.2423040568828582, -0.2806314826011657, -0.1298350393772125]","[-327.375, -53.6875, -113.4375]","[3.4220998287200928, -1.542799949645996, -1.5441999435424805]","[0.279287576675415, -0.2414139360189438, -0.1342332661151886]","[-2.353199958801269, 8.936999320983887, -3.2804999351501465]",,,
"[-1.2024446725845337, 7.079070091247559, -6.560514450073242]","[-0.5818229913711548, -0.5460649728775024, 0.5481629967689514, 0.2506200075149536, 2.067403554916382, -1.143736481666565, -2.306612491607666]","[22.4375, -43.0, 0.75]","[-0.4297524094581604, 0.4979075193405151, -0.4975759088993072]","[-329.6875, -54.75, -113.9375]","[2.964900016784668, -2.2376999855041504, -2.567699909210205]","[-0.3129724264144897, 0.535851001739502, -0.5646139979362488]","[-1.9351999759674072, 8.925899505615234, -3.5710999965667725]",,,"[45.0, 1.5, 22.978757858276367, 11.119000434875488, 3.995191812515259, 216.94680786132807, 731.0773402443156, 18.8989448, 49.6414909]"
"[2.014404773712158, 10.053665161132812, -6.558197498321533]","[-0.5853189826011658, -0.486734002828598, 0.5801050066947937, 0.2897729873657226, 1.925110936164856, -1.1337050199508667, -2.5797996520996094]","[18.6875, -45.0625, 1.375]","[-0.6459637880325317, 1.046935796737671, -1.050635814666748]","[-333.1875, -56.875, -113.0]","[2.950399875640869, -0.1665000021457672, -0.1861999928951263]","[-0.6960198283195496, 0.963002860546112, -0.9813986420631408]","[-1.4401999711990356, 8.884699821472168, -3.893299818038941]",,,
"[0.1097597777843475, 7.0701446533203125, -2.9675841331481934]","[-0.5967260003089905, -0.4285160005092621, 0.5960929989814758, 0.3239809870719909, 1.7485125064849854, -1.1144280433654783, -2.8558528423309326]","[14.3125, -46.5, 2.625]","[-0.5196717977523804, 0.6985855102539062, -1.1751301288604736]","[-337.375, -58.3125, -111.9375]","[-0.6383000016212463, -0.359499990940094, 0.6545000076293945]","[-0.5291314721107483, 0.7117627263069153, -1.1787430047988892]","[-0.7639999985694885, 8.802999496459961, -4.253499984741211]",,,
"[0.7496150135993958, 10.944211959838867, -1.5383225679397583]","[-0.6122069954872131, -0.375569999217987, 0.6072850227355957, 0.3396359980106354, 1.6110973358154297, -1.0600192546844482, -3.059058427810669]","[9.8125, -47.0625, 4.3125]","[-0.6697875261306763, 0.5423261523246765, -0.7743851542472839]","[-342.1875, -58.9375, -110.25]","[0.9873999953269958, 2.467599868774414, 2.868000030517578]","[-0.6226112842559814, 0.4805065989494324, -0.8409869074821472]","[-0.1930999904870987, 8.554900169372559, -4.79010009765625]",,,
"[-0.8070566654205322, 8.183783531188965, -4.496090412139893]","[-0.6170740127563477, -0.3304550051689148, 0.6130279898643494, 0.3663519918918609, 1.5125614404678345, -1.0294164419174194, 3.0503053665161133]","[6.5625, -47.0625, 6.75]","[-0.1395739763975143, 0.460784375667572, -0.8369901180267334]","[-345.3125, -59.0, -107.875]","[-2.265199899673462, -2.687000036239624, 2.3285000324249268]","[-0.2047969400882721, 0.4957084059715271, -0.9464746117591858]","[0.2939999997615814, 8.40429973602295, -5.044899940490723]",,,
"[-1.6569024324417114, 8.547012329101562, -3.359055519104004]","[-0.6145169734954834, -0.2950130105018616, 0.6164039969444275, 0.3941839933395386, 1.4456883668899536, -1.0132089853286743, 2.9113211631774902]","[2.4375, -47.8125, 7.0625]","[-0.3298672139644623, 0.4855680465698242, -0.6559820175170898]","[-349.5, -59.9375, -107.5625]","[0.0781999975442886, -0.2994000017642975, -1.5885999202728271]","[-0.1741314977407455, 0.5582435727119446, -0.7284829616546631]","[0.6473999619483948, 8.321199417114258, -5.148499965667725]",,,
"[-0.6836978197097778, 12.68413543701172, -2.215153694152832]","[-0.616461992263794, -0.2750869989395141, 0.6082339882850647, 0.4175539910793304, 1.3646889925003052, -1.0105088949203491, 2.795689105987549]","[-0.5, -47.125, 7.1875]","[-0.0254294462502002, 0.1517040133476257, -0.5967978835105896]","[-352.5, -59.0, -107.3125]","[-4.4791998863220215, -0.5304999947547913, 2.561300039291382]","[0.057840209454298, 0.160151407122612, -0.4898266494274139]","[1.066499948501587, 8.307199478149414, -5.101200103759766]",,,
"[-1.235321879386902, 13.58308219909668, -3.8523471355438232]","[-0.6228110194206238, -0.2499870061874389, 0.5983290076255798, 0.4377369880676269, 1.2774455547332764, -0.9885159730911256, 2.677595853805542]","[-2.875, -47.5625, 7.3125]","[-0.2232276052236557, 0.040578905493021, -0.4622504413127899]","[-354.8125, -59.5, -107.25]","[-3.981599807739258, -7.3471999168396, 0.3375999927520752]","[-0.2536312341690063, -0.0886278226971626, -0.4360181391239166]","[1.559399962425232, 8.19059944152832, -5.162499904632568]",,,
"[0.3574926257133484, 6.960518836975098, -4.468920707702637]","[-0.6209790110588074, -0.2184610068798065, 0.583952009677887, 0.475035011768341, 1.164791703224182, -0.972177505493164, 2.5053181648254395]","[-7.0, -46.75, 6.8125]","[-0.2178694456815719, -0.0832347497344017, -0.679020345211029]","[-359.0625, -58.8125, -107.8125]","[-3.4768998622894287, -3.4333999156951904, 0.8794999718666077]","[-0.0618893764913082, 0.347163438796997, -0.7063696384429932]","[2.1823999881744385, 8.101399421691895, -5.0767998695373535]",,,
