TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[3.0142617225646973, 8.563667297363281, -4.553771495819092]","[-0.7610689997673035, -0.482134997844696, 0.4293569922447204, 0.0630149990320205, 1.297131896018982, -0.9075340032577516, -2.598651647567749]","[9.375, -43.6875, 18.3125]","[-0.0517315603792667, -0.0340862795710563, 0.0936369150876998]","[-343.75, -56.3125, -97.125]","[0.3294999897480011, 1.069000005722046, -0.0609999969601631]","[-0.0262672044336795, -0.048310711979866, 0.0655720233917236]","[1.6316999197006226, 7.727499961853027, -5.81309986114502]",left,START,
"[1.1148265600204468, 5.767373561859131, -7.3708176612854]","[-0.7597739696502686, -0.4843130111694336, 0.4295490086078644, 0.0605829991400241, 1.3047844171524048, -0.9075270295143129, -2.587397336959839]","[9.6875, -44.125, 18.1875]","[0.2796017527580261, -0.1633802652359008, 0.2613455951213836]","[-343.4375, -56.5625, -97.25]","[-1.165499925613403, -0.4116999804973602, 2.2460999488830566]","[0.2467895597219467, 0.0690801292657852, 0.1624377965927124]","[1.5871999263763428, 7.727399826049805, -5.825500011444092]",,,
"[1.6015772819519043, 7.436841011047363, -6.652500152587891]","[-0.7556710243225098, -0.493274986743927, 0.4265010058879852, 0.0611229985952377, 1.320217847824097, -0.9233808517456056, -2.565825700759888]","[10.1875, -44.5625, 18.0]","[-0.1155407950282096, -0.1679879426956176, 0.1748121827840805]","[-342.9375, -57.1875, -97.5625]","[-0.1131999939680099, -2.0852999687194824, 0.5126999616622925]","[-0.1671850830316543, -0.131824716925621, 0.1755452156066894]","[1.466499924659729, 7.822199821472168, -5.729899883270264]",,,
"[0.9802723526954652, 9.137365341186523, -4.925418853759766]","[-0.7535279989242554, -0.4981780052185058, 0.4257040023803711, 0.0527999997138977, 1.335506558418274, -0.9202226400375366, -2.536357879638672]","[10.0, -43.5, 16.9375]","[-0.0086219264194369, 0.1221032366156578, -0.025359634310007]","[-342.9375, -56.3125, -98.3125]","[-0.8941999673843384, -3.096299886703491, -0.088699996471405]","[0.0696909949183464, 0.0494800843298435, 0.0104719754308462]","[1.3844999074935913, 7.803499698638916, -5.775599956512451]",,,
"[1.7513777017593384, 7.012348651885986, -5.552115440368652]","[-0.7517939805984497, -0.5018180012702942, 0.4242019951343536, 0.0550910010933876, 1.3406883478164673, -0.9294097423553468, -2.5312609672546387]","[10.1875, -44.5, 17.125]","[-0.0687834247946739, -0.0165631752461195, 0.1062032878398895]","[-342.75, -57.1875, -98.25]","[0.6622999906539917, -0.8949999809265137, 0.2110999971628189]","[-0.0905651375651359, 0.0172263998538255, 0.1049990057945251]","[1.3381999731063845, 7.857699871063232, -5.712699890136719]",,,"[45.0, 1.5, 23.131330490112305, 13.027999877929688, 2.450232744216919, 247.6798553466797, 727.0302151031792, 18.89913, 49.6416726]"
"[1.4483962059020996, 9.38624668121338, -4.612851142883301]","[-0.7492009997367859, -0.5044699907302856, 0.4264320135116577, 0.0486060008406639, 1.358214259147644, -0.922896683216095, -2.507777214050293]","[10.0, -43.125, 17.875]","[-0.2203652709722519, -0.1086292937397956, 0.0143466060981154]","[-343.125, -55.875, -98.0]","[0.0163000002503395, 1.5654999017715454, 1.6368999481201172]","[-0.2205048948526382, -0.0989427119493484, 0.0416261032223701]","[1.2486000061035156, 7.819299697875977, -5.7851996421813965]",,,
"[1.5932550430297852, 9.005712509155273, -3.54311203956604]","[-0.7518579959869385, -0.5016090273857117, 0.4260860085487366, 0.0393350012600421, 1.352021336555481, -0.9072251915931702, -2.5006256103515625]","[9.5, -42.5625, 19.0]","[-0.1183333247900009, -0.19100883603096, -0.071349062025547]","[-343.3125, -55.4375, -96.6875]","[0.0324999988079071, 3.1694998741149902, 1.5518999099731443]","[-0.1195201501250267, -0.2430894523859024, -0.0710698068141937]","[1.3108999729156494, 7.725599765777588, -5.896199703216553]",,,
"[1.6953246593475342, 8.273393630981445, -5.243608474731445]","[-0.7576640248298645, -0.4956699907779693, 0.4232940077781677, 0.032830998301506, 1.328839898109436, -0.892905056476593, -2.510810136795044]","[9.5, -43.5625, 18.5625]","[0.2223025858402252, 0.0073827425949275, -0.2708925604820251]","[-343.375, -56.0, -97.0625]","[0.1542999893426895, 1.285599946975708, 1.626699924468994]","[0.1051037237048149, -0.0863588899374008, -0.1894380301237106]","[1.473599910736084, 7.638299942016602, -5.971099853515625]",,,
"[1.2947173118591309, 7.2943949699401855, -4.533315658569336]","[-0.7621600031852722, -0.4879530072212219, 0.4235759973526001, 0.0399550013244152, 1.3052897453308103, -0.8909105062484741, -2.546452045440674]","[9.0, -45.3125, 17.8125]","[0.1834864616394043, 0.1193630695343017, -0.3710395395755768]","[-343.875, -57.6875, -97.75]","[-1.1469999551773071, 0.1995999962091446, -0.1894999891519546]","[0.2319717109203338, 0.1426108479499817, -0.3336545825004577]","[1.617799997329712, 7.625999927520752, -5.949399948120117]",,,
"[1.385438323020935, 8.40040111541748, -5.389846324920654]","[-0.7659029960632324, -0.4795419871807098, 0.4241929948329925, 0.0590769983828067, 1.2758426666259766, -0.9021885395050048, -2.606034517288208]","[7.875, -45.1875, 16.1875]","[-0.0064751715399324, 0.2982418537139892, -0.3411944210529327]","[-345.0, -57.8125, -99.3125]","[-1.4728999137878418, 0.0127999996766448, -0.1163999959826469]","[-0.0235968511551618, 0.2598271667957306, -0.3309842348098755]","[1.7670999765396118, 7.695099830627441, -5.816499710083008]",,,
