TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[3.964137315750122, 7.164696216583252, -7.079395771026611]","[-0.7764379978179932, -0.3940719962120056, 0.4704889953136444, 0.1431429982185363, 1.1908800601959229, -0.8429957032203674, -2.916417360305786]","[0.75, -45.0, 16.0]","[0.0877900645136833, -0.5199685096740723, 0.0279427208006382]","[-351.625, -57.5625, -99.8125]","[3.7294998168945312, -0.5651999711990356, -0.2962000072002411]","[0.2143089771270752, -0.1921258419752121, 0.1726305186748504]","[2.4191999435424805, 7.322000026702881, -6.058399677276611]",,,
"[5.762622833251953, 6.190371036529541, -4.9845170974731445]","[-0.7758240103721619, -0.4061819911003113, 0.4605830013751983, 0.1448269933462143, 1.1802878379821775, -0.8689650297164917, -2.908003330230713]","[-0.25, -45.8125, 14.8125]","[0.1668011099100113, -0.1754928529262542, 0.2411870509386062]","[-352.4375, -58.125, -100.8125]","[2.757999897003174, 1.1309999227523804, 0.4217000007629394]","[-0.2201907336711883, 0.02974040992558, 0.5934991836547852]","[2.4099998474121094, 7.488899707794189, -5.854599952697754]",,,"[45.0, 1.5, 23.79683303833008, 11.291999816894531, 3.642005920410156, 188.4439392089844, 635.3391615161672, 18.8950539, 49.6393217]"
"[4.0618109703063965, 7.027566432952881, -7.339808464050293]","[-0.7696329951286316, -0.4224239885807037, 0.4620740115642547, 0.12533800303936, 1.2279335260391235, -0.8726791739463806, -2.829353809356689]","[1.9375, -45.8125, 14.5]","[-0.1460666060447693, -0.0570897199213504, 0.6181781888008118]","[-350.6875, -58.1875, -101.1875]","[2.264400005340576, 0.2445999979972839, -1.2908999919891355]","[0.1382475346326828, -0.2243969738483429, 0.6559820175170898]","[2.1190998554229736, 7.512399673461914, -5.936500072479248]",,,
"[4.473910808563232, 8.121026992797852, -5.076292037963867]","[-0.7665849924087524, -0.4444020092487335, 0.4510679841041565, 0.1067240014672279, 1.2502729892730713, -0.8908768892288208, -2.754598617553711]","[4.125, -45.5, 14.875]","[0.0792728513479232, -0.5266879796981812, 0.6040409803390503]","[-348.5625, -57.75, -100.8125]","[2.0780999660491943, -1.1632999181747437, 1.2620999813079834]","[0.0402472913265228, -0.4892855882644653, 0.1745154708623886]","[1.9424999952316284, 7.625899791717529, -5.8516998291015625]",,,
"[3.6547584533691406, 6.540796279907227, -5.570282936096191]","[-0.7693660259246826, -0.4598999917507171, 0.4340429902076721, 0.0904060006141662, 1.240924835205078, -0.9045434594154358, -2.7071757316589355]","[4.5, -45.375, 15.0625]","[-0.0068940506316721, -0.3970100581645965, 0.1919513046741485]","[-347.9375, -57.75, -100.375]","[0.7432999610900879, -0.7858999967575073, 1.4878000020980835]","[-0.2341184616088867, -0.5398303270339966, 0.2057045102119445]","[1.9631999731063845, 7.709399700164795, -5.734099864959717]",,,
"[3.2077226638793945, 9.823554039001465, -4.279223442077637]","[-0.7787410020828247, -0.464462012052536, 0.4160909950733185, 0.0685900002717971, 1.2072938680648804, -0.8954182267189026, -2.6777734756469727]","[5.1875, -45.3125, 15.5625]","[-0.1874134540557861, -0.5756619572639465, 0.1157851442694664]","[-347.875, -56.8125, -98.375]","[1.2523999214172363, 0.6229000091552734, 1.5428999662399292]","[-0.3951250910758972, -0.264399915933609, -0.030072022229433]","[2.179800033569336, 7.653800010681152, -5.730400085449219]",,,
"[3.0293452739715576, 7.825026988983154, -4.3115644454956055]","[-0.7859510183334351, -0.457053005695343, 0.4137069880962372, 0.0472100004553794, 1.1945035457611084, -0.8594824075698853, -2.65726900100708]","[4.3125, -44.4375, 17.5]","[-0.4170115292072296, -0.2432814389467239, -0.0590270347893238]","[-347.6875, -56.9375, -97.1875]","[0.7069999575614929, 1.0442999601364136, 0.1190999969840049]","[0.0203330852091312, -0.0336150415241718, 0.0112748267129063]","[2.352499961853028, 7.428499698638916, -5.954099655151367]",right,STOP,
"[2.0678720474243164, 10.01384449005127, -5.88696813583374]","[-0.7868300080299377, -0.4575780034065246, 0.4116190075874328, 0.0456999987363815, 1.190269947052002, -0.8597726225852966, -2.655674934387207]","[4.8125, -44.4375, 18.375]","[0.0537212342023849, 0.0769864693284034, -0.049131017178297]","[-348.625, -57.125, -99.375]","[1.1043999195098877, 2.4545998573303223, -0.2457999885082245]","[0.7027044892311096, 0.1811302751302719, 0.0258134193718433]","[2.3768999576568604, 7.4303998947143555, -5.9421000480651855]",left,START,
"[4.40941047668457, 5.715169906616211, -4.016809463500977]","[-0.7833409905433655, -0.4656980037689209, 0.4047270119190216, 0.0754799991846084, 1.1703722476959229, -0.9119486808776855, -2.7052969932556152]","[3.5, -45.125, 16.1875]","[0.5604252219200134, 0.1878148764371872, -0.0182212367653846]","[-347.9375, -57.5, -101.4375]","[0.9253000020980836, -5.773099899291992, -1.767300009727478]","[0.4852364361286163, -0.5134932994842529, -0.1730144917964935]","[2.3401999473571777, 7.7540998458862305, -5.52869987487793]",,,
"[0.9792284965515136, 8.902982711791992, -3.886019229888916]","[-0.78609299659729, -0.4686599969863891, 0.393447995185852, 0.0872469991445541, 1.1332385540008545, -0.9364765286445618, -2.740054130554199]","[4.1875, -45.5, 14.375]","[0.3355395495891571, -0.1848827302455902, -0.2235592156648636]","[-349.125, -57.6875, -102.5625]","[-0.7462999820709229, 1.7113999128341677, -0.0509999990463256]","[0.269409030675888, 0.0254119932651519, -0.6380749344825745]","[2.4624998569488525, 7.8989996910095215, -5.264100074768066]",,,
"[1.163438320159912, 8.328728675842285, -5.315673828125]","[-0.795861005783081, -0.4404999911785126, 0.3991920053958893, 0.1149289980530738, 1.0687751770019531, -0.9155715703964232, -2.860976457595825]","[2.625, -45.4375, 13.125]","[0.321402370929718, 0.0790110528469085, -0.8197811245918274]","[-353.125, -58.125, -102.375]","[-0.7669000029563904, 4.0706000328063965, 1.2762999534606934]","[0.2416931986808776, 0.8847946524620056, -0.9284802675247192]","[2.8752999305725098, 7.775799751281738, -5.238199710845947]",,,
"[-0.1689540296792984, 4.429656028747559, -5.706953048706055]","[-0.7980110049247742, -0.4054409861564636, 0.4124229848384857, 0.16941699385643, 1.004621982574463, -0.90566486120224, -3.0376510620117188]","[-0.9375, -45.8125, 13.375]","[0.4169068038463592, 1.020267128944397, -0.8495389819145203]","[-356.25, -58.25, -105.5]","[-1.4909999370574951, -6.372699737548828, -0.5701000094413757]","[0.4018795192241668, 0.150342658162117, -0.6469062566757202]","[3.2463998794555664, 7.71619987487793, -5.107800006866455]",,,"[45.0, 1.5, 22.29571533203125, 11.267999649047852, 3.19712495803833, 219.6490936279297, 634.7741208449006, 18.895038, 49.6392904]"
"[2.3538832664489746, 8.759416580200195, -2.92375111579895]","[-0.7905870079994202, -0.371874988079071, 0.4366379976272583, 0.2145390063524246, 0.9983133673667908, -0.8872703909873962, 3.1186716556549072]","[-4.375, -46.0625, 10.125]","[0.5420992374420166, 0.4376413226127624, -1.0090097188949585]","[-358.75, -58.625, -105.0625]","[-1.5602999925613403, 3.497499942779541, -0.3643999993801117]","[-0.0066147977486252, 0.5902180075645447, -0.8293455243110657]","[3.354899883270264, 7.603600025177002, -5.205699920654297]",,,
"[2.9531805515289307, 8.986788749694824, -5.566901683807373]","[-0.7938719987869263, -0.3364000022411346, 0.4512419998645782, 0.2301770001649856, 0.9926762580871582, -0.8358222842216492, 3.049200773239136]","[-6.6875, -46.3125, 10.875]","[0.0831649377942085, 0.675075888633728, -1.1380244493484497]","[-362.3125, -57.5625, -104.125]","[-0.5336999893188477, 4.404599666595459, 2.7319998741149902]","[0.0198443941771984, 0.6456496715545654, -1.0737614631652832]","[3.593400001525879, 7.274999618530273, -5.507299900054932]",,,
"[2.76678729057312, 8.617900848388672, -4.846706867218018]","[-0.7963389754295349, -0.2896760106086731, 0.4580369889736175, 0.2685750126838684, 0.9474993944168092, -0.7858061194419861, 2.90977430343628]","[-10.4375, -45.125, 11.75]","[0.7158817052841187, 0.8918806910514832, -1.6415170431137085]","[-366.8125, -57.125, -104.9375]","[-2.7711000442504883, 1.270900011062622, 1.7151999473571775]","[0.6480233073234558, 0.9464396834373474, -1.5434993505477903]","[4.046000003814697, 6.937199592590332, -5.627999782562256]",,,
"[-0.5946813821792603, 9.84780216217041, -2.521745681762696]","[-0.7850099802017212, -0.2317619919776916, 0.4634560048580169, 0.3394869863986969, 0.8888585567474365, -0.7457807064056396, 2.6935970783233643]","[-15.25, -44.5625, 10.5]","[0.6840119957923889, 1.7338799238204956, -1.5053116083145142]","[-373.1875, -54.75, -106.5625]","[-5.501399993896484, 0.6809999942779541, 0.9146999716758728]","[0.8187164664268494, 1.4775608777999878, -1.637485384941101]","[4.540299892425537, 6.654199600219727, -5.592400074005127]",,,
"[1.105517864227295, 16.12006378173828, -3.6486294269561768]","[-0.7516049742698669, -0.1569239944219589, 0.4830189943313598, 0.4208990037441253, 0.8869345188140869, -0.6977486610412598, 2.4628193378448486]","[-21.5, -42.1875, 9.25]","[-0.5254139304161072, 1.072312831878662, -0.3119775950908661]","[-376.625, -53.6875, -105.3125]","[2.773900032043457, 2.142699956893921, 2.255300045013428]","[-0.1933301240205764, 1.0509674549102783, -0.0213977359235286]","[4.747699737548828, 6.300699710845947, -5.824899673461914]",,,
