TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[1.4691013097763062, 11.219372749328612, -5.05864143371582]","[-0.7594370245933533, -0.4179660081863403, 0.4836690127849579, 0.1209229975938797, 1.2899835109710691, -0.8508045673370361, -2.80037808418274]","[2.625, -44.4375, 13.5625]","[-0.1157851442694664, -0.2343278974294662, 0.0482409000396728]","[-351.8125, -56.875, -100.125]","[0.5810999870300293, 2.276900053024292, -0.2396999895572662]","[-0.1128006279468536, -0.2555336654186249, 0.1069363206624984]","[1.7919999361038208, 7.372699737548828, -6.212899684906006]",left,START,"[45.0, 1.5, 16.900514602661133, 8.901000022888184, 0.8035921454429626, 245.5858764648437, 687.1853637695312, 18.8975187, 49.6405753]"
"[2.779649019241333, 8.486363410949707, -5.5997314453125]","[-0.7696040272712708, -0.4175719916820526, 0.4667910039424896, 0.1242889985442161, 1.233631253242493, -0.8614136576652527, -2.8318703174591064]","[2.4375, -44.375, 13.25]","[0.2161939293146133, -0.2950828075408935, -0.1948485523462295]","[-351.75, -56.6875, -100.125]","[0.7601999640464783, 0.6495000123977661, 0.722599983215332]","[0.2212204784154892, -0.3832044899463653, -0.1628566682338714]","[2.113100051879883, 7.440899848937988, -6.027999877929688]",,,
"[4.456289768218994, 5.461796283721924, -3.238129138946533]","[-0.7768509984016418, -0.407133013010025, 0.4610599875450134, 0.134785994887352, 1.1893048286437988, -0.8584834337234497, -2.8847815990448]","[0.3125, -45.0625, 11.5625]","[-0.0030019662808626, -0.1607273668050766, -0.1658411920070648]","[-354.0, -57.4375, -101.875]","[-1.6310999393463137, -1.1948999166488647, 1.045300006866455]","[0.2313783019781112, 0.0968483164906501, -0.305764228105545]","[2.386199951171875, 7.422199726104736, -5.948699951171875]",,,
"[3.0491693019866943, 5.335038185119629, -6.033732891082764]","[-0.7811359763145447, -0.3903209865093231, 0.467849999666214, 0.1363430023193359, 1.1796479225158691, -0.8291592597961426, -2.914294719696045]","[-1.3125, -44.875, 12.125]","[-0.1567305624485016, 0.0605454705655574, -0.1918465942144394]","[-355.5, -57.1875, -101.5]","[-0.2601000070571899, -0.7782999873161316, 0.0241999998688697]","[-0.179768905043602, 0.1395914256572723, -0.1857379376888275]","[2.525399923324585, 7.230999946594238, -6.124000072479248]",,,
"[2.138002872467041, 8.662039756774902, -6.760421276092529]","[-0.7792080044746399, -0.3830670118331909, 0.4752539992332458, 0.1422169953584671, 1.187410831451416, -0.8214821219444275, -2.9308621883392334]","[-1.375, -44.9375, 13.5625]","[-0.0010122909443452, 0.1658411920070648, -0.1403419226408004]","[-355.4375, -57.3125, -100.0625]","[-0.6843000054359436, -0.3643999993801117, 0.5852999687194824]","[-0.0561123341321945, 0.2159321308135986, -0.1087340116500854]","[2.498499870300293, 7.179999828338623, -6.194699764251709]",,,
"[3.304908275604248, 7.008336067199707, -5.904608726501465]","[-0.7727680206298828, -0.3797949850559234, 0.4830319881439209, 0.1589459925889969, 1.1978228092193604, -0.8338718414306641, -2.9601707458496094]","[-2.0, -45.1875, 12.6875]","[0.2239955514669418, 0.2708750963211059, -0.0795346572995185]","[-356.4375, -57.25, -100.8125]","[-0.488999992609024, -4.124000072479248, 1.4298999309539795]","[0.2138901054859161, 0.2907718420028686, -0.1219985112547874]","[2.4012999534606934, 7.262199878692627, -6.136999607086182]",,,
"[1.217949628829956, 9.6015625, -5.285248279571533]","[-0.7671729922294617, -0.3740180134773254, 0.4944869875907898, 0.1644310057163238, 1.2220008373260498, -0.8278682231903076, -2.9668545722961426]","[-1.3125, -45.375, 12.75]","[-0.1705710291862487, 0.1998402029275894, -0.1371828764677047]","[-355.8125, -57.75, -101.0]","[-1.4825999736785889, -0.2696000039577484, 1.625100016593933]","[-0.1940457075834274, 0.1695238351821899, -0.1052608042955398]","[2.2670998573303223, 7.222499847412109, -6.23420000076294]",,,
"[1.0014467239379885, 7.289041519165039, -3.883845329284668]","[-0.7575669884681702, -0.3514660000801086, 0.516871988773346, 0.1881619989871978, 1.246731519699097, -0.8139855265617371, -3.0273988246917725]","[-1.5, -44.625, 12.9375]","[-0.0026179938577115, 0.7415903806686401, -0.4456872642040252]","[-355.625, -57.0625, -100.375]","[-1.5947999954223633, -1.941999912261963, 0.9792999625205994]","[0.0427954718470573, 0.7312754988670349, -0.4421966075897217]","[2.1440000534057617, 7.12969970703125, -6.3827996253967285]",,,
"[1.7524598836898804, 7.039115905761719, -5.673827171325684]","[-0.7439169883728027, -0.3186869919300079, 0.5464460253715515, 0.2154549956321716, 1.2834694385528564, -0.7889621257781982, -3.102226734161377]","[-3.375, -45.0, 13.1875]","[-0.1883210241794586, 0.8689296245574951, -0.5447521805763245]","[-357.5625, -57.25, -100.125]","[0.1110999956727027, 2.8966000080108643, 1.722999930381775]","[-0.150342658162117, 0.8763821721076965, -0.5538453459739685]","[1.9579999446868896, 6.958999633789063, -6.626299858093262]",,,
"[2.266197919845581, 6.93361759185791, -5.725781440734863]","[-0.7319269776344299, -0.2991729974746704, 0.5618600249290466, 0.2430849969387054, 1.2977209091186523, -0.7910686731338501, 3.1136345863342285]","[-4.3125, -44.8125, 13.6875]","[0.3619987368583679, 0.6718295812606812, -0.5063374638557434]","[-358.5625, -57.25, -99.75]","[0.0625, 2.98009991645813, 2.667699813842773]","[0.3192556202411651, 0.6587046980857849, -0.5200383067131042]","[1.8594999313354488, 6.973499774932861, -6.639400005340576]",,,
"[2.067939043045044, 10.245058059692385, -5.067729949951172]","[-0.7237079739570618, -0.2763539850711822, 0.5747079849243164, 0.2637870013713836, 1.3051204681396484, -0.7798885107040405, 3.0512235164642334]","[-5.875, -45.5, 13.25]","[-0.0366344600915908, 0.5205444693565369, -0.4896346628665924]","[-359.875, -58.0, -100.3125]","[1.503499984741211, 3.891199827194214, 3.9131999015808105]","[-0.0430049113929271, 0.5178566575050354, -0.4838925302028656]","[1.830599904060364, 6.895999908447266, -6.727799892425537]",,,"[45.0, 1.5, 17.532564163208008, 8.666999816894531, 0.9829562902450562, 246.91012573242188, 687.0135498046875, 18.8974988, 49.6405584]"
