TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[0.9893607497215272, 7.46341609954834, -7.87917423248291]","[-0.6018339991569519, -0.1966229975223541, 0.6541320085525513, 0.4138169884681701, 1.4640967845916748, -0.8915568590164185, 2.7480955123901367]","[-10.25, -47.3125, 13.8125]","[0.1816364079713821, 0.0157603230327367, 0.1067268848419189]","[-362.3125, -58.875, -103.25]","[1.4915999174118042, 2.411900043487549, 3.32069993019104]","[0.0150447385385632, 0.0383972451090812, 0.1007927656173706]","[0.6559999585151672, 7.62999963760376, -6.125400066375732]",right,START,"[45.0, 1.5, 29.60017967224121, 6.550000190734863, 1.4306764602661133, 108.22532653808594, 636.682023499161, 18.8942699, 49.6388172]"
"[4.09543514251709, 7.063067436218262, -5.561854839324951]","[-0.5987619757652283, -0.2058070003986358, 0.6561999917030334, 0.410521000623703, 1.4833309650421145, -0.9030619859695436, 2.775757312774658]","[-9.875, -47.5625, 12.0625]","[0.304664671421051, -0.1663647890090942, 0.425214558839798]","[-362.25, -59.0625, -104.75]","[0.960099995136261, 0.3212999999523163, 0.8711999654769897]","[0.2192831635475158, -0.0529183819890022, 0.4386885166168213]","[0.5303999781608582, 7.700399875640869, -6.049099922180176]",,,
"[0.5606358647346497, 6.112597942352295, -5.265854835510254]","[-0.5910679697990417, -0.2248059958219528, 0.6603019833564758, 0.4050920009613037, 1.525830626487732, -0.9284917712211608, 2.8329012393951416]","[-7.5, -48.3125, 11.375]","[0.2586927115917206, -0.4697902798652649, 0.1039343550801277]","[-359.875, -60.125, -105.375]","[3.9527997970581055, -0.752299964427948, 0.4748999774456024]","[0.0927642509341239, -0.5139819979667664, 0.3912155628204345]","[0.2639999985694885, 7.852299690246582, -5.868599891662598]",,,
"[3.242591857910156, 7.638911247253418, -6.3474884033203125]","[-0.5960659980773926, -0.2480159997940063, 0.6577150225639343, 0.3880749940872192, 1.5508558750152588, -0.9376220107078552, 2.9089980125427246]","[-5.5, -47.9375, 12.5625]","[-0.1700299680233001, -0.8483871221542358, 0.3470238149166107]","[-358.0, -59.6875, -104.4375]","[2.944000005722046, 1.5968999862670898, 3.349799871444702]","[-0.2662674188613891, -0.7220776081085205, 0.4189313650131225]","[0.1155999973416328, 7.905599594116211, -5.8013997077941895]",,,
"[1.8019815683364868, 8.791518211364746, -5.5807785987854]","[-0.6186339855194092, -0.2680689990520477, 0.646826982498169, 0.3564330041408539, 1.538785457611084, -0.9153469800949096, 2.986396551132202]","[-4.0625, -48.3125, 12.0]","[-0.1327148377895355, -0.5096535682678223, 0.4756895005702972]","[-356.6875, -60.1875, -105.0]","[2.534899950027466, 2.6008999347686768, 4.101099967956543]","[-0.1517040133476257, -0.4958829581737518, 0.4598244428634643]","[0.1911999881267547, 7.774399757385254, -5.974199771881104]",,,
"[2.873664617538452, 6.316689491271973, -4.921760082244873]","[-0.6358590126037598, -0.2924990057945251, 0.6372140049934387, 0.3226200044155121, 1.5437684059143066, -0.8996868133544922, 3.0812315940856934]","[-2.5625, -48.0, 12.1875]","[0.3481931984424591, -0.7938281297683716, 0.4166449904441833]","[-355.0625, -59.6875, -104.5]","[2.326099872589112, 0.9009000062942504, -1.111799955368042]","[0.4086688458919525, -0.7379601001739502, 0.347809225320816]","[0.1647000014781952, 7.6798996925354, -6.095999717712402]",,,
"[2.586570978164673, 8.84877872467041, -3.7043280601501465]","[-0.6526049971580505, -0.3238179981708526, 0.6158300042152405, 0.3000020086765289, 1.5186846256256104, -0.9143252968788148, -3.12968373298645]","[-1.3125, -47.8125, 11.8125]","[-0.0170518662780523, -0.8589288592338562, 0.6355441808700562]","[-353.8125, -59.875, -105.0625]","[2.963599920272827, -1.5508999824523926, 0.3283999860286712]","[0.0301592890173196, -0.8483521938323975, 0.6506238579750061]","[0.3116999864578247, 7.768299579620361, -5.977099895477295]",,,
"[3.062567234039306, 8.750922203063965, -4.151890754699707]","[-0.6642820239067078, -0.3520079851150512, 0.599593997001648, 0.2744190096855163, 1.5159051418304443, -0.9218899607658386, -3.046231746673584]","[0.4375, -47.3125, 10.9375]","[0.0036302849184721, -0.6276553273200989, 0.908531129360199]","[-352.25, -59.25, -105.9375]","[2.381500005722046, -2.1647000312805176, 0.3274999856948852]","[0.1426632106304168, -0.6224018335342407, 0.6431887149810791]","[0.3251000046730041, 7.813399791717529, -5.917299747467041]",,,
"[2.527635335922241, 9.5047607421875, -4.59201192855835]","[-0.6736019849777222, -0.3873549997806549, 0.581246018409729, 0.2415940016508102, 1.5301765203475952, -0.9318042993545532, -2.930737018585205]","[2.9375, -48.4375, 11.0625]","[0.1730144917964935, -0.7519401907920837, 0.5353971719741821]","[-349.5625, -60.25, -105.8125]","[5.087500095367432, 0.3068999946117401, -0.6875]","[0.2011841088533401, -0.7715926170349121, 0.5172457695007324]","[0.2373999953269958, 7.871699810028076, -5.843699932098389]",,,
"[2.6593642234802246, 6.563684463500977, -3.515434980392456]","[-0.6840350031852722, -0.4190120100975036, 0.557183027267456, 0.2146420031785965, 1.5228378772735596, -0.948303520679474, -2.839829921722412]","[4.375, -48.0625, 11.1875]","[-0.0859051048755645, -0.7002609968185425, 0.3484200835227966]","[-348.0625, -59.625, -106.0625]","[1.5400999784469604, -1.73989999294281, 0.9843999743461608]","[0.0439124852418899, -0.6755471229553223, 0.2757271230220794]","[0.2741000056266784, 7.967199802398682, -5.711199760437012]",,,
