TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[3.5876059532165527, 8.842198371887207, 13.762139320373535]","[-0.2059170007705688, -0.6636629700660706, 0.5460010170936584, 0.4680069983005523, -2.448431491851806, -0.9017016291618348, -1.0306891202926636]","[14.4375, -15.0, -36.8125]","[-1.10002863407135, 0.346744567155838, -0.116762526333332]","[-33.875, -39.875, -14.625]","[10.412099838256836, 1.46589994430542, 1.1933000087738037]","[-0.6764547228813171, -0.3339338302612304, -0.4713785350322723]","[-4.678999900817871, 7.692099571228027, 3.886699914932251]",left,START,"[45.0, 1.5, 29.65107536315918, 15.135000228881836, 8.52299690246582, 332.689697265625, 2297.8347001979128, 6.6700288, 44.5586367]"
"[-0.7833540439605713, -5.066618919372559, 6.975995063781738]","[-0.239438995718956, -0.6166859865188599, 0.6080290079116821, 0.4389379918575287, -2.67762303352356, -0.9774807095527648, -1.306717038154602]","[14.75, -21.875, -32.8125]","[-3.0707497596740723, -0.167446881532669, 0.1369908899068832]","[-33.5625, -46.75, -10.625]","[-3.21019983291626, 1.9198999404907229, -3.0214998722076416]","[-2.9185919761657715, -0.8218231797218323, -0.0166678950190544]","[-4.903299808502197, 8.130599975585938, 2.4535999298095703]",,,
"[-2.335763931274414, -0.7269658446311951, 8.031081199645996]","[-0.2080859988927841, -0.6280549764633179, 0.5909889936447144, 0.4614950120449066, -2.541231632232666, -0.9388102889060974, -1.198541283607483]","[14.375, -24.6875, -31.75]","[0.4384965300559997, 0.1616524010896682, -0.0684343576431274]","[-33.9375, -49.5625, -9.5625]","[5.308499813079834, 11.114099502563477, 2.926800012588501]","[0.9011483788490297, 0.3161664009094238, 0.0039269910193979]","[-4.780200004577637, 7.912499904632568, 3.2727999687194824]",,,
"[-7.693968296051025, 49.02888107299805, -3.88818359375]","[-0.1860809922218322, -0.6691870093345642, 0.554390013217926, 0.4584899842739105, -2.467984437942505, -0.8593380451202393, -1.065524935722351]","[12.375, -21.75, -33.625]","[2.449342727661133, 4.976073265075684, 1.465971827507019]","[-35.9375, -46.625, -11.4375]","[-4.8225998878479, 5.14139986038208, -0.3271999955177307]","[0.6521597504615784, 3.33989691734314, 2.177333116531372]","[-5.004499912261963, 7.427599906921387, 3.99429988861084]",,,
"[3.587088823318481, 13.237215995788574, 9.200246810913086]","[-0.2138790041208267, -0.6252430081367493, 0.5893750190734863, 0.4647179841995239, -2.5373668670654297, -0.9531418681144714, -1.1926974058151243]","[11.25, -20.375, -35.125]","[-1.566275954246521, -1.3726316690444946, -0.8903797268867493]","[-37.0625, -45.25, -12.9375]","[4.819200038909912, 6.100299835205078, 2.740499973297119]","[-1.252832293510437, -1.0642493963241575, -0.7862882614135742]","[-4.673599720001221, 7.994699954986572, 3.2265000343322754]",,,
"[-1.385974645614624, 8.832670211791992, 3.2384066581726074]","[-0.2040340006351471, -0.600907027721405, 0.6034020185470581, 0.4828920066356659, -2.503309488296509, -0.9754725694656372, -1.2278790473937988]","[10.375, -24.3125, -32.5625]","[-0.3376863002777099, -0.1485624313354492, -0.2212030291557312]","[-37.9375, -49.1875, -10.375]","[6.086400032043457, 7.094299793243408, 4.815599918365479]","[-0.1983217597007751, 0.4174827635288238, 0.025464354082942]","[-4.416599750518799, 8.119599342346191, 3.27649998664856]",,,
"[4.3708930015563965, 15.771544456481934, 5.0326313972473145]","[-0.2204030007123947, -0.583063006401062, 0.6025940179824829, 0.4983350038528442, -2.481180429458618, -1.030594825744629, -1.220274567604065]","[7.0625, -25.3125, -33.1875]","[0.0451865755021572, 0.2246936857700348, -0.2375916689634323]","[-41.25, -50.1875, -11.0]","[2.686599969863892, -10.926499366760254, 1.492900013923645]","[0.1472883373498916, 0.9031729698181152, -0.1759291887283325]","[-3.983099937438965, 8.410200119018555, 3.093899965286255]",,,
"[4.656904220581055, 17.303834915161133, 1.817457675933838]","[-0.1489010006189346, -0.6121580004692078, 0.5535929799079895, 0.5446320176124573, -2.19614052772522, -0.9031980037689208, -0.984129011631012]","[6.0625, -25.625, -32.6875]","[2.4785943031311035, 1.3348976373672483, 0.3700098097324371]","[-42.25, -50.5, -10.5]","[3.0909998416900635, -3.9225997924804688, 3.441699981689453]","[2.154766082763672, 1.601863145828247, -0.0846833735704422]","[-3.553999900817871, 7.701200008392334, 4.922299861907959]",,,
"[0.4015267491340637, 12.69580078125, 8.630110740661621]","[-0.1793760061264038, -0.5733309984207153, 0.533249020576477, 0.5956169962882996, -2.001866102218628, -0.9989588260650636, -0.8257025480270386]","[0.875, -20.0, -37.0]","[-0.6783396601676941, 0.984365701675415, -0.8789652585983276]","[-47.4375, -44.875, -14.8125]","[3.9081997871398926, 1.993799924850464, 4.135299682617188]","[-0.6036570072174072, 1.5720878839492798, -0.7683811783790588]","[-2.2174999713897705, 8.246500015258789, 4.821599960327148]",,,
"[4.414361953735352, 17.925148010253906, 3.1829380989074707]","[-0.1639849990606308, -0.5616220235824585, 0.4812270104885101, 0.6527699828147888, -1.732728362083435, -0.9483528137207032, -0.594292163848877]","[-4.6875, -18.5625, -36.375]","[1.3289111852645874, 1.3880603313446045, -0.5968676805496216]","[-53.0, -43.4375, -14.1875]","[3.4408998489379883, -4.025799751281738, 4.039000034332275]","[1.3069723844528198, 1.0221694707870483, -0.6693512201309204]","[-0.9217999577522278, 7.967399597167969, 5.642600059509277]",,,
