TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[-0.2267500609159469, 4.958592891693115, 8.798882484436035]","[-0.3447889983654022, -0.7351179718971252, 0.2699359953403473, 0.5175470113754272, -1.9462199211120603, -0.904846489429474, -0.0647591054439544]","[12.75, -14.1875, -39.9375]","[-0.3082949519157409, 1.1146894693374634, 1.3946577310562134]","[-32.8125, -36.8125, -15.1875]","[-0.9274999499320984, -2.503900051116944, -2.123800039291382]","[-0.4790928661823272, 1.8030123710632324, 2.2995760440826416]","[-2.221400022506714, 7.711199760437012, 5.636600017547607]",left,START,
"[2.022075653076172, 7.522371292114258, 3.553435802459717]","[-0.2440200001001358, -0.7239469885826111, 0.3691680133342743, 0.5292140245437622, -2.071575403213501, -0.8391161561012268, -0.4262473881244659]","[9.625, -11.5625, -41.625]","[0.2072054892778396, 1.775942325592041, 2.222031116485596]","[-35.9375, -34.1875, -16.875]","[5.445099830627441, -0.0782999992370605, -3.016700029373169]","[-0.4292811751365661, 2.008594751358032, 3.085585117340088]","[-3.145599842071533, 7.296599864959717, 5.747399806976318]",,,
"[0.0565701983869075, 7.945311546325684, 4.084766387939453]","[-0.1228239983320236, -0.6889809966087341, 0.4686670005321502, 0.539044976234436, -2.12526273727417, -0.7403034567832947, -0.7689797878265381]","[5.125, -13.0, -42.0]","[-0.1047372072935104, 1.3534330129623413, 2.458784818649292]","[-40.4375, -35.625, -17.25]","[6.162299633026123, 2.0104000568389893, 0.758899986743927]","[-1.4302449226379397, 1.6216901540756226, 1.769938349723816]","[-3.811699867248535, 6.614699840545654, 6.155200004577637]",,,
"[5.725225448608398, 4.590824127197266, 7.660727024078369]","[-0.061549000442028, -0.6299579739570618, 0.5433380007743835, 0.5514950156211853, -2.1197826862335205, -0.7434653639793396, -0.9931065440177916]","[1.875, -16.5625, -40.8125]","[-0.4705407619476318, 1.6196305751800537, 1.3285795450210571]","[-43.6875, -39.1875, -16.0625]","[5.72160005569458, -0.1957999914884567, 3.143399953842163]","[-0.5312083959579468, 1.4018659591674805, 1.217349648475647]","[-3.766999959945679, 6.637499809265137, 6.15809965133667]",,,
"[-3.444997549057007, 10.055867195129396, 6.707250595092773]","[-0.0153270000591874, -0.5635150074958801, 0.611320972442627, 0.5554289817810059, -2.1329362392425537, -0.7703197598457336, -1.2118666172027588]","[-0.4375, -21.25, -38.8125]","[-1.1479204893112185, 1.1907857656478882, 1.2604069709777832]","[-46.0, -43.875, -14.0625]","[2.410599946975708, 10.593899726867676, 2.1368000507354736]","[-1.1599109172821045, 0.1857204884290695, 0.8324347734451294]","[-3.7512998580932617, 6.828999996185303, 5.954999923706055]",,,
"[6.12113094329834, 13.156886100769045, 2.8537638187408447]","[0.0086099999025464, -0.5182939767837524, 0.6600390076637268, 0.5437319874763489, -2.1885673999786377, -0.7878574728965759, -1.387527585029602]","[-0.75, -25.3125, -36.1875]","[-1.1684280633926392, 0.6981666088104248, 1.039622783660889]","[-46.3125, -47.9375, -11.4375]","[4.017899990081787, -6.781599998474121, 0.6428999900817871]","[-1.0605841875076294, 0.8035845160484314, 0.8617388606071472]","[-4.0065999031066895, 6.951299667358398, 5.638700008392334]",,,
"[-5.136472702026367, 19.235820770263672, 3.94792366027832]","[0.0152740003541111, -0.4699349999427795, 0.693917989730835, 0.5453479886054993, -2.219560384750366, -0.8367918729782104, -1.5162955522537231]","[-2.9375, -28.4375, -34.6875]","[-0.6609562039375305, 0.7770555019378662, 0.5924171209335327]","[-48.5, -51.0625, -9.9375]","[-2.574699878692627, 2.368499994277954, 0.3811999857425689]","[-0.593411922454834, 1.052136778831482, -0.6417924761772156]","[-3.968899965286255, 7.281399726867676, 5.234299659729004]",,,
"[9.754754066467283, 0.9115971326828004, 10.99144458770752]","[0.0058140000328421, -0.4391269981861114, 0.6983000040054321, 0.5652520060539246, -2.191720724105835, -0.9016069769859314, -1.5309910774230957]","[-4.0625, -30.8125, -32.875]","[-0.8681966066360474, -0.2859547436237335, -0.4562115967273712]","[-49.625, -53.4375, -8.125]","[1.614300012588501, -1.5708999633789062, 2.723700046539306]","[-0.9355663061141968, 0.3043330609798431, 0.8434478044509888]","[-3.539299964904785, 7.691499710083008, 4.947999954223633]",,,"[45.0, 1.5, 16.94256591796875, 6.544000148773193, 3.7606143951416016, 353.7454528808594, 2597.85815187078, 6.6470513, 44.5957304]"
"[1.13789701461792, 15.52129364013672, 6.702213287353516]","[0.0147510003298521, -0.4062289893627167, 0.7263519763946533, 0.5542299747467041, -2.2555952072143555, -0.9159598350524902, -1.662232756614685]","[-4.625, -32.5, -31.0625]","[-0.635387122631073, 1.0024996995925903, 0.8421562910079956]","[-50.1875, -55.125, -6.3125]","[4.256400108337402, -5.819699764251709, 4.603399753570557]","[1.0267597436904907, 1.9631812572479248, 0.4214795529842376]","[-3.7776999473571777, 7.77810001373291, 4.625899791717529]",,,
"[-2.483716011047364, -8.483470916748047, 6.146232128143311]","[0.042213000357151, -0.3737419843673706, 0.7429419755935669, 0.5536890029907227, -2.248108625411988, -0.912709891796112, -1.7474644184112549]","[-4.0, -33.8125, -30.625]","[-0.4261395931243896, -2.581813097000122, -0.1236216723918914]","[-49.5625, -56.4375, -5.875]","[3.8244998455047607, 21.393999099731445, 6.929599761962891]","[-0.5434780716896057, -0.4830547869205475, 0.4171511530876159]","[-3.75879979133606, 7.758599758148193, 4.673799991607666]",,,
