TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[-10.18626594543457, 7.153070449829102, 1.8503539562225344]","[-0.3451330065727234, -0.5985559821128845, 0.2783089876174927, 0.667199969291687, -1.3619694709777832, -0.9019513130187988, 0.2068958431482315]","[-3.5625, -15.5625, -40.5625]","[0.2720619142055511, -0.4574857056140899, -1.438413143157959]","[-50.0625, -38.0, -16.875]","[-0.3388999998569488, 1.5378999710083008, -3.793799877166748]","[-0.033405601978302, -1.0495363473892212, -0.2735978066921234]","[1.260599970817566, 7.693699836730957, 5.948699951171875]",right,START,
"[4.802768707275391, 8.273058891296387, 8.731155395507812]","[-0.3933390080928802, -0.59722501039505, 0.2364300042390823, 0.657804012298584, -1.287112832069397, -0.8960620760917664, 0.3858094215393066]","[-2.875, -14.5625, -41.0625]","[-0.0895179361104965, -0.9517280459403992, -1.3052619695663452]","[-49.375, -37.0, -17.375]","[-2.332599878311157, -2.252500057220459, -4.742899894714356]","[0.346709668636322, -0.269059956073761, -1.2744219303131104]","[1.7145999670028689, 7.6576995849609375, 5.881199836730957]",,,
"[11.415735244750977, 8.498822212219238, 10.988696098327637]","[-0.4340400099754333, -0.5998950004577637, 0.1791920065879821, 0.6477829813957214, -1.236337661743164, -0.8524755835533142, 0.5559711456298828]","[-2.0625, -15.125, -41.0625]","[-0.3917915225028991, -1.344688892364502, -1.3095903396606443]","[-48.5625, -37.5625, -17.375]","[-1.2246999740600586, 5.360499858856201, -2.7381999492645264]","[0.3042632341384887, -0.0226718261837959, -1.5809017419815063]","[2.118499994277954, 7.383499622344971, 6.096299648284912]",,,
"[7.494990825653076, 9.649150848388672, 9.47635555267334]","[-0.4802219867706299, -0.6003549695014954, 0.1355530023574829, 0.6249669790267944, -1.1982190608978271, -0.8420946002006531, 0.7168121933937073]","[-0.6875, -15.0, -41.125]","[-0.9417447447776794, -1.3574821949005127, -1.0986149311065674]","[-47.1875, -37.4375, -17.4375]","[-2.995800018310547, 2.683499813079834, -0.9763000011444092]","[-0.1624377965927124, -0.2347293347120285, -1.2617508172988892]","[2.376999855041504, 7.316099643707275, 6.082200050354004]",,,"[45.0, 1.5, 20.5340576171875, 9.470999717712402, 1.8194516897201536, 4.745169639587402, 2405.760791714303, 6.6404991, 44.5827298]"
"[-0.1632366776466369, 9.18198299407959, 7.78939151763916]","[-0.5171869993209839, -0.6059610247612, 0.1050390005111694, 0.5952270030975342, -1.1924465894699097, -0.8508399128913879, 0.8341264724731445]","[1.0, -16.0, -39.8125]","[-0.3751585185527801, -0.9705601334571838, -0.7772649526596069]","[-45.5, -38.4375, -16.125]","[-1.1523000001907349, 9.119400024414062, -3.188499927520752]","[-0.2757620215415954, -0.7351850271224976, -0.8524013757705688]","[2.388399839401245, 7.372900009155273, 6.008699893951416]",,,
"[5.654730796813965, 12.090699195861816, 9.201960563659668]","[-0.5467309951782227, -0.614637017250061, 0.1021459996700286, 0.5593479871749878, -1.2004868984222412, -0.9048824906349182, 0.9055930376052856]","[3.9375, -17.875, -39.8125]","[-1.1502941846847534, -1.1481997966766355, -0.2776644229888916]","[-42.5625, -40.3125, -16.125]","[-2.417399883270264, -1.2387999296188354, 2.1938998699188232]","[-0.4507661759853363, -0.0941605120897293, -0.4887619912624359]","[2.192399978637696, 7.7114996910095215, 5.647599697113037]",,,
"[4.62839412689209, 12.15066909790039, 0.5949304103851318]","[-0.5602049827575684, -0.6204850077629089, 0.1015020012855529, 0.5393189787864685, -1.210356593132019, -0.9351387619972228, 0.9367110133171082]","[5.5, -21.3125, -37.625]","[0.2578025758266449, -0.2345373481512069, 0.501834511756897]","[-41.0, -43.75, -13.9375]","[2.522199869155884, 1.4570000171661377, 2.7871999740600586]","[-0.2363699376583099, -0.2152514606714248, 0.1526988595724105]","[2.053400039672852, 7.891199588775635, 5.448100090026856]",,,
"[-2.2568893432617188, 5.906217575073242, 3.019030809402466]","[-0.5596500039100647, -0.6266930103302002, 0.0865729972720146, 0.5353050231933594, -1.2362849712371826, -0.9175968170166016, 0.9396684169769288]","[6.0, -22.3125, -37.1875]","[0.3652101457118988, -0.3761009871959686, -0.319517433643341]","[-40.5, -44.75, -13.5]","[-0.348499983549118, 1.7773000001907349, 3.6313998699188232]","[-0.0815766900777816, -0.5900434851646423, -0.2757096588611603]","[1.9565999507904053, 7.787899971008301, 5.62939977645874]",,,
"[-3.086355686187744, 13.633465766906738, 5.886116027832031]","[-0.5619480013847351, -0.6252250075340271, 0.0853310003876686, 0.5348129868507385, -1.2292687892913818, -0.917295217514038, 0.949552059173584]","[6.25, -21.5625, -37.5625]","[0.1791405975818634, -0.2819230258464813, -0.3926990926265716]","[-40.25, -44.0, -13.875]","[-4.221199989318848, 0.6933000087738037, 1.0917999744415283]","[-0.2198242247104644, 0.2172236740589141, 0.06321582198143]","[1.9967999458312988, 7.786099910736084, 5.61769962310791]",,,
"[6.850558280944824, 15.715904235839844, 5.190351486206055]","[-0.5586490035057068, -0.6285579800605774, 0.0973910018801689, 0.5322960019111633, -1.2425090074539185, -0.9373093843460084, 0.9237456321716307]","[6.5625, -21.375, -37.875]","[-0.1231678873300552, -0.0027750735171139, 0.8287870287895203]","[-39.9375, -43.8125, -14.1875]","[-3.57229995727539, 0.0856999978423118, 1.2813999652862549]","[-0.0367740876972675, 0.4572413563728332, 0.3013660013675689]","[1.8715999126434328, 7.903800010681152, 5.494999885559082]",,,
