TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[-0.2879458665847778, 10.149576187133787, 3.83644962310791]","[0.8748970031738281, 0.3775050044059753, 0.3024269938468933, 0.0241039991378784, -0.7652007341384888, -0.7411482930183411, 2.886481046676636]","[-0.5, -44.375, -14.75]","[0.5785766243934631, -0.1387536823749542, -0.3913726210594177]","[-45.9375, -66.375, 6.0625]","[-4.797399997711182, 3.799999952316284, -0.1870999932289123]","[0.482251912355423, 0.0356570780277252, -0.3753505051136017]","[5.217599868774414, 6.620800018310547, 5.01099967956543]",right,START,
"[-0.9153799414634703, 13.909794807434082, 5.517179012298584]","[0.880158007144928, 0.3523879945278168, 0.3178730010986328, 0.0099640004336833, -0.7880982160568237, -0.677245557308197, 2.8734209537506104]","[-2.625, -43.75, -15.875]","[-0.0033510322682559, -0.2852915227413177, -0.614704966545105]","[-48.0625, -65.75, 4.9375]","[-7.911399841308594, 1.5947999954223633, -2.629600048065185]","[-0.0669682845473289, -0.2525316774845123, -0.6002536416053772]","[5.3892998695373535, 6.145299911499023, 5.418499946594238]",,,
"[-3.5158374309539795, 10.775362968444824, 2.7089147567749023]","[0.8851500153541565, 0.3217020034790039, 0.3339259922504425, 0.038841001689434, -0.7820150852203369, -0.6378245949745178, 2.958734035491944]","[-5.5625, -43.125, -14.9375]","[-0.293721467256546, -0.6087533831596375, -1.0903769731521606]","[-51.0, -65.125, 5.875]","[-7.259500026702881, -1.3662999868392944, 2.199699878692627]","[-0.2455154657363891, -0.4366813898086548, -0.8403236865997314]","[5.589799880981445, 5.83929967880249, 5.552099704742432]",,,
"[-3.600381374359131, -6.244757652282715, 11.998790740966797]","[0.8848689794540405, 0.2950949966907501, 0.3531329929828644, 0.0722659975290298, -0.7904641032218933, -0.6105032563209534, 3.0431573390960693]","[-7.25, -43.5625, -15.1875]","[-0.1039518117904663, -0.2686061561107635, -0.1549677848815918]","[-52.6875, -65.5625, 5.625]","[-3.304800033569336, 11.835100173950195, -1.097100019454956]","[-0.0586779676377773, -0.953141748905182, -0.636591374874115]","[5.6528000831604, 5.6219000816345215, 5.710399627685547]",,,
"[0.5540373921394348, 5.7358078956604, 7.007234573364258]","[0.8783659934997559, 0.2831870019435882, 0.3787179887294769, 0.0696299970149993, -0.8473519086837769, -0.5826324224472046, 3.030979871749878]","[-6.5625, -42.6875, -16.0625]","[0.3005631566047668, -0.0903207883238792, -0.0303687285631895]","[-52.0, -64.6875, 4.75]","[-6.845999717712402, 11.52199935913086, -4.481299877166748]","[0.3143337965011596, -0.2314655631780624, -0.0295135173946619]","[5.420599937438965, 5.39579963684082, 6.137599945068359]",,,
"[-0.3591398298740387, 10.64981174468994, 7.5289788246154785]","[0.8735389709472656, 0.2748889923095703, 0.3949390053749084, 0.0733949989080429, -0.8801113367080688, -0.5683303475379944, 3.0359115600585938]","[-7.3125, -42.5, -15.75]","[0.0348542258143425, -0.2854136824607849, -0.2203303575515747]","[-52.75, -64.5, 5.0625]","[-1.522499918937683, -0.0315000005066394, 2.644199848175049]","[0.0069464105181396, -0.2831447720527649, -0.6341130137443542]","[5.2652997970581055, 5.278199672698975, 6.370699882507324]",,,
"[2.2676825523376465, 9.294328689575195, 6.318470478057861]","[0.8729349970817566, 0.2626200020313263, 0.4006049931049347, 0.0923549979925155, -0.8772563934326172, -0.5615468621253967, 3.0834641456604004]","[-8.125, -42.75, -14.5625]","[-0.238935574889183, -0.9526530504226683, -0.7617489695549011]","[-53.5625, -64.75, 6.25]","[-1.299299955368042, -3.869699954986572, -0.5587999820709229]","[-0.5929058194160461, -0.4586376249790191, -0.6408325433731079]","[5.30620002746582, 5.221999645233154, 6.3831000328063965]",,,
"[-3.57444715499878, 11.83798599243164, 6.073132038116455]","[0.8660209774971008, 0.2449589967727661, 0.4167279899120331, 0.127822995185852, -0.8911427855491638, -0.5595608949661255, -3.121257781982422]","[-9.1875, -42.9375, -13.6875]","[-0.1951976269483566, -0.9084089398384094, -0.3327819406986236]","[-54.625, -64.9375, 7.125]","[-7.534799575805664, 3.785699844360352, 0.0988999977707862]","[-0.3515965640544891, -0.8197113275527954, -0.4849397242069244]","[5.223599910736084, 5.205499649047852, 6.464200019836426]",,,
"[-3.003889799118042, 14.206369400024414, 6.55370569229126]","[0.8563200235366821, 0.2278330028057098, 0.438647985458374, 0.1496469974517822, -0.92816960811615, -0.5485853552818298, -3.075428009033203]","[-10.4375, -42.625, -14.3125]","[-0.244066834449768, -0.702337920665741, -0.2495646327733993]","[-55.875, -64.625, 6.5]","[-9.309800148010254, 0.4944999814033508, -0.143899992108345]","[-0.2228261828422546, -0.8020834922790527, -0.4653222262859344]","[5.014699935913086, 5.1138997077941895, 6.69849967956543]",,,
"[1.166129469871521, 7.510792255401611, 4.363307952880859]","[0.8445889949798584, 0.2243780046701431, 0.4560990035533905, 0.1682129949331283, -0.9631728529930116, -0.5615017414093018, -3.047574758529663]","[-9.4375, -42.9375, -13.75]","[-0.2605078518390655, -0.2214822769165039, 0.5692914724349976]","[-54.875, -64.9375, 7.0625]","[-4.408999919891357, 7.545399665832519, -1.7339999675750732]","[-0.2209586799144745, -0.4985707402229309, 0.398022323846817]","[4.739099979400635, 5.22160005569458, 6.815099716186523]",,,"[45.0, 1.5, 24.54450798034668, 12.583999633789062, 10.49339771270752, 123.04426574707033, 2301.574184887111, 6.6639401, 44.5948178]"
"[0.1394574642181396, 10.368349075317385, 6.871473789215088]","[0.8284729719161987, 0.2546019852161407, 0.4673500061035156, 0.1743360012769699, -1.0069459676742554, -0.624650239944458, -3.0788159370422363]","[-6.875, -44.4375, -12.0]","[-0.5486791729927063, -1.028976321220398, 0.4296651482582092]","[-52.3125, -66.4375, 8.8125]","[-4.542999744415283, 6.353899955749512, -1.455899953842163]","[-0.5469861626625061, -1.107446312904358, 0.2496868073940277]","[4.251299858093262, 5.734999656677246, 6.723399639129639]",,,
"[-1.4012209177017212, 6.264304161071777, 6.733577251434326]","[0.8009189963340759, 0.2777430117130279, 0.4916459918022156, 0.1991740018129348, -1.0793756246566772, -0.6954689025878906, -3.081717014312744]","[-3.75, -45.6875, -9.375]","[-0.9025272130966188, -0.6548649668693542, 0.6233094334602356]","[-49.1875, -67.6875, 11.4375]","[-4.927599906921387, 5.092400074005127, -3.9891998767852783]","[-0.8905717134475708, -0.6398202776908875, 0.6749188303947449]","[3.552799940109253, 6.283499717712402, 6.638099670410156]",,,
"[-0.5504364967346191, 5.8573760986328125, 4.515627384185791]","[0.76385498046875, 0.3208529949188232, 0.5151000022888184, 0.2196570038795471, -1.1835509538650513, -0.7987160086631775, -3.134383201599121]","[0.5625, -46.75, -6.1875]","[-0.6264510154724121, -0.618038535118103, 1.2649623155593872]","[-44.875, -68.75, 14.625]","[-4.461100101470947, -0.5795999765396118, -1.358199954032898]","[-0.5674937963485718, -0.7089876532554626, 1.1844502687454224]","[2.5834999084472656, 7.026000022888184, 6.334699630737305]",,,
"[-2.4041521549224854, 9.982853889465332, 4.3237175941467285]","[0.7249550223350525, 0.3772499859333038, 0.5333709716796875, 0.2182569950819015, -1.334760308265686, -0.8943501710891724, 3.0038208961486816]","[6.625, -46.0625, -3.6875]","[-0.404916375875473, -0.0485550612211227, 1.5083309412002563]","[-38.8125, -68.0625, 17.125]","[-2.8755998611450195, 0.6969000101089478, -1.0580999851226809]","[-0.44336599111557, -0.0974068269133567, 1.433037519454956]","[1.43559992313385, 7.647199630737305, 5.968899726867676]",,,
"[4.379550457000732, 23.8779296875, -4.173486232757568]","[0.6829760074615479, 0.4358499944210052, 0.5497689843177795, 0.2032999992370605, -1.5436519384384155, -0.959467887878418, 2.7828073501586914]","[13.25, -44.375, -2.0625]","[-0.008848818950355, 0.5654866695404053, 1.2725369930267334]","[-32.1875, -66.375, 18.75]","[-4.22659969329834, 1.2967000007629397, 6.180699825286865]","[-0.2335948646068573, 0.657954216003418, 1.8559482097625728]","[0.1526999920606613, 8.030499458312988, 5.626399993896484]",right,STOP,
"[3.5869643688201904, 7.905500888824463, -8.511215209960938]","[0.6418179869651794, 0.5035269856452942, 0.5507490038871765, 0.1766449958086013, -1.7825320959091189, -0.9989801049232484, 2.490694046020508]","[20.0, -42.3125, 0.25]","[0.4565257728099823, -0.6760707497596741, 1.061945557594299]","[-25.4375, -64.3125, 21.0625]","[-4.208699703216553, 5.425699710845947, 0.0118999993428587]","[0.2964092791080475, 0.0790285095572471, 1.356347680091858]","[-1.115299940109253, 8.246600151062012, 5.188399791717529]",left,START,
"[5.337202072143555, 4.670177936553955, 2.742241859436035]","[0.6097790002822876, 0.5504180192947388, 0.5550010204315186, 0.1310800015926361, -1.965704202651977, -0.955782949924469, 2.2439520359039307]","[25.125, -39.25, -0.5]","[-0.2586228847503662, -0.4220729768276214, 0.7400719523429871]","[-20.3125, -61.25, 20.3125]","[1.9893999099731443, 3.2194998264312744, 2.3643999099731445]","[0.2985560297966003, -0.0928515195846557, 0.7311533093452454]","[-2.176800012588501, 8.009699821472168, 5.222599983215332]",,,
"[-2.004483222961426, -6.605535507202148, 5.443993091583252]","[0.5809590220451355, 0.6015059947967529, 0.5382170081138611, 0.1048680022358894, -2.1162819862365723, -0.9472009539604188, 2.02152419090271]","[27.6875, -37.25, 2.1875]","[-1.0168113708496094, -0.5710542798042297, 1.4412754774093628]","[-17.75, -59.25, 23.0]","[-1.6509000062942505, 28.26609992980957, -2.111199855804444]","[-0.8643044829368591, -0.7724827527999878, 0.6497511863708496]","[-2.971099853515625, 7.960899829864502, 4.895499706268311]",,,
"[-4.112720966339111, 17.160795211791992, 8.756514549255371]","[0.5839040279388428, 0.6220859885215759, 0.5117989778518677, 0.1006259992718696, -2.133273124694824, -0.9781717658042908, 1.948081970214844]","[30.0, -35.375, 4.0625]","[-1.629369616508484, 0.3936939239501953, -0.5975309014320374]","[-15.4375, -57.375, 24.875]","[3.4848999977111816, -3.107800006866455, -2.140399932861328]","[-2.0039870738983154, 0.323112815618515, 0.2271196991205215]","[-2.9210000038146973, 8.1343994140625, 4.633500099182129]",,,
"[1.6996629238128662, -0.1520988494157791, 2.1994571685791016]","[0.5577620267868042, 0.6631990075111389, 0.4804250001907348, 0.135124996304512, -2.334114551544189, -1.0544915199279783, 1.7414000034332275]","[29.9375, -33.625, 6.0]","[0.3856654167175293, -0.6199409365653992, 0.0494800843298435]","[-15.5, -55.625, 26.8125]","[1.4915000200271606, 15.417299270629885, -0.9603999853134156]","[0.3243345320224762, 0.3492403924465179, -0.2525840401649475]","[-3.346799850463867, 8.528299331665039, 3.497900009155273]",,,"[45.0, 1.5, 20.09673500061035, 12.218000411987305, 11.324618339538574, 140.35626220703125, 2301.0934592420235, 6.6640391, 44.5947436]"
"[-0.374960720539093, 17.942319869995117, 3.7510149478912354]","[0.5684210062026978, 0.6714839935302734, 0.4600400030612945, 0.1198699995875358, -2.3024580478668213, -1.062677264213562, 1.7140897512435913]","[30.875, -33.125, 6.8125]","[-0.4690921306610107, 0.5809851884841919, 0.211324468255043]","[-14.5625, -55.125, 27.625]","[0.6093999743461609, -0.6783999800682068, 2.9886999130249023]","[-0.5016250610351562, 0.2585181593894958, 0.4086513817310333]","[-3.187700033187866, 8.567699432373047, 3.550099849700928]",,,
"[-4.784668445587158, 19.236099243164062, 5.2793869972229]","[0.5659890174865723, 0.6891670227050781, 0.4377059936523437, 0.1145310029387474, -2.349431276321411, -1.0766706466674805, 1.6211280822753906]","[32.25, -31.4375, 7.5]","[-1.14788556098938, 0.6736272573471069, -0.206612080335617]","[-13.1875, -53.4375, 28.3125]","[-2.7109999656677246, 3.3513998985290527, 0.0559000000357627]","[-1.2536176443099976, 0.5981592535972595, 0.4220904111862182]","[-3.2662999629974365, 8.633600234985352, 3.3107998371124268]",,,
"[-3.885664701461792, 12.487600326538086, 5.736449718475342]","[0.5620589852333069, 0.7153189778327942, 0.3921679854393005, 0.1364240050315857, -2.503032684326172, -1.1459574699401855, 1.423264741897583]","[31.9375, -30.75, 8.875]","[-0.0754854902625083, -0.211307018995285, -0.6170611381530762]","[-13.5, -52.75, 29.6875]","[-0.3750999867916107, 13.45889949798584, 0.5679999589920044]","[-0.2117258906364441, 0.281748503446579, -0.4442386627197265]","[-3.245499849319458, 8.93489933013916, 2.40910005569458]",,,
"[-1.788047194480896, 16.877906799316406, 5.892101764678955]","[0.5760250091552734, 0.7064520120620728, 0.3889380097389221, 0.1335899978876114, -2.429929733276367, -1.1624644994735718, 1.485457420349121]","[31.125, -32.625, 7.5]","[0.586378276348114, -0.3292912542819977, 0.3934844732284546]","[-14.3125, -54.625, 28.3125]","[3.8980000019073486, -2.410599946975708, 3.4564998149871826]","[0.4006577730178833, -0.5298994183540344, -0.1713389754295349]","[-2.9487998485565186, 9.000399589538574, 2.543099880218506]",,,
"[0.7251175045967102, 12.849278450012209, 9.49876594543457]","[0.5932049751281738, 0.6801459789276123, 0.4155560135841369, 0.1132270023226738, -2.2444071769714355, -1.1221526861190796, 1.6843757629394531]","[30.9375, -33.9375, 3.875]","[0.776427149772644, 0.6040759086608887, 0.2130174338817596]","[-14.5, -55.9375, 24.6875]","[5.656799793243408, -7.713199615478516, 5.567800045013428]","[0.8688074350357056, 0.6237806677818298, 0.0191462617367506]","[-2.65339994430542, 8.836099624633789, 3.324399948120117]",,,
"[-0.4031165242195129, 11.900513648986816, 5.6465044021606445]","[0.6119369864463806, 0.6711670160293579, 0.4114699959754944, 0.0758880004286766, -2.108489990234375, -1.0840834379196167, 1.7590893507003784]","[30.25, -34.0, 0.8125]","[-0.1021541208028793, 0.7643494606018066, -0.5684362649917603]","[-15.1875, -56.0, 21.625]","[2.624500036239624, 1.6922999620437622, 0.5375999808311462]","[-0.0594982728362083, 0.7734252214431763, -0.4490557610988617]","[-2.34909987449646, 8.667799949645996, 3.939499855041504]",,,
"[0.9604963064193726, 8.965605735778809, 7.192813873291016]","[0.6433789730072021, 0.6603099703788757, 0.3803060054779053, 0.0736270025372505, -1.961008906364441, -1.1329354047775269, 1.850705623626709]","[27.6875, -36.1875, 0.6875]","[-0.9544158577919006, 0.8220674991607666, -0.5851914286613464]","[-17.75, -58.1875, 21.5]","[4.008299827575684, -1.3935999870300293, 1.7846999168395996]","[-0.8833634853363037, 0.7283782362937927, -0.3692069351673126]","[-1.5815999507904053, 8.881500244140625, 3.845399856567383]",,,
"[1.9357600212097168, 2.648389339447021, 7.111143112182617]","[0.6642000079154968, 0.6582210063934326, 0.3423959910869598, 0.0913619995117187, -1.8639249801635744, -1.2137829065322876, 1.911550998687744]","[26.375, -37.625, 1.625]","[-0.3612831532955169, -0.1574810594320297, -0.0169995073229074]","[-19.0625, -59.625, 22.4375]","[4.0970001220703125, -0.8203999996185303, 1.549899935722351]","[-0.5036321878433228, 0.0896575599908828, -0.3972543776035309]","[-0.9901999831199646, 9.188199996948242, 3.280900001525879]",,,
"[-3.700066328048706, 12.121134757995604, 3.729198932647705]","[0.6756129860877991, 0.6566460132598877, 0.3231889903545379, 0.0889410004019737, -1.7900081872940063, -1.2368818521499634, 1.9515950679779053]","[25.75, -37.8125, 0.3125]","[0.596291720867157, 0.659472644329071, -0.0888896211981773]","[-19.6875, -59.8125, 21.125]","[1.6927999258041382, -1.726099967956543, 1.444700002670288]","[0.5406506657600403, 0.3837455511093139, 0.0807214751839637]","[-0.6988999843597412, 9.264999389648438, 3.1370999813079834]",,,"[45.0, 1.5, 22.484580993652344, 11.932000160217283, 11.81767463684082, 141.8014678955078, 2300.2810547454283, 6.6641277, 44.5946575]"
"[-3.45200777053833, 12.03689670562744, 3.6603033542633057]","[0.6981359720230103, 0.6330549716949463, 0.3262819945812225, 0.0733840018510818, -1.6105835437774658, -1.199353575706482, 2.114335775375366]","[23.375, -39.5625, -1.8125]","[0.3338640332221985, 1.012099027633667, -1.387955665588379]","[-22.0625, -61.5625, 19.0]","[-1.8734999895095823, -4.188399791717529, 3.6845998764038086]","[0.1937839090824127, 0.8255756497383118, -1.0939375162124634]","[-0.1415999978780746, 9.137899398803713, 3.55649995803833]",,,
"[0.4401117265224457, -1.5458019971847534, 2.996774435043335]","[0.7398070096969604, 0.5857610106468201, 0.3233219981193542, 0.0709199979901313, -1.311898708343506, -1.1495015621185305, 2.4078471660614014]","[17.5625, -42.5, -4.5625]","[0.6208136081695557, 0.8574976921081543, -1.0189580917358398]","[-27.875, -64.5, 16.25]","[0.703000009059906, 5.626899719238281, -2.728399991989136]","[0.5789605975151062, 0.3205471634864807, -1.053410887718201]","[1.026600003242493, 8.94909954071045, 3.876599788665772]",,,
"[2.252321243286133, 0.5276724696159363, 2.128023862838745]","[0.784555971622467, 0.5196920037269592, 0.3312790095806122, 0.0681539997458458, -1.079288125038147, -1.0364680290222168, 2.656672477722168]","[11.4375, -44.625, -7.625]","[1.014263153076172, -0.7692015171051025, -1.229706645011902]","[-34.0, -66.625, 13.1875]","[-6.515899658203125, 4.7378997802734375, -5.188699722290039]","[0.7227408289909363, -0.8592430353164673, -1.657451868057251]","[2.3569998741149902, 8.43970012664795, 4.402899742126465]",,,
"[-0.2452045530080795, 0.528898298740387, 5.481649398803711]","[0.8179749846458435, 0.4493260085582733, 0.3542990088462829, 0.0590989999473094, -0.9905219674110411, -0.8898102641105652, 2.781705856323242]","[5.875, -44.25, -12.0625]","[0.9264382123947144, 0.0553618445992469, -0.8897863030433655]","[-39.5625, -66.25, 8.75]","[-3.888700008392334, 9.686200141906738, -8.844499588012695]","[1.1366980075836182, -0.1657190173864364, -1.1531914472579956]","[3.38479995727539, 7.61929988861084, 5.1631999015808105]",left,STOP,
"[-3.2636032104492188, 25.341014862060547, -5.54417610168457]","[0.8412010073661804, 0.3866960108280182, 0.37567999958992, 0.0413610003888607, -0.9616133570671082, -0.7500224113464355, 2.8348066806793213]","[1.75, -43.125, -16.375]","[1.1733673810958862, -0.4339063167572021, -0.7573681473731995]","[-43.6875, -65.125, 4.4375]","[-5.763799667358398, -5.650700092315674, 2.6885998249053955]","[1.8148456811904907, 0.2130348831415176, -0.4703836739063263]","[4.105599880218506, 6.684700012207031, 5.884500026702881]",right,START,
"[-0.713021993637085, -11.799209594726562, 9.20052433013916]","[0.861024022102356, 0.3461819887161255, 0.3719989955425262, 0.020270999521017, -0.9135220646858216, -0.6576056480407715, 2.856424570083618]","[-2.1875, -43.5, -17.0625]","[-1.2173322439193726, 0.1168847009539604, -1.2268617153167725]","[-47.625, -65.5, 3.75]","[-7.3339996337890625, 22.34239959716797, -4.450399875640869]","[-0.8472002744674683, -0.0517315603792667, -1.5767478942871094]","[4.741899967193604, 5.99399995803833, 6.144499778747559]",,,
