time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-17 13:07:23.600,"[0.6370396018028259, 5.958047389984131, -5.2695136070251465]","[-0.2888689935207367, -0.1263139992952346, 0.8271939754486084, 0.4651319980621338, 2.408740520477295, -1.0018798112869265, 3.0304479598999023]","[-1.3125, -44.5, 5.0]","[0.547143280506134, -0.0400902144610881, 0.6836978197097778]","[-184.375, -92.25, -45.5625]","[4.554299831390381, -2.309299945831299, -1.7317999601364136]","[1.0318909883499146, -0.5982290506362915, 0.3463431298732757]","[-3.9266998767852783, 8.261899948120117, -3.534199953079224]",right,START,carving_short,expert,blue
2024-03-17 13:07:23.700,"[1.1756680011749268, 10.317151069641112, -5.229808330535889]","[-0.3001480102539062, -0.135789006948471, 0.8384559750556946, 0.4341230094432831, 2.4254658222198486, -0.9432993531227112, 3.085533380508423]","[0.625, -44.9375, 2.75]","[-0.5200732350349426, -0.7058286070823669, 0.6919357776641846]","[-182.5, -92.4375, -48.375]","[5.510299682617188, 2.368199825286865, -1.4471999406814575]","[0.1652826815843582, -0.4344822764396667, 0.62774258852005]","[-4.343299865722656, 7.938399791717529, -3.7796998023986816]",,,carving_short,expert,blue
2024-03-17 13:07:23.800,"[-1.1298047304153442, 14.331576347351074, -10.956863403320312]","[-0.3004249930381775, -0.1483619958162307, 0.8412590026855469, 0.4242819845676422, 2.451113700866699, -0.9323209524154664, 3.132685899734497]","[3.5, -44.75, 3.375]","[0.4246385991573334, -0.4254240095615387, 0.0346796922385692]","[-179.6875, -92.125, -47.5625]","[3.387699842453003, 6.442899703979492, -7.231599807739258]","[0.1836435496807098, -0.1257858723402023, 0.3329389989376068]","[-4.50570011138916, 7.874799728393555, -3.722299814224243]",,,carving_short,expert,blue
2024-03-17 13:07:23.900,"[-0.3803333044052124, 4.112941265106201, -6.091184139251709]","[-0.3181959986686706, -0.1626520007848739, 0.8355349898338318, 0.4173440039157867, 2.419043779373169, -0.9288326501846312, -3.131223678588867]","[4.75, -45.0625, 2.4375]","[0.0955742299556732, -0.3581415712833404, 0.3037919998168945]","[-178.375, -92.625, -48.5625]","[4.031899929046631, -3.7551000118255615, -2.2067999839782715]","[0.7616093158721924, -0.5024628639221191, 0.0895179361104965]","[-4.404599666595459, 7.854300022125244, -3.882999897003174]",,,carving_short,expert,blue
2024-03-17 13:07:24.000,"[-3.5612120628356934, 11.932452201843262, -3.0673649311065674]","[-0.3081420063972473, -0.189870998263359, 0.8323280215263367, 0.4197919964790344, 2.483833312988281, -0.9541521668434144, -3.042243242263794]","[4.8125, -45.375, 2.25]","[0.1051386371254921, -0.1688605993986129, 0.3019244968891144]","[-177.5, -93.0625, -50.5625]","[0.9378999471664428, 3.9144999980926514, 0.4072999954223633]","[0.7626041769981384, -0.0399854928255081, -0.1293463557958603]","[-4.4878997802734375, 8.000499725341797, -3.4670000076293945]",,,carving_short,expert,blue
2024-03-17 13:07:24.100,"[-1.3362996578216553, 6.562775135040283, -2.707420587539673]","[-0.3310880064964294, -0.1898189932107925, 0.8340650200843811, 0.3983500003814697, 2.428164005279541, -0.9111241698265076, -3.055224657058716]","[5.4375, -45.3125, 1.0]","[0.050230573862791, -0.2687458097934723, -0.1652826815843582]","[-176.125, -92.875, -49.25]","[3.220399856567383, -1.198300004005432, 1.236299991607666]","[-0.7419394850730896, 0.3950552642345428, 0.0109606673941016]","[-4.544300079345703, 7.749099731445312, -3.9330999851226807]",,,carving_short,expert,blue
2024-03-17 13:07:24.200,"[-2.3469784259796143, 0.4182862043380737, -9.006316184997559]","[-0.3368139863014221, -0.2127570062875747, 0.81979900598526, 0.4113610088825226, 2.426866292953491, -0.9575530290603638, -3.0166287422180176]","[6.75, -45.1875, 1.6875]","[0.3079284429550171, -0.4281467199325561, 0.0054279738105833]","[-177.5625, -92.6875, -51.1875]","[1.9188998937606807, -7.617599964141846, -5.293600082397461]","[0.2552194893360138, -0.5595350861549377, -0.4218111634254455]","[-4.262700080871582, 8.019700050354004, -3.6989998817443848]",,,carving_short,expert,blue
2024-03-17 13:07:24.300,"[-1.574331283569336, 6.381763458251953, -3.01806378364563]","[-0.3360509872436523, -0.243596002459526, 0.810621976852417, 0.4130620062351227, 2.4707162380218506, -0.9852234125137328, -2.927707433700561]","[5.4375, -45.125, 0.0]","[0.6582509279251099, -0.7000515460968018, 0.289742112159729]","[-176.375, -92.625, -53.0625]","[2.6761999130249023, -1.7984999418258667, 0.3586999773979187]","[0.361632227897644, 0.3482978940010071, 0.1470963507890701]","[-4.245199680328369, 8.172800064086914, -3.36929988861084]",,,carving_short,expert,blue
2024-03-17 13:07:24.400,"[-2.649280071258545, 8.384916305541992, -6.446416854858398]","[-0.3531399965286255, -0.2444539964199066, 0.8153550028800964, 0.3882369995117187, 2.4315638542175293, -0.9369490146636964, -2.929916381835937]","[6.875, -45.0625, -2.1875]","[-0.4957607686519623, -1.3674131631851196, 0.3620859980583191]","[-174.8125, -92.6875, -51.375]","[1.7663999795913696, 0.4730999767780304, -2.6569998264312744]","[0.1899965405464172, 0.4565432369709015, 0.4236263036727905]","[-4.404399871826172, 7.901700019836426, -3.7858998775482178]",,,carving_short,expert,blue
2024-03-17 13:07:24.500,"[2.6965126991271973, 5.902434825897217, -5.060030460357666]","[-0.3716709911823272, -0.2629820108413696, 0.7971609830856323, 0.3965269923210144, 2.388009548187256, -0.9749560952186584, -2.9178433418273926]","[8.125, -45.0, -0.1875]","[0.7054795622825623, -0.6006026864051819, -0.3630110323429107]","[-176.0625, -92.5, -52.6875]","[6.700399875640869, -2.222899913787842, -1.284600019454956]","[-0.1742187589406967, -0.1257335245609283, 0.1703615933656692]","[-4.013400077819824, 8.116700172424316, -3.765799999237061]",,,carving_short,expert,blue
2024-03-17 13:07:24.600,"[-0.1367472261190414, 10.937546730041504, -4.7661662101745605]","[-0.3785319924354553, -0.2590380012989044, 0.8019089698791504, 0.3828220069408417, 2.370126962661743, -0.9442972540855408, -2.9256463050842285]","[6.75, -44.8125, -1.625]","[-0.2833192944526672, -0.2411696016788482, 0.1964018940925598]","[-174.9375, -92.1875, -51.75]","[3.9943997859954834, 2.9900999069213867, -0.7475999593734741]","[0.1717054843902588, -0.110566608607769, 0.0478045679628849]","[-4.1219000816345215, 7.944199562072754, -4.008599758148193]",,,carving_short,expert,blue
2024-03-17 13:07:24.700,"[-1.916261553764344, 12.667625427246094, -9.079405784606934]","[-0.3892369866371155, -0.2709929943084717, 0.7951059937477112, 0.3779709935188293, 2.35273814201355, -0.9475963711738586, -2.9051809310913086]","[8.0625, -44.625, -0.5]","[0.3464478552341461, -0.0923802778124809, 0.085154615342617]","[-175.125, -92.375, -52.375]","[2.120800018310547, 4.697199821472168, -5.009999752044678]","[-0.2000321894884109, -0.3622954487800598, 0.1589645892381668]","[-4.033100128173828, 7.963099956512451, -4.060999870300293]",,,carving_short,expert,blue
2024-03-17 13:07:24.800,"[-0.285226047039032, 7.1449971199035645, -4.608982086181641]","[-0.4098429977893829, -0.2818360030651092, 0.7831829786300659, 0.3731209933757782, 2.299929141998291, -0.9535253047943116, -2.905090570449829]","[7.875, -44.6875, -1.25]","[-0.1142143458127975, -0.49994957447052, 0.0266511775553226]","[-175.1875, -92.5625, -52.4375]","[3.506999969482422, -0.857699990272522, -0.3662000000476837]","[0.278868705034256, -0.2860420048236847, -0.1439373046159744]","[-3.781599998474121, 7.996899604797363, -4.232999801635742]",,,carving_short,expert,blue
2024-03-17 13:07:24.900,"[1.4207959175109863, 6.416786193847656, -0.8820430040359497]","[-0.4289169907569885, -0.2879849970340729, 0.7685539722442627, 0.3773829936981201, 2.2367517948150635, -0.9739669561386108, -2.928364515304565]","[7.625, -44.9375, -1.375]","[-0.0650309696793556, -0.5998522043228149, -0.3389953076839447]","[-176.8125, -92.5, -52.0]","[4.81719970703125, -1.6976999044418335, 3.4609999656677246]","[-0.0809483677148819, -0.4108155965805053, -0.3525041341781616]","[-3.4049999713897705, 8.111299514770508, -4.333799839019775]",,,carving_short,expert,blue
2024-03-17 13:07:25.000,"[0.6073419451713562, 11.990612030029297, -5.9419684410095215]","[-0.4466319978237152, -0.2879639863967895, 0.7501230239868164, 0.3935860097408294, 2.151942014694214, -1.0116413831710815, -2.989363431930542]","[6.1875, -44.875, -0.625]","[0.4182681441307068, -0.2645919024944305, -0.7807905077934265]","[-179.25, -92.625, -52.5]","[3.4539999961853027, 3.670499801635742, -1.58489990234375]","[0.1783028393983841, -0.6523691415786743, -0.8414057493209839]","[-2.855799913406372, 8.31309986114502, -4.3480000495910645]",,,carving_short,expert,blue
2024-03-17 13:07:25.100,"[0.6356988549232483, 9.82559299468994, -1.3957717418670654]","[-0.4783979952335357, -0.2866480052471161, 0.7144280076026917, 0.4225629866123199, 1.9680380821228027, -1.0717624425888062, -3.130575895309448]","[3.375, -45.0, -1.5]","[0.2279225438833236, -0.577215313911438, -1.0869735479354858]","[-183.375, -92.5625, -53.3125]","[2.443300008773804, 1.1958999633789062, 2.944999933242798]","[0.1351931989192962, -0.7635466456413269, -1.146681308746338]","[-1.8155999183654783, 8.610699653625488, -4.327699661254883]",right,STOP,carving_short,expert,blue
2024-03-17 13:07:25.200,"[-0.6966744065284729, 6.05017614364624, -4.637654781341553]","[-0.5102980136871338, -0.2700409889221191, 0.6710050106048584, 0.4652139842510223, 1.6772712469100952, -1.1195964813232422, 2.8808789253234863]","[-0.875, -45.0, -2.375]","[0.2985036671161651, -0.4236961305141449, -1.4234381914138794]","[-188.75, -92.6875, -54.25]","[-0.2319999933242797, -2.784299850463867, -0.376800000667572]","[0.2502802014350891, 0.0168075207620859, -1.654659390449524]","[-0.4544000029563904, 8.825200080871582, -4.251800060272217]",left,START,carving_short,expert,blue
