time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 14:02:56.200,"[1.6367720365524292, 7.420454502105713, 4.205482482910156]","[-0.3676469922065735, -0.682669997215271, 0.3396599888801574, 0.5323780179023743, -1.899645209312439, -1.0424028635025024, -0.1439014822244644]","[8.9375, -19.625, -38.4375]","[0.2816786766052246, 0.3110525906085968, 0.4581489264965057]","[-38.5625, -31.8125, -0.125]","[1.3416999578475952, -1.231899976730347, -0.7268999814987183]","[0.1829454153776168, 0.3316998183727264, 0.2318844497203827]","[-1.5965999364852903, 8.469200134277344, 4.678999900817871]",,
2024-03-20 14:02:56.300,"[-1.5541912317276, 6.694417953491211, 4.087984561920166]","[-0.3469710052013397, -0.6847720146179199, 0.3468259871006012, 0.5388960242271423, -1.9151957035064693, -1.0140868425369265, -0.1923881620168686]","[8.9375, -18.9375, -39.75]","[0.1020319461822509, 0.0990299805998802, 0.2531076371669769]","[-38.5625, -31.125, -1.4375]","[0.8079999685287476, 0.5295000076293945, -1.4548999071121216]","[0.2643126547336578, 0.1643576622009277, 0.0763756111264228]","[-1.7494999170303345, 8.325799942016602, 4.877399921417236]",,
2024-03-20 14:02:56.400,"[0.0121146598830819, 11.858087539672852, 3.363642692565918]","[-0.3360840082168579, -0.6854649782180786, 0.3510270118713379, 0.5421839952468872, -1.922479271888733, -0.9998502731323242, -0.2178344428539276]","[9.125, -19.0, -39.25]","[-0.1960877478122711, 0.2118306159973144, -0.1784948259592056]","[-38.375, -31.1875, -0.9375]","[2.2276999950408936, 3.1243999004364014, -0.1798999905586242]","[-0.350793719291687, 0.0616973899304866, -0.0959232971072197]","[-1.825599908828736, 8.251199722290039, 4.975299835205078]",,
2024-03-20 14:02:56.500,"[0.2404257357120514, 13.361005783081056, 2.7995400428771973]","[-0.3419550061225891, -0.6765639781951904, 0.359703004360199, 0.5440030097961426, -1.912397146224976, -1.0237562656402588, -0.2222876250743866]","[8.625, -19.125, -39.1875]","[-0.1560324281454086, 0.4673293530941009, 0.0237539317458868]","[-38.875, -31.3125, -0.875]","[2.6993000507354736, 2.558799982070923, -2.060400009155273]","[-0.201515719294548, 0.2864958047866821, 0.282882958650589]","[-1.708799958229065, 8.375499725341797, 4.80620002746582]",,
2024-03-20 14:02:56.600,"[-0.6312647461891174, 10.031695365905762, 4.400035381317139]","[-0.3387689888477325, -0.6599889993667603, 0.3844450116157532, 0.5494089722633362, -1.915329575538636, -1.0543971061706543, -0.2773939669132232]","[7.25, -21.8125, -37.8125]","[-0.8081921339035034, 0.0844739377498626, 0.081541784107685]","[-40.25, -34.0, 0.5]","[1.5863999128341677, 2.15149998664856, -2.2528998851776123]","[-0.7572110891342163, -0.0541226603090763, 0.0836710855364799]","[-1.6353999376296997, 8.527899742126465, 4.557399749755859]",,
2024-03-20 14:02:56.700,"[0.7039431929588318, 8.499013900756836, 3.697672128677368]","[-0.3515949845314026, -0.6350259780883789, 0.4118300080299377, 0.5509240031242371, -1.9122124910354608, -1.1204994916915894, -0.316933125257492]","[4.75, -23.8125, -38.0]","[-0.0312763005495071, 0.5792398452758789, 0.3029716908931732]","[-42.75, -36.0, 0.3125]","[2.8215999603271484, -1.7878999710083008, 0.9893999695777892]","[-0.191741868853569, 0.4773126542568207, 0.1846383810043335]","[-1.4290000200271606, 8.829099655151367, 4.021699905395508]",,
2024-03-20 14:02:56.800,"[-2.711653709411621, 2.68033766746521, 5.941508293151856]","[-0.3377380073070526, -0.6217520236968994, 0.4260660111904144, 0.5637589693069458, -1.8892093896865845, -1.1206321716308594, -0.349535584449768]","[3.125, -23.5, -38.1875]","[-0.328261524438858, 0.2586577832698822, -0.2491981089115142]","[-44.375, -35.6875, 0.125]","[0.0903000012040138, -2.514099836349488, -0.6495000123977661]","[0.0123394774273037, 0.4784471094608307, -0.3023433983325958]","[-1.3357999324798584, 8.829599380493164, 4.0524001121521]",,
2024-03-20 14:02:56.900,"[-0.2402054816484451, 12.055485725402832, 0.0361620225012302]","[-0.329921007156372, -0.6121090054512024, 0.4403510093688965, 0.5679469704627991, -1.897571086883545, -1.129239201545715, -0.394707053899765]","[2.75, -24.5, -37.6875]","[0.2525491416454315, 0.3555061221122741, 0.1182984188199043]","[-44.75, -36.6875, 0.625]","[-0.3806999921798706, 2.019199848175049, -2.1547999382019043]","[-0.2533519864082336, 0.5022534132003784, 0.023771384730935]","[-1.3451999425888062, 8.866000175476074, 3.9689998626708975]",,
2024-03-20 14:02:57.000,"[0.3599346876144409, 7.624929428100586, 4.745355606079102]","[-0.3044010102748871, -0.6044570207595825, 0.4565149843692779, 0.5775499939918518, -1.908424735069275, -1.1091381311416626, -0.4663376808166504]","[1.75, -23.375, -38.625]","[-0.6014404296875, -0.4857076704502105, -0.4108504951000213]","[-45.75, -35.5625, -0.3125]","[1.5449999570846558, 5.155099868774414, -3.5920000076293945]","[0.367426723241806, -0.1513375043869018, -0.6074792742729187]","[-1.4469000101089478, 8.779999732971191, 4.121500015258789]",,
2024-03-20 14:02:57.100,"[0.5413385629653931, 9.158663749694824, 5.503129959106445]","[-0.3426890075206756, -0.5847569704055786, 0.4430510103702545, 0.5867940187454224, -1.7680624723434448, -1.169970154762268, -0.3018080592155456]","[-1.1875, -25.8125, -36.4375]","[-0.3435506224632263, 0.0022165682166814, -0.9501572251319884]","[-48.6875, -38.0, 1.875]","[0.8282999992370605, 2.8757998943328857, -0.996399998664856]","[-0.4791277945041656, -0.343864768743515, -1.199931263923645]","[-0.7498999834060669, 9.02929973602295, 3.751999855041504]",left,STOP
