time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-19 12:48:38.800,"[1.754873275756836, 9.978822708129885, 1.3373723030090332]","[-0.202001005411148, -0.4950889945030212, 0.3528060019016266, 0.7678599953651428, -1.171297907829285, -0.8357925415039062, -0.0583754852414131]","[-18.9375, -17.4375, -38.0]","[-0.3871489465236664, -0.013421582058072, -0.0727278664708137]","[-63.8125, -37.0, -13.5625]","[-3.144199848175049, 1.146799921989441, -1.9265999794006348]","[-0.2084970325231552, 0.1436580568552017, 0.0247313156723976]","[2.557800054550171, 7.274799823760986, 6.058300018310547]",right,START,snowplow,advanced,blue
2024-03-19 12:48:38.900,"[3.911752223968506, 1.979870676994324, 8.211499214172363]","[-0.2197369933128357, -0.4882740080356598, 0.346556007862091, 0.7701960206031799, -1.1299967765808103, -0.8456702828407288, 7.92207210906e-05]","[-19.75, -16.875, -37.3125]","[0.0186052098870277, -0.6283883452415466, -1.1540117263793943]","[-64.625, -36.4375, -12.875]","[1.8306999206542969, 2.8511998653411865, 1.5001999139785769]","[-0.023387411609292, -0.381930410861969, -1.282433032989502]","[2.7749998569488525, 7.339399814605713, 5.882299900054932]",,,snowplow,advanced,blue
2024-03-19 12:48:39.000,"[3.108028173446656, 11.005589485168455, 8.175662994384766]","[-0.2614449858665466, -0.4986819922924042, 0.2973909974098205, 0.7710509896278381, -1.0826919078826904, -0.8028849959373474, 0.1540240496397018]","[-19.0, -15.0625, -38.9375]","[-0.4689176082611084, -0.4375191330909729, 0.0019896754529327]","[-63.875, -34.625, -14.5]","[-2.3294999599456787, 2.7174999713897705, -2.888200044631958]","[0.0224449336528778, -0.2059139460325241, -0.0593761019408702]","[3.194399833679199, 7.054499626159668, 6.016499996185303]",,,snowplow,advanced,blue
2024-03-19 12:48:39.100,"[0.7413214445114136, 8.977020263671875, 2.3095521926879883]","[-0.2908479869365692, -0.5064119696617126, 0.2706919908523559, 0.7652959823608398, -1.066911697387695, -0.787932813167572, 0.2448955923318863]","[-17.875, -15.9375, -38.75]","[0.3381749987602234, -0.4183728694915771, -0.4400498569011688]","[-62.75, -35.5, -14.3125]","[-0.8025999665260315, 3.0311999320983887, 1.5877000093460083]","[-0.3722089231014251, -0.7155849933624268, -0.6935065984725952]","[3.3394999504089355, 6.951900005340576, 6.056999683380127]",,,snowplow,advanced,blue
2024-03-19 12:48:39.200,"[0.4686697721481323, 8.80646800994873, 4.242984771728516]","[-0.3326579928398132, -0.5175660252571106, 0.2435780018568039, 0.7497550249099731, -1.058167815208435, -0.7889198064804077, 0.3576840758323669]","[-16.9375, -16.0625, -38.875]","[-0.0317649915814399, -0.6956009864807129, -0.6387381553649902]","[-61.8125, -35.625, -14.4375]","[-0.8308999538421631, -3.371299982070923, -0.5115999579429626]","[-0.4206418097019195, -0.6685309410095215, -0.6175323724746704]","[3.388999938964844, 6.958699703216553, 6.021599769592285]",,,snowplow,advanced,blue
2024-03-19 12:48:39.300,"[-1.7212586402893066, 7.339684009552002, 2.433715581893921]","[-0.350174993276596, -0.530555009841919, 0.2166749984025955, 0.7409049868583679, -1.075013279914856, -0.765150249004364, 0.4122212529182434]","[-15.1875, -16.125, -39.125]","[0.2529854774475097, -0.5340881943702698, -0.4829151630401611]","[-60.0625, -35.6875, -14.6875]","[2.4926998615264893, 1.1195999383926392, -1.3377000093460083]","[-0.0687834247946739, -0.5713509917259216, -0.4046196937561035]","[3.3648998737335205, 6.792500019073486, 6.22160005569458]",,,snowplow,advanced,blue
2024-03-19 12:48:39.400,"[1.7480067014694214, 5.426074981689453, 8.812128067016602]","[-0.3788590133190155, -0.545295000076294, 0.1869840025901794, 0.7239850163459778, -1.093127965927124, -0.7531319856643677, 0.4920342564582824]","[-13.4375, -14.9375, -40.25]","[-0.207711637020111, -0.7510675191879272, -0.6708521842956543]","[-58.3125, -34.5, -15.8125]","[1.8869999647140503, 2.263000011444092, -0.5518999695777893]","[0.1758593767881393, -0.5613502264022827, -0.2491457462310791]","[3.2888998985290527, 6.706999778747559, 6.353600025177002]",,,snowplow,advanced,blue
2024-03-19 12:48:39.500,"[1.8351173400878904, 9.545126914978027, 5.346568584442139]","[-0.4109910130500793, -0.5579400062561035, 0.1518969982862472, 0.7047799825668335, -1.1065880060195925, -0.737885057926178, 0.587027370929718]","[-10.875, -14.6875, -40.6875]","[0.6104637980461121, -0.449160486459732, -0.4531922042369842]","[-55.75, -34.25, -16.25]","[-5.424299716949463, -4.159800052642822, -0.9037999510765076]","[0.3919136822223663, -0.9510648250579834, -0.4945914149284363]","[3.248499870300293, 6.597099781036377, 6.48799991607666]",,,snowplow,advanced,blue
2024-03-19 12:48:39.600,"[4.53161096572876, 10.286304473876951, 3.456509113311768]","[-0.4454579949378967, -0.5738239884376526, 0.1073139980435371, 0.6788039803504944, -1.134782075881958, -0.7167254090309143, 0.6928843855857849]","[-8.4375, -15.9375, -41.4375]","[0.1459967941045761, -1.172372579574585, -0.8957204222679138]","[-53.3125, -35.5, -17.0]","[-1.569499969482422, 3.380999803543091, -1.2453999519348145]","[-0.3839375376701355, -1.3119988441467283, -1.3160306215286257]","[3.122599840164185, 6.4421000480651855, 6.701999664306641]",,,snowplow,advanced,blue
2024-03-19 12:48:39.700,"[-2.114884614944458, 10.678207397460938, 5.417360305786133]","[-0.4885819852352142, -0.5855900049209595, 0.078414000570774, 0.6420450210571289, -1.150439977645874, -0.7381331324577332, 0.8095548748970032]","[-5.6875, -15.4375, -41.875]","[-0.655685305595398, -1.1208853721618652, -0.670922040939331]","[-50.5625, -35.0, -17.4375]","[-0.0178999993950128, 1.1927000284194946, 1.5942000150680542]","[-0.7219903469085693, -0.9456892013549804, -0.7013954520225525]","[2.9602999687194824, 6.598899841308594, 6.6225996017456055]",,,snowplow,advanced,blue
