time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-21 16:56:51.000,"[0.6593823432922363, 11.712406158447266, 2.1001172065734863]","[0.6239550113677979, 0.5092390179634094, 0.5306100249290466, 0.2642099857330322, -1.775838017463684, -1.1576679944992063, 2.589075088500977]","[10.25, -45.5625, 5.0]","[0.3152937293052673, -0.2475575059652328, -0.1270250678062439]","[-9.1875, -55.9375, 29.0625]","[0.9584999680519104, 1.3938000202178955, -4.335099697113037]","[-0.3983539342880249, -0.4882733225822449, -0.3810228407382965]","[-0.8015999794006348, 8.981599807739258, 3.854599952697754]",left,START,skidded_long,intermediate,blue,"[45.0, 0.2694199085235595, 9.800000190734863, 16.45599937438965, 0.2304994463920593, 140.10708618164062, 2185.429334618151, 6.6259278, 44.6093552]"
2024-03-21 16:56:51.100,"[-2.0127766132354736, 9.000014305114746, 6.364774227142334]","[0.622996985912323, 0.4990079998970032, 0.5403770208358765, 0.2661890089511871, -1.7693792581558228, -1.1419494152069092, 2.618752241134644]","[9.0, -45.6875, 4.6875]","[0.2123891115188598, -0.2065946161746978, 0.0551000460982322]","[-10.4375, -56.0625, 28.75]","[-0.5977999567985535, 0.8977999687194824, 0.9939000010490416]","[0.3682295680046081, -0.1315978318452835, 0.001239183708094]","[-0.8043999671936035, 8.918600082397461, 3.997599840164185]",,,skidded_long,intermediate,blue,"[45.0, 0.3030892610549927, 22.123401641845703, 15.482000350952148, 0.2844534516334533, 140.27809143066406, 2185.3147588102147, 6.6259283, 44.6093546]"
2024-03-21 16:56:51.200,"[-0.6905643939971924, 10.891769409179688, 3.807431936264038]","[0.6199349761009216, 0.4940109848976135, 0.5508779883384705, 0.2610850036144256, -1.790740966796875, -1.120139718055725, 2.6105740070343018]","[9.125, -45.5, 3.75]","[-0.110025554895401, -0.0596379004418849, 0.1556833684444427]","[-10.3125, -55.875, 27.8125]","[-1.392199993133545, 1.567399978637695, 0.430899977684021]","[0.1195725053548812, -0.1741314977407455, 0.1987231820821762]","[-0.9318999648094176, 8.827499389648438, 4.168399810791016]",,,skidded_long,intermediate,blue,
2024-03-21 16:56:51.300,"[-0.8063001036643982, 9.920958518981934, 2.493848323822021]","[0.6113479733467102, 0.501878023147583, 0.5511789917945862, 0.2656520009040832, -1.837699055671692, -1.1348901987075806, 2.5699245929718018]","[10.0, -45.9375, 4.3125]","[-0.2376614809036255, -0.1447925120592117, 0.1462062299251556]","[-9.4375, -56.3125, 28.375]","[0.6604999899864197, 0.779699981212616, -1.3658000230789185]","[-0.3417703807353973, -0.143832579255104, 0.0619766414165496]","[-1.0920000076293943, 8.889599800109863, 3.99399995803833]",,,skidded_long,intermediate,blue,
2024-03-21 16:56:51.400,"[-0.5276341438293457, 7.185142993927002, 3.465453624725342]","[0.6093260049819946, 0.5091570019721985, 0.5437999963760376, 0.271587997674942, -1.848120212554932, -1.1576553583145142, 2.553329467773437]","[10.25, -45.25, 5.5625]","[0.4695459306240082, -0.225130021572113, 0.3621907234191894]","[-9.1875, -55.625, 29.625]","[1.7152999639511108, 3.394399881362915, -0.8544999957084656]","[-0.2445729821920395, 0.6211103200912476, -0.4786565601825714]","[-1.077899932861328, 8.981499671936035, 3.7867000102996826]",,,skidded_long,intermediate,blue,
2024-03-21 16:56:51.500,"[-0.7167952656745911, 9.83470058441162, 4.507554054260254]","[0.6061660051345825, 0.5162609815597534, 0.5476899743080139, 0.2570410072803497, -1.8928152322769165, -1.1371443271636963, 2.492797374725342]","[11.625, -45.25, 5.125]","[0.1258033365011215, 0.1669232845306396, 0.1936966329813003]","[-7.8125, -55.625, 29.1875]","[0.911799967288971, 0.4074999988079071, 0.1314999908208847]","[-0.0444709882140159, 0.1590344011783599, 0.1468345522880554]","[-1.3040999174118042, 8.898900032043457, 3.908699989318848]",,,skidded_long,intermediate,blue,
2024-03-21 16:56:51.600,"[-0.7259219288825989, 8.327234268188477, 3.201162576675415]","[0.6067829728126526, 0.5215820074081421, 0.5469009876251221, 0.246302992105484, -1.907315373420716, -1.12526273727417, 2.459704160690308]","[12.5625, -45.1875, 4.8125]","[-0.0793950259685516, 0.0465304777026176, 0.1753881424665451]","[-6.875, -55.5625, 28.875]","[0.522599995136261, 1.0062999725341797, -0.0760999992489814]","[-0.1606750041246414, 0.0877027958631515, 0.1903630644083023]","[-1.3953999280929563, 8.849299430847168, 3.988999843597412]",,,skidded_long,intermediate,blue,
2024-03-21 16:56:51.700,"[0.3362608253955841, 9.780016899108888, 2.632597208023072]","[0.6037889719009399, 0.5306410193443298, 0.5430150032043457, 0.2428819984197616, -1.937589764595032, -1.1303642988204956, 2.4157068729400635]","[13.0, -44.75, 5.5]","[-0.0975639075040817, 0.1214051023125648, 0.2223025858402252]","[-6.4375, -55.125, 29.5625]","[1.3227999210357666, 1.7006999254226685, -0.382099986076355]","[0.0603360310196876, 0.2728473246097564, 0.2466324716806411]","[-1.4993000030517578, 8.870699882507324, 3.9026999473571777]",,,skidded_long,intermediate,blue,
2024-03-21 16:56:51.800,"[0.457886278629303, 9.795110702514648, 2.560263395309448]","[0.6039620041847229, 0.5416380167007446, 0.5364400148391724, 0.2325679957866668, -1.959680438041687, -1.1285091638565063, 2.364269971847534]","[13.8125, -43.9375, 5.1875]","[-0.0124791041016578, 0.4505392909049988, 0.1684940904378891]","[-5.625, -54.3125, 29.25]","[1.1500999927520752, 0.1099999994039535, 0.0288999993354082]","[-0.062098816037178, 0.2706133127212524, 0.0684867203235626]","[-1.591399908065796, 8.86299991607666, 3.88379979133606]",,,skidded_long,intermediate,blue,
2024-03-21 16:56:51.900,"[0.1597602814435959, 9.029023170471191, 4.171302795410156]","[0.6110280156135559, 0.5498449802398682, 0.5252349972724915, 0.2200959920883178, -1.943670630455017, -1.1270408630371094, 2.33944058418274]","[14.9375, -44.0, 4.375]","[-0.1032885834574699, 0.4687954485416412, 0.0137008344754576]","[-4.5, -54.375, 28.4375]","[0.3863999843597412, 0.9497999548912048, -0.3023000061511993]","[0.0024085543118417, 0.43650683760643, -0.0109781213104724]","[-1.5336999893188477, 8.856800079345703, 3.9208998680114746]",,,skidded_long,intermediate,blue,
