time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-20 15:04:52.600,"[12.92001247406006, 12.592791557312012, 1.5541337728500366]","[-0.2939359843730926, -0.7354850172996521, 0.5060030221939087, 0.3415009975433349, -2.809441566467285, -0.8914317488670349, -1.045401930809021]","[25.75, -19.5625, -30.5625]","[-0.3926292657852173, 0.6879389882087708, 0.2283065170049667]","[-21.6875, -33.3125, 6.625]","[6.648399829864502, 13.42549991607666, 2.7077999114990234]","[-0.2770361006259918, 1.2707043886184692, -0.1409702450037002]","[-5.824699878692627, 7.629299640655518, 2.0090999603271484]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.700,"[10.12171745300293, -3.815486192703247, 0.584079921245575]","[-0.2873980104923248, -0.7044939994812012, 0.5329899787902832, 0.3701489865779876, -2.7752108573913574, -0.9264819025993348, -1.110812067985535]","[23.75, -23.0, -31.0625]","[-0.7435277104377747, 2.189044237136841, 4.901862144470215]","[-23.6875, -36.75, 6.125]","[-2.5419998168945312, -18.31399917602539, -0.913699984550476]","[-1.0080323219299316, 1.1597014665603638, 0.4558625519275665]","[-5.499399662017822, 7.840499877929687, 2.110100030899048]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.800,"[2.548924446105957, 16.358728408813477, 0.6996240019798279]","[-0.2562679946422577, -0.6891840100288391, 0.5546370148658752, 0.389521986246109, -2.7212486267089844, -0.9032100439071656, -1.1490817070007324]","[22.5, -22.5625, -31.25]","[-0.2238908410072326, -0.3018198013305664, -1.046865940093994]","[-24.9375, -36.3125, 5.9375]","[24.79309844970703, 2.164099931716919, 5.995399951934815]","[-0.9761102795600892, -0.107669360935688, -0.7776663303375244]","[-5.542599678039551, 7.701299667358398, 2.4773998260498047]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.900,"[-7.237882137298584, 5.951698303222656, 3.3969316482543945]","[-0.2976930141448974, -0.6680470108985901, 0.5485270023345947, 0.4052270054817199, -2.731623888015747, -1.0015393495559692, -1.1483378410339355]","[19.6875, -25.0, -31.25]","[0.1439896672964096, 0.4502076804637909, 1.8328750133514404]","[-27.75, -38.75, 5.9375]","[-4.527299880981445, -5.396599769592285, 3.051399946212769]","[-0.5108404159545898, 0.295920580625534, -1.1557046175003052]","[-4.847799777984619, 8.260099411010742, 2.106799840927124]",left,STOP,carving_short,intermediate,blue,
2024-03-20 15:04:53.000,"[2.502955913543701, -7.0726637840271, 0.7787284255027771]","[-0.314653992652893, -0.6468819975852966, 0.5247300267219543, 0.4551840126514435, -2.5530781745910645, -1.0860333442687988, -1.0012121200561523]","[15.375, -26.375, -32.6875]","[-0.0390081070363521, -0.0595331788063049, -0.3442312777042389]","[-32.0625, -40.125, 4.5]","[7.703999996185303, -12.207200050354004, 4.8572998046875]","[-0.5894325971603394, -0.0749444365501403, -0.908216953277588]","[-3.800999879837036, 8.676799774169922, 2.536799907684326]",right,START,carving_short,intermediate,blue,"[45.0, 1.5, 33.90241241455078, 16.743000030517578, 13.054837226867676, 3.972052335739136, 2369.735871737823, 6.6395227, 44.6008455]"
2024-03-20 15:04:53.100,"[-11.66831398010254, 23.875333786010746, 2.8268628120422363]","[-0.3200579881668091, -0.650147020816803, 0.5036270022392273, 0.4703499972820282, -2.454723596572876, -1.097194790840149, -0.88780677318573]","[13.0, -23.125, -35.9375]","[1.305855393409729, 0.2239082902669906, -3.7278661727905273]","[-34.4375, -36.875, 1.25]","[5.802199840545654, 48.69059753417969, 11.805099487304688]","[1.4972132444381714, 0.6547079086303711, -3.23816180229187]","[-3.458400011062622, 8.72719955444336, 2.836199998855591]",,,carving_short,intermediate,blue,
2024-03-20 15:04:53.200,"[2.62662124633789, 0.597305417060852, 1.528113603591919]","[-0.3625099956989288, -0.6113349795341492, 0.4281199872493744, 0.5581820011138916, -1.8681880235672, -1.1710708141326904, -0.3101054430007934]","[6.4375, -24.1875, -37.75]","[1.9343658685684204, -1.564513087272644, -1.0626262426376345]","[-41.0, -37.9375, -0.5625]","[2.2853000164031982, -14.319299697875977, -3.913599967956543]","[1.5111409425735474, -1.6309752464294434, -1.036097288131714]","[-1.118299961090088, 9.033499717712402, 3.6487998962402335]",,,carving_short,intermediate,blue,
2024-03-20 15:04:53.300,"[8.56628131866455, 22.50860023498535, 6.347641468048096]","[-0.3567219972610473, -0.6373590230941772, 0.3633970022201538, 0.578328013420105, -1.7296496629714966, -1.0655293464660645, -0.1047783866524696]","[6.0, -16.4375, -40.375]","[0.6967005133628845, 0.4437848627567291, -2.1876654624938965]","[-41.4375, -30.1875, -3.1875]","[1.6236000061035156, 5.118599891662598, 2.2461998462677]","[1.8867533206939693, 0.2003288865089416, -1.1826525926589966]","[-0.7507999539375305, 8.581199645996094, 4.686999797821045]",,,carving_short,intermediate,blue,
2024-03-20 15:04:53.400,"[-2.604393482208252, 2.1783690452575684, 3.9378392696380615]","[-0.3854610025882721, -0.6198530197143555, 0.26596799492836, 0.6296520233154297, -1.4155317544937134, -0.9489304423332214, 0.2705443799495697]","[2.625, -16.25, -41.0]","[0.3582288324832916, -0.8387354016304016, -2.29564905166626]","[-44.8125, -30.0, -3.8125]","[-7.100800037384033, -3.312599897384644, -2.5157999992370605]","[-0.2576105892658233, -1.3459804058074951, -2.908573627471924]","[0.8833999633789062, 7.970699787139893, 5.644099712371826]",,,carving_short,intermediate,blue,
2024-03-20 15:04:53.500,"[-2.0101430416107178, 7.662125587463379, 3.8484206199646]","[-0.4475600123405456, -0.6105539798736572, 0.1771740019321441, 0.6289049983024597, -1.266060709953308, -0.8778548240661621, 0.5734977126121521]","[2.5, -14.625, -41.0]","[-1.0852108001708984, -0.2338915765285492, -2.5739243030548096]","[-44.9375, -28.375, -3.8125]","[0.4052999913692474, 7.63569974899292, 4.713299751281738]","[-0.3818780481815338, -0.2489712238311767, -2.0865237712860107]","[1.879499912261963, 7.544899940490723, 5.975800037384033]",,,carving_short,intermediate,blue,
