time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-20 14:20:12.500,"[23.400707244873047, 9.831635475158691, -0.9280883073806764]","[0.6797099709510803, 0.6252719759941101, 0.3690379858016968, 0.1041079983115196, -1.7159597873687744, -1.1859251260757446, 2.1212801933288574]","[25.0, -38.0, 0.5]","[0.4978551566600799, 1.4349921941757202, 2.867645740509033]","[-21.25, -51.375, 37.0625]","[1.4543999433517456, -11.050600051879885, 1.0836999416351318]","[0.7074692249298096, 0.0350985713303089, 6.19420862197876]","[-0.5324999690055847, 9.089200019836426, 3.642999887466431]",left,START,carving_short,intermediate,blue,
2024-03-20 14:20:12.600,"[23.292823791503903, 10.82290267944336, 9.60215663909912]","[0.6226710081100464, 0.6952210068702698, 0.3550300002098083, 0.0538639985024929, -2.1080336570739746, -1.1291158199310305, 1.6352473497390747]","[30.875, -33.1875, 3.125]","[-0.9090372920036316, 0.7078008055686951, 2.5658609867095947]","[-15.375, -46.5625, 39.6875]","[-1.2477999925613403, -8.5516996383667, 6.450399875640869]","[-0.7479434013366699, -3.529980659484864, 4.304488182067871]","[-2.14520001411438, 8.865499496459961, 3.601300001144409]",,,carving_short,intermediate,blue,
2024-03-20 14:20:12.700,"[-5.739562511444092, -9.73725700378418, -0.8579957485198975]","[0.5702400207519531, 0.7568860054016113, 0.315654993057251, 0.0480699986219406, -2.4473557472229004, -1.105214238166809, 1.229235291481018]","[33.375, -29.25, 2.375]","[-0.7138745784759521, 0.4055097997188568, -0.2546086311340332]","[-12.875, -42.625, 38.9375]","[-0.3134999871253967, -13.59749984741211, -2.385200023651123]","[-0.2978404462337494, 1.21183443069458, -0.7568620443344116]","[-3.38349986076355, 8.762800216674805, 2.816699981689453]",,,carving_short,intermediate,blue,
2024-03-20 14:20:12.800,"[48.06662368774414, 18.9144229888916, -18.374330520629883]","[0.5716140270233154, 0.7765949964523315, 0.2644749879837036, 0.0144699998199939, -2.461578369140625, -1.109506368637085, 1.0880531072616575]","[36.1875, -26.25, 1.8125]","[7.779072284698486, 1.086554765701294, 3.6573548316955566]","[-10.0625, -39.625, 38.375]","[3.825500011444092, -8.085299491882324, 2.2958998680114746]","[1.720510721206665, -1.5521212816238403, 5.315051078796387]","[-3.3939998149871826, 8.781599998474121, 2.7445998191833496]",,,carving_short,intermediate,blue,
2024-03-20 14:20:12.900,"[4.061830520629883, 5.610371112823486, 5.215662956237793]","[-0.5077570080757141, -0.7723109722137451, -0.3811750113964081, 0.0205600000917911, -2.427740812301636, -0.8766790628433228, 1.2630455493927002]","[39.9375, -21.125, 3.9375]","[-3.1750855445861816, 0.2504198253154754, 1.2209101915359497]","[-6.3125, -34.5, 40.5]","[15.842799186706545, -11.528800010681152, 14.96639919281006]","[-4.928041934967041, -0.5034576654434204, 1.220945119857788]","[-4.741699695587158, 7.537499904632568, 4.107399940490723]",,,carving_short,intermediate,blue,
2024-03-20 14:20:13.000,"[0.5499002933502197, 3.031317949295044, 1.4613919258117676]","[0.5201699733734131, 0.8221700191497803, 0.2307800054550171, 0.0140880001708865, -2.699635982513428, -1.0388840436935425, 0.8028221726417542]","[38.875, -21.5625, 1.875]","[2.277323007583618, -0.9706648588180542, 2.007582426071167]","[-7.375, -34.9375, 38.4375]","[15.361599922180176, -7.775099754333496, -1.9605000019073489]","[2.030359029769897, -0.0669682845473289, 1.4944207668304443]","[-4.495800018310547, 8.451700210571289, 2.12719988822937]",,,carving_short,intermediate,blue,"[45.0, 1.5, 20.1292667388916, 10.107000350952148, 9.38567352294922, 85.38789367675781, 2163.772777271457, 6.6695754, 44.5655016]"
2024-03-20 14:20:13.100,"[-2.490132570266724, 2.0252552032470703, 4.5436110496521]","[-0.4904850125312805, -0.8268679976463318, -0.2730050086975097, 0.0343520008027553, -2.5804691314697266, -0.9146944284439088, 0.919553816318512]","[40.5, -19.5625, -1.4375]","[-2.5995981693267822, 0.1907295733690261, -1.604446291923523]","[-5.75, -32.9375, 35.125]","[14.734299659729004, -0.5723999738693237, -0.3100999891757965]","[-1.882163047790528, 0.5145230889320374, -0.5380675792694092]","[-5.065000057220459, 7.7704997062683105, 3.1833999156951904]",,,carving_short,intermediate,blue,
2024-03-20 14:20:13.200,"[-1.2221921682357788, 1.999148845672608, 1.439164161682129]","[-0.5628669857978821, -0.8095679879188538, -0.1655460000038147, 0.0193319991230964, -2.604609251022339, -1.1312799453735352, 0.7492516040802002]","[37.9375, -23.625, -1.0]","[3.24838924407959, -0.0927817001938819, 3.708423137664795]","[-8.3125, -37.0, 35.5625]","[8.223899841308594, -13.591599464416504, -1.889299988746643]","[2.566244840621948, -2.230757713317871, 0.5304928421974182]","[-3.585399866104126, 8.87459945678711, 2.134500026702881]",,,carving_short,intermediate,blue,
2024-03-20 14:20:13.300,"[4.807404041290283, 20.49109268188477, 8.682217597961426]","[-0.5047119855880737, -0.8179659843444824, -0.2646209895610809, 0.0785520002245903, -2.450403451919556, -0.9012470841407776, 0.9707003235816956]","[39.8125, -20.0, -3.5]","[-2.2141945362091064, -0.003246312495321, -1.1155097484588623]","[-6.4375, -33.375, 33.0625]","[9.102399826049805, 17.994098663330078, 7.829399585723877]","[-1.827743649482727, 0.3465874791145324, -0.8793143033981323]","[-4.689399719238281, 7.689399719238281, 3.879699945449829]",,,carving_short,intermediate,blue,
2024-03-20 14:20:13.400,"[-11.539908409118652, 11.143218040466309, 0.2375718504190445]","[-0.5602390170097351, -0.810139000415802, -0.171547994017601, 0.0194119997322559, -2.5996627807617188, -1.1222600936889648, 0.7630554437637329]","[39.6875, -21.8125, -0.5]","[0.3757344782352447, 1.8067822456359863, -0.6514965295791626]","[-6.5625, -35.1875, 36.0625]","[13.440099716186523, 6.628399848937988, -2.2816998958587646]","[0.8711287379264832, 0.4812745451927185, 0.762115478515625]","[-3.643199920654297, 8.836599349975586, 2.193399906158448]",,,carving_short,intermediate,blue,
